SA2_MAINCODE_2016,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
101021007,0,0,0,15,8,3,3,0,0,13,7,0,4,0,0,11,16,3,8,0,0,26,19,3,9,0,0,37,19,0,6,3,0,29,19,4,7,13,0,43,10,0,9,6,0,28,3,3,3,4,0,10,0,0,0,4,0,5,0,0,0,0,0,0,115,19,58,35,7,223,18,0,0,0,0,19,6,0,0,0,0,6,15,0,0,0,0,11,9,0,0,0,0,12,9,0,0,0,0,15,19,4,5,3,0,27,18,7,3,0,0,32,23,3,3,0,0,32,36,0,5,3,0,41,8,0,11,7,0,26,5,0,4,4,0,21,5,0,5,3,0,18,0,0,0,3,0,9,173,13,39,33,3,264,6,0,9,0,0,17,3,0,0,0,5,8,300,27,104,69,8,513,11,0,0,0,0,11,26,0,0,0,0,24,29,0,3,4,0,36,19,3,7,0,0,36,20,4,7,0
101021008,0,0,0,16,12,0,0,0,0,8,20,0,0,0,0,21,31,0,0,0,0,32,30,0,7,0,0,36,26,0,4,0,0,32,18,0,0,0,0,20,16,0,0,0,0,16,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,176,4,22,0,4,202,26,0,0,0,0,26,19,0,0,0,0,19,13,0,3,0,0,14,9,0,5,0,0,14,0,0,0,0,0,5,19,0,0,0,0,28,23,0,3,0,0,29,20,3,3,0,0,27,18,3,8,0,0,26,19,0,0,0,0,17,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,186,11,22,3,0,221,12,0,0,0,0,14,4,0,0,0,0,4,373,12,46,3,3,438,11,0,0,0,0,13,30,3,0,0,0,32,39,4,3,0,0,43,29,3,5,0,0,39,30,3,6,0
101021009,5,0,0,175,139,3,0,0,0,144,134,3,10,3,3,154,146,9,0,0,0,160,150,11,7,3,3,180,164,4,8,0,0,179,131,9,4,3,0,140,91,3,3,0,0,101,25,3,0,0,0,32,0,0,0,0,0,3,3,0,0,0,0,3,1330,47,47,9,10,1449,177,0,0,0,0,178,130,0,0,0,0,127,100,3,3,0,0,102,110,0,5,0,0,122,102,3,3,4,0,114,134,3,9,0,0,143,108,3,3,0,0,116,101,5,8,0,0,109,110,0,13,0,0,123,84,3,4,0,0,94,29,3,0,0,0,32,6,0,0,5,0,9,0,0,0,0,0,5,1187,27,42,14,3,1267,120,4,0,0,0,131,34,0,0,0,5,46,2677,78,97,22,25,2890,90,0,0,0,0,93,308,0,4,0,0,314,388,13,8,0,0,419,340,17,15,4,0,379,323,30,19,5
101021010,0,0,0,42,41,0,0,0,0,48,33,0,0,0,0,36,26,3,0,0,0,36,30,5,3,0,0,41,34,9,3,0,0,40,31,3,3,0,0,34,11,0,0,0,0,12,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,293,34,9,4,4,337,84,0,0,0,0,83,20,0,0,0,0,20,23,0,0,3,0,23,19,0,4,0,0,23,26,0,0,0,0,36,19,0,0,0,0,31,17,6,5,3,0,30,16,0,0,0,0,20,17,3,0,0,0,22,10,3,0,0,0,13,4,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,258,16,19,19,3,310,32,0,0,0,0,32,12,0,0,0,0,15,585,53,26,17,8,689,63,0,0,0,4,64,191,7,3,0,0,202,268,8,14,0,0,285,230,17,3,0,0,256,176,25,3,0
101021011,0,0,0,47,34,3,3,3,0,42,45,7,3,0,0,60,50,7,8,0,0,63,56,10,20,0,0,81,43,12,11,3,0,75,30,11,5,0,0,49,13,7,4,0,0,26,0,3,6,7,0,13,0,0,0,0,0,3,0,0,3,0,0,4,346,54,67,24,3,491,63,0,3,0,0,62,19,0,3,0,0,24,21,3,3,0,0,25,17,3,4,0,0,28,27,11,11,8,0,49,43,7,4,0,0,55,47,10,17,5,0,78,28,10,12,3,0,55,25,4,12,3,0,49,17,11,16,3,0,45,7,5,11,10,0,31,3,0,4,5,0,10,0,0,0,5,0,11,309,63,101,49,0,529,30,5,8,0,0,43,13,0,0,0,0,12,698,126,169,76,7,1071,35,0,0,0,0,36,78,0,4,0,0,89,168,11,8,0,0,194,157,26,15,5,0,205,158,28,12,5
101021012,0,0,0,45,17,3,6,0,0,28,27,0,0,0,0,29,24,5,7,0,0,42,29,16,11,3,0,54,24,4,9,0,0,45,14,3,3,0,0,25,15,0,0,0,0,14,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,241,40,38,3,4,325,47,0,0,0,0,53,39,0,0,0,0,37,17,0,0,0,0,18,16,7,3,0,0,20,20,7,3,0,0,34,20,6,10,0,0,39,16,3,3,0,0,24,29,7,3,0,0,39,19,0,5,3,0,25,10,0,7,0,0,14,9,0,5,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,249,22,39,11,0,325,13,0,0,0,0,13,15,0,3,0,0,14,519,67,85,12,4,679,34,0,0,0,0,39,165,4,0,0,0,173,191,8,3,0,0,205,142,15,16,0,0,174,117,28,17,0
101031013,0,3,0,7,18,0,0,0,0,15,9,0,4,0,0,12,18,3,3,0,0,23,18,0,3,4,0,22,19,9,3,0,0,27,19,3,3,4,0,25,6,3,3,5,0,18,10,0,5,0,0,14,0,0,3,4,0,10,0,0,0,0,0,0,128,16,29,18,3,196,25,0,0,0,3,27,11,0,0,0,0,8,10,0,0,0,0,11,24,0,0,0,0,19,21,3,0,0,0,25,16,0,0,0,0,16,16,0,0,0,0,18,32,0,4,0,0,38,21,3,3,0,0,30,16,0,3,0,0,23,6,3,0,3,0,15,0,0,0,3,0,7,0,0,0,0,0,0,197,12,13,8,5,235,11,0,3,3,3,24,4,0,5,0,0,9,336,31,48,36,7,463,23,0,0,0,0,23,35,0,0,4,0,41,36,0,3,3,0,47,42,3,6,0,0,51,33,0,5,0
101031014,0,3,0,82,61,3,4,0,0,72,47,5,3,0,0,59,98,6,6,0,0,110,113,10,11,0,0,138,124,12,6,4,0,143,87,3,13,0,0,106,44,9,5,0,0,58,12,0,3,0,0,21,3,0,0,0,0,4,0,0,0,0,0,3,741,53,65,10,5,873,88,0,0,0,0,96,50,0,0,0,0,53,55,0,0,0,0,56,63,0,0,3,0,72,67,4,4,0,0,79,79,6,3,3,0,86,88,0,3,6,0,100,79,0,6,0,0,86,80,0,4,3,0,87,58,8,7,0,0,73,27,3,0,0,0,38,9,0,3,3,0,15,8,0,0,0,0,6,755,19,39,14,9,840,70,0,0,3,3,79,23,0,6,4,3,32,1592,80,107,33,19,1827,73,0,0,0,0,73,144,0,3,0,0,149,159,0,4,3,0,167,144,10,22,0,0,178,106,17,15,0
101031015,0,0,0,0,3,0,0,0,0,4,4,0,0,3,0,5,7,3,5,5,0,19,5,4,4,5,0,17,8,3,8,3,0,18,3,0,0,3,0,11,0,3,7,3,0,7,0,0,3,8,0,11,0,3,0,3,0,8,0,0,0,0,0,3,36,17,31,27,4,110,7,0,0,0,0,7,6,0,0,0,0,6,4,0,0,0,0,5,8,0,3,0,0,9,10,0,0,0,0,8,0,3,0,0,0,7,7,0,0,0,0,13,12,0,3,3,0,20,4,5,3,0,0,13,10,3,4,0,0,17,3,0,0,4,0,12,0,0,4,7,0,11,0,0,0,0,3,3,69,13,30,14,3,129,8,0,4,3,0,13,0,0,0,3,0,5,116,32,61,46,5,255,7,0,0,0,0,7,13,0,0,0,0,19,24,0,0,3,0,27,12,0,11,0,0,21,18,3,3,5
101031016,9,0,0,201,98,6,4,0,0,105,67,11,14,0,0,90,74,12,13,3,0,106,82,13,15,3,0,118,103,21,15,6,0,144,48,13,17,0,0,84,25,4,10,0,0,37,9,5,5,4,0,27,8,3,3,0,0,7,3,0,3,0,0,8,1012,94,110,20,7,1245,84,0,0,0,0,85,111,0,0,0,0,118,79,0,0,4,0,81,55,0,0,0,0,54,61,4,7,3,0,73,46,9,18,4,0,76,60,9,10,3,0,75,46,6,8,3,0,63,56,6,5,4,0,63,23,0,10,3,0,35,20,3,8,0,0,31,4,0,3,3,0,11,0,0,0,3,0,10,648,31,60,32,5,780,39,0,4,0,0,49,42,0,4,4,3,57,1748,122,177,60,19,2128,126,0,0,0,0,135,530,5,8,0,3,546,458,3,13,0,3,472,242,15,15,0,0,274,179,23,25,3
