SA2_MAINCODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
102021056,3,23,15,15,30,31,10,33,0,165,11,19,12,5,40,34,13,18,47,201,257,540,735,779,1165,1160,468,734,101,5940
102021057,5,19,24,23,30,21,21,17,3,168,12,18,8,20,50,31,17,25,47,232,176,513,523,554,1264,956,454,583,93,5122
103011058,11,78,49,53,115,89,43,68,4,504,19,51,28,41,67,57,23,50,101,440,505,1716,1311,1499,2797,2097,1016,1550,257,12748
103011059,0,11,6,7,30,28,19,43,0,157,9,10,20,13,31,22,6,17,22,145,137,376,305,353,743,617,349,629,60,3560
103011060,0,11,0,3,10,4,3,4,0,36,4,10,5,4,6,10,0,4,12,54,40,173,122,134,133,223,84,293,29,1226
103011061,0,5,3,4,6,10,8,3,0,44,6,10,6,3,30,19,21,25,27,146,64,198,178,167,424,331,208,459,54,2079
103021062,0,10,7,4,12,24,9,17,0,77,4,6,12,7,11,17,8,23,38,136,100,247,205,290,251,478,217,649,83,2530
103021063,3,18,24,20,37,37,20,25,0,174,7,3,13,7,29,18,6,20,28,134,125,424,424,484,773,589,308,532,67,3728
103021064,0,0,3,5,0,7,3,6,0,34,0,9,4,3,3,11,3,10,18,59,57,180,152,176,149,253,142,409,50,1567
103021065,4,12,13,22,28,31,9,27,3,144,9,19,6,13,27,33,15,20,54,190,163,377,361,482,666,709,346,786,104,3984
103021066,0,6,4,3,6,7,3,4,0,38,5,5,4,4,12,3,3,9,14,61,35,137,123,118,145,205,113,309,35,1228
103021067,3,25,20,22,32,45,22,37,0,211,4,14,3,10,19,27,9,9,45,136,178,483,381,502,830,595,394,596,90,4061
103021068,3,3,4,0,0,4,0,3,0,26,6,3,3,4,3,7,9,5,9,46,60,108,102,122,134,181,259,431,36,1437
103021069,0,15,7,9,28,18,7,21,0,103,3,5,3,13,11,14,3,21,40,107,93,265,223,261,304,384,203,770,80,2584
103031070,3,24,32,20,41,35,13,30,4,197,4,24,15,11,26,31,4,14,39,172,209,633,612,651,1065,811,357,578,95,5013
103031071,0,5,3,12,12,12,7,8,0,54,8,3,11,7,15,22,7,7,19,89,89,204,168,180,442,507,316,475,54,2430
103031072,7,30,30,29,49,55,29,98,3,329,3,16,10,13,22,17,11,24,28,139,182,637,642,735,947,779,428,808,87,5246
103031073,0,5,0,0,8,4,0,0,0,28,5,7,0,6,5,4,0,3,6,42,32,133,101,124,105,129,74,154,16,872
103031074,0,15,13,8,11,25,3,27,0,103,4,12,11,5,6,8,3,21,32,107,150,321,280,333,389,490,546,1202,99,3805
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,5,7,6,8,18,9,17,18,0,97,6,12,7,6,18,18,8,16,27,123,129,284,218,250,351,344,358,926,69,2927
103041077,21,67,54,53,127,118,72,126,4,637,13,39,29,29,72,80,37,42,121,455,575,1616,1535,1788,3168,2785,1425,2060,245,15198
103041078,0,20,11,10,26,27,17,55,3,173,5,14,8,12,24,24,8,18,18,132,121,375,284,333,613,561,343,668,58,3346
103041079,3,16,10,7,15,18,12,24,0,101,4,19,8,5,11,7,12,23,43,129,137,337,308,332,461,587,408,962,86,3612
104011080,18,48,28,60,96,76,33,67,3,432,18,43,24,23,59,43,20,22,79,327,381,1144,1030,1325,2096,1372,769,1148,171,9434
104011081,0,6,3,9,4,7,7,4,0,38,3,6,6,7,16,13,3,12,27,110,60,264,228,264,229,256,147,430,70,1951
104011082,8,24,19,22,40,38,8,32,3,204,14,30,13,13,21,18,3,10,51,182,201,749,660,773,787,601,312,657,106,4842
104021083,0,9,5,13,10,5,8,6,0,58,5,8,15,14,7,11,0,6,15,79,55,317,238,296,259,198,115,199,34,1708
104021084,6,53,35,35,74,67,40,28,3,337,7,25,22,14,33,27,4,16,61,203,252,1067,776,942,1295,851,479,588,127,6379
104021085,14,48,34,55,116,96,39,72,3,476,6,44,38,34,74,62,33,43,87,421,471,1361,1453,1906,2973,2232,988,1528,209,13115
104021086,0,4,0,4,0,0,0,3,0,8,0,0,11,4,10,3,4,3,4,37,16,85,66,90,81,75,38,94,19,560
104021087,0,3,3,9,5,7,7,3,0,38,0,5,3,3,9,3,4,11,9,47,44,146,116,165,111,94,57,196,26,948
104021088,0,16,0,4,3,8,0,3,0,43,0,14,4,11,5,6,0,5,6,49,26,262,151,185,151,150,65,178,29,1200
104021089,4,29,21,25,34,22,13,18,7,165,7,17,20,19,18,25,5,19,36,161,132,768,515,640,748,577,318,539,82,4314
104021090,3,4,3,3,4,3,3,11,0,39,3,7,4,4,8,3,0,5,8,45,45,159,141,163,190,160,88,175,23,1145
104021091,3,20,7,15,28,16,4,22,3,115,7,21,14,8,21,18,5,6,23,134,110,458,378,508,568,470,210,468,65,3230
105011092,0,4,8,8,9,7,0,6,0,45,8,5,4,7,7,8,0,11,26,69,51,81,81,156,318,269,116,363,43,1482
105011093,3,4,6,6,7,16,5,21,0,62,8,3,3,9,11,5,8,15,24,74,110,132,154,178,263,286,268,812,61,2265
105011094,3,3,0,3,12,14,4,0,0,44,4,3,0,0,5,5,7,13,25,66,64,130,118,145,227,235,119,407,61,1503
105011095,4,3,10,6,8,18,4,11,0,67,0,3,7,3,14,12,6,3,22,72,73,179,158,206,307,364,228,682,50,2252
105011096,0,6,4,6,8,14,7,6,0,47,3,5,5,10,6,7,5,7,35,92,73,203,178,245,332,319,128,582,72,2134
105021097,7,40,26,35,64,49,28,38,3,293,11,24,12,19,35,21,16,26,80,241,315,750,559,800,1432,1091,561,1179,163,6845
105021098,0,0,4,3,0,5,0,3,0,17,0,0,0,0,8,0,0,12,17,39,34,43,70,74,138,176,59,389,42,1013
105031099,5,6,3,11,14,19,5,14,0,75,13,12,12,7,10,13,6,12,35,109,94,285,266,341,390,367,214,603,65,2623
105031100,11,19,19,20,84,82,51,74,3,354,6,11,12,15,42,55,16,30,65,258,209,399,488,586,1476,1508,628,1057,130,6487
105031101,10,43,48,44,105,49,34,54,5,391,15,24,18,16,43,46,21,28,95,299,376,1130,897,1138,2514,1581,880,1214,179,9924
105031102,3,11,16,10,38,20,14,21,0,124,0,3,4,3,13,16,5,8,15,75,61,261,197,238,419,358,205,338,35,2108
105031103,3,6,3,3,8,7,3,9,0,39,5,3,0,5,3,9,3,13,4,54,37,89,93,98,120,176,93,323,19,1036
105031104,3,6,7,3,12,17,3,13,0,61,3,4,3,6,5,12,3,13,11,59,57,178,157,164,228,217,103,453,48,1605
105031105,5,6,3,9,17,19,7,16,3,91,3,4,9,5,16,17,5,15,21,92,77,216,165,215,332,370,219,624,61,2286
105031106,3,3,3,10,18,9,3,16,3,75,3,13,12,4,10,12,5,13,25,95,84,253,210,299,382,435,165,439,59,2334
106011107,7,21,13,16,14,13,7,12,0,101,0,17,15,24,20,10,3,19,28,138,114,658,555,502,600,600,337,553,69,3993
106011108,14,57,49,41,61,43,26,45,4,332,16,30,13,18,21,34,7,12,51,214,272,927,905,832,1255,933,489,626,119,6353
106011109,0,5,0,5,3,3,0,0,0,19,7,11,14,6,14,7,6,9,12,83,72,178,144,142,283,314,169,306,30,1642
106011110,7,14,5,13,17,12,8,21,0,89,0,13,6,6,7,9,3,6,16,73,90,361,288,253,311,287,130,391,52,2155
106011111,3,38,26,25,38,33,15,17,0,194,5,18,11,12,30,24,3,14,30,154,101,552,465,454,557,546,223,386,55,3336
106011112,15,44,28,39,69,79,53,72,7,405,6,18,22,24,42,41,25,43,57,274,287,924,814,849,1255,1272,958,1614,161,8149
106011113,3,5,8,14,32,28,37,80,3,199,8,13,8,10,24,31,17,31,73,210,301,209,272,316,882,1025,1499,2240,151,6893
106021114,5,30,25,35,62,37,16,35,3,245,8,23,10,10,14,21,8,17,51,163,266,708,791,947,1551,1022,461,599,107,6459
106021115,4,52,48,48,77,71,36,43,4,387,3,41,14,13,33,36,3,23,56,224,277,1332,1036,1034,1217,1146,599,870,123,7637
106021116,0,9,4,5,0,3,0,3,0,32,0,7,9,6,7,7,3,3,7,38,21,170,139,143,152,136,70,133,20,993
106021117,14,47,43,49,111,123,85,101,0,573,10,27,23,29,61,89,31,41,63,379,223,925,725,812,1374,1367,778,1161,127,7495
106021118,3,9,16,21,24,19,13,36,3,149,4,14,18,12,43,63,15,30,32,229,116,392,359,404,729,752,384,659,59,3850
106031119,0,10,5,5,12,4,7,8,3,56,0,7,6,8,3,0,0,4,5,32,29,148,94,117,112,128,47,112,15,802
106031120,0,10,3,7,7,12,3,3,0,45,0,7,3,6,9,4,0,4,4,37,28,179,117,130,123,81,38,86,9,789
106031121,9,41,45,28,49,50,24,32,0,277,4,40,24,33,33,39,11,23,62,276,266,1222,982,1017,1082,930,448,689,122,6764
106031122,10,37,33,23,139,152,82,216,3,702,8,22,19,26,96,57,34,66,72,399,323,899,725,862,2111,1875,1345,1581,170,9897
106031123,0,3,3,0,7,4,0,8,0,24,0,11,4,3,3,4,0,7,9,39,29,107,75,81,67,99,55,207,15,736
106031124,0,4,5,3,6,10,3,8,0,40,0,5,4,3,7,6,3,0,11,40,45,184,135,165,180,161,86,130,21,1106
106031125,6,20,9,27,29,15,7,18,0,131,3,16,5,13,32,38,11,19,48,188,228,537,448,534,1477,1398,895,906,107,6525
106041126,5,17,15,25,62,72,39,57,5,301,6,29,9,13,28,32,23,27,63,233,331,582,592,696,1437,1127,1089,1471,144,7464
106041127,3,3,3,3,3,3,4,4,0,25,3,6,3,4,4,16,5,4,23,70,74,156,138,158,291,309,302,533,57,2034
106041128,0,14,12,15,27,19,7,14,0,107,4,17,12,8,22,17,3,3,26,114,83,363,296,355,603,416,228,392,58,2792
106041129,5,9,3,9,3,13,3,8,0,51,3,7,12,10,8,11,0,17,15,80,88,261,221,240,263,375,202,541,49,2247
107011131,12,35,32,27,35,51,13,31,0,236,10,19,11,5,26,26,9,22,44,182,174,861,653,701,747,627,288,495,81,4628
107011132,3,6,0,0,6,3,0,4,0,27,0,4,3,3,3,6,0,8,8,43,21,92,74,129,156,148,68,134,11,849
107011133,0,4,0,7,13,19,14,12,0,70,3,7,3,7,17,32,14,9,30,137,126,109,154,185,710,646,628,635,71,3263
107011134,19,43,44,35,123,134,57,93,8,551,19,33,39,37,116,134,40,82,67,565,262,733,746,785,1784,2032,950,1428,138,8862
107011545,3,18,17,13,22,16,10,16,0,115,0,10,5,9,16,9,3,0,11,70,60,228,196,242,290,227,120,184,27,1582
107011546,9,27,42,34,79,82,37,36,0,346,5,21,22,23,43,60,27,21,63,286,289,756,800,871,1632,1481,923,1022,123,7901
107011547,0,3,3,3,4,3,0,0,0,24,0,3,0,3,4,3,0,3,5,23,11,58,64,54,61,69,27,61,13,418
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,5,4,16,12,7,13,5,63
107031136,3,26,12,21,14,19,3,12,0,102,0,10,13,7,9,8,7,11,23,95,76,458,337,370,370,343,171,288,44,2459
107031137,0,12,6,7,32,30,21,20,0,136,5,8,3,10,20,21,22,9,20,125,80,266,255,301,381,423,247,371,31,2355
107031138,3,22,13,17,30,24,16,15,0,142,6,19,5,8,8,8,3,21,14,88,92,562,440,425,424,400,193,296,34,2872
107031139,0,7,3,0,0,0,0,0,0,19,0,3,4,0,0,4,0,0,0,12,23,147,85,76,56,106,30,58,3,580
107031140,3,18,6,10,6,10,0,13,0,67,3,14,4,3,0,5,6,4,16,62,78,403,278,228,205,258,99,263,41,1860
107031141,0,32,15,15,12,19,3,8,0,92,5,17,10,6,17,17,5,17,15,103,84,417,290,334,377,457,225,454,37,2678
107031142,8,33,36,39,66,64,12,39,3,293,0,21,15,12,37,33,7,15,47,194,227,1058,868,790,1278,821,413,495,110,6067
107031143,3,23,22,18,32,37,14,26,0,173,10,15,17,13,26,15,10,9,22,144,177,521,545,595,708,668,270,391,60,3933
107041144,8,36,32,29,73,53,27,50,3,313,11,16,13,18,45,41,8,18,38,216,220,971,782,678,1052,908,397,658,99,5769
107041145,6,35,26,22,33,28,12,16,0,166,5,17,17,6,12,19,0,10,31,115,124,552,432,497,559,508,212,369,77,3335
107041146,6,30,24,25,32,33,18,18,6,194,3,20,14,20,11,17,4,11,48,161,233,1429,891,772,1287,935,384,661,100,6691
107041147,7,18,13,17,13,12,3,8,0,89,0,10,7,9,15,9,0,9,19,82,69,313,261,265,346,344,155,229,44,2033
107041148,0,17,14,15,9,13,6,8,0,86,5,18,9,9,11,7,3,12,8,81,61,505,367,328,257,347,137,314,29,2345
107041150,9,40,31,28,28,35,17,22,0,220,4,14,15,19,11,11,3,18,24,122,117,677,534,492,543,491,250,401,61,3572
107041548,20,74,74,100,171,171,84,119,11,814,17,56,52,52,112,109,36,56,164,656,754,2422,2388,2436,5105,3385,1664,1970,317,20449
107041549,3,30,23,12,27,15,9,19,0,133,3,14,16,15,24,19,6,14,51,162,366,667,1089,1000,1403,1530,572,743,103,7475
108011151,0,3,4,0,3,3,3,8,6,24,3,3,3,11,8,3,7,6,6,47,47,195,150,149,190,172,90,281,26,1300
108011152,4,33,18,20,31,37,10,35,3,186,3,16,10,3,12,19,13,13,55,149,186,674,600,660,792,567,291,408,102,4284
108011153,3,9,4,10,3,12,5,9,0,48,5,15,11,0,4,8,0,5,13,59,45,222,139,192,125,162,45,140,22,1086
108011154,4,19,12,15,19,27,14,10,0,115,3,9,6,5,15,12,0,6,28,86,91,304,289,378,425,333,176,261,59,2322
108021155,12,23,32,24,51,32,20,33,3,228,15,16,9,24,43,34,11,23,82,254,278,730,799,992,1487,889,480,696,195,6538
108021156,0,10,4,3,3,5,0,3,0,23,4,14,8,7,7,0,5,13,31,82,72,271,200,205,185,246,149,368,58,1754
108021157,3,16,6,7,24,26,13,11,0,104,4,8,6,7,11,5,3,9,30,95,107,270,288,334,470,337,197,374,57,2430
108021158,3,17,20,8,13,14,10,9,0,82,5,10,0,8,8,6,0,4,25,62,66,321,292,336,332,203,112,198,39,1900
108021159,0,5,5,0,3,3,0,0,0,20,3,10,3,4,8,0,0,0,9,42,34,181,166,157,131,132,78,279,31,1201
108021160,3,12,3,6,12,12,0,8,0,48,3,7,0,9,3,4,3,8,12,46,59,210,130,154,154,117,66,126,36,1047
108031161,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,11,24,27,21,23,21,43,17,31,9,216
108041162,0,37,26,29,20,23,10,13,0,158,10,22,8,3,15,13,5,12,31,115,105,520,404,476,497,415,211,376,71,3076
108041163,13,60,30,34,61,50,29,35,3,312,12,30,21,30,21,34,8,20,67,232,352,1263,995,1399,1710,1285,582,982,156,8721
108041164,10,55,45,43,122,87,48,95,11,512,7,55,18,40,60,51,28,36,88,397,403,1342,1220,1602,2271,2010,936,1403,198,11392
108041165,0,3,3,5,0,7,7,4,0,27,8,10,0,3,0,7,0,10,13,51,36,143,98,123,153,161,88,338,44,1176
108041166,3,20,20,20,34,33,20,19,3,171,3,13,8,9,17,13,5,25,30,117,108,367,322,416,619,473,274,494,71,3148
108051167,0,3,8,7,9,13,5,6,0,54,3,3,3,7,9,10,7,12,18,79,67,264,194,242,274,249,112,302,45,1753
108051168,4,9,14,7,3,7,5,0,3,50,0,5,5,8,3,7,3,3,13,49,65,282,188,205,183,173,80,170,36,1384
108051169,7,36,41,35,88,107,46,62,6,424,14,41,21,40,62,44,27,30,110,393,414,1321,1243,1601,2251,1630,811,1082,223,10580
108051170,3,4,9,3,3,8,4,5,0,46,4,10,12,10,11,6,0,8,29,89,61,305,177,191,133,204,99,357,52,1576
108051171,0,3,3,5,21,18,5,3,0,67,4,3,5,0,4,4,0,3,24,44,186,157,201,204,230,213,91,171,44,1479
109011172,4,27,25,29,49,40,25,38,0,245,3,21,11,18,49,41,25,41,51,255,215,576,558,709,1200,1044,599,852,98,5840
109011173,9,11,16,12,7,24,15,17,0,107,3,12,10,8,18,21,3,12,16,98,70,232,190,248,292,343,203,278,38,1898
109011174,11,67,53,61,102,70,52,50,13,482,19,45,29,34,72,64,15,38,88,405,506,1670,1419,1856,2682,1812,1140,1298,206,12590
109011175,0,8,15,8,15,21,13,27,0,115,10,22,4,7,16,10,10,23,28,133,168,435,335,396,445,590,367,874,84,3694
109011176,6,27,21,18,44,53,22,37,3,223,13,10,8,10,13,28,3,13,38,135,151,591,409,539,719,642,373,535,82,4037
109021177,4,0,3,0,3,5,6,12,0,38,0,9,4,4,8,15,4,8,22,75,53,138,111,143,208,200,87,325,39,1315
109021178,0,4,8,4,8,5,7,8,3,50,10,10,7,8,10,13,5,15,20,90,92,225,195,237,429,373,172,356,56,2132
109021179,0,3,0,6,7,9,4,3,0,27,3,7,0,7,14,11,0,7,20,85,52,126,121,180,231,255,137,530,55,1680
109031180,6,9,6,15,17,11,11,16,0,101,5,9,8,6,12,26,7,13,23,111,123,277,247,289,358,418,204,326,60,2292
109031181,0,13,8,4,13,11,5,8,3,61,6,7,0,9,20,25,8,12,19,116,104,308,200,254,483,513,232,522,53,2656
109031182,3,15,6,18,21,27,23,20,4,131,3,18,11,15,20,13,9,8,23,116,138,383,321,425,668,548,260,409,59,3206
109031183,0,5,6,3,8,10,4,7,0,43,5,5,12,14,5,15,4,11,27,103,106,318,231,249,321,406,217,842,68,2762
109031184,0,6,6,7,8,15,0,7,0,48,5,5,7,7,17,12,3,11,21,89,92,261,190,225,321,249,148,243,46,1792
109031185,3,17,13,12,15,18,16,32,0,119,11,16,0,11,24,22,10,9,41,136,150,401,324,387,427,496,234,739,89,3253
110011186,15,46,37,32,92,51,47,52,6,377,7,29,17,24,37,37,18,36,75,287,423,1579,1138,1385,2413,1532,864,1410,208,10940
110011187,0,7,4,5,12,9,4,4,0,47,3,14,7,7,10,5,5,10,11,65,50,199,185,181,331,251,168,469,37,1874
110011188,0,9,9,3,3,4,3,5,0,29,3,6,8,4,8,3,5,5,8,52,44,170,144,152,197,219,89,290,31,1326
110011189,0,6,0,3,4,11,9,4,0,42,0,3,3,0,4,7,0,12,7,38,44,149,120,161,150,207,115,435,27,1418
110021190,4,24,19,11,27,29,17,24,5,138,7,19,18,18,23,8,4,16,34,141,124,398,342,363,542,407,204,595,83,3059
110021191,3,18,20,23,58,40,20,37,4,227,11,17,16,15,36,35,7,22,69,222,205,625,520,787,1261,766,429,619,149,5353
110021192,0,3,0,0,3,7,0,0,0,21,3,3,0,0,4,3,0,7,19,46,40,128,88,112,87,142,61,343,33,1039
110021193,0,11,0,9,7,13,0,4,0,49,5,3,4,4,6,6,5,13,20,64,63,177,158,190,203,255,115,543,47,1751
110021194,5,13,6,4,17,9,5,15,0,71,10,12,8,8,10,16,3,9,23,93,88,284,215,255,308,292,128,500,63,2140
110031195,15,17,15,19,41,46,24,48,0,217,3,17,17,4,41,27,13,22,49,191,157,298,295,408,848,649,328,636,102,3712
110031196,3,4,4,7,3,3,0,4,0,30,0,14,5,3,3,13,5,24,18,88,77,166,115,177,178,335,188,911,60,2212
110031197,3,21,10,8,33,57,23,20,3,179,7,13,17,20,24,39,11,15,30,164,125,349,280,367,644,565,250,441,67,3097
110031198,0,9,0,0,10,11,11,11,0,53,4,10,0,3,6,17,3,11,19,82,98,148,151,176,242,349,182,607,57,2000
