SA2_MAINCODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
101021007,0,10,10,0,4,3,0,6,3,36,3,11,3,3,6,3,0,3,13,49,40,142,127,134,106,148,92,233,29,1050
101021008,0,7,0,0,3,7,3,3,0,22,0,10,5,0,6,5,0,0,0,31,23,130,90,110,128,128,63,107,7,796
101021009,3,34,28,26,47,35,30,29,0,230,8,20,4,12,41,37,14,28,63,229,193,634,529,647,1245,918,468,681,95,5418
101021010,6,10,9,5,37,34,26,42,0,164,3,13,11,15,24,37,17,30,25,163,74,254,160,205,505,570,351,542,45,2714
101021011,0,17,6,11,9,21,6,8,0,92,4,17,11,18,11,17,4,27,20,132,90,350,209,288,372,503,363,646,52,2863
101021012,3,5,15,7,27,34,18,17,0,125,5,10,5,10,10,37,13,28,19,139,48,221,138,188,311,479,255,433,40,2109
101031013,0,3,0,0,4,7,3,7,0,26,3,3,3,3,9,4,7,0,10,33,45,104,106,105,142,121,121,257,24,1029
101031014,3,14,7,5,21,39,14,22,0,133,6,11,3,3,16,8,7,15,32,101,140,398,351,472,719,488,282,503,66,3415
101031015,0,0,0,0,0,0,0,7,0,11,3,7,3,3,0,3,3,3,4,31,19,96,56,70,61,105,49,216,15,684
101031016,3,10,9,12,12,23,14,23,4,101,7,13,13,11,18,14,13,24,32,146,94,353,346,611,812,619,533,1046,121,4532
101041017,5,42,14,34,41,47,19,41,5,244,6,22,18,24,17,27,6,15,38,184,184,621,500,622,821,594,293,469,97,4188
101041018,0,10,3,10,3,0,4,3,0,33,0,11,7,3,0,6,0,3,7,41,48,227,155,191,170,145,59,139,14,1147
101041019,5,15,13,15,27,26,13,26,3,139,4,16,16,13,18,18,4,21,45,152,228,586,575,752,1032,807,449,562,95,5093
101041020,0,6,3,3,7,4,0,11,0,33,3,11,4,4,5,5,5,16,12,71,55,213,151,195,137,191,102,323,32,1401
101041021,0,5,0,5,0,0,3,0,0,17,0,0,0,4,0,0,0,0,10,19,14,110,87,113,102,95,67,87,14,697
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,5
101041023,0,8,4,3,11,8,8,9,0,60,5,9,3,8,12,7,3,8,19,65,59,200,138,193,229,181,107,205,23,1318
101041024,0,5,0,3,0,4,3,6,0,28,0,5,3,0,6,3,0,3,3,27,31,142,103,89,104,101,41,118,16,745
101041025,6,17,25,13,34,31,12,16,0,159,3,7,11,12,18,16,5,14,26,112,172,620,454,566,614,422,238,422,75,3575
101041026,3,11,19,14,19,20,7,9,0,94,4,17,11,22,16,24,4,9,40,138,141,459,430,521,695,456,219,332,74,3322
101041027,0,19,9,16,17,22,15,16,4,112,6,12,5,7,11,8,9,7,26,95,86,459,366,410,350,309,147,275,66,2471
101051539,10,49,39,46,94,86,40,58,4,416,18,32,24,31,62,49,22,33,80,346,390,1054,1060,1283,2377,1664,770,1163,199,9960
101051540,4,12,12,15,19,18,8,19,0,112,12,19,6,3,14,18,5,15,23,122,99,385,347,372,413,501,269,940,72,3412
101061541,0,13,6,13,13,18,13,12,0,86,4,5,7,7,11,4,12,16,17,76,67,326,286,311,405,286,170,330,42,2228
101061542,0,13,5,14,11,12,3,11,0,75,4,14,12,12,15,13,3,22,23,120,78,361,242,256,262,362,154,514,59,2294
101061543,15,38,16,16,56,37,18,29,3,220,8,33,19,17,21,21,12,26,50,206,159,554,459,599,806,662,377,661,110,4377
101061544,0,8,6,10,5,11,7,3,0,52,3,12,7,8,16,16,3,11,23,100,75,250,218,266,341,379,191,608,53,2395
102011028,0,11,4,9,5,0,0,0,0,31,6,10,3,3,9,9,3,8,10,58,35,245,143,130,106,199,67,143,23,1084
102011029,0,17,13,3,0,9,3,4,0,57,0,16,7,12,10,3,0,4,19,71,51,294,166,177,133,244,73,172,27,1341
102011030,3,6,16,12,45,30,22,27,3,162,8,22,19,18,79,70,31,55,48,346,129,323,333,353,1171,1100,611,1100,100,5234
102011031,11,62,57,63,87,76,55,58,5,476,7,46,31,35,40,53,13,28,62,311,331,1758,1336,1354,1582,1274,678,958,164,9450
102011032,29,92,79,104,251,159,115,117,12,955,17,57,58,53,130,129,29,65,149,690,751,1724,2277,2357,4105,3772,1481,2047,309,18835
102011033,3,6,9,3,3,3,6,3,0,38,0,0,4,3,3,9,3,5,12,39,47,152,168,159,281,252,101,119,28,1306
102011034,0,23,13,10,13,11,7,16,5,90,3,5,9,8,9,14,9,14,12,87,67,457,321,273,333,314,143,228,34,2168
102011035,0,16,9,3,6,3,4,5,0,46,0,8,4,3,7,8,0,3,9,37,29,105,104,124,106,104,37,100,19,728
102011036,0,6,6,8,7,12,4,3,0,58,6,5,6,8,30,19,8,13,17,117,78,317,271,357,591,437,273,312,42,2679
102011037,0,5,4,0,3,0,0,0,0,24,0,8,4,4,4,4,0,11,3,38,39,138,134,153,118,96,59,100,15,850
102011038,3,6,4,3,4,9,0,3,0,34,3,3,3,6,3,0,0,6,4,36,25,148,105,102,66,104,45,96,9,704
102011039,0,53,20,26,22,15,11,8,6,155,9,24,9,9,5,19,3,22,21,120,95,583,374,385,362,464,190,363,47,2857
102011040,9,42,30,22,24,19,11,25,3,181,10,20,14,11,8,16,3,17,33,129,130,736,563,562,526,459,192,416,82,3673
102011041,0,12,11,14,3,6,3,8,3,64,4,9,3,3,6,8,5,6,12,58,51,259,170,232,214,250,113,192,23,1510
102011042,11,23,23,16,24,22,12,26,3,164,7,19,10,8,16,22,4,14,39,136,148,652,629,590,588,541,221,375,87,3837
102011043,4,19,24,27,31,30,9,16,0,172,3,6,4,3,15,13,5,14,20,84,82,431,368,444,422,351,121,259,47,2521
102021044,6,33,25,20,18,14,10,14,7,149,7,20,9,8,14,15,0,12,41,129,163,800,606,651,621,513,238,352,97,4028
102021045,0,12,8,7,18,15,3,3,0,64,0,3,0,4,8,5,0,0,8,38,34,149,139,186,204,151,83,132,30,1107
102021046,0,12,4,10,5,6,0,3,0,43,0,7,6,3,4,10,0,3,7,43,26,200,150,147,137,141,49,85,18,951
102021047,3,27,21,28,33,25,18,34,0,191,3,26,26,19,63,57,20,32,29,277,148,501,514,575,1005,971,519,636,59,4924
102021048,3,22,20,24,21,19,6,9,0,120,6,13,12,11,25,12,5,11,36,138,178,827,600,691,734,491,205,336,89,4149
102021049,0,8,7,4,12,9,0,5,3,40,4,10,8,0,0,8,3,4,4,44,31,140,115,113,116,118,42,94,17,784
102021050,0,14,10,11,4,13,0,4,0,55,4,14,8,5,22,10,3,12,15,93,78,213,205,215,405,306,142,219,24,1802
102021051,0,13,14,8,36,20,7,3,0,109,3,5,13,15,30,20,6,11,11,118,63,216,189,216,463,416,163,246,36,2009
102021052,0,0,0,3,9,13,0,3,0,38,0,5,0,3,3,6,0,5,15,29,9,80,70,68,47,94,30,54,19,464
102021053,3,25,23,28,19,36,14,18,0,177,3,24,12,15,16,12,0,18,22,125,95,558,472,472,505,487,203,385,58,3222
102021054,4,15,3,19,24,15,12,16,0,114,3,16,6,4,5,10,4,10,21,72,84,310,305,374,369,266,157,236,50,2149
102021055,7,30,42,57,85,79,39,55,9,398,6,39,32,28,76,62,28,46,73,386,306,1241,1054,1172,1956,1562,741,1083,178,9298
