SA2_MAINCODE_2016,CoPSW_2000_2999_H_0,CoPSW_2000_2999_H_1_15,CoPSW_2000_2999_H_16_24,CoPSW_2000_2999_H_25_34,CoPSW_2000_2999_H_35_39,CoPSW_2000_2999_H_40,CoPSW_2000_2999_H_41_48,CoPSW_2000_2999_H_49mo,CoPSW_2000_2999_H_NS,CoPSW_2000_2999_H_Tot,CoPSW_3000mo_H_0,CoPSW_3000mo_H_1_15,CoPSW_3000mo_H_16_24,CoPSW_3000mo_H_25_34,CoPSW_3000mo_H_35_39,CoPSW_3000mo_H_40,CoPSW_3000mo_H_41_48,CoPSW_3000mo_H_49mo,CoPSW_3000mo_H_NS,CoPSW_3000mo_H_Tot,CoPSW_PINS_H_0,CoPSW_PINS_H_1_15,CoPSW_PINS_H_16_24,CoPSW_PINS_H_25_34,CoPSW_PINS_H_35_39,CoPSW_PINS_H_40,CoPSW_PINS_H_41_48,CoPSW_PINS_H_49mo,CoPSW_PINS_H_NS,CoPSW_PINS_H_Tot,CoPSW_Tot_H_0,CoPSW_Tot_H_1_15,CoPSW_Tot_H_16_24,CoPSW_Tot_H_25_34,CoPSW_Tot_H_35_39,CoPSW_Tot_H_40,CoPSW_Tot_H_41_48,CoPSW_Tot_H_49mo,CoPSW_Tot_H_NS,CoPSW_Tot_H_Tot,ClAW_NNI_H_0,ClAW_NNI_H_1_15,ClAW_NNI_H_16_24,ClAW_NNI_H_25_34,ClAW_NNI_H_35_39,ClAW_NNI_H_40,ClAW_NNI_H_41_48,ClAW_NNI_H_49mo,ClAW_NNI_H_NS,ClAW_NNI_H_Tot,ClAW_1_149_H_0,ClAW_1_149_H_1_15,ClAW_1_149_H_16_24,ClAW_1_149_H_25_34,ClAW_1_149_H_35_39,ClAW_1_149_H_40,ClAW_1_149_H_41_48,ClAW_1_149_H_49mo,ClAW_1_149_H_NS,ClAW_1_149_H_Tot,ClAW_150_299_H_0,ClAW_150_299_H_1_15,ClAW_150_299_H_16_24,ClAW_150_299_H_25_34,ClAW_150_299_H_35_39,ClAW_150_299_H_40,ClAW_150_299_H_41_48,ClAW_150_299_H_49mo,ClAW_150_299_H_NS,ClAW_150_299_H_Tot,ClAW_300_399_H_0,ClAW_300_399_H_1_15,ClAW_300_399_H_16_24,ClAW_300_399_H_25_34,ClAW_300_399_H_35_39,ClAW_300_399_H_40,ClAW_300_399_H_41_48,ClAW_300_399_H_49mo,ClAW_300_399_H_NS,ClAW_300_399_H_Tot,ClAW_400_499_H_0,ClAW_400_499_H_1_15,ClAW_400_499_H_16_24,ClAW_400_499_H_25_34,ClAW_400_499_H_35_39,ClAW_400_499_H_40,ClAW_400_499_H_41_48,ClAW_400_499_H_49mo,ClAW_400_499_H_NS,ClAW_400_499_H_Tot,ClAW_500_649_H_0,ClAW_500_649_H_1_15,ClAW_500_649_H_16_24,ClAW_500_649_H_25_34,ClAW_500_649_H_35_39,ClAW_500_649_H_40,ClAW_500_649_H_41_48,ClAW_500_649_H_49mo,ClAW_500_649_H_NS,ClAW_500_649_H_Tot,ClAW_650_799_H_0,ClAW_650_799_H_1_15,ClAW_650_799_H_16_24,ClAW_650_799_H_25_34,ClAW_650_799_H_35_39,ClAW_650_799_H_40,ClAW_650_799_H_41_48,ClAW_650_799_H_49mo,ClAW_650_799_H_NS,ClAW_650_799_H_Tot,ClAW_800_999_H_0,ClAW_800_999_H_1_15,ClAW_800_999_H_16_24,ClAW_800_999_H_25_34,ClAW_800_999_H_35_39,ClAW_800_999_H_40,ClAW_800_999_H_41_48,ClAW_800_999_H_49mo,ClAW_800_999_H_NS,ClAW_800_999_H_Tot,ClAW_1000_1249_H_0,ClAW_1000_1249_H_1_15,ClAW_1000_1249_H_16_24,ClAW_1000_1249_H_25_34,ClAW_1000_1249_H_35_39,ClAW_1000_1249_H_40,ClAW_1000_1249_H_41_48,ClAW_1000_1249_H_49mo,ClAW_1000_1249_H_NS,ClAW_1000_1249_H_Tot,ClAW_1250_1499_H_0,ClAW_1250_1499_H_1_15,ClAW_1250_1499_H_16_24,ClAW_1250_1499_H_25_34,ClAW_1250_1499_H_35_39,ClAW_1250_1499_H_40,ClAW_1250_1499_H_41_48,ClAW_1250_1499_H_49mo,ClAW_1250_1499_H_NS,ClAW_1250_1499_H_Tot,ClAW_1500_1749_H_0,ClAW_1500_1749_H_1_15,ClAW_1500_1749_H_16_24,ClAW_1500_1749_H_25_34,ClAW_1500_1749_H_35_39,ClAW_1500_1749_H_40,ClAW_1500_1749_H_41_48,ClAW_1500_1749_H_49mo,ClAW_1500_1749_H_NS,ClAW_1500_1749_H_Tot,ClAW_1750_1999_H_0,ClAW_1750_1999_H_1_15,ClAW_1750_1999_H_16_24,ClAW_1750_1999_H_25_34,ClAW_1750_1999_H_35_39,ClAW_1750_1999_H_40,ClAW_1750_1999_H_41_48,ClAW_1750_1999_H_49mo,ClAW_1750_1999_H_NS,ClAW_1750_1999_H_Tot,ClAW_2000_2999_H_0,ClAW_2000_2999_H_1_15,ClAW_2000_2999_H_16_24,ClAW_2000_2999_H_25_34,ClAW_2000_2999_H_35_39,ClAW_2000_2999_H_40,ClAW_2000_2999_H_41_48,ClAW_2000_2999_H_49mo,ClAW_2000_2999_H_NS,ClAW_2000_2999_H_Tot,ClAW_3000mo_H_0,ClAW_3000mo_H_1_15,ClAW_3000mo_H_16_24,ClAW_3000mo_H_25_34,ClAW_3000mo_H_35_39,ClAW_3000mo_H_40,ClAW_3000mo_H_41_48,ClAW_3000mo_H_49mo,ClAW_3000mo_H_NS,ClAW_3000mo_H_Tot,ClAW_PINS_H_0,ClAW_PINS_H_1_15,ClAW_PINS_H_16_24,ClAW_PINS_H_25_34,ClAW_PINS_H_35_39,ClAW_PINS_H_40,ClAW_PINS_H_41_48,ClAW_PINS_H_49mo,ClAW_PINS_H_NS,ClAW_PINS_H_Tot,ClAW_Tot_H_0,ClAW_Tot_H_1_15,ClAW_Tot_H_16_24,ClAW_Tot_H_25_34,ClAW_Tot_H_35_39,ClAW_Tot_H_40,ClAW_Tot_H_41_48,ClAW_Tot_H_49mo,ClAW_Tot_H_NS,ClAW_Tot_H_Tot
101021007,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,10,12,12,6,0,6,0,76,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,3,6,3,0,3,0,0,0,15,0,3,6,7,4,0,0,0,0,20,0,0,0,3,0,0,0,0,0,10,0,0,0,6,3,6,0,3,0,15,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,15,24,19,13,3,3,3,97
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,38,21,23,23,16,6,8,0,145,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,7,0,5,0,0,0,0,0,12,0,0,0,10,0,0,0,0,0,10,0,3,0,3,3,3,0,3,0,15,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,7,22,11,4,0,5,0,69
101021009,3,0,0,0,19,8,13,12,0,57,0,0,0,0,0,0,0,3,0,4,5,4,0,0,0,0,0,0,0,10,37,171,108,140,196,64,56,73,12,857,0,4,0,0,0,0,0,0,0,4,0,11,3,0,0,0,0,0,0,18,3,13,3,3,0,0,0,0,0,22,0,17,7,0,0,3,0,0,0,32,0,19,21,4,3,0,0,0,0,44,5,9,21,14,6,9,0,0,6,68,5,13,10,26,25,11,0,7,0,98,13,3,12,23,52,28,3,6,0,144,5,4,14,26,81,40,11,6,0,183,3,0,0,11,57,22,8,7,0,111,0,0,4,6,30,19,3,9,0,74,3,0,3,3,21,6,4,0,0,41,0,0,0,4,13,13,3,8,0,44,0,3,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,7,38,99,98,116,293,143,39,48,3,886
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,17,12,18,9,0,0,0,82,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,10,0,7,3,0,0,0,0,0,0,10,0,3,3,7,0,0,0,0,0,11,0,9,3,9,3,0,0,0,0,25,0,0,4,9,14,11,4,3,0,42,3,0,4,9,20,14,6,4,0,57,5,0,0,3,14,22,16,4,0,73,0,0,0,0,21,9,9,6,0,51,0,0,0,0,3,0,7,5,0,15,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,3,0,0,0,6,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,18,30,31,42,81,65,36,39,0,339
101021011,0,0,0,0,4,3,3,9,0,22,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,8,74,28,37,30,28,44,43,3,297,0,4,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,6,0,4,4,3,3,0,0,0,0,18,0,8,4,3,0,0,0,0,0,11,0,6,8,4,0,3,3,0,0,27,3,4,3,8,6,3,0,0,0,26,0,4,8,13,14,6,7,5,0,53,0,3,3,9,15,9,3,0,0,44,0,3,0,3,12,9,3,4,0,34,0,0,3,0,10,12,5,6,3,42,0,0,0,6,3,0,3,5,0,15,0,3,0,0,3,3,7,0,0,17,3,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,6,8,52,38,49,70,41,27,26,0,321
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,17,14,36,22,11,10,8,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,7,3,0,0,0,0,0,0,13,0,3,0,0,0,3,0,0,0,11,0,7,6,3,3,0,3,0,0,28,0,4,5,9,9,0,0,6,0,32,0,3,3,11,8,15,9,8,0,56,0,3,0,3,18,9,4,3,0,45,0,3,3,3,8,9,4,12,0,41,0,0,0,3,5,11,4,3,0,21,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,3,3,3,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,45,27,40,48,55,24,40,0,279
101031013,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,15,22,24,8,5,0,8,3,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,6,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,0,0,5,0,0,4,0,3,0,0,0,0,7,0,0,5,9,3,3,0,0,0,16,0,0,0,3,3,0,0,4,0,15,0,0,0,0,8,0,0,0,0,11,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,14,15,14,29,9,3,9,3,96
101031014,0,0,0,0,7,0,3,3,0,13,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,4,15,78,64,84,79,53,21,37,7,436,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,12,0,8,3,3,0,0,0,0,0,13,0,3,3,0,3,0,0,0,0,14,0,4,15,7,0,0,0,0,0,25,0,5,17,23,10,4,4,0,0,57,3,0,10,26,24,7,9,6,0,80,5,0,3,18,29,12,6,10,0,77,4,3,3,3,45,10,10,7,0,81,3,0,0,0,28,8,3,5,0,47,0,0,0,3,10,3,3,0,0,17,0,0,0,0,3,4,0,3,0,10,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,25,40,57,84,152,47,35,24,3,464
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,4,9,10,3,0,0,0,41,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,3,6,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,4,4,0,0,7,0,44
101031016,0,3,3,0,9,0,4,0,0,19,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,6,14,73,77,192,154,98,125,155,17,909,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,0,12,3,3,0,0,0,3,0,21,0,3,6,3,3,4,0,0,0,19,4,5,10,17,3,3,8,0,0,57,3,0,3,14,17,4,11,3,0,56,0,3,8,9,10,16,7,12,0,62,0,3,0,9,13,13,8,8,0,60,0,0,0,4,9,5,7,3,0,33,3,3,0,3,11,5,3,0,0,23,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,3,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,9,12,38,32,67,78,50,45,37,8,371
