SA2_MAINCODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
101021007,20,9,3,102,72,15,32,4,9,132,69,8,26,13,7,119,75,21,32,24,3,159,29,9,36,25,4,102,21,10,29,24,6,86,12,3,18,18,0,50,3,0,23,22,3,51,533,88,259,138,28,1050
101021008,7,4,0,91,73,6,20,0,3,99,73,9,10,3,3,91,73,14,16,0,3,100,50,0,4,3,0,58,15,3,3,0,0,24,5,3,3,0,0,8,0,0,3,0,0,4,628,51,89,13,12,796
101021009,27,3,0,605,480,46,38,7,3,566,453,31,32,5,5,520,385,31,30,9,3,458,290,30,21,6,4,348,117,16,17,0,3,145,22,4,12,3,0,40,15,3,3,6,0,25,4780,292,252,50,35,5418
101021010,4,4,0,262,207,34,24,4,3,274,162,52,22,0,3,235,172,25,11,0,3,213,124,27,14,4,0,162,47,18,9,0,3,75,16,4,0,3,3,27,8,5,0,4,0,16,2279,260,119,37,22,2714
101021011,24,5,4,315,255,53,68,10,7,395,230,56,59,15,6,369,154,36,50,13,4,255,79,42,55,16,5,197,37,21,36,26,3,125,11,16,24,18,0,62,4,6,17,18,0,35,1916,369,409,142,31,2863
101021012,34,4,0,228,135,60,26,6,4,230,133,42,30,0,0,215,97,47,20,3,0,165,58,18,28,3,0,108,21,9,8,3,0,45,9,3,3,0,0,18,0,3,0,0,0,5,1567,308,201,19,13,2109
101031013,7,0,0,92,72,5,21,9,0,109,102,10,17,7,0,135,93,6,17,6,0,131,69,9,30,8,6,118,21,10,24,12,0,69,4,3,9,17,3,41,0,0,6,8,0,19,709,73,144,83,22,1029
101031014,32,5,0,363,334,31,42,3,0,412,346,35,37,5,3,428,324,32,39,3,4,407,197,25,32,4,7,262,85,16,13,7,3,124,29,3,14,11,3,58,10,3,7,11,3,32,2829,199,284,67,33,3415
101031015,23,4,0,68,38,12,20,11,0,83,39,6,30,10,3,90,16,18,20,10,4,70,22,8,22,9,0,67,9,5,23,15,0,56,0,3,21,23,0,45,0,3,21,18,6,48,280,76,196,111,18,684
101031016,53,13,3,418,292,58,58,5,0,412,287,51,59,16,4,410,229,47,59,16,3,359,131,25,48,13,6,229,63,15,28,11,8,124,20,14,12,17,0,64,12,4,5,12,0,34,3647,305,416,128,43,4532
101041017,43,5,5,461,379,33,56,3,7,478,392,45,58,10,6,511,395,49,56,4,8,505,278,30,52,14,3,373,85,22,17,8,3,135,26,11,0,5,0,36,8,5,7,3,3,27,3414,287,374,61,60,4188
101041018,22,3,0,116,82,13,28,7,0,127,116,17,32,3,5,173,124,15,34,3,0,180,82,8,34,3,0,126,29,9,26,3,0,61,0,12,7,3,0,19,4,3,6,0,0,11,780,100,224,29,15,1147
101041019,34,0,3,511,539,30,55,0,8,629,632,39,63,7,8,751,605,40,54,9,7,712,352,45,43,13,8,450,118,17,20,8,3,167,33,12,16,8,3,70,8,10,8,3,3,36,4361,257,360,68,57,5093
101041020,36,13,0,105,69,16,52,9,3,152,83,14,55,16,3,170,92,27,77,25,3,220,53,24,79,33,11,190,23,10,56,21,5,113,0,0,29,18,0,52,3,4,24,13,0,46,609,124,467,162,27,1401
101041021,12,4,0,95,70,7,16,3,0,94,78,3,16,0,0,98,57,7,14,3,0,78,28,9,13,0,0,47,7,7,3,0,0,15,4,0,3,0,0,9,0,0,3,0,0,4,512,48,109,13,8,697
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
101041023,8,3,8,150,125,7,13,3,3,152,139,13,11,4,0,171,155,17,19,3,8,204,104,13,14,3,3,135,37,15,6,7,0,68,13,3,5,4,0,25,7,0,0,7,0,19,1071,89,98,28,34,1318
101041024,23,0,3,73,50,15,20,8,0,93,38,15,22,8,3,85,51,9,28,7,0,94,36,12,26,3,0,81,19,4,22,12,0,53,3,3,13,5,0,29,0,0,3,0,0,6,424,77,179,58,11,745
101041025,53,6,10,341,314,51,53,8,8,436,316,62,67,4,4,457,329,69,80,10,8,491,219,41,64,12,4,339,77,28,41,15,8,167,18,10,11,5,4,52,6,4,5,0,0,21,2613,363,463,69,62,3575
101041026,51,3,7,340,311,27,47,6,0,391,354,34,62,8,0,468,378,31,69,3,6,490,275,24,44,9,9,353,72,18,21,4,0,117,22,3,9,3,0,33,10,3,3,0,3,23,2692,180,357,54,38,3322
101041027,55,6,4,218,190,27,41,5,0,270,228,22,52,7,3,315,239,27,70,17,8,358,198,37,75,20,5,340,57,28,48,12,3,147,15,3,22,9,3,56,4,0,14,3,4,26,1688,206,450,91,43,2471
