SA2_MAINCODE_2016,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20more_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20more_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
101021007,11,4,0,0,14,195,55,0,3,259
101021008,3,0,0,0,7,76,16,0,0,89
101021009,10,0,0,0,11,168,75,3,0,252
101021010,3,0,0,0,3,85,27,3,0,119
101021011,13,3,0,0,18,303,99,0,11,409
101021012,3,4,0,0,7,146,48,3,5,201
101031013,0,0,0,0,0,85,58,0,4,144
101031014,7,3,0,0,10,163,116,6,5,284
101031015,3,0,0,0,5,117,76,0,8,196
101031016,9,8,0,0,17,259,137,0,12,416
101041017,15,3,0,0,20,228,133,10,3,374
101041018,7,4,0,0,10,162,56,5,4,224
101041019,14,0,0,3,13,218,120,9,9,360
101041020,9,9,0,0,16,326,127,0,16,467
101041021,0,0,0,0,3,81,30,0,0,109
101041022,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,3,63,34,0,3,98
101041024,4,5,0,0,3,123,42,0,9,179
101041025,13,3,0,0,14,293,154,8,12,463
101041026,14,3,0,0,20,234,115,0,4,357
101041027,16,0,0,0,17,313,127,0,7,450
101051539,16,3,4,0,22,377,199,6,16,596
101051540,16,0,0,0,16,417,230,0,26,677
101061541,9,0,0,0,8,117,89,0,3,209
101061542,20,0,0,0,17,345,178,0,13,533
101061543,3,8,0,0,12,211,169,10,9,407
101061544,4,3,0,0,12,267,186,0,15,474
102011028,11,0,0,0,15,218,51,0,3,275
102011029,17,0,0,0,17,284,58,3,4,346
102011030,15,3,0,0,19,277,86,0,8,374
102011031,18,3,0,0,24,416,160,3,3,585
102011032,35,3,0,0,42,635,241,9,7,895
102011033,5,0,0,0,5,89,17,0,0,109
102011034,8,3,0,0,6,142,61,0,3,204
102011035,4,0,0,0,4,85,8,0,0,93
102011036,7,0,0,0,7,136,27,0,0,164
102011037,3,0,0,0,3,113,13,0,0,125
102011038,3,0,0,0,5,143,35,0,3,174
102011039,22,6,0,0,30,365,83,3,4,453
102011040,12,0,0,0,18,462,113,6,3,581
102011041,10,0,0,0,12,229,60,0,0,291
102011042,14,0,0,0,15,215,101,7,5,325
102011043,6,0,0,0,6,180,53,0,0,243
102021044,16,0,0,0,16,329,88,0,6,423
102021045,0,3,0,0,0,106,31,0,0,134
102021046,3,7,0,0,10,114,40,0,0,156
102021047,16,3,0,0,21,314,99,0,6,418
102021048,12,3,0,0,16,262,72,0,3,339
102021049,11,0,0,0,9,94,9,0,0,104
102021050,3,0,0,0,6,121,37,0,0,158
102021051,3,0,0,0,3,101,37,0,0,138
102021052,4,0,0,0,3,73,23,0,0,92
102021053,12,3,0,0,10,272,106,5,3,389
102021054,5,0,0,0,8,175,84,0,6,265
102021055,18,3,0,0,18,234,79,3,3,320
102021056,12,3,0,0,19,276,85,4,5,365
102021057,15,3,0,0,14,171,64,0,3,241
103011058,25,6,0,0,35,508,256,8,6,784
103011059,11,0,0,0,11,172,62,0,0,231
103011060,5,3,0,0,12,214,110,0,8,333
103011061,4,0,0,0,6,164,64,0,8,232
103021062,11,3,0,0,11,247,183,0,9,432
103021063,7,3,0,0,12,228,164,4,12,397
103021064,5,0,0,0,5,244,141,0,16,405
103021065,16,3,0,0,13,339,208,0,21,573
103021066,5,0,0,0,5,204,124,0,11,341
103021067,6,5,0,0,9,179,107,0,9,289
103021068,4,0,0,0,4,201,92,0,7,301
103021069,6,0,0,5,14,276,181,0,15,471
103031070,11,0,0,0,12,197,99,0,5,296
103031071,6,0,0,0,13,157,62,3,11,228
103031072,10,0,0,0,12,278,160,3,10,444
103031073,0,0,0,0,0,109,31,0,3,139
103031074,16,5,0,0,15,296,154,0,19,469
103031075,0,0,0,0,0,0,0,0,0,0
103041076,10,0,0,0,11,261,82,0,12,351
103041077,12,0,0,0,19,495,303,17,11,832
103041078,7,0,0,0,7,296,56,0,6,358
103041079,10,3,0,0,14,376,154,3,24,561
104011080,11,9,0,4,25,412,219,3,9,641
104011081,10,0,0,0,12,379,78,0,12,470
104011082,23,0,0,4,28,462,162,4,28,653
104021083,12,4,0,0,23,259,67,0,5,328
104021084,15,3,0,0,26,370,160,8,16,547
104021085,16,11,0,0,24,489,266,15,3,770
104021086,3,0,0,0,8,118,23,0,3,141
104021087,10,0,0,0,13,177,64,0,10,253
104021088,9,0,0,0,15,203,42,0,3,250
104021089,20,7,0,0,28,396,108,5,10,514
104021090,6,0,0,0,6,128,33,0,3,166
104021091,10,3,0,0,14,262,124,18,7,413
105011092,8,0,0,0,7,114,50,0,8,177
105011093,3,0,0,0,3,126,59,0,4,190
105011094,5,3,0,0,4,154,94,0,0,247
105011095,5,3,0,0,8,173,138,3,8,321
105011096,8,6,0,3,16,134,105,0,20,265
105021097,5,6,0,0,14,238,120,13,14,375
105021098,0,0,0,0,0,101,87,0,4,195
105031099,20,0,0,0,22,338,138,0,16,489
105031100,9,3,0,0,11,233,144,0,12,386
105031101,20,8,0,0,24,371,213,13,9,600
105031102,5,0,0,0,3,123,61,0,6,195
105031103,11,0,0,3,10,193,97,0,12,301
105031104,3,0,0,0,5,211,136,0,8,357
105031105,8,0,0,0,13,216,120,3,9,342
105031106,10,0,0,0,11,199,118,0,10,331
106011107,3,0,0,0,3,193,81,0,3,274
106011108,10,4,0,0,14,244,105,0,4,358
106011109,8,0,0,3,15,165,47,0,3,214
106011110,14,0,0,0,14,267,77,0,13,348
106011111,5,0,0,0,12,173,63,0,5,236
106011112,12,3,0,0,14,222,82,0,4,314
106011113,11,0,0,0,15,131,48,0,6,181
106021114,7,0,0,0,7,157,100,5,0,264
106021115,19,7,0,0,17,391,151,7,3,559
106021116,8,0,0,0,8,132,32,0,0,164
106021117,11,3,0,0,13,269,79,0,3,353
106021118,10,3,0,0,14,165,60,0,6,229
106031119,6,0,0,0,6,116,21,0,3,139
106031120,3,0,0,0,7,96,28,4,3,128
106031121,29,7,0,0,35,503,156,7,12,679
106031122,13,4,0,0,18,216,109,4,4,329
106031123,5,0,0,0,5,104,35,0,0,134
106031124,3,0,0,0,6,115,47,0,5,160
106031125,13,0,0,0,13,228,75,0,3,306
106041126,12,0,0,0,13,178,79,13,7,274
106041127,5,0,0,0,5,95,20,0,5,116
106041128,7,8,0,0,12,143,84,3,0,230
106041129,4,0,0,0,4,245,114,0,9,366
107011131,11,6,0,0,15,297,121,5,10,434
107011132,3,4,0,0,7,76,27,0,0,105
107011133,6,0,0,0,6,19,8,0,0,26
107011134,10,4,0,0,13,306,100,4,3,414
107011545,3,0,0,0,3,140,27,0,0,170
107011546,4,7,0,4,10,167,67,3,10,244
107011547,7,0,0,0,7,51,10,0,0,56
107021135,0,0,0,0,0,0,0,0,0,0
107031136,12,0,0,0,11,213,58,0,0,280
107031137,5,0,0,0,10,117,32,0,3,157
107031138,5,0,0,0,14,230,102,0,6,335
107031139,0,0,0,0,0,123,27,0,0,150
107031140,7,3,0,0,5,226,82,0,11,318
107031141,7,0,0,0,12,241,68,0,5,312
107031142,17,3,0,0,15,210,102,0,4,317
107031143,5,0,0,0,13,206,97,3,3,305
107041144,11,0,0,0,9,343,95,5,7,447
107041145,7,3,0,0,6,262,100,3,4,373
107041146,13,0,0,0,14,294,81,9,5,386
107041147,9,0,0,0,7,188,41,0,3,233
107041148,10,4,0,0,14,294,76,0,3,378
107041150,11,0,0,0,11,352,96,3,3,451
107041548,25,4,0,0,28,496,258,27,10,798
107041549,12,3,0,0,14,235,85,0,0,324
108011151,6,0,0,0,6,144,45,0,7,193
108011152,7,6,0,0,13,293,132,3,3,431
108011153,5,0,0,3,12,189,58,0,3,254
108011154,0,4,0,0,8,131,95,0,11,229
108021155,14,0,0,3,14,284,112,4,14,410
108021156,12,0,0,0,15,261,83,0,15,357
108021157,3,3,0,0,10,124,70,0,8,209
108021158,4,3,0,0,7,154,78,0,0,235
108021159,3,0,0,0,3,226,60,0,9,296
108021160,6,3,0,0,6,133,71,0,3,209
108031161,0,0,0,0,0,21,11,0,0,29
108041162,14,4,0,0,18,356,137,0,8,508
108041163,25,4,0,0,30,677,221,15,6,922
108041164,26,4,0,0,37,509,273,8,3,791
108041165,6,0,0,0,11,241,55,0,0,290
108041166,12,6,0,0,16,248,114,3,3,373
108051167,11,3,0,0,11,184,65,0,6,257
108051168,8,4,0,0,11,236,56,3,5,300
108051169,19,5,0,0,28,389,244,9,10,643
108051170,14,5,0,0,19,352,74,0,9,438
108051171,0,0,0,0,0,82,39,3,3,130
109011172,13,0,0,0,13,247,77,7,8,336
109011173,5,0,0,3,13,174,66,3,3,236
109011174,17,0,0,0,21,400,224,13,5,648
109011175,10,3,0,0,15,410,176,3,11,599
109011176,13,0,0,0,14,210,119,0,3,333
109021177,5,4,0,0,3,103,59,0,4,165
109021178,6,4,0,0,12,121,77,3,0,197
109021179,4,3,0,0,3,114,115,3,3,235
109031180,8,0,0,0,16,117,65,3,0,185
109031181,4,0,0,0,9,186,84,0,9,277
109031182,3,3,0,0,6,143,87,9,3,233
109031183,7,0,0,0,7,309,166,3,5,482
109031184,10,3,0,0,9,104,39,0,3,149
109031185,9,0,0,0,15,282,139,0,8,428
110011186,26,0,0,0,30,457,239,19,14,736
110011187,0,0,0,0,0,201,130,3,9,348
110011188,8,0,0,0,8,231,79,0,17,330
110011189,5,0,0,0,3,194,119,0,12,330
110021190,5,3,0,0,10,295,152,3,6,464
110021191,16,3,0,3,22,301,154,3,13,469
110021192,4,0,0,0,4,156,77,0,3,235
110021193,6,0,0,0,9,265,113,0,3,386
110021194,11,0,0,0,11,280,116,0,10,408
110031195,8,0,0,0,12,173,89,9,6,276
110031196,10,7,0,0,11,225,209,7,14,450
110031197,10,0,0,0,10,147,87,3,6,236
110031198,7,0,0,0,9,187,80,0,8,276
110041199,12,3,0,0,11,163,99,3,7,267
110041200,7,3,0,0,5,192,82,0,0,281
110041201,8,4,0,0,14,284,112,0,10,409
110041202,10,3,0,0,19,314,148,0,7,469
110041203,22,14,0,0,34,364,202,16,8,585
