SA2_MAINCODE_2016,Pro_650_799_A_25_34,Pro_650_799_A_35_44,Pro_650_799_A_45_54,Pro_650_799_A_55_64,Pro_650_799_A_65_74,Pro_650_799_A_75ov,Pro_650_799_Tot,Pro_800_999_A_15_19,Pro_800_999_A_20_24,Pro_800_999_A_25_34,Pro_800_999_A_35_44,Pro_800_999_A_45_54,Pro_800_999_A_55_64,Pro_800_999_A_65_74,Pro_800_999_A_75ov,Pro_800_999_Tot,Pro_1000_1249_A_15_19,Pro_1000_1249_A_20_24,Pro_1000_1249_A_25_34,Pro_1000_1249_A_35_44,Pro_1000_1249_A_45_54,Pro_1000_1249_A_55_64,Pro_1000_1249_A_65_74,Pro_1000_1249_A_75ov,Pro_1000_1249_Tot,Pro_1250_1499_A_15_19,Pro_1250_1499_A_20_24,Pro_1250_1499_A_25_34,Pro_1250_1499_A_35_44,Pro_1250_1499_A_45_54,Pro_1250_1499_A_55_64,Pro_1250_1499_A_65_74,Pro_1250_1499_A_75ov,Pro_1250_1499_Tot,Pro_1500_1749_A_15_19,Pro_1500_1749_A_20_24,Pro_1500_1749_A_25_34,Pro_1500_1749_A_35_44,Pro_1500_1749_A_45_54,Pro_1500_1749_A_55_64,Pro_1500_1749_A_65_74,Pro_1500_1749_A_75ov,Pro_1500_1749_Tot,Pro_1750_1999_A_15_19,Pro_1750_1999_A_20_24,Pro_1750_1999_A_25_34,Pro_1750_1999_A_35_44,Pro_1750_1999_A_45_54,Pro_1750_1999_A_55_64,Pro_1750_1999_A_65_74,Pro_1750_1999_A_75ov,Pro_1750_1999_Tot,Pro_2000_2999_A_15_19,Pro_2000_2999_A_20_24,Pro_2000_2999_A_25_34,Pro_2000_2999_A_35_44,Pro_2000_2999_A_45_54,Pro_2000_2999_A_55_64,Pro_2000_2999_A_65_74,Pro_2000_2999_A_75ov,Pro_2000_2999_Tot,Pro_3000mo_A_15_19,Pro_3000mo_A_20_24,Pro_3000mo_A_25_34,Pro_3000mo_A_35_44,Pro_3000mo_A_45_54,Pro_3000mo_A_55_64,Pro_3000mo_A_65_74,Pro_3000mo_A_75ov,Pro_3000mo_Tot,Pro_PINS_A_15_19,Pro_PINS_A_20_24,Pro_PINS_A_25_34,Pro_PINS_A_35_44,Pro_PINS_A_45_54,Pro_PINS_A_55_64,Pro_PINS_A_65_74,Pro_PINS_A_75ov,Pro_PINS_Tot,Pro_Tot_A_15_19,Pro_Tot_A_20_24,Pro_Tot_A_25_34,Pro_Tot_A_35_44,Pro_Tot_A_45_54,Pro_Tot_A_55_64,Pro_Tot_A_65_74,Pro_Tot_A_75ov,Pro_Tot_Tot,TaTW_NNI_A_15_19,TaTW_NNI_A_20_24,TaTW_NNI_A_25_34,TaTW_NNI_A_35_44,TaTW_NNI_A_45_54,TaTW_NNI_A_55_64,TaTW_NNI_A_65_74,TaTW_NNI_A_75ov,TaTW_NNI_Tot,TaTW_1_149_A_15_19,TaTW_1_149_A_20_24,TaTW_1_149_A_25_34,TaTW_1_149_A_35_44,TaTW_1_149_A_45_54,TaTW_1_149_A_55_64,TaTW_1_149_A_65_74,TaTW_1_149_A_75ov,TaTW_1_149_Tot,TaTW_150_299_A_15_19,TaTW_150_299_A_20_24,TaTW_150_299_A_25_34,TaTW_150_299_A_35_44,TaTW_150_299_A_45_54,TaTW_150_299_A_55_64,TaTW_150_299_A_65_74,TaTW_150_299_A_75ov,TaTW_150_299_Tot,TaTW_300_399_A_15_19,TaTW_300_399_A_20_24,TaTW_300_399_A_25_34,TaTW_300_399_A_35_44,TaTW_300_399_A_45_54,TaTW_300_399_A_55_64,TaTW_300_399_A_65_74,TaTW_300_399_A_75ov,TaTW_300_399_Tot,TaTW_400_499_A_15_19,TaTW_400_499_A_20_24,TaTW_400_499_A_25_34,TaTW_400_499_A_35_44,TaTW_400_499_A_45_54,TaTW_400_499_A_55_64,TaTW_400_499_A_65_74,TaTW_400_499_A_75ov,TaTW_400_499_Tot,TaTW_500_649_A_15_19,TaTW_500_649_A_20_24,TaTW_500_649_A_25_34,TaTW_500_649_A_35_44,TaTW_500_649_A_45_54,TaTW_500_649_A_55_64,TaTW_500_649_A_65_74,TaTW_500_649_A_75ov,TaTW_500_649_Tot,TaTW_650_799_A_15_19,TaTW_650_799_A_20_24,TaTW_650_799_A_25_34,TaTW_650_799_A_35_44,TaTW_650_799_A_45_54,TaTW_650_799_A_55_64,TaTW_650_799_A_65_74,TaTW_650_799_A_75ov,TaTW_650_799_Tot,TaTW_800_999_A_15_19,TaTW_800_999_A_20_24,TaTW_800_999_A_25_34,TaTW_800_999_A_35_44,TaTW_800_999_A_45_54,TaTW_800_999_A_55_64,TaTW_800_999_A_65_74,TaTW_800_999_A_75ov,TaTW_800_999_Tot,TaTW_1000_1249_A_15_19,TaTW_1000_1249_A_20_24,TaTW_1000_1249_A_25_34,TaTW_1000_1249_A_35_44,TaTW_1000_1249_A_45_54,TaTW_1000_1249_A_55_64,TaTW_1000_1249_A_65_74,TaTW_1000_1249_A_75ov,TaTW_1000_1249_Tot,TaTW_1250_1499_A_15_19,TaTW_1250_1499_A_20_24,TaTW_1250_1499_A_25_34,TaTW_1250_1499_A_35_44,TaTW_1250_1499_A_45_54,TaTW_1250_1499_A_55_64,TaTW_1250_1499_A_65_74,TaTW_1250_1499_A_75ov,TaTW_1250_1499_Tot,TaTW_1500_1749_A_15_19,TaTW_1500_1749_A_20_24,TaTW_1500_1749_A_25_34,TaTW_1500_1749_A_35_44,TaTW_1500_1749_A_45_54,TaTW_1500_1749_A_55_64,TaTW_1500_1749_A_65_74,TaTW_1500_1749_A_75ov,TaTW_1500_1749_Tot,TaTW_1750_1999_A_15_19,TaTW_1750_1999_A_20_24,TaTW_1750_1999_A_25_34,TaTW_1750_1999_A_35_44,TaTW_1750_1999_A_45_54,TaTW_1750_1999_A_55_64,TaTW_1750_1999_A_65_74,TaTW_1750_1999_A_75ov,TaTW_1750_1999_Tot,TaTW_2000_2999_A_15_19,TaTW_2000_2999_A_20_24,TaTW_2000_2999_A_25_34,TaTW_2000_2999_A_35_44
101021007,0,0,3,3,3,0,11,0,0,0,3,9,3,5,0,20,0,7,3,3,7,6,3,0,27,0,0,3,7,3,0,3,0,19,0,0,0,5,0,8,0,0,15,0,0,0,3,7,3,0,0,20,0,0,3,6,4,3,3,0,20,0,0,0,0,0,3,3,3,9,0,0,0,0,0,0,0,0,0,0,8,19,26,42,44,20,6,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,4,3,0,0,0,0,3,0,0,14,3,0,0,3,5,10,0,0,17,0,0,0,5,3,0,0,0,12,0,0,0,5,0,3,0,0,11,0,0,3,7,0,3,0,0,14,0,0,7,0,3,0,0,0,15,0,0,3,4,0,0,0,0,12,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0
101021008,3,0,3,3,0,0,16,0,3,3,0,0,0,0,0,8,0,3,5,5,3,3,3,0,22,0,0,18,7,3,9,0,0,42,0,0,3,8,4,9,0,0,31,0,0,0,7,10,23,3,0,52,0,0,4,6,7,12,0,0,27,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,3,4,7,34,42,49,68,12,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,10,0,8,3,3,0,0,0,0,17,0,3,3,0,3,3,0,0,16,0,0,3,0,3,0,0,0,5,0,0,9,5,0,0,0,0,12,0,0,3,0,0,0,0,0,7,0,0,0,3,6,0,0,0,11,0,0,0,0
101021009,13,9,17,14,3,3,61,0,4,21,20,18,18,7,0,91,0,10,36,34,26,11,3,0,127,0,7,64,32,19,20,3,0,151,0,7,42,36,37,37,8,0,168,0,0,19,31,38,50,3,0,139,0,0,15,45,44,40,3,0,150,0,0,3,16,21,12,7,0,58,0,0,3,5,0,0,3,0,7,6,49,224,263,239,208,52,7,1049,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,9,0,3,4,5,0,0,0,0,12,6,3,3,3,3,0,0,0,14,13,11,3,9,3,3,0,0,40,14,10,7,9,8,0,3,0,60,8,33,10,9,11,9,0,0,83,0,21,28,27,23,6,8,4,121,0,18,51,21,20,17,0,0,130,0,4,21,18,6,8,3,0,65,0,0,12,17,18,7,3,0,65,0,0,12,7,6,0,3,0,28,0,0,20,15
101021010,3,0,0,0,0,0,11,0,0,4,0,4,0,3,0,15,0,6,17,5,0,0,0,0,33,0,5,12,6,4,4,0,0,29,0,0,6,8,0,0,3,0,22,0,0,0,7,9,3,0,0,15,0,0,3,12,5,5,4,0,20,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,8,60,39,28,23,15,3,171,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,4,3,0,19,12,4,8,4,3,0,0,0,25,14,18,9,0,0,5,0,0,43,6,23,27,3,5,3,0,0,69,4,18,29,23,20,12,4,0,118,0,22,57,33,30,17,3,0,160,0,9,51,21,16,15,0,0,113,0,6,25,25,17,12,0,0,84,0,0,14,13,7,4,0,0,41,0,0,10,11
101021011,0,5,0,3,6,0,16,0,0,11,5,6,9,3,0,31,0,0,8,7,10,11,0,0,36,0,3,18,12,8,8,0,0,49,0,0,13,8,14,7,4,0,54,0,0,9,12,16,10,0,0,38,0,0,12,24,29,9,10,0,91,0,0,7,21,18,7,5,0,52,0,0,0,0,0,0,0,0,0,0,7,80,109,120,84,34,4,442,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,7,0,0,5,4,4,4,0,21,3,3,0,0,3,3,3,0,19,10,3,0,0,0,0,6,0,21,11,6,8,0,6,9,0,0,38,0,6,12,7,9,6,5,0,36,0,7,19,17,6,3,0,0,54,0,6,22,24,22,14,3,0,81,0,9,11,13,9,4,5,0,48,0,0,14,10,17,4,3,0,50,0,0,3,4,8,0,0,0,17,0,0,5,13
101021012,5,3,0,0,0,0,8,0,5,4,0,3,4,0,0,16,0,0,9,12,9,8,4,0,39,0,4,9,11,8,3,0,0,33,0,0,10,8,0,10,0,0,31,0,0,5,12,9,3,0,0,28,0,0,3,11,13,5,0,0,29,0,0,3,5,7,9,0,0,26,0,0,0,0,0,0,0,0,0,10,22,57,64,50,45,12,0,259,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,0,0,0,6,16,7,0,3,3,3,0,0,32,9,13,3,3,5,3,0,0,42,0,18,8,4,4,7,0,0,50,0,25,20,8,12,12,0,0,84,0,17,33,27,19,6,0,0,97,0,16,42,25,10,10,0,0,100,0,3,25,7,25,3,3,0,71,0,4,16,8,14,3,0,0,46,0,0,9,12
101031013,7,0,0,6,0,0,10,0,0,0,3,3,0,0,0,14,0,0,8,0,4,3,0,0,16,0,0,0,7,3,5,0,0,23,0,0,3,3,3,5,0,0,15,0,0,0,4,6,8,3,0,16,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,3,26,18,24,32,5,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,3,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,5,0,0,0,3,0,4,0,0,10,3,0,0,0,8,3,0,0,12,6,3,7,0,4,4,3,0,20,0,4,4,3,0,0,0,0,14,0,0,0,3,0,0,0,0,13,0,0,0,3,0,7,0,0,6,0,0,0,0,0,0,0,0,5,0,0,3,0
101031014,13,11,3,8,3,0,44,0,8,16,10,8,17,5,0,59,0,10,22,11,13,18,0,0,79,0,5,21,16,27,14,7,0,97,0,3,15,15,22,19,3,0,88,0,0,6,21,29,23,8,0,90,0,0,13,28,19,16,0,0,78,0,0,7,5,12,11,0,0,29,0,0,3,0,0,0,0,0,9,4,31,141,136,165,143,29,6,660,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,13,8,0,0,0,0,0,0,0,13,7,8,3,0,8,6,5,0,34,6,10,12,12,7,6,3,0,57,0,16,8,11,9,5,3,0,52,0,8,22,12,14,9,5,0,73,0,3,19,4,17,6,0,0,52,0,4,9,8,9,4,0,0,34,0,0,4,6,7,0,0,0,20,0,0,4,3,3,0,0,0,15,0,0,5,6
101031015,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,14,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,8,0,0,0,0,5,0,0,0,3,0,0,0,0,3,3,0,0,10,0,0,0,0,3,0,0,0,8,0,0,4,4,3,3,0,0,17,0,0,4,4,4,0,0,0,18,0,0,0,3,3,0,0,0,6,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,3
101031016,3,13,4,9,0,0,32,0,8,8,14,7,3,0,0,42,0,3,19,19,10,11,0,0,65,0,0,17,14,14,11,0,0,55,0,0,11,12,14,8,0,0,37,0,0,5,17,17,10,0,0,53,0,0,5,17,13,7,0,0,40,0,0,0,3,5,0,0,0,11,0,0,3,3,0,0,0,0,6,3,17,84,119,94,62,16,0,393,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,9,0,3,0,0,0,0,0,0,5,0,6,6,3,4,6,0,0,29,6,17,3,0,6,3,0,0,28,3,16,16,8,7,5,0,0,62,3,27,29,17,13,10,0,0,101,5,30,49,15,15,6,0,0,114,0,11,37,29,13,17,3,0,111,0,0,17,20,13,3,0,0,53,0,3,10,14,10,0,0,0,41,0,0,3,8,5,3,0,0,20,0,0,4,7
