SA2_MAINCODE_2016,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20more_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20more_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20more_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20more_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20more_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20more_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20more_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20more_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20more_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20more_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20more_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20more_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20more_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20more_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20more_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20more_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20more_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20more_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20more_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20more_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20more_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20more_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20more_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20more_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20more_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20more_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20more_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20more_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20more_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20more_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
601021009,3,37,5,0,43,0,5,0,0,6,4,18,0,0,19,0,0,0,0,0,0,20,0,0,20,0,3,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,81,7,0,101,3,10,0,0,17,9,0,0,0,9,22,6,0,0,35,10,3,0,0,15,3,0,0,0,3,4,0,0,0,4,8,3,0,0,9,8,3,0,0,11,0,0,0,0,0,74,30,0,0,105,6,49,5,0,59,10,5,0,0,12,27,27,0,0,54,10,4,0,0,18,3,20,0,0,20,4,3,0,0,9,13,6,0,0,17,8,3,0,0,8,3,0,0,0,0,83,104,13,4,202
601021010,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,9,0,3,0,0,3,9,0,0,0,9,5,0,0,0,3,0,0,0,0,3,3,0,0,0,3,0,3,0,0,3,4,0,0,0,3,7,0,0,0,9,0,0,0,0,0,29,4,0,3,39,0,9,0,0,11,9,0,0,0,9,5,0,0,0,3,0,0,0,0,3,3,0,0,0,7,0,3,0,0,3,6,0,0,0,8,7,3,0,0,10,0,0,0,0,0,29,13,0,3,44
601021011,3,5,3,0,14,0,0,0,0,5,5,0,0,0,6,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,10,18,3,0,32,12,4,0,0,11,10,0,0,0,10,34,9,0,0,42,4,0,0,0,4,0,3,0,0,5,3,0,0,0,3,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,60,21,0,0,83,14,9,3,0,27,11,0,0,0,14,38,11,0,0,41,4,0,0,0,4,3,9,0,0,12,3,0,0,0,3,0,3,0,0,4,8,5,0,0,9,0,0,0,0,0,72,35,0,0,111
601021012,4,11,3,0,21,3,14,0,0,17,4,5,0,0,7,0,0,0,0,0,7,7,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,32,3,0,51,13,8,0,0,15,24,3,0,0,31,40,12,0,0,49,8,0,0,0,6,3,3,0,0,7,0,0,0,0,3,6,0,0,0,7,7,4,0,0,10,0,0,0,0,0,94,26,0,3,127,19,19,3,0,36,28,14,0,0,44,39,16,0,0,57,8,0,0,0,6,7,8,0,0,15,0,3,0,0,6,6,0,0,0,10,10,4,0,0,9,3,0,0,0,3,112,60,4,3,181
601031013,3,7,0,0,15,0,7,0,0,5,0,4,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,13,28,0,0,41,7,3,0,0,8,9,0,0,0,9,24,7,0,0,25,7,0,0,0,7,5,0,0,0,8,3,0,0,0,3,12,0,0,0,11,4,3,0,0,8,0,0,0,0,0,59,11,0,0,76,7,11,0,0,21,5,7,0,0,14,24,12,0,0,33,7,0,0,0,7,4,0,0,0,6,3,0,0,0,4,12,0,0,0,9,5,3,0,0,9,0,0,0,0,0,73,40,3,0,115
601031014,0,4,0,0,5,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,18,4,3,0,0,3,11,0,0,0,13,22,3,0,0,23,8,0,0,0,7,3,0,0,0,3,6,4,0,0,8,3,0,0,0,4,5,0,0,0,11,3,0,0,0,3,54,13,0,3,70,3,6,0,0,6,10,3,0,0,10,23,9,0,0,34,8,0,0,0,7,3,3,0,0,3,6,3,0,0,5,3,0,0,0,4,5,0,0,0,9,3,0,0,0,3,61,26,0,3,91
601031015,0,6,0,0,11,0,0,0,0,0,3,4,0,0,9,3,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,14,18,3,0,28,11,7,0,0,21,11,11,0,0,25,36,13,0,0,49,11,3,0,0,9,4,4,0,0,12,3,3,0,0,8,4,0,0,0,10,8,0,0,0,8,0,0,0,0,0,90,41,0,0,129,9,19,0,0,26,11,11,0,0,20,40,17,0,0,55,11,3,0,0,12,4,3,0,3,11,3,0,0,0,6,4,4,0,0,8,12,0,0,0,15,0,0,0,0,0,100,51,3,3,164
601031016,5,51,26,0,87,3,8,0,0,8,10,13,0,0,26,0,0,0,0,0,8,20,4,0,33,0,12,0,0,12,0,3,0,0,3,3,0,0,0,5,0,0,0,0,0,27,110,40,3,183,13,13,3,0,31,15,0,0,0,15,35,21,0,0,52,14,0,0,0,14,3,0,0,0,6,0,4,0,0,8,12,0,0,0,12,7,8,0,0,13,0,0,0,0,0,108,45,8,0,152,18,65,31,0,120,20,8,0,0,26,41,37,3,0,83,14,0,0,0,15,15,23,4,0,39,0,12,0,0,13,12,0,3,0,19,10,10,0,0,16,0,0,0,0,0,130,158,44,3,333
601031017,0,49,8,0,66,9,5,4,0,18,8,20,0,0,27,3,3,0,0,6,3,14,0,0,18,3,6,4,0,17,3,3,0,0,4,0,3,0,0,3,0,0,0,0,0,28,111,21,5,170,19,24,0,0,46,22,10,0,0,39,52,20,0,0,70,28,0,0,0,28,5,10,0,0,19,8,5,0,0,14,14,10,0,0,19,17,9,0,0,22,4,3,0,0,3,164,80,3,0,256,20,75,14,0,105,33,18,3,0,55,57,40,0,3,105,30,3,0,0,32,5,28,0,0,35,15,14,4,0,33,13,11,0,0,23,15,10,0,0,21,6,3,0,0,7,192,194,26,5,421
601031018,3,3,0,0,14,0,3,3,0,8,5,8,0,0,11,0,0,0,0,0,3,6,0,0,6,0,0,0,0,3,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,15,23,14,0,53,3,5,0,0,12,8,0,0,0,7,24,6,0,0,25,11,0,0,0,13,0,3,0,0,4,0,3,0,0,8,3,0,0,0,3,11,0,0,0,12,0,0,0,0,0,70,19,0,0,88,6,13,0,0,21,8,4,3,0,19,31,9,0,0,38,11,0,0,0,13,4,6,3,0,11,5,4,3,0,12,9,0,0,0,7,8,0,0,0,15,3,0,0,0,3,83,43,10,0,136
