SA2_MAINCODE_2016,Mng_NNI_A_15_19,Mng_NNI_A_20_24,Mng_NNI_A_25_34,Mng_NNI_A_35_44,Mng_NNI_A_45_54,Mng_NNI_A_55_64,Mng_NNI_A_65_74,Mng_NNI_A_75ov,Mng_NNI_Tot,Mng_1_149_A_15_19,Mng_1_149_A_20_24,Mng_1_149_A_25_34,Mng_1_149_A_35_44,Mng_1_149_A_45_54,Mng_1_149_A_55_64,Mng_1_149_A_65_74,Mng_1_149_A_75ov,Mng_1_149_Tot,Mng_150_299_A_15_19,Mng_150_299_A_20_24,Mng_150_299_A_25_34,Mng_150_299_A_35_44,Mng_150_299_A_45_54,Mng_150_299_A_55_64,Mng_150_299_A_65_74,Mng_150_299_A_75ov,Mng_150_299_Tot,Mng_300_399_A_15_19,Mng_300_399_A_20_24,Mng_300_399_A_25_34,Mng_300_399_A_35_44,Mng_300_399_A_45_54,Mng_300_399_A_55_64,Mng_300_399_A_65_74,Mng_300_399_A_75ov,Mng_300_399_Tot,Mng_400_499_A_15_19,Mng_400_499_A_20_24,Mng_400_499_A_25_34,Mng_400_499_A_35_44,Mng_400_499_A_45_54,Mng_400_499_A_55_64,Mng_400_499_A_65_74,Mng_400_499_A_75ov,Mng_400_499_Tot,Mng_500_649_A_15_19,Mng_500_649_A_20_24,Mng_500_649_A_25_34,Mng_500_649_A_35_44,Mng_500_649_A_45_54,Mng_500_649_A_55_64,Mng_500_649_A_65_74,Mng_500_649_A_75ov,Mng_500_649_Tot,Mng_650_799_A_15_19,Mng_650_799_A_20_24,Mng_650_799_A_25_34,Mng_650_799_A_35_44,Mng_650_799_A_45_54,Mng_650_799_A_55_64,Mng_650_799_A_65_74,Mng_650_799_A_75ov,Mng_650_799_Tot,Mng_800_999_A_15_19,Mng_800_999_A_20_24,Mng_800_999_A_25_34,Mng_800_999_A_35_44,Mng_800_999_A_45_54,Mng_800_999_A_55_64,Mng_800_999_A_65_74,Mng_800_999_A_75ov,Mng_800_999_Tot,Mng_1000_1249_A_15_19,Mng_1000_1249_A_20_24,Mng_1000_1249_A_25_34,Mng_1000_1249_A_35_44,Mng_1000_1249_A_45_54,Mng_1000_1249_A_55_64,Mng_1000_1249_A_65_74,Mng_1000_1249_A_75ov,Mng_1000_1249_Tot,Mng_1250_1499_A_15_19,Mng_1250_1499_A_20_24,Mng_1250_1499_A_25_34,Mng_1250_1499_A_35_44,Mng_1250_1499_A_45_54,Mng_1250_1499_A_55_64,Mng_1250_1499_A_65_74,Mng_1250_1499_A_75ov,Mng_1250_1499_Tot,Mng_1500_1749_A_15_19,Mng_1500_1749_A_20_24,Mng_1500_1749_A_25_34,Mng_1500_1749_A_35_44,Mng_1500_1749_A_45_54,Mng_1500_1749_A_55_64,Mng_1500_1749_A_65_74,Mng_1500_1749_A_75ov,Mng_1500_1749_Tot,Mng_1750_1999_A_15_19,Mng_1750_1999_A_20_24,Mng_1750_1999_A_25_34,Mng_1750_1999_A_35_44,Mng_1750_1999_A_45_54,Mng_1750_1999_A_55_64,Mng_1750_1999_A_65_74,Mng_1750_1999_A_75ov,Mng_1750_1999_Tot,Mng_2000_2999_A_15_19,Mng_2000_2999_A_20_24,Mng_2000_2999_A_25_34,Mng_2000_2999_A_35_44,Mng_2000_2999_A_45_54,Mng_2000_2999_A_55_64,Mng_2000_2999_A_65_74,Mng_2000_2999_A_75ov,Mng_2000_2999_Tot,Mng_3000mo_A_15_19,Mng_3000mo_A_20_24,Mng_3000mo_A_25_34,Mng_3000mo_A_35_44,Mng_3000mo_A_45_54,Mng_3000mo_A_55_64,Mng_3000mo_A_65_74,Mng_3000mo_A_75ov,Mng_3000mo_Tot,Mng_PINS_A_15_19,Mng_PINS_A_20_24,Mng_PINS_A_25_34,Mng_PINS_A_35_44,Mng_PINS_A_45_54,Mng_PINS_A_55_64,Mng_PINS_A_65_74,Mng_PINS_A_75ov,Mng_PINS_Tot,Mng_Tot_A_15_19,Mng_Tot_A_20_24,Mng_Tot_A_25_34,Mng_Tot_A_35_44,Mng_Tot_A_45_54,Mng_Tot_A_55_64,Mng_Tot_A_65_74,Mng_Tot_A_75ov,Mng_Tot_Tot,Pro_NNI_A_15_19,Pro_NNI_A_20_24,Pro_NNI_A_25_34,Pro_NNI_A_35_44,Pro_NNI_A_45_54,Pro_NNI_A_55_64,Pro_NNI_A_65_74,Pro_NNI_A_75ov,Pro_NNI_Tot,Pro_1_149_A_15_19,Pro_1_149_A_20_24,Pro_1_149_A_25_34,Pro_1_149_A_35_44,Pro_1_149_A_45_54,Pro_1_149_A_55_64,Pro_1_149_A_65_74,Pro_1_149_A_75ov,Pro_1_149_Tot,Pro_150_299_A_15_19,Pro_150_299_A_20_24,Pro_150_299_A_25_34,Pro_150_299_A_35_44,Pro_150_299_A_45_54,Pro_150_299_A_55_64,Pro_150_299_A_65_74,Pro_150_299_A_75ov,Pro_150_299_Tot,Pro_300_399_A_15_19,Pro_300_399_A_20_24,Pro_300_399_A_25_34,Pro_300_399_A_35_44,Pro_300_399_A_45_54,Pro_300_399_A_55_64,Pro_300_399_A_65_74,Pro_300_399_A_75ov,Pro_300_399_Tot,Pro_400_499_A_15_19,Pro_400_499_A_20_24,Pro_400_499_A_25_34,Pro_400_499_A_35_44,Pro_400_499_A_45_54,Pro_400_499_A_55_64,Pro_400_499_A_65_74,Pro_400_499_A_75ov,Pro_400_499_Tot,Pro_500_649_A_15_19,Pro_500_649_A_20_24,Pro_500_649_A_25_34,Pro_500_649_A_35_44,Pro_500_649_A_45_54,Pro_500_649_A_55_64,Pro_500_649_A_65_74,Pro_500_649_A_75ov,Pro_500_649_Tot,Pro_650_799_A_15_19,Pro_650_799_A_20_24
101021007,0,0,0,0,10,10,8,0,24,0,0,0,0,0,3,5,0,7,0,0,0,3,0,9,3,5,22,0,0,3,3,3,3,10,4,24,0,0,0,4,0,7,5,3,25,0,0,0,4,3,7,13,4,35,0,0,0,0,6,6,8,3,28,0,0,4,0,10,9,0,0,28,0,0,3,0,6,10,7,3,28,0,0,3,0,3,8,6,0,25,0,0,0,3,4,3,0,3,19,0,0,0,3,4,0,4,0,5,0,0,0,0,7,8,3,6,20,0,0,0,0,0,6,6,0,12,0,0,0,0,3,5,4,3,9,3,0,17,28,57,83,73,34,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,5,0,0,4,0,0,4,0,3,13,0,0
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,3,0,3,0,0,8,0,0,0,3,0,0,0,0,3,0,0,3,0,4,0,0,0,13,0,0,0,0,0,0,0,0,8,0,0,0,0,3,4,0,0,7,0,0,0,0,6,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,16,18,15,3,0,65,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,4,0,0,10,0,0,0,0,3,0,0,0,8,0,0
101021009,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,7,0,0,0,4,0,3,0,0,7,0,0,0,7,0,0,0,0,17,0,7,7,8,3,8,0,0,30,0,5,17,9,7,11,0,0,57,0,4,19,21,21,11,0,0,66,0,0,11,12,12,12,3,0,53,0,0,7,9,14,8,5,0,49,0,0,6,7,8,13,0,0,41,0,0,16,46,55,19,3,0,140,0,0,3,9,23,13,0,0,53,0,0,0,0,0,0,0,0,3,3,17,87,143,151,102,17,7,528,0,0,0,3,0,0,0,0,3,0,9,0,3,0,0,0,0,13,0,3,3,3,3,6,0,0,12,0,0,3,5,0,5,0,0,19,0,0,0,3,3,0,0,0,19,0,3,10,3,8,6,3,0,34,0,7
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,12,0,0,8,5,3,3,0,0,18,0,4,9,4,3,10,0,3,28,0,6,13,10,15,8,3,0,65,0,3,5,16,18,3,0,0,48,0,0,10,3,11,6,0,0,29,0,0,8,11,16,7,3,0,45,0,0,11,25,18,8,3,0,69,0,0,6,9,13,8,0,0,36,0,0,0,0,0,0,0,0,9,3,16,85,94,98,56,15,7,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,6,0,0,3,0,0,5,0,0
101021011,0,0,0,3,3,0,8,0,19,0,0,0,0,3,4,0,0,15,0,0,0,3,0,8,3,0,11,0,0,3,0,7,6,3,3,26,0,0,0,0,7,9,3,0,20,0,0,4,0,4,8,13,3,33,0,3,7,3,4,6,5,0,30,0,0,5,3,16,14,3,7,55,0,3,7,12,12,10,13,3,54,0,3,11,9,10,4,3,0,46,0,0,11,15,12,11,0,0,52,0,0,13,19,6,8,0,0,54,0,0,31,53,69,29,3,0,189,0,0,7,38,53,16,4,0,117,0,0,0,0,5,3,4,0,7,0,17,98,163,217,140,70,26,731,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,15,0,0,0,4,3,3,0,0,13,0,0,0,3,3,3,0,0,13,0,0,0,3,3,3,3,0,12,0,0,0,3,5,3,4,0,17,0,0
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,7,0,0,3,4,3,0,0,0,15,0,0,0,3,0,3,0,0,16,0,0,13,8,0,4,3,0,28,0,0,10,8,10,3,0,0,23,0,0,6,22,14,5,0,0,50,0,0,0,11,7,4,0,0,22,0,0,10,18,20,6,0,0,55,0,0,0,10,15,11,0,0,30,0,0,0,0,0,0,0,0,0,0,5,45,75,83,44,9,0,259,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,0,3,3,0,0,0,0,12,0,0,0,3,0,0,0,0,7,0,3,0,4,0,0,0,0,12,0,0,5,0,0,0,0,0,13,0,0
101031013,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,0,6,0,3,3,0,0,5,0,0,14,0,0,0,3,0,3,3,0,6,0,0,0,0,0,7,3,0,7,0,0,3,3,10,4,3,0,22,0,0,0,4,6,3,8,0,20,0,0,4,3,10,6,14,0,35,0,0,5,0,9,8,8,0,37,0,0,0,3,7,10,5,3,27,0,0,3,6,3,3,0,0,17,0,0,0,0,9,5,0,0,18,0,0,0,9,5,7,0,0,22,0,0,0,7,3,0,0,0,11,0,0,0,0,0,4,0,0,3,0,7,16,37,62,68,60,13,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0
101031014,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,3,3,3,0,10,0,0,0,6,3,0,3,0,19,0,0,0,3,4,12,3,0,31,0,9,4,3,9,12,6,0,42,0,4,11,12,11,13,5,0,56,0,0,3,11,22,15,5,3,62,0,0,10,10,13,6,0,0,38,0,0,3,7,8,9,0,0,29,0,0,0,4,7,3,0,0,24,0,0,3,16,22,18,0,0,59,0,0,3,10,8,13,3,0,37,0,0,0,3,3,4,0,0,15,4,12,52,91,127,102,35,9,433,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,3,4,7,0,3,0,10,0,0,3,3,4,0,0,0,11,0,5,3,3,0,3,5,0,24,0,3,10,4,7,9,3,3,40,0,7
101031015,0,0,0,0,0,3,7,0,11,0,0,0,3,4,0,0,0,3,0,0,0,0,3,0,3,0,13,0,0,0,3,5,7,6,3,23,0,0,0,0,5,7,7,3,21,0,0,0,0,10,3,12,5,37,0,0,4,0,4,10,8,6,25,0,0,3,5,11,14,4,3,41,0,0,6,9,5,5,4,6,33,0,0,0,4,9,8,6,3,31,0,0,0,4,7,3,0,0,20,0,0,0,0,6,3,0,0,9,0,0,0,4,3,0,3,7,22,0,0,0,3,7,5,3,0,20,0,0,0,0,0,0,0,0,3,0,0,18,32,76,67,66,38,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0
101031016,0,0,0,0,6,7,3,0,12,0,0,0,4,3,0,4,0,15,0,0,0,0,3,3,3,0,14,0,0,4,5,0,9,3,0,26,0,0,3,6,9,8,7,3,42,0,0,9,12,16,10,12,3,57,0,3,13,13,19,13,9,0,74,0,10,20,17,17,21,9,0,101,0,3,25,28,35,23,7,5,129,0,3,14,12,23,13,3,0,72,0,0,8,11,23,9,6,0,67,0,0,0,12,23,8,3,0,38,0,0,4,19,27,17,3,0,66,0,0,3,6,15,13,3,0,43,3,0,4,0,6,3,0,0,10,4,23,115,146,214,157,74,20,762,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,3,0,0,0,8,0,0,0,0,3,0,0,0,9,0,3,0,0,7,0,0,0,14,0,0,3,4,8,6,3,0,30,0,0
101041017,0,0,0,3,0,0,0,0,3,0,0,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,8,0,0,4,0,3,5,3,0,19,0,0,0,0,7,3,0,0,17,0,4,5,12,10,14,4,0,49,0,6,8,6,9,8,3,0,44,0,5,19,16,18,21,0,0,74,0,0,16,20,27,27,0,0,88,0,0,3,18,15,7,0,0,46,0,0,9,11,10,12,0,0,42,0,0,4,12,3,6,3,0,29,0,0,6,11,14,9,0,0,41,0,0,3,3,9,7,3,0,23,0,0,4,0,0,0,0,0,11,6,18,75,115,135,125,25,3,493,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,3,0,0,0,3,0,0,11,0,0,0,3,0,3,0,0,10,0,0,0,8,5,7,7,0,32,0,4
101041018,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,3,0,4,4,0,0,11,0,0,3,5,5,3,3,0,18,0,0,4,3,4,3,0,0,12,0,0,0,4,8,3,0,0,14,0,0,0,0,3,6,0,0,12,0,0,0,4,3,4,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,0,0,11,0,0,0,0,0,3,0,0,6,0,0,0,0,0,3,0,0,4,3,0,13,26,31,37,5,0,115,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,4,0,3,0,0,11,0,0,3,0,4,3,0,0,23,0,0,4,3,5,6,0,0,23,0,3
101041019,0,0,0,0,0,3,3,0,12,0,0,0,0,3,0,0,0,7,0,0,0,4,3,3,4,0,17,0,0,0,0,7,5,3,0,16,3,0,0,3,0,8,9,3,22,0,0,9,9,5,0,0,0,24,0,0,3,13,9,10,4,0,44,0,10,8,14,21,11,4,3,66,0,0,11,16,24,11,11,0,69,0,0,4,10,18,18,5,0,53,0,0,3,16,18,10,0,0,50,0,0,0,12,13,10,0,0,33,0,0,3,12,28,20,5,0,68,0,0,0,0,7,9,3,0,29,0,0,0,0,4,3,0,3,9,5,23,42,110,164,123,48,9,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,4,3,3,0,0,21,0,0,0,3,8,11,0,0,22,0,0,0,3,12,13,0,0,31,0,0,10,10,16,22,7,0,63,0,6
101041020,0,0,0,3,3,8,6,0,25,0,0,0,0,3,4,0,3,20,0,0,4,3,5,13,17,3,44,0,0,0,6,11,12,11,9,48,0,0,0,5,3,4,15,0,35,0,0,0,12,17,9,20,3,59,0,3,0,8,10,18,15,4,60,0,0,6,15,13,13,11,4,66,0,0,5,3,9,21,8,3,55,0,0,3,10,3,5,6,0,26,0,0,0,0,10,5,0,6,21,0,0,3,3,0,3,3,0,14,0,0,0,7,9,11,0,0,21,0,0,0,0,8,4,0,0,13,0,0,0,0,4,0,0,3,7,10,6,31,76,101,140,109,35,511,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,10,0,0,0,3,0,6,0,0,9,0,0,0,0,0,3,0,0,7,0,0,0,4,10,6,5,0,20,0,0
101041021,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,4,0,0,0,0,3,3,0,0,9,0,0,3,3,4,0,0,0,12,0,0,3,0,3,0,0,0,10,0,0,0,3,0,3,0,0,7,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,5,0,0,8,20,17,20,5,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,6,0,0
