SA2_MAINCODE_2016,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_Turkey_E,P_Turkey_OM_IE,P_Turkey_OM_UIE,P_Turkey_CFW,P_Turkey_ES_NS,P_Turkey_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Zimbabwe_E,P_Zimbabwe_OM_IE,P_Zimbabwe_OM_UIE,P_Zimbabwe_CFW,P_Zimbabwe_ES_NS,P_Zimbabwe_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
101021007,5,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,23,6,3,49,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,4,6,0,0,26,9,3,0,4,3,24,533,88,259,138,28,1050
101021008,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,23,0,3,0,0,22,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,16,3,5,3,0,24,15,0,0,0,0,14,628,51,89,13,12,796
101021009,85,0,0,0,0,93,5,0,0,0,0,7,9,3,0,0,0,10,16,0,0,0,0,16,27,0,0,0,0,29,16,0,3,0,0,19,7,0,0,0,0,7,135,12,3,0,0,150,27,0,0,0,0,27,12,3,7,0,0,27,19,0,0,0,0,19,246,14,14,0,0,272,65,9,0,0,5,77,4780,292,252,50,35,5418
101021010,42,0,0,0,0,42,4,0,0,0,0,7,4,0,0,0,0,4,5,0,3,0,0,15,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,62,12,13,0,0,81,3,0,0,0,0,4,13,0,0,0,0,13,0,0,0,0,0,0,80,11,6,3,0,103,17,0,0,0,0,25,2279,260,119,37,22,2714
101021011,8,0,0,0,0,4,4,0,0,0,0,4,3,0,4,0,0,10,13,5,0,0,0,27,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,96,19,25,6,0,143,17,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,51,9,8,4,0,78,28,5,8,8,6,49,1916,369,409,142,31,2863
101021012,18,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,13,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,56,12,6,0,0,77,9,0,0,0,0,11,3,0,0,0,0,3,3,0,0,0,0,3,65,16,13,0,0,96,15,3,0,0,0,19,1567,308,201,19,13,2109
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,22,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,23,4,7,3,0,32,709,73,144,83,22,1029
101031014,7,0,0,0,0,7,5,0,0,0,0,9,3,0,0,0,0,3,11,0,5,0,0,12,14,0,0,0,0,14,6,0,3,0,0,5,3,0,0,0,0,3,104,0,10,0,3,115,4,0,0,0,0,8,3,0,3,0,0,6,4,0,0,0,0,4,58,4,10,0,0,74,74,7,11,6,0,96,2829,199,284,67,33,3415
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,17,8,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4,0,16,5,6,0,11,0,17,280,76,196,111,18,684
101031016,8,0,0,0,0,9,5,0,3,0,0,10,3,0,0,0,0,3,15,0,0,0,0,14,0,0,0,0,0,0,20,0,0,3,0,26,5,3,0,0,0,8,148,21,21,7,0,207,29,0,0,0,0,33,0,0,0,0,0,0,3,0,3,0,0,6,121,15,7,5,0,146,85,5,16,5,4,111,3647,305,416,128,43,4532
