SA2_MAINCODE_2016,ClAW_150_299_A_65_74,ClAW_150_299_A_75ov,ClAW_150_299_Tot,ClAW_300_399_A_15_19,ClAW_300_399_A_20_24,ClAW_300_399_A_25_34,ClAW_300_399_A_35_44,ClAW_300_399_A_45_54,ClAW_300_399_A_55_64,ClAW_300_399_A_65_74,ClAW_300_399_A_75ov,ClAW_300_399_Tot,ClAW_400_499_A_15_19,ClAW_400_499_A_20_24,ClAW_400_499_A_25_34,ClAW_400_499_A_35_44,ClAW_400_499_A_45_54,ClAW_400_499_A_55_64,ClAW_400_499_A_65_74,ClAW_400_499_A_75ov,ClAW_400_499_Tot,ClAW_500_649_A_15_19,ClAW_500_649_A_20_24,ClAW_500_649_A_25_34,ClAW_500_649_A_35_44,ClAW_500_649_A_45_54,ClAW_500_649_A_55_64,ClAW_500_649_A_65_74,ClAW_500_649_A_75ov,ClAW_500_649_Tot,ClAW_650_799_A_15_19,ClAW_650_799_A_20_24,ClAW_650_799_A_25_34,ClAW_650_799_A_35_44,ClAW_650_799_A_45_54,ClAW_650_799_A_55_64,ClAW_650_799_A_65_74,ClAW_650_799_A_75ov,ClAW_650_799_Tot,ClAW_800_999_A_15_19,ClAW_800_999_A_20_24,ClAW_800_999_A_25_34,ClAW_800_999_A_35_44,ClAW_800_999_A_45_54,ClAW_800_999_A_55_64,ClAW_800_999_A_65_74,ClAW_800_999_A_75ov,ClAW_800_999_Tot,ClAW_1000_1249_A_15_19,ClAW_1000_1249_A_20_24,ClAW_1000_1249_A_25_34,ClAW_1000_1249_A_35_44,ClAW_1000_1249_A_45_54,ClAW_1000_1249_A_55_64,ClAW_1000_1249_A_65_74,ClAW_1000_1249_A_75ov,ClAW_1000_1249_Tot,ClAW_1250_1499_A_15_19,ClAW_1250_1499_A_20_24,ClAW_1250_1499_A_25_34,ClAW_1250_1499_A_35_44,ClAW_1250_1499_A_45_54,ClAW_1250_1499_A_55_64,ClAW_1250_1499_A_65_74,ClAW_1250_1499_A_75ov,ClAW_1250_1499_Tot,ClAW_1500_1749_A_15_19,ClAW_1500_1749_A_20_24,ClAW_1500_1749_A_25_34,ClAW_1500_1749_A_35_44,ClAW_1500_1749_A_45_54,ClAW_1500_1749_A_55_64,ClAW_1500_1749_A_65_74,ClAW_1500_1749_A_75ov,ClAW_1500_1749_Tot,ClAW_1750_1999_A_15_19,ClAW_1750_1999_A_20_24,ClAW_1750_1999_A_25_34,ClAW_1750_1999_A_35_44,ClAW_1750_1999_A_45_54,ClAW_1750_1999_A_55_64,ClAW_1750_1999_A_65_74,ClAW_1750_1999_A_75ov,ClAW_1750_1999_Tot,ClAW_2000_2999_A_15_19,ClAW_2000_2999_A_20_24,ClAW_2000_2999_A_25_34,ClAW_2000_2999_A_35_44,ClAW_2000_2999_A_45_54,ClAW_2000_2999_A_55_64,ClAW_2000_2999_A_65_74,ClAW_2000_2999_A_75ov,ClAW_2000_2999_Tot,ClAW_3000mo_A_15_19,ClAW_3000mo_A_20_24,ClAW_3000mo_A_25_34,ClAW_3000mo_A_35_44,ClAW_3000mo_A_45_54,ClAW_3000mo_A_55_64,ClAW_3000mo_A_65_74,ClAW_3000mo_A_75ov,ClAW_3000mo_Tot,ClAW_PINS_A_15_19,ClAW_PINS_A_20_24,ClAW_PINS_A_25_34,ClAW_PINS_A_35_44,ClAW_PINS_A_45_54,ClAW_PINS_A_55_64,ClAW_PINS_A_65_74,ClAW_PINS_A_75ov,ClAW_PINS_Tot,ClAW_Tot_A_15_19,ClAW_Tot_A_20_24,ClAW_Tot_A_25_34,ClAW_Tot_A_35_44,ClAW_Tot_A_45_54,ClAW_Tot_A_55_64,ClAW_Tot_A_65_74,ClAW_Tot_A_75ov,ClAW_Tot_Tot,SW_NNI_A_15_19,SW_NNI_A_20_24,SW_NNI_A_25_34,SW_NNI_A_35_44,SW_NNI_A_45_54,SW_NNI_A_55_64,SW_NNI_A_65_74,SW_NNI_A_75ov,SW_NNI_Tot,SW_1_149_A_15_19,SW_1_149_A_20_24,SW_1_149_A_25_34,SW_1_149_A_35_44,SW_1_149_A_45_54,SW_1_149_A_55_64,SW_1_149_A_65_74,SW_1_149_A_75ov,SW_1_149_Tot,SW_150_299_A_15_19,SW_150_299_A_20_24,SW_150_299_A_25_34,SW_150_299_A_35_44,SW_150_299_A_45_54,SW_150_299_A_55_64,SW_150_299_A_65_74,SW_150_299_A_75ov,SW_150_299_Tot,SW_300_399_A_15_19,SW_300_399_A_20_24,SW_300_399_A_25_34,SW_300_399_A_35_44,SW_300_399_A_45_54,SW_300_399_A_55_64,SW_300_399_A_65_74,SW_300_399_A_75ov,SW_300_399_Tot,SW_400_499_A_15_19,SW_400_499_A_20_24,SW_400_499_A_25_34,SW_400_499_A_35_44,SW_400_499_A_45_54,SW_400_499_A_55_64,SW_400_499_A_65_74,SW_400_499_A_75ov,SW_400_499_Tot,SW_500_649_A_15_19,SW_500_649_A_20_24,SW_500_649_A_25_34,SW_500_649_A_35_44,SW_500_649_A_45_54,SW_500_649_A_55_64,SW_500_649_A_65_74,SW_500_649_A_75ov,SW_500_649_Tot,SW_650_799_A_15_19,SW_650_799_A_20_24,SW_650_799_A_25_34,SW_650_799_A_35_44,SW_650_799_A_45_54,SW_650_799_A_55_64,SW_650_799_A_65_74,SW_650_799_A_75ov,SW_650_799_Tot,SW_800_999_A_15_19,SW_800_999_A_20_24,SW_800_999_A_25_34,SW_800_999_A_35_44,SW_800_999_A_45_54,SW_800_999_A_55_64,SW_800_999_A_65_74,SW_800_999_A_75ov,SW_800_999_Tot,SW_1000_1249_A_15_19,SW_1000_1249_A_20_24,SW_1000_1249_A_25_34,SW_1000_1249_A_35_44,SW_1000_1249_A_45_54,SW_1000_1249_A_55_64,SW_1000_1249_A_65_74,SW_1000_1249_A_75ov
101021007,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,3,0,0,15,0,0,3,4,10,5,3,0,20,0,0,0,0,3,7,0,0,10,0,0,3,0,9,3,4,0,15,0,0,0,0,3,3,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,14,14,34,28,7,0,97,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,6,0,0,0,3,5,6,3,0,12,0,0,0,0,0,3,0,0,11,0,0,0,4,3,3,3,0,16,0,0,0,0,3,0,0,0,9,0,0,0,0,3,6,0,0
101021008,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,5,4,0,0,12,0,0,0,5,3,0,0,0,10,0,0,3,0,6,3,0,0,15,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,13,23,17,3,0,69,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,4,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
101021009,0,0,22,4,8,8,4,10,3,0,0,32,3,10,7,9,5,6,7,0,44,5,16,11,7,14,8,0,0,68,0,19,17,23,17,11,4,0,98,5,26,38,25,33,15,4,0,144,3,16,52,35,43,32,0,0,183,0,9,24,25,27,23,3,0,111,3,0,12,21,13,24,0,0,74,0,0,3,13,13,5,3,0,41,0,0,13,5,13,8,0,0,44,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,7,34,106,187,176,203,155,30,3,886,0,0,3,0,0,0,0,0,3,89,3,3,0,0,0,0,0,92,25,13,3,0,0,0,4,0,50,12,6,12,4,3,9,0,0,47,13,14,6,8,10,7,0,0,52,7,16,17,6,14,7,0,0,76,0,19,36,15,10,16,3,0,91,3,9,20,18,17,4,0,0,79,0,6,14,13,4,7,3,0
101021010,0,0,10,0,0,3,0,0,0,0,0,10,0,0,0,8,0,0,0,0,11,0,5,5,4,3,0,0,0,25,3,5,8,5,10,11,0,0,42,0,11,15,9,14,7,0,0,57,0,3,24,11,20,9,4,0,73,0,0,7,16,12,10,0,0,51,0,0,0,4,7,0,0,0,15,0,0,3,4,3,0,0,0,11,0,0,0,0,3,4,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,11,30,77,72,87,49,8,0,339,0,0,0,0,0,0,0,0,3,63,0,0,0,0,0,0,0,65,7,4,0,0,3,0,0,0,15,4,0,8,0,0,0,0,0,16,6,3,8,3,0,0,3,0,20,3,4,0,3,3,3,0,0,20,0,8,4,4,0,5,5,0,35,0,3,11,10,7,0,0,0,33,0,0,11,5,6,3,0,0
101021011,0,0,6,3,6,0,0,3,3,3,0,18,0,0,6,0,3,0,0,0,11,0,0,0,6,10,8,3,0,27,0,0,3,4,15,5,0,0,26,0,0,11,12,13,13,0,0,53,0,3,6,11,9,7,0,0,44,0,0,5,5,15,8,0,0,34,0,0,9,13,18,3,3,0,42,0,0,0,4,7,4,0,0,15,0,0,0,0,9,4,0,0,17,0,0,0,3,3,0,0,0,9,0,0,0,4,0,0,0,0,6,12,10,47,72,107,61,20,0,321,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,20,3,3,0,0,3,0,0,0,8,0,0,3,0,3,0,0,0,11,0,0,3,0,5,0,0,0,9,3,0,7,3,7,3,0,0,14,0,3,0,3,3,0,0,0,11,0,4,3,5,0,0,0,0,12,0,0,0,0,4,4,0,0
101021012,0,0,9,0,0,0,5,3,0,0,0,13,0,0,0,0,3,0,0,0,11,0,7,0,0,10,0,7,0,28,0,4,7,0,5,9,0,0,32,0,6,14,11,15,8,0,0,56,0,3,11,8,13,7,0,0,45,0,0,9,10,12,14,0,0,41,0,0,8,3,6,7,0,0,21,0,0,3,3,9,3,0,0,16,0,0,0,0,7,0,0,0,10,0,0,0,0,7,0,0,0,3,0,0,0,0,3,0,0,0,3,4,22,53,51,79,53,10,4,279,3,0,0,0,0,0,0,0,3,24,0,0,0,0,0,0,0,24,9,3,0,0,0,0,0,0,6,5,6,0,0,0,0,0,0,12,4,9,0,0,0,0,0,0,10,0,0,3,0,7,0,0,0,12,0,0,7,3,3,0,0,0,19,0,4,7,3,4,3,0,0,13,0,0,3,4,7,3,3,0
101031013,4,0,4,0,0,3,0,0,0,0,0,5,0,0,0,0,3,0,0,0,5,0,0,0,0,6,0,0,0,7,0,0,7,0,4,0,3,0,16,0,0,3,0,5,3,0,0,15,0,0,3,5,0,5,0,0,11,0,0,0,0,5,0,0,0,5,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,15,15,35,13,9,0,96,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,3,0,0,3,3,0,0,0,9,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0
101031014,3,0,13,3,3,5,0,0,4,0,0,14,0,0,0,3,4,9,4,0,25,4,4,5,9,22,11,4,0,57,0,12,14,19,19,17,3,0,80,0,4,9,14,22,17,4,0,77,0,0,13,14,31,14,6,0,81,0,0,4,5,27,13,0,0,47,0,0,3,3,6,5,0,0,17,0,0,0,0,9,3,0,0,10,0,0,0,0,3,5,0,0,8,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,7,14,21,61,85,147,110,22,4,464,0,0,0,0,0,0,0,0,0,44,0,3,0,4,0,0,0,51,17,0,0,0,10,4,0,0,35,11,4,0,6,4,0,0,0,32,9,9,15,5,5,7,0,0,48,8,9,12,11,9,15,3,0,58,9,9,14,19,19,14,7,0,85,0,4,15,13,12,10,6,0,66,0,3,0,8,9,3,7,0
101031015,0,0,3,0,0,0,0,0,5,0,0,4,0,0,0,4,0,0,3,0,6,0,0,3,0,4,3,0,0,12,0,0,0,0,0,6,0,0,6,0,0,0,0,0,3,0,0,3,0,0,0,4,3,0,0,0,6,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,14,16,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
101031016,0,0,9,0,3,3,9,0,6,0,0,21,0,3,5,3,4,3,0,0,19,0,5,15,14,15,3,3,0,57,0,7,15,8,11,8,0,0,56,0,5,17,12,21,16,0,0,62,0,3,4,18,22,14,3,0,60,0,0,0,12,8,7,3,0,33,0,0,7,10,3,6,0,0,23,0,0,3,0,0,3,0,0,6,0,0,0,0,3,0,0,0,10,0,0,0,0,3,0,0,0,3,0,0,0,3,6,0,0,0,9,7,32,67,82,104,65,11,3,371,3,0,0,0,0,0,0,0,4,37,0,6,0,3,0,0,0,41,0,3,0,0,5,5,0,0,20,5,7,6,3,0,0,0,0,20,3,7,3,5,5,3,4,0,33,9,18,20,7,9,11,3,0,77,0,25,25,11,21,6,4,0,86,5,12,17,8,6,7,3,0,64,0,5,6,9,14,3,0,0
