SA2_MAINCODE_2016,Tot_65_69_HW_0,Tot_65_69_HW_1_15,Tot_65_69_HW_16_24,Tot_65_69_HW_25_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40,Tot_65_69_HW_41_48,Tot_65_69_HW_49mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_15,Tot_70_74_HW_16_24,Tot_70_74_HW_25_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40,Tot_70_74_HW_41_48,Tot_70_74_HW_49mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_15,Tot_75ov_HW_16_24,Tot_75ov_HW_25_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40,Tot_75ov_HW_41_48,Tot_75ov_HW_49mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_15,Tot_Tot_HW_16_24,Tot_Tot_HW_25_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40,Tot_Tot_HW_41_48,Tot_Tot_HW_49mor,Tot_Tot_HW_NS,Tot_Tot_Tot
101021007,0,22,8,8,6,11,6,21,0,86,0,15,12,7,0,3,3,10,0,50,3,11,9,9,3,4,0,8,3,51,40,142,127,134,106,148,92,233,29,1050
101021008,0,4,4,3,3,0,3,0,0,24,0,4,0,0,0,3,0,3,0,8,0,3,0,0,0,0,0,0,0,4,23,130,90,110,128,128,63,107,7,796
101021009,9,29,15,18,23,19,12,17,3,145,3,3,9,3,3,3,3,3,0,40,0,3,7,0,0,3,3,3,0,25,193,634,529,647,1245,918,468,681,95,5418
101021010,3,8,9,11,4,16,5,9,0,75,3,7,3,3,0,4,3,0,0,27,0,0,0,4,4,3,0,0,0,16,74,254,160,205,505,570,351,542,45,2714
101021011,7,30,13,14,15,12,6,28,0,125,3,17,14,6,3,4,0,14,0,62,0,10,10,8,3,3,4,8,0,35,90,350,209,288,372,503,363,646,52,2863
101021012,0,12,7,3,3,0,0,9,0,45,0,7,3,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,5,48,221,138,188,311,479,255,433,40,2109
101031013,5,10,7,3,3,6,3,20,0,69,4,12,7,0,0,0,3,14,4,41,0,3,4,0,0,0,3,8,0,19,45,104,106,105,142,121,121,257,24,1029
101031014,11,29,12,18,12,19,8,15,0,124,3,16,11,4,7,3,0,12,0,58,0,8,5,0,3,3,0,0,3,32,140,398,351,472,719,488,282,503,66,3415
101031015,0,11,3,4,0,12,0,25,0,56,0,12,3,3,0,7,0,11,0,45,3,7,0,0,5,4,0,16,0,48,19,96,56,70,61,105,49,216,15,684
101031016,5,23,21,15,17,13,6,24,3,124,0,4,16,8,6,4,0,22,3,64,4,3,0,9,4,3,3,3,5,34,94,353,346,611,812,619,533,1046,121,4532
101041017,11,35,22,14,14,23,4,14,4,135,3,11,7,3,4,3,0,3,4,36,0,6,3,0,3,0,0,6,5,27,184,621,500,622,821,594,293,469,97,4188
101041018,7,21,12,8,4,3,0,3,0,61,0,8,0,4,0,6,0,5,0,19,0,4,5,0,0,0,0,0,0,11,48,227,155,191,170,145,59,139,14,1147
101041019,9,33,31,19,24,14,10,25,7,167,3,19,9,16,4,7,0,6,3,70,5,7,7,5,3,0,0,7,3,36,228,586,575,752,1032,807,449,562,95,5093
101041020,6,23,12,18,4,11,12,26,4,113,5,14,3,6,5,8,0,10,3,52,3,11,6,10,3,6,3,9,0,46,55,213,151,195,137,191,102,323,32,1401
101041021,0,3,3,0,3,0,0,5,0,15,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,14,110,87,113,102,95,67,87,14,697
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,5
101041023,0,20,9,6,14,3,6,5,0,68,8,3,3,0,3,0,0,9,0,25,0,4,0,0,0,4,0,7,0,19,59,200,138,193,229,181,107,205,23,1318
101041024,0,16,5,3,3,4,0,9,0,53,0,5,3,7,0,0,0,6,0,29,0,3,0,0,0,0,0,0,0,6,31,142,103,89,104,101,41,118,16,745
101041025,6,48,36,17,17,11,9,18,9,167,3,17,8,6,0,6,3,3,0,52,0,6,3,3,0,0,0,4,3,21,172,620,454,566,614,422,238,422,75,3575
101041026,13,34,23,17,13,9,4,7,5,117,3,12,8,8,0,3,0,0,0,33,0,13,0,3,3,0,0,5,3,23,141,459,430,521,695,456,219,332,74,3322
101041027,8,55,13,14,8,11,3,26,6,147,3,15,11,14,3,3,0,6,3,56,0,7,5,3,0,3,0,3,0,26,86,459,366,410,350,309,147,275,66,2471
101051539,23,54,51,33,37,39,14,35,8,289,3,36,22,12,11,11,7,12,3,114,4,19,4,6,0,3,0,6,3,47,390,1054,1060,1283,2377,1664,770,1163,199,9960
101051540,4,42,35,31,18,31,13,69,9,249,0,20,21,14,9,14,9,42,4,136,6,19,19,20,5,12,3,37,9,126,99,385,347,372,413,501,269,940,72,3412
101061541,3,20,15,14,8,5,6,17,0,88,4,6,3,4,0,3,0,3,3,25,0,8,0,4,3,6,0,5,0,26,67,326,286,311,405,286,170,330,42,2228
101061542,11,41,21,21,13,28,9,36,7,185,11,21,16,17,8,23,8,27,0,127,6,19,11,13,4,16,0,21,5,103,78,361,242,256,262,362,154,514,59,2294
101061543,9,28,24,24,11,22,3,37,4,170,3,20,0,4,10,11,0,8,3,62,0,12,5,3,0,0,0,8,6,37,159,554,459,599,806,662,377,661,110,4377
101061544,6,28,16,20,16,18,10,37,5,164,7,14,13,7,6,12,0,23,4,90,0,15,10,10,6,15,4,15,3,85,75,250,218,266,341,379,191,608,53,2395
102011028,0,10,15,3,4,0,0,3,5,34,0,7,8,0,0,0,0,0,0,11,0,3,0,3,0,0,0,0,0,8,35,245,143,130,106,199,67,143,23,1084
102011029,0,26,12,3,0,3,0,9,0,63,3,20,3,3,3,3,0,3,0,36,0,3,3,4,0,0,0,0,3,18,51,294,166,177,133,244,73,172,27,1341
102011030,3,25,26,14,14,24,16,33,0,152,0,16,6,9,8,13,0,16,0,69,5,6,8,3,0,5,3,12,3,45,129,323,333,353,1171,1100,611,1100,100,5234
102011031,13,64,39,28,24,21,4,22,6,216,3,31,9,4,5,3,0,9,3,68,3,11,3,3,3,3,0,3,3,33,331,1758,1336,1354,1582,1274,678,958,164,9450
102011032,25,101,106,65,82,63,25,58,13,536,9,46,31,28,13,17,3,13,4,164,4,22,11,7,4,9,0,3,3,65,751,1724,2277,2357,4105,3772,1481,2047,309,18835
102011033,4,8,10,3,3,4,0,4,0,27,0,0,3,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,6,47,152,168,159,281,252,101,119,28,1306
102011034,3,28,18,8,5,7,3,6,0,74,0,7,5,3,4,0,0,0,0,22,0,6,0,0,0,0,0,0,0,8,67,457,321,273,333,314,143,228,34,2168
102011035,4,10,0,0,0,3,0,0,0,24,0,3,4,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,4,29,105,104,124,106,104,37,100,19,728
102011036,0,6,5,6,6,16,7,5,0,54,0,3,3,3,0,3,0,0,3,14,0,3,3,0,3,0,0,0,0,6,78,317,271,357,591,437,273,312,42,2679
102011037,3,16,7,9,6,3,0,3,0,42,0,9,4,3,0,0,0,3,0,21,0,4,0,0,0,0,0,3,0,8,39,138,134,153,118,96,59,100,15,850
102011038,0,8,8,3,0,3,4,5,0,29,0,4,0,0,3,0,0,0,0,15,0,3,0,0,0,0,0,0,0,4,25,148,105,102,66,104,45,96,9,704
102011039,3,36,16,10,12,10,3,9,0,95,5,21,9,6,4,0,0,3,0,49,0,6,4,3,0,0,0,3,3,10,95,583,374,385,362,464,190,363,47,2857
102011040,10,45,28,14,6,15,6,13,3,149,0,25,11,8,0,6,0,8,0,53,0,9,4,0,0,0,0,3,3,22,130,736,563,562,526,459,192,416,82,3673
102011041,0,16,6,6,3,6,0,3,0,41,0,7,5,3,3,0,0,0,0,16,0,3,0,0,0,0,0,0,0,5,51,259,170,232,214,250,113,192,23,1510
