SA2_MAINCODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
101021007,7,4,0,41,0,0,3,4,14,16,9,3,48,0,0,0,0,0,8,9,0,25,4,3,3,0,6,6,5,4,32,42,41,109,159,253,257,135,51,1050
101021008,22,5,0,74,0,0,5,14,16,14,3,0,55,0,0,0,0,0,0,4,0,12,0,0,3,0,7,0,3,0,15,68,61,135,144,191,158,34,4,796
101021009,79,8,0,315,0,3,77,143,162,84,9,0,468,0,0,13,37,59,27,12,0,149,9,8,12,10,7,9,7,0,61,392,563,1202,1148,1091,810,185,25,5418
101021010,18,6,0,134,0,0,29,51,32,31,5,0,156,0,0,9,17,27,9,3,3,65,7,3,6,0,11,6,4,0,42,241,273,674,522,507,375,100,16,2714
101021011,27,3,0,174,0,3,64,109,139,55,11,0,386,0,0,15,64,91,31,13,3,209,8,0,3,8,7,7,6,0,43,158,153,522,593,764,453,187,35,2863
101021012,18,0,0,144,0,3,22,49,46,20,3,0,147,0,0,4,24,27,19,0,0,81,5,3,3,8,3,6,0,0,25,146,264,479,441,442,272,55,5,2109
101031013,21,6,0,46,0,0,4,8,11,13,0,0,41,0,0,0,7,8,5,0,3,21,0,0,3,4,3,3,4,0,20,58,61,142,161,237,246,106,19,1029
101031014,41,8,0,174,0,0,22,49,62,41,0,0,182,0,0,12,24,34,26,0,0,98,9,3,10,15,7,13,4,3,61,253,254,566,620,839,673,180,32,3415
101031015,7,0,0,23,0,0,4,10,8,5,3,7,37,0,0,0,4,6,5,4,3,23,0,3,0,0,0,0,0,0,5,20,24,70,103,172,137,101,48,684
101031016,31,3,3,149,0,0,22,45,52,28,5,0,158,0,0,4,16,23,20,3,0,70,9,9,15,11,11,20,10,0,87,311,805,1029,758,825,588,192,34,4532
101041017,36,3,0,137,0,0,15,39,53,38,3,0,146,0,0,8,25,15,20,3,0,69,6,11,16,14,13,21,5,0,91,355,293,661,816,991,882,171,27,4188
101041018,13,5,0,47,0,0,3,11,19,11,0,0,50,0,0,4,9,3,7,3,0,25,0,3,3,3,3,3,0,0,20,61,54,131,207,294,308,83,11,1147
101041019,63,5,0,243,0,4,24,54,95,61,17,4,254,0,0,5,15,29,33,10,0,96,5,8,9,13,20,29,4,4,86,310,320,722,927,1383,1159,238,36,5093
101041020,12,4,0,45,0,0,3,6,14,11,0,0,34,0,0,0,3,11,11,4,0,23,8,0,0,0,9,3,0,3,25,59,55,142,201,323,409,170,46,1401
101041021,10,0,0,43,0,0,3,4,8,6,0,0,30,0,0,0,4,5,4,0,0,16,3,3,0,3,3,6,0,0,13,47,49,93,162,198,123,19,4,697
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
101041023,13,3,0,55,0,0,9,6,12,12,3,0,41,0,0,0,5,0,6,0,0,15,0,0,4,3,4,4,3,0,17,54,65,181,249,323,339,87,19,1318
101041024,0,3,0,9,0,0,0,4,7,12,0,0,22,0,0,0,0,3,4,3,0,12,0,3,3,0,0,6,0,0,16,33,48,87,136,181,178,82,6,745
101041025,29,7,0,116,0,0,5,36,30,25,6,3,104,0,3,5,10,15,11,8,0,56,13,5,4,10,12,12,6,0,62,285,242,460,625,899,824,222,21,3575
101041026,42,5,0,141,0,0,12,24,42,42,4,0,125,0,0,3,10,17,19,4,0,59,3,3,6,11,11,14,4,0,56,195,221,434,598,858,841,154,23,3322
101041027,23,5,3,60,0,0,5,18,20,20,6,3,68,0,0,0,0,8,16,0,0,33,9,0,3,11,7,15,6,3,51,123,118,313,410,583,702,200,26,2471
