SA2_MAINCODE_2016,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_M,Mnf_Food_pdt_F,Mnf_Food_pdt_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_lther_clthing_footw_M,Mnf_Tex_lther_clthing_footw_F,Mnf_Tex_lther_clthing_footw_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pulp_paper_cvertd_paper_M,Mnf_Pulp_paper_cvertd_paper_F,Mnf_Pulp_paper_cvertd_paper_P,Mnf_Print_inc_repdtn_RM_M,Mnf_Print_inc_repdtn_RM_F,Mnf_Print_inc_repdtn_RM_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Basic_chem_and_chem_p_m_M,Mnf_Basic_chem_and_chem_p_m_F,Mnf_Basic_chem_and_chem_p_m_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Prim_met_and_met_p_m_M,Mnf_Prim_met_and_met_p_m_F,Mnf_Prim_met_and_met_p_m_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
101021007,3,3,5,140,77,216,0,0,0,6,0,9,0,0,0,10,3,17,161,80,244,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,7,0,0,0,8,19,34,0,0,0,0,3,5,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,61,0,0,0,4,0,4,0,0,0,3,0,3,3,0,3,13,0,13,9,0,9,24,5,26,14,0,14,32,0,37,75,7,78,0,0,0,9,3,11,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,8,5,14,0,6,6,0,0,0,4,3,6,11,25,32,8,28,34,0,0,0,24,56,82,0,0,0,4,14,15,16,40,58,26,55,77,0,0,0,15,9,18,0,0,0,0,0,0,0,0,0,0,0
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,10,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,9,12,3,16,0,0,0,56,8,65,74,9,88,0,0,0,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,3,0,3,3,0,3,30,24,51,6,14,26,0,0,0,44,39,81,0,0,0,4,3,3,17,23,40,23,26,45,0,0,0,9,7,13,0,0,0,0,0,0,0,0,0,0,0
101021009,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,6,0,6,33,5,35,8,12,18,3,0,3,0,0,0,13,4,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,3,13,4,0,4,18,5,21,8,0,9,8,3,14,14,3,17,133,40,167,0,0,0,72,26,98,0,0,0,4,0,7,9,7,19,84,30,121,26,7,24,83,16,92,21,3,26,304,29,329,428,51,477,6,0,11,21,0,23,0,0,0,14,8,24,6,0,8,0,0,0,0,0,0,51,13,65,9,11,19,7,4,12,13,4,13,150,143,290,84,237,328,0,0,0,263,399,658,0,0,0,22,20,37,152,167,316,172,190,359,6,3,11,56,6,60,0,0,0,0,0,0,0,0,0,0,0
101021010,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,3,13,0,0,0,12,3,15,55,5,59,9,7,12,24,3,27,0,0,0,62,5,72,0,0,0,9,3,8,0,0,0,3,4,7,8,5,9,24,7,30,73,19,96,55,14,66,19,7,28,21,5,26,42,3,43,403,82,483,0,0,0,15,4,25,0,0,0,3,0,5,14,5,20,37,7,43,37,8,44,88,13,100,69,7,76,316,45,356,511,74,589,3,3,4,29,10,43,12,3,13,13,0,13,3,6,9,16,4,22,0,0,0,79,27,101,3,0,3,34,6,35,15,3,20,11,3,10,55,40,92,0,0,0,112,54,167,0,0,0,8,30,36,131,107,242,135,137,273,13,3,10,143,21,168,0,0,0,0,0,0,0,0,0,0,0
101021011,4,0,3,161,79,242,0,0,0,4,3,5,0,0,0,11,3,13,172,90,259,6,0,6,0,0,0,0,0,0,11,0,9,34,3,37,4,0,3,47,3,53,5,3,8,12,9,24,10,7,15,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,3,5,0,5,3,0,3,10,4,13,47,31,75,0,0,0,11,0,12,0,0,0,0,0,3,32,3,32,43,6,56,27,4,25,110,21,131,22,0,24,186,32,214,340,54,397,0,3,4,16,3,18,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,19,10,29,7,3,11,0,0,3,4,4,5,36,36,73,15,44,66,0,0,0,60,95,153,0,0,0,16,24,40,62,75,138,82,96,177,8,3,8,29,15,44,0,0,0,0,0,0,0,0,3,0,0
101021012,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,15,43,7,20,26,0,0,3,0,3,3,51,3,52,3,0,3,9,3,12,0,0,0,0,0,0,0,0,0,10,0,10,24,0,26,5,0,5,0,0,0,29,8,35,29,3,34,201,57,254,0,0,0,0,0,3,0,0,0,0,3,4,43,9,47,45,13,56,41,0,41,113,22,133,21,4,20,342,39,379,513,61,573,7,3,3,18,5,23,5,0,11,3,0,3,8,4,8,3,3,10,0,0,0,38,16,58,4,0,8,0,0,3,6,3,9,48,36,83,21,23,44,0,0,0,85,60,146,0,0,0,0,3,0,30,24,55,33,25,59,4,0,7,71,9,75,0,0,0,0,0,0,0,0,0,0,0
101031013,0,0,0,161,68,224,0,0,0,47,3,54,0,0,0,14,3,14,219,74,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,8,12,0,0,0,0,0,0,64,12,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,10,6,82,31,111,0,0,0,6,0,6,0,0,0,0,0,0,3,0,3,8,0,12,0,0,3,3,0,3,8,0,8,25,3,28,38,7,47,0,0,0,9,4,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,4,15,0,0,0,6,3,8,4,0,3,11,32,40,3,20,20,0,0,0,18,62,82,0,0,0,4,7,15,11,32,48,20,45,59,3,0,3,28,3,34,0,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,51,21,70,0,0,0,0,0,0,0,0,0,8,3,12,59,21,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,49,28,78,0,0,0,0,0,0,9,0,9,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,4,0,4,0,0,0,0,0,0,3,0,5,83,37,114,0,0,0,157,57,216,0,0,0,8,0,4,11,3,8,174,58,235,5,0,7,35,3,38,14,0,13,91,12,104,148,15,165,0,0,0,36,19,57,5,0,5,0,0,0,15,4,11,0,0,3,3,3,10,58,24,83,5,8,16,39,19,55,21,21,40,68,73,143,69,201,267,0,0,0,203,315,518,0,4,4,20,49,64,109,162,266,131,207,335,9,0,10,57,7,66,0,0,0,0,0,0,0,0,0,0,0
101031015,3,0,7,201,78,283,0,0,0,3,0,5,0,0,0,17,8,22,227,87,309,0,0,0,0,0,0,0,0,0,5,0,5,3,0,3,0,0,3,6,0,9,0,0,0,3,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,24,0,0,0,5,0,4,0,0,0,3,0,3,0,0,0,8,0,9,4,0,3,13,0,8,0,0,0,28,4,33,42,3,54,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,3,3,0,3,4,5,13,0,3,5,0,0,0,11,16,22,0,0,0,18,18,37,8,28,36,25,42,72,5,0,5,12,5,17,0,0,0,0,0,0,4,0,4,0,0
101031016,0,0,4,122,60,187,3,4,4,0,0,0,0,0,0,0,0,0,135,62,201,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,3,3,5,3,9,0,3,3,23,24,41,0,5,6,0,0,0,3,3,10,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,9,0,11,0,0,0,0,0,0,0,0,0,3,0,4,49,35,83,0,0,0,32,4,36,0,0,0,10,0,11,14,3,15,54,6,57,11,0,10,47,11,63,7,0,7,78,14,88,147,24,169,0,0,0,14,10,26,3,0,3,3,0,3,0,3,8,4,10,6,0,0,0,28,20,49,14,8,21,3,0,6,4,16,20,29,55,88,57,70,128,0,0,0,106,147,260,12,5,17,522,487,1010,229,210,443,765,704,1465,9,3,15,15,7,24,6,0,6,0,0,0,0,0,3,31,16
