SA2_MAINCODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
101021007,5,8,3,42,18,0,13,18,6,59,32,15,20,11,5,71,38,8,38,7,0,89,61,9,29,24,0,119,73,4,26,12,0,113,75,9,21,8,3,113,79,10,21,18,4,127,41,6,21,4,3,72,25,13,14,6,3,62,29,3,9,0,3,41,29,4,15,3,3,48,0,8,7,0,0,25,9,6,3,9,3,32,533,88,259,138,28,1050
101021008,0,0,0,41,31,0,5,0,0,38,35,0,5,0,0,42,35,3,8,3,0,48,55,0,5,0,0,68,68,6,8,3,3,88,68,3,17,0,0,88,66,7,15,0,0,93,66,4,14,0,0,86,44,4,5,0,3,58,67,3,4,0,0,74,43,7,3,0,0,55,4,0,4,0,0,12,11,3,0,0,0,15,628,51,89,13,12,796
101021009,5,3,0,222,177,3,18,3,0,196,173,13,15,5,3,205,245,13,22,5,3,278,372,11,23,0,4,416,548,20,24,10,7,602,681,28,53,6,9,768,680,37,21,3,7,745,451,38,16,0,3,511,386,38,18,0,3,443,282,26,5,3,0,315,419,35,14,3,0,468,92,37,16,0,0,149,55,0,0,0,3,61,4780,292,252,50,35,5418
101021010,3,6,0,132,61,3,7,0,0,67,53,6,5,4,0,76,79,3,11,0,0,94,130,11,9,3,0,153,271,13,13,0,6,305,390,26,14,5,4,443,432,46,15,0,0,500,278,29,12,3,3,327,159,36,7,0,0,204,107,19,5,0,0,134,116,27,9,0,0,156,30,25,8,3,0,65,33,6,0,0,3,42,2279,260,119,37,22,2714
101021011,17,14,0,122,53,6,22,16,0,101,74,8,27,16,0,127,74,11,29,7,0,118,119,20,47,6,8,189,120,16,46,5,0,186,187,52,38,14,3,292,200,55,59,14,8,330,182,39,39,8,3,266,187,48,25,4,0,268,134,19,25,3,0,174,328,46,12,3,0,386,134,44,18,6,0,209,21,7,10,6,8,43,1916,369,409,142,31,2863
101021012,3,0,0,71,51,0,12,5,0,72,53,0,11,0,3,69,76,5,8,0,0,91,106,18,19,0,0,148,145,12,21,0,0,182,239,26,21,0,0,281,260,32,30,4,3,322,198,31,16,0,0,250,140,52,15,0,3,214,94,33,6,0,0,144,79,45,19,0,0,147,29,45,10,0,0,81,22,3,3,0,0,25,1567,308,201,19,13,2109
101031013,4,6,3,31,19,0,12,6,0,47,27,0,5,7,0,48,39,10,7,3,0,64,72,3,14,4,0,101,93,11,18,5,0,124,116,4,23,3,4,154,106,7,19,11,3,144,70,13,13,0,0,97,49,9,10,0,0,74,35,3,3,4,0,46,32,3,5,0,0,41,9,3,5,0,0,21,14,0,3,3,0,20,709,73,144,83,22,1029
101031014,6,7,0,141,103,8,27,5,3,144,121,8,13,6,3,152,182,8,28,4,3,234,311,10,49,7,3,383,405,18,35,3,9,467,422,21,39,3,8,495,340,29,24,3,0,399,220,21,20,3,0,259,165,18,5,3,3,195,147,15,8,0,0,174,161,8,12,0,0,182,64,19,12,3,0,98,41,8,10,0,0,61,2829,199,284,67,33,3415
101031015,4,3,3,18,18,0,7,14,6,43,22,4,24,11,0,58,22,3,10,16,0,57,37,7,30,15,0,90,26,5,22,10,0,60,51,3,21,4,0,84,30,17,20,7,3,70,26,11,14,5,0,50,13,4,12,3,0,39,9,3,9,3,0,23,16,6,12,6,0,37,8,6,6,5,0,23,0,0,3,0,0,5,280,76,196,111,18,684
101031016,7,11,6,149,125,4,26,7,3,157,200,8,19,8,0,239,241,10,32,19,3,302,562,24,57,10,4,658,660,18,55,11,0,751,569,46,42,8,7,681,449,51,60,8,4,567,244,18,28,7,0,302,148,42,29,7,0,227,113,17,15,8,0,149,120,16,18,0,0,158,24,22,15,3,0,70,64,9,10,0,4,87,3647,305,416,128,43,4532
