SA2_MAINCODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
101021007,16,22,3,3,51,575,406,40,29,1050
101021008,0,4,0,0,4,428,334,23,7,796
101021009,7,9,0,0,25,3313,1815,193,95,5418
101021010,7,8,0,0,16,1970,626,74,45,2714
101021011,16,24,0,0,35,1874,848,90,52,2863
101021012,0,7,0,0,5,1468,551,48,40,2109
101031013,8,6,0,0,19,651,312,45,24,1029
101031014,11,17,0,3,32,1984,1221,140,66,3415
101031015,27,11,3,0,48,430,220,19,15,684
101031016,16,10,4,5,34,3009,1306,94,121,4532
101041017,8,14,0,5,27,2170,1749,184,97,4188
101041018,0,8,0,0,11,521,569,48,14,1147
101041019,8,19,5,3,36,2855,1920,228,95,5093
101041020,23,21,3,0,46,759,552,55,32,1401
101041021,3,0,0,0,4,350,310,14,14,697
101041022,0,0,0,0,0,3,6,0,0,5
101041023,8,4,0,0,19,716,529,59,23,1318
101041024,4,8,0,0,6,369,338,31,16,745
101041025,5,13,0,3,21,1696,1638,172,75,3575
101041026,5,11,0,3,23,1697,1411,141,74,3322
101041027,3,15,0,0,26,1085,1241,86,66,2471
101051539,12,29,4,3,47,5975,3400,390,199,9960
101051540,62,52,6,9,126,2130,1110,99,72,3412
101061541,12,14,0,0,26,1187,924,67,42,2228
101061542,48,47,6,5,103,1295,858,78,59,2294
101061543,13,17,0,6,37,2506,1608,159,110,4377
101061544,44,38,0,3,85,1526,735,75,53,2395
102011028,3,7,0,0,8,512,521,35,23,1084
102011029,5,9,0,3,18,619,642,51,27,1341
102011030,24,16,5,3,45,3989,1008,129,100,5234
102011031,7,18,3,3,33,4498,4457,331,164,9450
102011032,18,42,4,3,65,11413,6362,751,309,18835
102011033,0,0,0,0,6,754,487,47,28,1306
102011034,0,9,0,0,8,1010,1051,67,34,2168
102011035,0,0,3,0,4,347,331,29,19,728
102011036,3,3,0,0,6,1609,944,78,42,2679
102011037,5,3,0,0,8,368,431,39,15,850
102011038,0,4,0,0,4,311,354,25,9,704
102011039,3,8,0,3,10,1377,1344,95,47,2857
102011040,4,12,0,3,22,1598,1867,130,82,3673
102011041,0,3,0,0,5,777,662,51,23,1510
102011042,6,12,0,3,22,1722,1874,148,87,3837
102011043,0,8,0,0,12,1153,1243,82,47,2521
102021044,7,14,6,0,26,1721,2051,163,97,4028
102021045,0,0,0,0,4,571,473,34,30,1107
102021046,0,4,0,0,3,409,495,26,18,951
102021047,3,12,0,0,16,3134,1584,148,59,4924
102021048,0,8,0,0,12,1763,2120,178,89,4149
102021049,3,10,0,0,11,373,372,31,17,784
102021050,0,0,0,0,5,1068,631,78,24,1802
102021051,0,7,0,0,6,1287,619,63,36,2009
102021052,0,0,0,0,3,229,210,9,19,464
