SA3_NAME16	EmploymentStatus	Sex	workers
Queanbeyan		F	61
Queanbeyan		M	91
Queanbeyan	Contributing family workers	F	196
Queanbeyan	Contributing family workers	M	195
Queanbeyan	Employee	F	5145
Queanbeyan	Employee	M	6562
Queanbeyan	Owner managers of incorporated enterprises	F	355
Queanbeyan	Owner managers of incorporated enterprises	M	1006
Queanbeyan	Owner managers of unincorporated enterprises	F	527
Queanbeyan	Owner managers of unincorporated enterprises	M	807
Snowy Mountains		F	51
Snowy Mountains		M	64
Snowy Mountains	Contributing family workers	F	180
Snowy Mountains	Contributing family workers	M	200
Snowy Mountains	Employee	F	3784
Snowy Mountains	Employee	M	3683
Snowy Mountains	Owner managers of incorporated enterprises	F	259
Snowy Mountains	Owner managers of incorporated enterprises	M	392
Snowy Mountains	Owner managers of unincorporated enterprises	F	399
Snowy Mountains	Owner managers of unincorporated enterprises	M	646
South Coast		F	160
South Coast		M	202
South Coast	Contributing family workers	F	365
South Coast	Contributing family workers	M	278
South Coast	Employee	F	10193
South Coast	Employee	M	7976
South Coast	Owner managers of incorporated enterprises	F	586
South Coast	Owner managers of incorporated enterprises	M	1140
South Coast	Owner managers of unincorporated enterprises	F	1180
South Coast	Owner managers of unincorporated enterprises	M	1904
Goulburn - Mulwaree		F	80
Goulburn - Mulwaree		M	92
Goulburn - Mulwaree	Contributing family workers	F	217
Goulburn - Mulwaree	Contributing family workers	M	286
Goulburn - Mulwaree	Employee	F	5659
Goulburn - Mulwaree	Employee	M	5029
Goulburn - Mulwaree	Owner managers of incorporated enterprises	F	217
Goulburn - Mulwaree	Owner managers of incorporated enterprises	M	522
Goulburn - Mulwaree	Owner managers of unincorporated enterprises	F	426
Goulburn - Mulwaree	Owner managers of unincorporated enterprises	M	847
Young - Yass		F	85
Young - Yass		M	101
Young - Yass	Contributing family workers	F	382
Young - Yass	Contributing family workers	M	403
Young - Yass	Employee	F	4139
Young - Yass	Employee	M	3671
Young - Yass	Owner managers of incorporated enterprises	F	281
Young - Yass	Owner managers of incorporated enterprises	M	602
Young - Yass	Owner managers of unincorporated enterprises	F	619
Young - Yass	Owner managers of unincorporated enterprises	M	1001
Gosford		F	304
Gosford		M	321
Gosford	Contributing family workers	F	491
Gosford	Contributing family workers	M	373
Gosford	Employee	F	27703
Gosford	Employee	M	20034
Gosford	Owner managers of incorporated enterprises	F	1450
Gosford	Owner managers of incorporated enterprises	M	2843
Gosford	Owner managers of unincorporated enterprises	F	2276
Gosford	Owner managers of unincorporated enterprises	M	2983
Wyong		F	240
Wyong		M	246
Wyong	Contributing family workers	F	370
Wyong	Contributing family workers	M	270
Wyong	Employee	F	21395
Wyong	Employee	M	16878
Wyong	Owner managers of incorporated enterprises	F	980
Wyong	Owner managers of incorporated enterprises	M	2033
Wyong	Owner managers of unincorporated enterprises	F	1410
Wyong	Owner managers of unincorporated enterprises	M	2129
Bathurst		F	109
Bathurst		M	132
Bathurst	Contributing family workers	F	230
Bathurst	Contributing family workers	M	262
Bathurst	Employee	F	8518
Bathurst	Employee	M	7693
Bathurst	Owner managers of incorporated enterprises	F	364
Bathurst	Owner managers of incorporated enterprises	M	733
Bathurst	Owner managers of unincorporated enterprises	F	613
Bathurst	Owner managers of unincorporated enterprises	M	965
Lachlan Valley		F	158
Lachlan Valley		M	248
Lachlan Valley	Contributing family workers	F	543
Lachlan Valley	Contributing family workers	M	716
Lachlan Valley	Employee	F	7790
Lachlan Valley	Employee	M	7260
Lachlan Valley	Owner managers of incorporated enterprises	F	368
Lachlan Valley	Owner managers of incorporated enterprises	M	835
Lachlan Valley	Owner managers of unincorporated enterprises	F	1118
Lachlan Valley	Owner managers of unincorporated enterprises	M	2093
Lithgow - Mudgee		F	116
Lithgow - Mudgee		M	135
Lithgow - Mudgee	Contributing family workers	F	290
Lithgow - Mudgee	Contributing family workers	M	323
Lithgow - Mudgee	Employee	F	6569
Lithgow - Mudgee	Employee	M	7403
Lithgow - Mudgee	Owner managers of incorporated enterprises	F	350
Lithgow - Mudgee	Owner managers of incorporated enterprises	M	601
Lithgow - Mudgee	Owner managers of unincorporated enterprises	F	667
Lithgow - Mudgee	Owner managers of unincorporated enterprises	M	913
Orange		F	149
Orange		M	186
Orange	Contributing family workers	F	321
Orange	Contributing family workers	M	336
Orange	Employee	F	10610
Orange	Employee	M	10010
Orange	Owner managers of incorporated enterprises	F	426
Orange	Owner managers of incorporated enterprises	M	952
Orange	Owner managers of unincorporated enterprises	F	828
Orange	Owner managers of unincorporated enterprises	M	1269
Clarence Valley		F	126
Clarence Valley		M	147
Clarence Valley	Contributing family workers	F	235
Clarence Valley	Contributing family workers	M	268
Clarence Valley	Employee	F	6753
Clarence Valley	Employee	M	6031
Clarence Valley	Owner managers of incorporated enterprises	F	320
Clarence Valley	Owner managers of incorporated enterprises	M	584
Clarence Valley	Owner managers of unincorporated enterprises	F	727
Clarence Valley	Owner managers of unincorporated enterprises	M	1036
Coffs Harbour		F	200
Coffs Harbour		M	206
Coffs Harbour	Contributing family workers	F	381
Coffs Harbour	Contributing family workers	M	396
Coffs Harbour	Employee	F	14301
Coffs Harbour	Employee	M	11861
Coffs Harbour	Owner managers of incorporated enterprises	F	606
Coffs Harbour	Owner managers of incorporated enterprises	M	1280
Coffs Harbour	Owner managers of unincorporated enterprises	F	1414
Coffs Harbour	Owner managers of unincorporated enterprises	M	1964
Bourke - Cobar - Coonamble		F	83
Bourke - Cobar - Coonamble		M	130
Bourke - Cobar - Coonamble	Contributing family workers	F	321
Bourke - Cobar - Coonamble	Contributing family workers	M	403
Bourke - Cobar - Coonamble	Employee	F	3388
Bourke - Cobar - Coonamble	Employee	M	3610
Bourke - Cobar - Coonamble	Owner managers of incorporated enterprises	F	141
Bourke - Cobar - Coonamble	Owner managers of incorporated enterprises	M	357
Bourke - Cobar - Coonamble	Owner managers of unincorporated enterprises	F	385
Bourke - Cobar - Coonamble	Owner managers of unincorporated enterprises	M	819
Broken Hill and Far West		F	66
Broken Hill and Far West		M	88
Broken Hill and Far West	Contributing family workers	F	107
Broken Hill and Far West	Contributing family workers	M	112
Broken Hill and Far West	Employee	F	3293
Broken Hill and Far West	Employee	M	3281
Broken Hill and Far West	Owner managers of incorporated enterprises	F	128
Broken Hill and Far West	Owner managers of incorporated enterprises	M	220
Broken Hill and Far West	Owner managers of unincorporated enterprises	F	222
Broken Hill and Far West	Owner managers of unincorporated enterprises	M	358
Dubbo		F	166
Dubbo		M	259
Dubbo	Contributing family workers	F	462
Dubbo	Contributing family workers	M	624
Dubbo	Employee	F	11945
Dubbo	Employee	M	10381
Dubbo	Owner managers of incorporated enterprises	F	486
Dubbo	Owner managers of incorporated enterprises	M	1072
Dubbo	Owner managers of unincorporated enterprises	F	1078
Dubbo	Owner managers of unincorporated enterprises	M	1923
Lower Hunter		F	160
Lower Hunter		M	211
Lower Hunter	Contributing family workers	F	355
Lower Hunter	Contributing family workers	M	343
Lower Hunter	Employee	F	12289
Lower Hunter	Employee	M	15616
Lower Hunter	Owner managers of incorporated enterprises	F	557
Lower Hunter	Owner managers of incorporated enterprises	M	1064
Lower Hunter	Owner managers of unincorporated enterprises	F	841
Lower Hunter	Owner managers of unincorporated enterprises	M	1090
Maitland		F	119
Maitland		M	100
Maitland	Contributing family workers	F	207
Maitland	Contributing family workers	M	141
Maitland	Employee	F	12442
Maitland	Employee	M	10325
Maitland	Owner managers of incorporated enterprises	F	483
Maitland	Owner managers of incorporated enterprises	M	1062
Maitland	Owner managers of unincorporated enterprises	F	763
Maitland	Owner managers of unincorporated enterprises	M	804
Port Stephens		F	115
Port Stephens		M	153
Port Stephens	Contributing family workers	F	200
Port Stephens	Contributing family workers	M	194
Port Stephens	Employee	F	9496
Port Stephens	Employee	M	13020
Port Stephens	Owner managers of incorporated enterprises	F	511
Port Stephens	Owner managers of incorporated enterprises	M	1049
Port Stephens	Owner managers of unincorporated enterprises	F	848
Port Stephens	Owner managers of unincorporated enterprises	M	1032
Upper Hunter		F	79
Upper Hunter		M	104
Upper Hunter	Contributing family workers	F	203
Upper Hunter	Contributing family workers	M	191
Upper Hunter	Employee	F	5250
Upper Hunter	Employee	M	7164
Upper Hunter	Owner managers of incorporated enterprises	F	181
Upper Hunter	Owner managers of incorporated enterprises	M	376
Upper Hunter	Owner managers of unincorporated enterprises	F	411
Upper Hunter	Owner managers of unincorporated enterprises	M	576
Dapto - Port Kembla		F	104
Dapto - Port Kembla		M	154
Dapto - Port Kembla	Contributing family workers	F	149
Dapto - Port Kembla	Contributing family workers	M	97
Dapto - Port Kembla	Employee	F	9392
Dapto - Port Kembla	Employee	M	14826
Dapto - Port Kembla	Owner managers of incorporated enterprises	F	328
Dapto - Port Kembla	Owner managers of incorporated enterprises	M	1000
Dapto - Port Kembla	Owner managers of unincorporated enterprises	F	575
Dapto - Port Kembla	Owner managers of unincorporated enterprises	M	880
Illawarra Catchment Reserve	Employee	F	15
Illawarra Catchment Reserve	Employee	M	43
Kiama - Shellharbour		F	122
Kiama - Shellharbour		M	141
Kiama - Shellharbour	Contributing family workers	F	233
Kiama - Shellharbour	Contributing family workers	M	184
Kiama - Shellharbour	Employee	F	10717
Kiama - Shellharbour	Employee	M	7602
Kiama - Shellharbour	Owner managers of incorporated enterprises	F	520
Kiama - Shellharbour	Owner managers of incorporated enterprises	M	1098
Kiama - Shellharbour	Owner managers of unincorporated enterprises	F	985
Kiama - Shellharbour	Owner managers of unincorporated enterprises	M	1198
Wollongong		F	229
Wollongong		M	233
Wollongong	Contributing family workers	F	264
Wollongong	Contributing family workers	M	231
Wollongong	Employee	F	26692
Wollongong	Employee	M	17730
Wollongong	Owner managers of incorporated enterprises	F	872
Wollongong	Owner managers of incorporated enterprises	M	2032
Wollongong	Owner managers of unincorporated enterprises	F	1553
Wollongong	Owner managers of unincorporated enterprises	M	1828
Great Lakes		F	82
Great Lakes		M	89
Great Lakes	Contributing family workers	F	122
Great Lakes	Contributing family workers	M	130
Great Lakes	Employee	F	3905
Great Lakes	Employee	M	2970
Great Lakes	Owner managers of incorporated enterprises	F	209
Great Lakes	Owner managers of incorporated enterprises	M	387
Great Lakes	Owner managers of unincorporated enterprises	F	429
Great Lakes	Owner managers of unincorporated enterprises	M	678
Kempsey - Nambucca		F	126
Kempsey - Nambucca		M	146
Kempsey - Nambucca	Contributing family workers	F	240
Kempsey - Nambucca	Contributing family workers	M	279
Kempsey - Nambucca	Employee	F	6109
Kempsey - Nambucca	Employee	M	5529
Kempsey - Nambucca	Owner managers of incorporated enterprises	F	260
Kempsey - Nambucca	Owner managers of incorporated enterprises	M	450
Kempsey - Nambucca	Owner managers of unincorporated enterprises	F	666
