SA3_NAME16	CountryOfBirth	Sex	workers
Queanbeyan		F	350
Queanbeyan		M	465
Queanbeyan	AUS	F	4953
Queanbeyan	AUS	M	6803
Queanbeyan	CAN	F	14
Queanbeyan	CAN	M	18
Queanbeyan	CHN	F	53
Queanbeyan	CHN	M	67
Queanbeyan	HRV	F	7
Queanbeyan	HRV	M	20
Queanbeyan	EGY	M	4
Queanbeyan	FJI	F	28
Queanbeyan	FJI	M	21
Queanbeyan	MKD	F	25
Queanbeyan	MKD	M	47
Queanbeyan	DEU	F	30
Queanbeyan	DEU	M	40
Queanbeyan	GRC	F	6
Queanbeyan	GRC	M	17
Queanbeyan	HKG	F	8
Queanbeyan	HKG	M	13
Queanbeyan	IND	F	150
Queanbeyan	IND	M	217
Queanbeyan	IDN	F	14
Queanbeyan	IDN	M	3
Queanbeyan	IRN	F	9
Queanbeyan	IRN	M	12
Queanbeyan	IRQ	F	4
Queanbeyan	IRQ	M	11
Queanbeyan	IRL	F	9
Queanbeyan	IRL	M	30
Queanbeyan	ITA	F	15
Queanbeyan	ITA	M	38
Queanbeyan	JPN	M	4
Queanbeyan	LBN	M	5
Queanbeyan	MYS	F	23
Queanbeyan	MYS	M	19
Queanbeyan	MLT	F	3
Queanbeyan	MLT	M	9
Queanbeyan	NLD	F	9
Queanbeyan	NLD	M	17
Queanbeyan	NZL	F	97
Queanbeyan	NZL	M	174
Queanbeyan	PAK	F	11
Queanbeyan	PAK	M	35
Queanbeyan	PHL	F	85
Queanbeyan	PHL	M	76
Queanbeyan	POL	F	4
Queanbeyan	POL	M	11
Queanbeyan	SGP	F	6
Queanbeyan	SGP	M	17
Queanbeyan	ZAF	F	33
Queanbeyan	ZAF	M	38
Queanbeyan	KOR	F	10
Queanbeyan	KOR	M	21
Queanbeyan	LKA	F	18
Queanbeyan	LKA	M	42
Queanbeyan	THA	F	22
Queanbeyan	THA	M	10
Queanbeyan	TUR	F	3
Queanbeyan	TUR	M	7
Queanbeyan	GBR	F	217
Queanbeyan	GBR	M	303
Queanbeyan	USA	F	33
Queanbeyan	USA	M	34
Queanbeyan	VNM	F	26
Queanbeyan	VNM	M	23
Queanbeyan	ZWE	F	12
Queanbeyan	ZWE	M	12
Snowy Mountains		F	266
Snowy Mountains		M	245
Snowy Mountains	AUS	F	3866
Snowy Mountains	AUS	M	4250
Snowy Mountains	CAN	F	25
Snowy Mountains	CAN	M	12
Snowy Mountains	CHN	F	13
Snowy Mountains	CHN	M	12
Snowy Mountains	HRV	F	5
Snowy Mountains	EGY	F	4
Snowy Mountains	FJI	F	6
Snowy Mountains	FJI	M	4
Snowy Mountains	DEU	F	21
Snowy Mountains	DEU	M	16
Snowy Mountains	GRC	M	4
Snowy Mountains	HKG	F	16
Snowy Mountains	HKG	M	14
Snowy Mountains	IND	F	6
Snowy Mountains	IND	M	13
Snowy Mountains	IDN	F	7
Snowy Mountains	IDN	M	5
Snowy Mountains	IRL	F	6
Snowy Mountains	IRL	M	9
Snowy Mountains	ITA	F	9
Snowy Mountains	ITA	M	14
Snowy Mountains	JPN	F	12
Snowy Mountains	LBN	M	3
Snowy Mountains	MYS	F	8
Snowy Mountains	MLT	F	3
Snowy Mountains	NLD	F	15
Snowy Mountains	NLD	M	10
Snowy Mountains	NZL	F	89
Snowy Mountains	NZL	M	79
Snowy Mountains	PAK	M	3
Snowy Mountains	PHL	F	19
Snowy Mountains	PHL	M	3
Snowy Mountains	POL	F	14
Snowy Mountains	POL	M	7
Snowy Mountains	SGP	F	6
Snowy Mountains	SGP	M	3
Snowy Mountains	ZAF	F	16
Snowy Mountains	ZAF	M	18
Snowy Mountains	KOR	F	3
Snowy Mountains	KOR	M	11
Snowy Mountains	LKA	F	3
Snowy Mountains	LKA	M	11
Snowy Mountains	THA	F	23
Snowy Mountains	THA	M	3
Snowy Mountains	TUR	F	3
Snowy Mountains	TUR	M	4
Snowy Mountains	GBR	F	180
Snowy Mountains	GBR	M	191
Snowy Mountains	USA	F	22
Snowy Mountains	USA	M	30
Snowy Mountains	VNM	F	4
Snowy Mountains	VNM	M	3
Snowy Mountains	ZWE	M	9
South Coast		F	514
South Coast		M	448
South Coast	AUS	F	10728
South Coast	AUS	M	9892
South Coast	CAN	F	26
South Coast	CAN	M	25
South Coast	CHN	F	21
South Coast	CHN	M	17
South Coast	HRV	F	4
South Coast	HRV	M	4
South Coast	EGY	F	4
South Coast	EGY	M	8
South Coast	FJI	F	14
South Coast	FJI	M	5
South Coast	DEU	F	61
South Coast	DEU	M	54
South Coast	GRC	M	11
South Coast	HKG	F	10
South Coast	HKG	M	9
South Coast	IND	F	39
South Coast	IND	M	34
South Coast	IDN	F	3
South Coast	IRN	F	3
South Coast	IRN	M	3
South Coast	IRQ	M	3
South Coast	IRL	F	24
South Coast	IRL	M	14
South Coast	ITA	F	10
South Coast	ITA	M	22
South Coast	JPN	F	7
South Coast	LBN	F	3
South Coast	LBN	M	4
South Coast	MYS	F	21
South Coast	MYS	M	16
South Coast	MLT	F	7
South Coast	MLT	M	9
South Coast	NLD	F	33
South Coast	NLD	M	39
South Coast	NZL	F	196
South Coast	NZL	M	175
South Coast	PHL	F	81
South Coast	PHL	M	22
South Coast	POL	F	13
South Coast	POL	M	10
South Coast	SGP	F	4
South Coast	SGP	M	9
South Coast	ZAF	F	34
South Coast	ZAF	M	49
South Coast	KOR	F	6
South Coast	KOR	M	6
South Coast	LKA	F	4
South Coast	LKA	M	11
South Coast	THA	F	30
South Coast	THA	M	7
South Coast	TUR	F	4
South Coast	GBR	F	491
South Coast	GBR	M	514
South Coast	USA	F	47
South Coast	USA	M	44
South Coast	VNM	F	25
South Coast	VNM	M	16
South Coast	ZWE	F	10
South Coast	ZWE	M	6
Goulburn - Mulwaree		F	250
Goulburn - Mulwaree		M	260
Goulburn - Mulwaree	AUS	F	5781
Goulburn - Mulwaree	AUS	M	5927
Goulburn - Mulwaree	CAN	F	5
Goulburn - Mulwaree	CAN	M	3
Goulburn - Mulwaree	CHN	F	26
Goulburn - Mulwaree	CHN	M	32
Goulburn - Mulwaree	EGY	F	5
Goulburn - Mulwaree	EGY	M	3
Goulburn - Mulwaree	FJI	F	15
Goulburn - Mulwaree	FJI	M	3
Goulburn - Mulwaree	DEU	F	17
Goulburn - Mulwaree	DEU	M	15
Goulburn - Mulwaree	GRC	M	4
Goulburn - Mulwaree	HKG	F	4
Goulburn - Mulwaree	HKG	M	8
Goulburn - Mulwaree	IND	F	40
Goulburn - Mulwaree	IND	M	79
Goulburn - Mulwaree	IDN	F	4
Goulburn - Mulwaree	IDN	M	3
Goulburn - Mulwaree	IRN	F	3
Goulburn - Mulwaree	IRN	M	4
Goulburn - Mulwaree	IRQ	F	4
Goulburn - Mulwaree	IRQ	M	7
Goulburn - Mulwaree	IRL	F	10
Goulburn - Mulwaree	IRL	M	13
Goulburn - Mulwaree	ITA	F	3
Goulburn - Mulwaree	ITA	M	7
Goulburn - Mulwaree	JPN	F	3
Goulburn - Mulwaree	JPN	M	3
Goulburn - Mulwaree	LBN	M	10
Goulburn - Mulwaree	MYS	F	15
Goulburn - Mulwaree	MYS	M	8
Goulburn - Mulwaree	MLT	F	3
Goulburn - Mulwaree	MLT	M	7
Goulburn - Mulwaree	NLD	F	12
Goulburn - Mulwaree	NLD	M	8
Goulburn - Mulwaree	NZL	F	77
Goulburn - Mulwaree	NZL	M	74
Goulburn - Mulwaree	PAK	M	9
Goulburn - Mulwaree	PHL	F	50
Goulburn - Mulwaree	PHL	M	23
Goulburn - Mulwaree	POL	F	4
Goulburn - Mulwaree	SGP	M	3
Goulburn - Mulwaree	ZAF	F	7
Goulburn - Mulwaree	ZAF	M	15
Goulburn - Mulwaree	KOR	F	25
Goulburn - Mulwaree	KOR	M	34
Goulburn - Mulwaree	LKA	F	10
Goulburn - Mulwaree	LKA	M	7
Goulburn - Mulwaree	THA	F	10
Goulburn - Mulwaree	THA	M	11
Goulburn - Mulwaree	TUR	M	3
Goulburn - Mulwaree	GBR	F	167
Goulburn - Mulwaree	GBR	M	171
Goulburn - Mulwaree	USA	F	14
Goulburn - Mulwaree	USA	M	18
Goulburn - Mulwaree	VNM	F	11
Goulburn - Mulwaree	VNM	M	9
Goulburn - Mulwaree	ZWE	F	10
Goulburn - Mulwaree	ZWE	M	4
Young - Yass		F	221
Young - Yass		M	223
Young - Yass	AUS	F	4859
Young - Yass	AUS	M	5104
Young - Yass	CAN	F	5
Young - Yass	CAN	M	9
Young - Yass	CHN	F	22
Young - Yass	CHN	M	22
Young - Yass	HRV	F	6
Young - Yass	FJI	F	4
Young - Yass	FJI	M	4
Young - Yass	MKD	F	7
Young - Yass	DEU	F	15
Young - Yass	DEU	M	16
Young - Yass	GRC	M	10
Young - Yass	HKG	F	4
Young - Yass	HKG	M	7
Young - Yass	IND	F	15
Young - Yass	IND	M	41
Young - Yass	IDN	F	7
Young - Yass	IDN	M	3
Young - Yass	IRQ	M	3
Young - Yass	IRL	F	18
Young - Yass	IRL	M	7
Young - Yass	ITA	M	11
Young - Yass	JPN	F	3
Young - Yass	LBN	F	3
Young - Yass	LBN	M	14
Young - Yass	MYS	M	8
Young - Yass	MLT	F	3
Young - Yass	MLT	M	4
Young - Yass	NLD	F	15
Young - Yass	NLD	M	7
Young - Yass	NZL	F	71
Young - Yass	NZL	M	71
Young - Yass	PAK	M	3
Young - Yass	PHL	F	17
Young - Yass	PHL	M	9
Young - Yass	POL	F	3
Young - Yass	POL	M	5
Young - Yass	SGP	F	3
Young - Yass	ZAF	F	15
Young - Yass	ZAF	M	19
Young - Yass	KOR	F	3
Young - Yass	KOR	M	5
Young - Yass	LKA	F	8
Young - Yass	LKA	M	9
Young - Yass	THA	F	7
Young - Yass	GBR	F	142
Young - Yass	GBR	M	138
Young - Yass	USA	F	23
Young - Yass	USA	M	19
Young - Yass	VNM	F	5
Young - Yass	VNM	M	3
Young - Yass	ZWE	M	3
Gosford		F	1109
Gosford		M	1020
Gosford	AUS	F	26289
Gosford	AUS	M	21285
Gosford	CAN	F	97
Gosford	CAN	M	76
Gosford	CHN	F	217
Gosford	CHN	M	160
Gosford	HRV	F	13
Gosford	HRV	M	19
Gosford	EGY	F	23
Gosford	EGY	M	39
Gosford	FJI	F	52
Gosford	FJI	M	50
Gosford	MKD	F	4
Gosford	MKD	M	3
Gosford	DEU	F	90
Gosford	DEU	M	71
Gosford	GRC	F	7
Gosford	GRC	M	20
Gosford	HKG	F	45
Gosford	HKG	M	53
Gosford	IND	F	195
Gosford	IND	M	305
Gosford	IDN	F	53
Gosford	IDN	M	54
Gosford	IRN	F	12
Gosford	IRN	M	33
Gosford	IRQ	F	10
Gosford	IRQ	M	14
Gosford	IRL	F	101
Gosford	IRL	M	91
Gosford	ITA	F	38
Gosford	ITA	M	63
Gosford	JPN	F	57
Gosford	JPN	M	20
Gosford	LBN	F	16
Gosford	LBN	M	32
Gosford	MYS	F	66
Gosford	MYS	M	79
Gosford	MLT	F	20
Gosford	MLT	M	32
Gosford	NLD	F	56
Gosford	NLD	M	49
Gosford	NZL	F	750
Gosford	NZL	M	637
Gosford	PAK	F	9
Gosford	PAK	M	31
Gosford	PHL	F	274
Gosford	PHL	M	122
Gosford	POL	F	37
Gosford	POL	M	37
Gosford	SGP	F	23
Gosford	SGP	M	17
Gosford	ZAF	F	237
Gosford	ZAF	M	193
Gosford	KOR	F	99
Gosford	KOR	M	93
Gosford	LKA	F	31
Gosford	LKA	M	58
Gosford	THA	F	140
Gosford	THA	M	49
Gosford	TUR	F	7
Gosford	TUR	M	17
Gosford	GBR	F	1801
Gosford	GBR	M	1530
Gosford	USA	F	133
Gosford	USA	M	114
Gosford	VNM	F	65
Gosford	VNM	M	50
Gosford	ZWE	F	38
Gosford	ZWE	M	37
Wyong		F	780
Wyong		M	757
Wyong	AUS	F	20677
Wyong	AUS	M	18120
Wyong	CAN	F	36
Wyong	CAN	M	33
Wyong	CHN	F	141
Wyong	CHN	M	106
Wyong	HRV	F	16
Wyong	HRV	M	14
Wyong	EGY	F	8
Wyong	EGY	M	26
Wyong	FJI	F	29
Wyong	FJI	M	36
Wyong	MKD	F	7
Wyong	MKD	M	4
Wyong	DEU	F	54
Wyong	DEU	M	40
Wyong	GRC	F	9
Wyong	GRC	M	13
Wyong	HKG	F	21
Wyong	HKG	M	23
Wyong	IND	F	133
Wyong	IND	M	218
Wyong	IDN	F	28
Wyong	IDN	M	17
Wyong	IRN	F	19
Wyong	IRN	M	13
Wyong	IRQ	M	6
Wyong	IRL	F	62
Wyong	IRL	M	66
Wyong	ITA	F	16
Wyong	ITA	M	40
Wyong	JPN	F	21
Wyong	JPN	M	4
Wyong	LBN	F	18
Wyong	LBN	M	24
Wyong	MYS	F	40
Wyong	MYS	M	51
Wyong	MLT	F	18
Wyong	MLT	M	36
Wyong	NLD	F	41
Wyong	NLD	M	40
Wyong	NZL	F	490
Wyong	NZL	M	443
Wyong	PAK	F	13
Wyong	PAK	M	16
Wyong	PHL	F	240
Wyong	PHL	M	77
Wyong	POL	F	12
Wyong	POL	M	7
Wyong	SGP	F	13
Wyong	SGP	M	11
Wyong	ZAF	F	99
Wyong	ZAF	M	110
Wyong	KOR	F	34
Wyong	KOR	M	37
Wyong	LKA	F	25
Wyong	LKA	M	17
Wyong	THA	F	92
Wyong	THA	M	29
Wyong	TUR	M	3
Wyong	GBR	F	1073
Wyong	GBR	M	982
Wyong	USA	F	67
Wyong	USA	M	71
Wyong	VNM	F	55
Wyong	VNM	M	27
Wyong	ZWE	F	32
Wyong	ZWE	M	30
Bathurst		F	298
Bathurst		M	298
Bathurst	AUS	F	8697
Bathurst	AUS	M	8631
Bathurst	CAN	F	22
Bathurst	CAN	M	16
Bathurst	CHN	F	28
Bathurst	CHN	M	34
Bathurst	HRV	F	5
Bathurst	HRV	M	4
Bathurst	EGY	M	9
Bathurst	FJI	F	4
Bathurst	FJI	M	13
Bathurst	MKD	M	3
Bathurst	DEU	F	26
Bathurst	DEU	M	18
Bathurst	GRC	F	4
Bathurst	GRC	M	3
Bathurst	HKG	F	4
Bathurst	HKG	M	3
Bathurst	IND	F	53
Bathurst	IND	M	79
Bathurst	IDN	F	3
Bathurst	IDN	M	4
Bathurst	IRN	F	9
Bathurst	IRN	M	9
Bathurst	IRQ	M	3
Bathurst	IRL	F	24
Bathurst	IRL	M	20
Bathurst	ITA	F	8
Bathurst	ITA	M	11
Bathurst	JPN	F	4
Bathurst	JPN	M	8
Bathurst	LBN	F	3
Bathurst	LBN	M	10
Bathurst	MYS	F	16
Bathurst	MYS	M	8
Bathurst	MLT	F	7
Bathurst	MLT	M	6
Bathurst	NLD	F	14
Bathurst	NLD	M	21
Bathurst	NZL	F	145
Bathurst	NZL	M	145
Bathurst	PAK	F	3
Bathurst	PAK	M	14
Bathurst	PHL	F	65
Bathurst	PHL	M	37
Bathurst	POL	F	4
Bathurst	POL	M	3
Bathurst	SGP	F	7
Bathurst	SGP	M	3
Bathurst	ZAF	F	30
Bathurst	ZAF	M	40
Bathurst	KOR	F	6
Bathurst	KOR	M	12
Bathurst	LKA	F	16
Bathurst	LKA	M	18
Bathurst	THA	F	22
Bathurst	THA	M	20
Bathurst	TUR	M	3
Bathurst	GBR	F	257
Bathurst	GBR	M	234
Bathurst	USA	F	32
Bathurst	USA	M	23
Bathurst	VNM	F	13
Bathurst	VNM	M	16
Bathurst	ZWE	F	11
Bathurst	ZWE	M	8
Lachlan Valley		F	303
Lachlan Valley		M	366
Lachlan Valley	AUS	F	9083
Lachlan Valley	AUS	M	10216
Lachlan Valley	CAN	F	14
Lachlan Valley	CAN	M	9
