SA3_NAME16	LabourForceStatus	Sex	workers
Queanbeyan		F	96
Queanbeyan		M	175
Queanbeyan	Employed (away from work)	F	250
Queanbeyan	Employed (away from work)	M	232
Queanbeyan	Employed (full-time)	F	3032
Queanbeyan	Employed (full-time)	M	6598
Queanbeyan	Employed (part-time)	F	2907
Queanbeyan	Employed (part-time)	M	1659
Snowy Mountains		F	104
Snowy Mountains		M	121
Snowy Mountains	Employed (away from work)	F	155
Snowy Mountains	Employed (away from work)	M	137
Snowy Mountains	Employed (full-time)	F	2430
Snowy Mountains	Employed (full-time)	M	3645
Snowy Mountains	Employed (part-time)	F	1983
Snowy Mountains	Employed (part-time)	M	1086
South Coast		F	230
South Coast		M	271
South Coast	Employed (away from work)	F	599
South Coast	Employed (away from work)	M	406
South Coast	Employed (full-time)	F	4836
South Coast	Employed (full-time)	M	7379
South Coast	Employed (part-time)	F	6812
South Coast	Employed (part-time)	M	3435
Goulburn - Mulwaree		F	114
Goulburn - Mulwaree		M	154
Goulburn - Mulwaree	Employed (away from work)	F	287
Goulburn - Mulwaree	Employed (away from work)	M	203
Goulburn - Mulwaree	Employed (full-time)	F	3050
Goulburn - Mulwaree	Employed (full-time)	M	5052
Goulburn - Mulwaree	Employed (part-time)	F	3136
Goulburn - Mulwaree	Employed (part-time)	M	1370
Young - Yass		F	112
Young - Yass		M	151
Young - Yass	Employed (away from work)	F	224
Young - Yass	Employed (away from work)	M	165
Young - Yass	Employed (full-time)	F	2335
Young - Yass	Employed (full-time)	M	4186
Young - Yass	Employed (part-time)	F	2841
Young - Yass	Employed (part-time)	M	1275
Gosford		F	483
Gosford		M	573
Gosford	Employed (away from work)	F	1365
Gosford	Employed (away from work)	M	729
Gosford	Employed (full-time)	F	13324
Gosford	Employed (full-time)	M	18716
Gosford	Employed (part-time)	F	17051
Gosford	Employed (part-time)	M	6531
Wyong		F	397
Wyong		M	466
Wyong	Employed (away from work)	F	1065
Wyong	Employed (away from work)	M	582
Wyong	Employed (full-time)	F	10036
Wyong	Employed (full-time)	M	15254
Wyong	Employed (part-time)	F	12903
Wyong	Employed (part-time)	M	5262
Bathurst		F	190
Bathurst		M	207
Bathurst	Employed (away from work)	F	457
Bathurst	Employed (away from work)	M	282
Bathurst	Employed (full-time)	F	4570
