SA3_NAME16	LabourForceStatus	workers
Queanbeyan		271
Queanbeyan	Employed (away from work)	477
Queanbeyan	Employed (full-time)	9631
Queanbeyan	Employed (part-time)	4566
Snowy Mountains		224
Snowy Mountains	Employed (away from work)	295
Snowy Mountains	Employed (full-time)	6074
Snowy Mountains	Employed (part-time)	3068
South Coast		500
South Coast	Employed (away from work)	1006
South Coast	Employed (full-time)	12217
South Coast	Employed (part-time)	10251
Goulburn - Mulwaree		267
Goulburn - Mulwaree	Employed (away from work)	491
Goulburn - Mulwaree	Employed (full-time)	8104
Goulburn - Mulwaree	Employed (part-time)	4510
Young - Yass		264
Young - Yass	Employed (away from work)	386
Young - Yass	Employed (full-time)	6518
Young - Yass	Employed (part-time)	4122
Gosford		1053
Gosford	Employed (away from work)	2091
Gosford	Employed (full-time)	32044
Gosford	Employed (part-time)	23585
Wyong		857
Wyong	Employed (away from work)	1641
Wyong	Employed (full-time)	25290
Wyong	Employed (part-time)	18162
Bathurst		395
Bathurst	Employed (away from work)	743
Bathurst	Employed (full-time)	11953
Bathurst	Employed (part-time)	6523
Lachlan Valley		555
Lachlan Valley	Employed (away from work)	810
Lachlan Valley	Employed (full-time)	13124
Lachlan Valley	Employed (part-time)	6637
Lithgow - Mudgee		351
Lithgow - Mudgee	Employed (away from work)	666
Lithgow - Mudgee	Employed (full-time)	10595
Lithgow - Mudgee	Employed (part-time)	5760
Orange		450
Orange	Employed (away from work)	960
Orange	Employed (full-time)	16015
Orange	Employed (part-time)	7655
Clarence Valley		349
Clarence Valley	Employed (away from work)	645
Clarence Valley	Employed (full-time)	8809
Clarence Valley	Employed (part-time)	6428
Coffs Harbour		607
Coffs Harbour	Employed (away from work)	1159
Coffs Harbour	Employed (full-time)	17486
Coffs Harbour	Employed (part-time)	13360
Bourke - Cobar - Coonamble		293
Bourke - Cobar - Coonamble	Employed (away from work)	380
Bourke - Cobar - Coonamble	Employed (full-time)	6624
Bourke - Cobar - Coonamble	Employed (part-time)	2348
Broken Hill and Far West		200
Broken Hill and Far West	Employed (away from work)	352
Broken Hill and Far West	Employed (full-time)	5016
Broken Hill and Far West	Employed (part-time)	2291
Dubbo		599
Dubbo	Employed (away from work)	997
Dubbo	Employed (full-time)	18450
Dubbo	Employed (part-time)	8352
Lower Hunter		640
Lower Hunter	Employed (away from work)	1236
Lower Hunter	Employed (full-time)	20044
Lower Hunter	Employed (part-time)	10601
Maitland		447
Maitland	Employed (away from work)	899
Maitland	Employed (full-time)	15164
Maitland	Employed (part-time)	9926
