SA3_NAME16	Sex	workers
Queanbeyan	F	6287
Queanbeyan	M	8660
Snowy Mountains	F	4675
Snowy Mountains	M	4987
South Coast	F	12482
South Coast	M	11494
Goulburn - Mulwaree	F	6592
Goulburn - Mulwaree	M	6777
Young - Yass	F	5507
Young - Yass	M	5775
Gosford	F	32229
Gosford	M	26543
Wyong	F	24406
Wyong	M	21556
Bathurst	F	9844
Bathurst	M	9771
Lachlan Valley	F	9973
Lachlan Valley	M	11152
Lithgow - Mudgee	F	7992
Lithgow - Mudgee	M	9378
Orange	F	12333
Orange	M	12755
Clarence Valley	F	8163
Clarence Valley	M	8065
Coffs Harbour	F	16903
Coffs Harbour	M	15706
Bourke - Cobar - Coonamble	F	4319
Bourke - Cobar - Coonamble	M	5320
Broken Hill and Far West	F	3813
Broken Hill and Far West	M	4049
Dubbo	F	14134
Dubbo	M	14264
Lower Hunter	F	14196
Lower Hunter	M	18327
Maitland	F	14012
Maitland	M	12423
Port Stephens	F	11158
Port Stephens	M	15449
Upper Hunter	F	6123
Upper Hunter	M	8415
Dapto - Port Kembla	F	10547
Dapto - Port Kembla	M	16952
Illawarra Catchment Reserve	F	22
Illawarra Catchment Reserve	M	47
Kiama - Shellharbour	F	12578
Kiama - Shellharbour	M	10223
Wollongong	F	29604
Wollongong	M	22054
Great Lakes	F	4741
Great Lakes	M	4255
Kempsey - Nambucca	F	7404
Kempsey - Nambucca	M	7460
Lord Howe Island	F	104
Lord Howe Island	M	112
Port Macquarie	F	14331
Port Macquarie	M	13186
Taree - Gloucester	F	8637
Taree - Gloucester	M	8133
Albury	F	14810
Albury	M	13252
Lower Murray	F	2181
Lower Murray	M	2949
Upper Murray exc. Albury	F	7293
Upper Murray exc. Albury	M	8661
Armidale	F	7761
Armidale	M	7804
Inverell - Tenterfield	F	6481
Inverell - Tenterfield	M	6858
Moree - Narrabri	F	5076
Moree - Narrabri	M	5945
Tamworth - Gunnedah	F	16367
Tamworth - Gunnedah	M	17404
Lake Macquarie - East	F	21417
Lake Macquarie - East	M	18656
Lake Macquarie - West	F	8888
Lake Macquarie - West	M	8710
Newcastle	F	49864
Newcastle	M	48059
Richmond Valley - Coastal	F	14871
Richmond Valley - Coastal	M	14126
Richmond Valley - Hinterland	F	14498
Richmond Valley - Hinterland	M	14120
Tweed Valley	F	15099
Tweed Valley	M	13061
Griffith - Murrumbidgee (West)	F	9783
Griffith - Murrumbidgee (West)	M	11423
Tumut - Tumbarumba	F	2620
Tumut - Tumbarumba	M	3284
Wagga Wagga	F	19944
Wagga Wagga	M	20944
Shoalhaven	F	16910
Shoalhaven	M	16704
Southern Highlands	F	9401
Southern Highlands	M	8543
Baulkham Hills	F	28728
Baulkham Hills	M	26699
Dural - Wisemans Ferry	F	4863
Dural - Wisemans Ferry	M	5268
Hawkesbury	F	1883
Hawkesbury	M	2230
Rouse Hill - McGraths Hill	F	5258
Rouse Hill - McGraths Hill	M	5547
Blacktown	F	21077
Blacktown	M	25480
Blacktown - North	F	7128
Blacktown - North	M	7679
Mount Druitt	F	17436
Mount Druitt	M	27603
Botany	F	21993
Botany	M	37320
Marrickville - Sydenham - Petersham	F	10075
Marrickville - Sydenham - Petersham	M	13981
Sydney Inner City	F	232263
Sydney Inner City	M	262719
Eastern Suburbs - North	F	26347
Eastern Suburbs - North	M	24023
Eastern Suburbs - South	F	22643
Eastern Suburbs - South	M	18855
Bankstown	F	25755
Bankstown	M	33917
Canterbury	F	13032
Canterbury	M	15443
Hurstville	F	14291
Hurstville	M	13131
Kogarah - Rockdale	F	17225
Kogarah - Rockdale	M	15843
Canada Bay	F	16455
Canada Bay	M	17006
Leichhardt	F	10407
Leichhardt	M	10734
Strathfield - Burwood - Ashfield	F	25659
Strathfield - Burwood - Ashfield	M	26966
Chatswood - Lane Cove	F	38622
Chatswood - Lane Cove	M	41017
Hornsby	F	13403
Hornsby	M	13579
Ku-ring-gai	F	17532
Ku-ring-gai	M	12747
North Sydney - Mosman	F	35477
North Sydney - Mosman	M	41250
Manly	F	7451
Manly	M	6286
Pittwater	F	10900
Pittwater	M	10256
Warringah	F	25900
Warringah	M	27432
Camden	F	9684
Camden	M	10676
Campbelltown (NSW)	F	24164
Campbelltown (NSW)	M	24055
Wollondilly	F	4251
Wollondilly	M	5825
Blue Mountains	F	10404
Blue Mountains	M	7956
Blue Mountains - South	F	6
Blue Mountains - South	M	5
Penrith	F	26013
Penrith	M	22549
Richmond - Windsor	F	8377
Richmond - Windsor	M	8689
St Marys	F	7035
St Marys	M	11222
Auburn	F	20471
Auburn	M	33891
Carlingford	F	8503
Carlingford	M	11299
Merrylands - Guildford	F	19206
Merrylands - Guildford	M	31191
Parramatta	F	50364
Parramatta	M	43435
Pennant Hills - Epping	F	5741
Pennant Hills - Epping	M	4823
Ryde - Hunters Hill	F	41813
Ryde - Hunters Hill	M	47224
Bringelly - Green Valley	F	8012
