SA3_NAME16	Occupation	OccupationSubtype	workers
Gosford	Machinery operators and drivers	Machinery operators and drivers nfd	63
Gosford	Machinery operators and drivers	Mobile plant operators	384
Gosford	Machinery operators and drivers	Road and rail drivers	1388
Gosford	Machinery operators and drivers	Storepersons	483
Gosford	Managers	Chief executives general managers and legislators	501
Gosford	Managers	Farmers and farm managers	345
Gosford	Managers	Hospitality retail and service managers	2549
Gosford	Managers	Managers nfd	150
Gosford	Managers	Specialist managers	2881
Gosford	Professionals	Arts and media professionals	460
Gosford	Professionals	Business human resource and marketing professionals	1894
Gosford	Professionals	Design engineering science and transport professionals	1112
Gosford	Professionals	Education professionals	3110
Gosford	Professionals	Health professionals	4451
Gosford	Professionals	Information and Communication Technology ICT professionals	453
Gosford	Professionals	Legal social and welfare professionals	991
Gosford	Professionals	Professionals nfd	71
Gosford	Sales workers	Sales assistants and salespersons	4824
Gosford	Sales workers	Sales representatives and agents	1070
Gosford	Sales workers	Sales support workers	885
Gosford	Sales workers	Sales workers nfd	13
Gosford	Technicians and trades workers	Automotive and engineering trades workers	1409
Gosford	Technicians and trades workers	Construction trades workers	1696
Gosford	Technicians and trades workers	Electrotechnology and telecommunications trades workers	688
Gosford	Technicians and trades workers	Engineering ICT and science technicians	999
Gosford	Technicians and trades workers	Food trades workers	1019
Gosford	Technicians and trades workers	Other technicians and trades workers	926
Gosford	Technicians and trades workers	Skilled animal and horticultural workers	760
Gosford	Technicians and trades workers	Technicians and trades workers nfd	70
Wyong			739
Wyong	Clerical and administrative workers	Clerical and administrative workers nfd	14
Wyong	Clerical and administrative workers	Clerical and office support workers	333
Wyong	Clerical and administrative workers	General clerical workers	1155
Wyong	Clerical and administrative workers	Inquiry clerks and receptionists	1383
Wyong	Clerical and administrative workers	Numerical clerks	1218
Wyong	Clerical and administrative workers	Office managers and program administrators	889
Wyong	Clerical and administrative workers	Other clerical and administrative workers	724
Wyong	Clerical and administrative workers	Personal assistants and secretaries	393
Wyong	Community and personal service workers	Carers and aides	2837
Wyong	Community and personal service workers	Community and personal service workers nfd	3
Wyong	Community and personal service workers	Health and welfare support workers	681
Wyong	Community and personal service workers	Hospitality workers	1353
Wyong	Community and personal service workers	Protective service workers	520
Wyong	Community and personal service workers	Sports and personal service workers	703
Wyong	Labourers	Cleaners and laundry workers	1029
Wyong	Labourers	Construction and mining labourers	726
Wyong	Labourers	Factory process workers	842
Wyong	Labourers	Farm forestry and garden workers	279
Wyong	Labourers	Food preparation assistants	977
Wyong	Labourers	Labourers nfd	119
Wyong	Labourers	Other labourers	936
Wyong	Machinery operators and drivers	Machine and stationary plant operators	526
Wyong	Machinery operators and drivers	Machinery operators and drivers nfd	59
Wyong	Machinery operators and drivers	Mobile plant operators	503
Wyong	Machinery operators and drivers	Road and rail drivers	1393
Wyong	Machinery operators and drivers	Storepersons	696
Wyong	Managers	Chief executives general managers and legislators	305
Wyong	Managers	Farmers and farm managers	77
Wyong	Managers	Hospitality retail and service managers	2063
Wyong	Managers	Managers nfd	119
Wyong	Managers	Specialist managers	2079
Wyong	Professionals	Arts and media professionals	200
Wyong	Professionals	Business human resource and marketing professionals	1160
Wyong	Professionals	Design engineering science and transport professionals	713
Wyong	Professionals	Education professionals	2521
Wyong	Professionals	Health professionals	2415
Wyong	Professionals	Information and Communication Technology ICT professionals	259
Wyong	Professionals	Legal social and welfare professionals	645
Wyong	Professionals	Professionals nfd	40
Wyong	Sales workers	Sales assistants and salespersons	4337
Wyong	Sales workers	Sales representatives and agents	774
Wyong	Sales workers	Sales support workers	853
Wyong	Sales workers	Sales workers nfd	6
Wyong	Technicians and trades workers	Automotive and engineering trades workers	1175
Wyong	Technicians and trades workers	Construction trades workers	1359
Wyong	Technicians and trades workers	Electrotechnology and telecommunications trades workers	828
Wyong	Technicians and trades workers	Engineering ICT and science technicians	731
Wyong	Technicians and trades workers	Food trades workers	754
Wyong	Technicians and trades workers	Other technicians and trades workers	892
Wyong	Technicians and trades workers	Skilled animal and horticultural workers	573
Wyong	Technicians and trades workers	Technicians and trades workers nfd	60
Bathurst			333
Bathurst	Clerical and administrative workers	Clerical and administrative workers nfd	4
Bathurst	Clerical and administrative workers	Clerical and office support workers	131
Bathurst	Clerical and administrative workers	General clerical workers	536
Bathurst	Clerical and administrative workers	Inquiry clerks and receptionists	406
Bathurst	Clerical and administrative workers	Numerical clerks	440
Bathurst	Clerical and administrative workers	Office managers and program administrators	389
Bathurst	Clerical and administrative workers	Other clerical and administrative workers	284
Bathurst	Clerical and administrative workers	Personal assistants and secretaries	176
Bathurst	Community and personal service workers	Carers and aides	1044
Bathurst	Community and personal service workers	Health and welfare support workers	290
Bathurst	Community and personal service workers	Hospitality workers	517
Bathurst	Community and personal service workers	Protective service workers	477
Bathurst	Community and personal service workers	Sports and personal service workers	312
Bathurst	Labourers	Cleaners and laundry workers	574
Bathurst	Labourers	Construction and mining labourers	213
Bathurst	Labourers	Factory process workers	552
Bathurst	Labourers	Farm forestry and garden workers	230
Bathurst	Labourers	Food preparation assistants	313
Bathurst	Labourers	Labourers nfd	48
Bathurst	Labourers	Other labourers	323
Bathurst	Machinery operators and drivers	Machine and stationary plant operators	297
Bathurst	Machinery operators and drivers	Machinery operators and drivers nfd	33
Bathurst	Machinery operators and drivers	Mobile plant operators	296
Bathurst	Machinery operators and drivers	Road and rail drivers	575
Bathurst	Machinery operators and drivers	Storepersons	80
Bathurst	Managers	Chief executives general managers and legislators	110
Bathurst	Managers	Farmers and farm managers	635
Bathurst	Managers	Hospitality retail and service managers	827
Bathurst	Managers	Managers nfd	38
Bathurst	Managers	Specialist managers	951
Bathurst	Professionals	Arts and media professionals	85
Bathurst	Professionals	Business human resource and marketing professionals	570
Bathurst	Professionals	Design engineering science and transport professionals	385
Bathurst	Professionals	Education professionals	1228
Bathurst	Professionals	Health professionals	838
Bathurst	Professionals	Information and Communication Technology ICT professionals	124
Bathurst	Professionals	Legal social and welfare professionals	295
Bathurst	Professionals	Professionals nfd	44
Bathurst	Sales workers	Sales assistants and salespersons	1486
Bathurst	Sales workers	Sales representatives and agents	252
Bathurst	Sales workers	Sales support workers	245
Bathurst	Sales workers	Sales workers nfd	4
Bathurst	Technicians and trades workers	Automotive and engineering trades workers	652
Bathurst	Technicians and trades workers	Construction trades workers	487
Bathurst	Technicians and trades workers	Electrotechnology and telecommunications trades workers	346
Bathurst	Technicians and trades workers	Engineering ICT and science technicians	340
Bathurst	Technicians and trades workers	Food trades workers	319
Bathurst	Technicians and trades workers	Other technicians and trades workers	256
Bathurst	Technicians and trades workers	Skilled animal and horticultural workers	219
Bathurst	Technicians and trades workers	Technicians and trades workers nfd	29
Lachlan Valley			405
Lachlan Valley	Clerical and administrative workers	Clerical and administrative workers nfd	3
Lachlan Valley	Clerical and administrative workers	Clerical and office support workers	170
Lachlan Valley	Clerical and administrative workers	General clerical workers	493
Lachlan Valley	Clerical and administrative workers	Inquiry clerks and receptionists	280
Lachlan Valley	Clerical and administrative workers	Numerical clerks	465
Lachlan Valley	Clerical and administrative workers	Office managers and program administrators	340
Lachlan Valley	Clerical and administrative workers	Other clerical and administrative workers	227
Lachlan Valley	Clerical and administrative workers	Personal assistants and secretaries	232
Lachlan Valley	Community and personal service workers	Carers and aides	1087
Lachlan Valley	Community and personal service workers	Health and welfare support workers	306
Lachlan Valley	Community and personal service workers	Hospitality workers	428
Lachlan Valley	Community and personal service workers	Protective service workers	151
Lachlan Valley	Community and personal service workers	Sports and personal service workers	132
Lachlan Valley	Labourers	Cleaners and laundry workers	562
Lachlan Valley	Labourers	Construction and mining labourers	240
Lachlan Valley	Labourers	Factory process workers	297
Lachlan Valley	Labourers	Farm forestry and garden workers	752
Lachlan Valley	Labourers	Food preparation assistants	284
Lachlan Valley	Labourers	Labourers nfd	82
Lachlan Valley	Labourers	Other labourers	335
Lachlan Valley	Machinery operators and drivers	Machine and stationary plant operators	503
Lachlan Valley	Machinery operators and drivers	Machinery operators and drivers nfd	29
Lachlan Valley	Machinery operators and drivers	Mobile plant operators	352
Lachlan Valley	Machinery operators and drivers	Road and rail drivers	750
Lachlan Valley	Machinery operators and drivers	Storepersons	80
Lachlan Valley	Managers	Chief executives general managers and legislators	90
Lachlan Valley	Managers	Farmers and farm managers	3003
Lachlan Valley	Managers	Hospitality retail and service managers	835
Lachlan Valley	Managers	Managers nfd	25
Lachlan Valley	Managers	Specialist managers	690
Lachlan Valley	Professionals	Arts and media professionals	57
Lachlan Valley	Professionals	Business human resource and marketing professionals	397
Lachlan Valley	Professionals	Design engineering science and transport professionals	344
Lachlan Valley	Professionals	Education professionals	1133
Lachlan Valley	Professionals	Health professionals	808
Lachlan Valley	Professionals	Information and Communication Technology ICT professionals	26
Lachlan Valley	Professionals	Legal social and welfare professionals	213
Lachlan Valley	Professionals	Professionals nfd	8
Lachlan Valley	Sales workers	Sales assistants and salespersons	1410
Lachlan Valley	Sales workers	Sales representatives and agents	207
Lachlan Valley	Sales workers	Sales support workers	232
Lachlan Valley	Technicians and trades workers	Automotive and engineering trades workers	967
Lachlan Valley	Technicians and trades workers	Construction trades workers	303
Lachlan Valley	Technicians and trades workers	Electrotechnology and telecommunications trades workers	266
Lachlan Valley	Technicians and trades workers	Engineering ICT and science technicians	300
Lachlan Valley	Technicians and trades workers	Food trades workers	292
Lachlan Valley	Technicians and trades workers	Other technicians and trades workers	221
Lachlan Valley	Technicians and trades workers	Skilled animal and horticultural workers	298
Lachlan Valley	Technicians and trades workers	Technicians and trades workers nfd	21
Lithgow - Mudgee			287
Lithgow - Mudgee	Clerical and administrative workers	Clerical and administrative workers nfd	5
Lithgow - Mudgee	Clerical and administrative workers	Clerical and office support workers	131
Lithgow - Mudgee	Clerical and administrative workers	General clerical workers	461
Lithgow - Mudgee	Clerical and administrative workers	Inquiry clerks and receptionists	318
Lithgow - Mudgee	Clerical and administrative workers	Numerical clerks	352
Lithgow - Mudgee	Clerical and administrative workers	Office managers and program administrators	278
Lithgow - Mudgee	Clerical and administrative workers	Other clerical and administrative workers	300
Lithgow - Mudgee	Clerical and administrative workers	Personal assistants and secretaries	147
Lithgow - Mudgee	Community and personal service workers	Carers and aides	715
Lithgow - Mudgee	Community and personal service workers	Health and welfare support workers	227
Lithgow - Mudgee	Community and personal service workers	Hospitality workers	436
Lithgow - Mudgee	Community and personal service workers	Protective service workers	364
Lithgow - Mudgee	Community and personal service workers	Sports and personal service workers	168
Lithgow - Mudgee	Labourers	Cleaners and laundry workers	561
Lithgow - Mudgee	Labourers	Construction and mining labourers	258
Lithgow - Mudgee	Labourers	Factory process workers	176
Lithgow - Mudgee	Labourers	Farm forestry and garden workers	311
Lithgow - Mudgee	Labourers	Food preparation assistants	254
Lithgow - Mudgee	Labourers	Labourers nfd	61
Lithgow - Mudgee	Labourers	Other labourers	289
Lithgow - Mudgee	Machinery operators and drivers	Machine and stationary plant operators	1352
Lithgow - Mudgee	Machinery operators and drivers	Machinery operators and drivers nfd	54
Lithgow - Mudgee	Machinery operators and drivers	Mobile plant operators	220
Lithgow - Mudgee	Machinery operators and drivers	Road and rail drivers	541
Lithgow - Mudgee	Machinery operators and drivers	Storepersons	85
Lithgow - Mudgee	Managers	Chief executives general managers and legislators	104
Lithgow - Mudgee	Managers	Farmers and farm managers	823
Lithgow - Mudgee	Managers	Hospitality retail and service managers	684
Lithgow - Mudgee	Managers	Managers nfd	22
Lithgow - Mudgee	Managers	Specialist managers	641
Lithgow - Mudgee	Professionals	Arts and media professionals	78
Lithgow - Mudgee	Professionals	Business human resource and marketing professionals	274
Lithgow - Mudgee	Professionals	Design engineering science and transport professionals	379
Lithgow - Mudgee	Professionals	Education professionals	780
Lithgow - Mudgee	Professionals	Health professionals	616
Lithgow - Mudgee	Professionals	Information and Communication Technology ICT professionals	43
Lithgow - Mudgee	Professionals	Legal social and welfare professionals	186
Lithgow - Mudgee	Professionals	Professionals nfd	16
Lithgow - Mudgee	Sales workers	Sales assistants and salespersons	1127
Lithgow - Mudgee	Sales workers	Sales representatives and agents	170
Lithgow - Mudgee	Sales workers	Sales support workers	193
Lithgow - Mudgee	Sales workers	Sales workers nfd	3
Lithgow - Mudgee	Technicians and trades workers	Automotive and engineering trades workers	992
Lithgow - Mudgee	Technicians and trades workers	Construction trades workers	278
Lithgow - Mudgee	Technicians and trades workers	Electrotechnology and telecommunications trades workers	449
Lithgow - Mudgee	Technicians and trades workers	Engineering ICT and science technicians	339
Lithgow - Mudgee	Technicians and trades workers	Food trades workers	304
Lithgow - Mudgee	Technicians and trades workers	Other technicians and trades workers	273
Lithgow - Mudgee	Technicians and trades workers	Skilled animal and horticultural workers	196
Lithgow - Mudgee	Technicians and trades workers	Technicians and trades workers nfd	31
Orange			388
Orange	Clerical and administrative workers	Clerical and administrative workers nfd	11
