SA3_NAME16	Occupation	OccupationSubtype	workers
Queanbeyan			275
Queanbeyan	Clerical and administrative workers	Clerical and administrative workers nfd	7
Queanbeyan	Clerical and administrative workers	Clerical and office support workers	123
Queanbeyan	Clerical and administrative workers	General clerical workers	431
Queanbeyan	Clerical and administrative workers	Inquiry clerks and receptionists	351
Queanbeyan	Clerical and administrative workers	Numerical clerks	332
Queanbeyan	Clerical and administrative workers	Office managers and program administrators	423
Queanbeyan	Clerical and administrative workers	Other clerical and administrative workers	222
Queanbeyan	Clerical and administrative workers	Personal assistants and secretaries	98
Queanbeyan	Community and personal service workers	Carers and aides	700
Queanbeyan	Community and personal service workers	Health and welfare support workers	146
Queanbeyan	Community and personal service workers	Hospitality workers	306
Queanbeyan	Community and personal service workers	Protective service workers	276
Queanbeyan	Community and personal service workers	Sports and personal service workers	195
Queanbeyan	Labourers	Cleaners and laundry workers	284
Queanbeyan	Labourers	Construction and mining labourers	344
Queanbeyan	Labourers	Factory process workers	136
Queanbeyan	Labourers	Farm forestry and garden workers	130
Queanbeyan	Labourers	Food preparation assistants	202
Queanbeyan	Labourers	Labourers nfd	54
Queanbeyan	Labourers	Other labourers	252
Queanbeyan	Machinery operators and drivers	Machine and stationary plant operators	233
Queanbeyan	Machinery operators and drivers	Machinery operators and drivers nfd	45
Queanbeyan	Machinery operators and drivers	Mobile plant operators	177
Queanbeyan	Machinery operators and drivers	Road and rail drivers	579
Queanbeyan	Machinery operators and drivers	Storepersons	63
Queanbeyan	Managers	Chief executives general managers and legislators	203
Queanbeyan	Managers	Farmers and farm managers	384
Queanbeyan	Managers	Hospitality retail and service managers	574
Queanbeyan	Managers	Managers nfd	74
Queanbeyan	Managers	Specialist managers	1018
Queanbeyan	Professionals	Arts and media professionals	99
Queanbeyan	Professionals	Business human resource and marketing professionals	390
Queanbeyan	Professionals	Design engineering science and transport professionals	401
Queanbeyan	Professionals	Education professionals	656
Queanbeyan	Professionals	Health professionals	430
Queanbeyan	Professionals	Information and Communication Technology ICT professionals	117
Queanbeyan	Professionals	Legal social and welfare professionals	203
Queanbeyan	Professionals	Professionals nfd	25
Queanbeyan	Sales workers	Sales assistants and salespersons	917
Queanbeyan	Sales workers	Sales representatives and agents	238
Queanbeyan	Sales workers	Sales support workers	180
Queanbeyan	Technicians and trades workers	Automotive and engineering trades workers	555
Queanbeyan	Technicians and trades workers	Construction trades workers	702
Queanbeyan	Technicians and trades workers	Electrotechnology and telecommunications trades workers	362
Queanbeyan	Technicians and trades workers	Engineering ICT and science technicians	236
Queanbeyan	Technicians and trades workers	Food trades workers	184
Queanbeyan	Technicians and trades workers	Other technicians and trades workers	405
Queanbeyan	Technicians and trades workers	Skilled animal and horticultural workers	214
Queanbeyan	Technicians and trades workers	Technicians and trades workers nfd	34
Snowy Mountains			163
Snowy Mountains	Clerical and administrative workers	Clerical and office support workers	58
Snowy Mountains	Clerical and administrative workers	General clerical workers	199
Snowy Mountains	Clerical and administrative workers	Inquiry clerks and receptionists	215
Snowy Mountains	Clerical and administrative workers	Numerical clerks	201
Snowy Mountains	Clerical and administrative workers	Office managers and program administrators	159
Snowy Mountains	Clerical and administrative workers	Other clerical and administrative workers	93
Snowy Mountains	Clerical and administrative workers	Personal assistants and secretaries	53
Snowy Mountains	Community and personal service workers	Carers and aides	296
Snowy Mountains	Community and personal service workers	Health and welfare support workers	95
Snowy Mountains	Community and personal service workers	Hospitality workers	557
Snowy Mountains	Community and personal service workers	Protective service workers	106
Snowy Mountains	Community and personal service workers	Sports and personal service workers	431
Snowy Mountains	Labourers	Cleaners and laundry workers	438
Snowy Mountains	Labourers	Construction and mining labourers	81
Snowy Mountains	Labourers	Factory process workers	101
Snowy Mountains	Labourers	Farm forestry and garden workers	177
Snowy Mountains	Labourers	Food preparation assistants	194
Snowy Mountains	Labourers	Labourers nfd	26
Snowy Mountains	Labourers	Other labourers	183
Snowy Mountains	Machinery operators and drivers	Machine and stationary plant operators	282
Snowy Mountains	Machinery operators and drivers	Machinery operators and drivers nfd	11
Snowy Mountains	Machinery operators and drivers	Mobile plant operators	132
Snowy Mountains	Machinery operators and drivers	Road and rail drivers	244
Snowy Mountains	Machinery operators and drivers	Storepersons	39
Snowy Mountains	Managers	Chief executives general managers and legislators	49
Snowy Mountains	Managers	Farmers and farm managers	599
Snowy Mountains	Managers	Hospitality retail and service managers	705
Snowy Mountains	Managers	Managers nfd	30
Snowy Mountains	Managers	Specialist managers	378
Snowy Mountains	Professionals	Arts and media professionals	55
Snowy Mountains	Professionals	Business human resource and marketing professionals	199
Snowy Mountains	Professionals	Design engineering science and transport professionals	184
Snowy Mountains	Professionals	Education professionals	353
Snowy Mountains	Professionals	Health professionals	279
Snowy Mountains	Professionals	Information and Communication Technology ICT professionals	44
Snowy Mountains	Professionals	Legal social and welfare professionals	79
Snowy Mountains	Professionals	Professionals nfd	12
Snowy Mountains	Sales workers	Sales assistants and salespersons	682
Snowy Mountains	Sales workers	Sales representatives and agents	127
Snowy Mountains	Sales workers	Sales support workers	152
Snowy Mountains	Technicians and trades workers	Automotive and engineering trades workers	249
Snowy Mountains	Technicians and trades workers	Construction trades workers	144
Snowy Mountains	Technicians and trades workers	Electrotechnology and telecommunications trades workers	121
Snowy Mountains	Technicians and trades workers	Engineering ICT and science technicians	88
Snowy Mountains	Technicians and trades workers	Food trades workers	314
Snowy Mountains	Technicians and trades workers	Other technicians and trades workers	177
Snowy Mountains	Technicians and trades workers	Skilled animal and horticultural workers	106
Snowy Mountains	Technicians and trades workers	Technicians and trades workers nfd	14
South Coast			384
South Coast	Clerical and administrative workers	Clerical and administrative workers nfd	9
South Coast	Clerical and administrative workers	Clerical and office support workers	194
South Coast	Clerical and administrative workers	General clerical workers	577
South Coast	Clerical and administrative workers	Inquiry clerks and receptionists	614
South Coast	Clerical and administrative workers	Numerical clerks	586
South Coast	Clerical and administrative workers	Office managers and program administrators	438
South Coast	Clerical and administrative workers	Other clerical and administrative workers	320
South Coast	Clerical and administrative workers	Personal assistants and secretaries	201
South Coast	Community and personal service workers	Carers and aides	1365
South Coast	Community and personal service workers	Health and welfare support workers	398
South Coast	Community and personal service workers	Hospitality workers	818
South Coast	Community and personal service workers	Protective service workers	233
South Coast	Community and personal service workers	Sports and personal service workers	305
South Coast	Labourers	Cleaners and laundry workers	780
South Coast	Labourers	Construction and mining labourers	289
South Coast	Labourers	Factory process workers	537
South Coast	Labourers	Farm forestry and garden workers	320
South Coast	Labourers	Food preparation assistants	390
South Coast	Labourers	Labourers nfd	67
South Coast	Labourers	Other labourers	534
South Coast	Machinery operators and drivers	Machine and stationary plant operators	260
South Coast	Machinery operators and drivers	Machinery operators and drivers nfd	26
South Coast	Machinery operators and drivers	Mobile plant operators	243
South Coast	Machinery operators and drivers	Road and rail drivers	662
South Coast	Machinery operators and drivers	Storepersons	74
South Coast	Managers	Chief executives general managers and legislators	152
South Coast	Managers	Farmers and farm managers	724
South Coast	Managers	Hospitality retail and service managers	1407
South Coast	Managers	Managers nfd	35
South Coast	Managers	Specialist managers	848
South Coast	Professionals	Arts and media professionals	140
South Coast	Professionals	Business human resource and marketing professionals	477
South Coast	Professionals	Design engineering science and transport professionals	428
South Coast	Professionals	Education professionals	1178
South Coast	Professionals	Health professionals	1289
South Coast	Professionals	Information and Communication Technology ICT professionals	90
South Coast	Professionals	Legal social and welfare professionals	355
South Coast	Professionals	Professionals nfd	15
South Coast	Sales workers	Sales assistants and salespersons	2157
South Coast	Sales workers	Sales representatives and agents	371
South Coast	Sales workers	Sales support workers	349
South Coast	Sales workers	Sales workers nfd	4
South Coast	Technicians and trades workers	Automotive and engineering trades workers	628
South Coast	Technicians and trades workers	Construction trades workers	686
South Coast	Technicians and trades workers	Electrotechnology and telecommunications trades workers	319
South Coast	Technicians and trades workers	Engineering ICT and science technicians	354
South Coast	Technicians and trades workers	Food trades workers	564
South Coast	Technicians and trades workers	Other technicians and trades workers	377
South Coast	Technicians and trades workers	Skilled animal and horticultural workers	386
South Coast	Technicians and trades workers	Technicians and trades workers nfd	25
Goulburn - Mulwaree			227
Goulburn - Mulwaree	Clerical and administrative workers	Clerical and office support workers	99
Goulburn - Mulwaree	Clerical and administrative workers	General clerical workers	364
Goulburn - Mulwaree	Clerical and administrative workers	Inquiry clerks and receptionists	265
Goulburn - Mulwaree	Clerical and administrative workers	Numerical clerks	311
Goulburn - Mulwaree	Clerical and administrative workers	Office managers and program administrators	237
Goulburn - Mulwaree	Clerical and administrative workers	Other clerical and administrative workers	174
Goulburn - Mulwaree	Clerical and administrative workers	Personal assistants and secretaries	112
Goulburn - Mulwaree	Community and personal service workers	Carers and aides	824
Goulburn - Mulwaree	Community and personal service workers	Health and welfare support workers	238
Goulburn - Mulwaree	Community and personal service workers	Hospitality workers	323
Goulburn - Mulwaree	Community and personal service workers	Protective service workers	559
Goulburn - Mulwaree	Community and personal service workers	Sports and personal service workers	144
Goulburn - Mulwaree	Labourers	Cleaners and laundry workers	411
Goulburn - Mulwaree	Labourers	Construction and mining labourers	159
Goulburn - Mulwaree	Labourers	Factory process workers	225
Goulburn - Mulwaree	Labourers	Farm forestry and garden workers	258
Goulburn - Mulwaree	Labourers	Food preparation assistants	228
Goulburn - Mulwaree	Labourers	Labourers nfd	42
Goulburn - Mulwaree	Labourers	Other labourers	198
Goulburn - Mulwaree	Machinery operators and drivers	Machine and stationary plant operators	155
Goulburn - Mulwaree	Machinery operators and drivers	Machinery operators and drivers nfd	38
Goulburn - Mulwaree	Machinery operators and drivers	Mobile plant operators	188
Goulburn - Mulwaree	Machinery operators and drivers	Road and rail drivers	428
Goulburn - Mulwaree	Machinery operators and drivers	Storepersons	158
Goulburn - Mulwaree	Managers	Chief executives general managers and legislators	66
Goulburn - Mulwaree	Managers	Farmers and farm managers	858
Goulburn - Mulwaree	Managers	Hospitality retail and service managers	535
Goulburn - Mulwaree	Managers	Managers nfd	21
Goulburn - Mulwaree	Managers	Specialist managers	512
Goulburn - Mulwaree	Professionals	Arts and media professionals	52
Goulburn - Mulwaree	Professionals	Business human resource and marketing professionals	296
Goulburn - Mulwaree	Professionals	Design engineering science and transport professionals	176
Goulburn - Mulwaree	Professionals	Education professionals	606
Goulburn - Mulwaree	Professionals	Health professionals	690
Goulburn - Mulwaree	Professionals	Information and Communication Technology ICT professionals	29
Goulburn - Mulwaree	Professionals	Legal social and welfare professionals	199
Goulburn - Mulwaree	Professionals	Professionals nfd	11
Goulburn - Mulwaree	Sales workers	Sales assistants and salespersons	978
Goulburn - Mulwaree	Sales workers	Sales representatives and agents	163
Goulburn - Mulwaree	Sales workers	Sales support workers	166
Goulburn - Mulwaree	Technicians and trades workers	Automotive and engineering trades workers	496
Goulburn - Mulwaree	Technicians and trades workers	Construction trades workers	260
Goulburn - Mulwaree	Technicians and trades workers	Electrotechnology and telecommunications trades workers	176
Goulburn - Mulwaree	Technicians and trades workers	Engineering ICT and science technicians	154
Goulburn - Mulwaree	Technicians and trades workers	Food trades workers	222
Goulburn - Mulwaree	Technicians and trades workers	Other technicians and trades workers	154
Goulburn - Mulwaree	Technicians and trades workers	Skilled animal and horticultural workers	187
Goulburn - Mulwaree	Technicians and trades workers	Technicians and trades workers nfd	19
Young - Yass			164
Young - Yass	Clerical and administrative workers	Clerical and administrative workers nfd	3
Young - Yass	Clerical and administrative workers	Clerical and office support workers	84
Young - Yass	Clerical and administrative workers	General clerical workers	262
Young - Yass	Clerical and administrative workers	Inquiry clerks and receptionists	151
Young - Yass	Clerical and administrative workers	Numerical clerks	290
Young - Yass	Clerical and administrative workers	Office managers and program administrators	214
Young - Yass	Clerical and administrative workers	Other clerical and administrative workers	116
Young - Yass	Clerical and administrative workers	Personal assistants and secretaries	78
Young - Yass	Community and personal service workers	Carers and aides	598
Young - Yass	Community and personal service workers	Health and welfare support workers	124
Young - Yass	Community and personal service workers	Hospitality workers	299
Young - Yass	Community and personal service workers	Protective service workers	57
Young - Yass	Community and personal service workers	Sports and personal service workers	119
Young - Yass	Labourers	Cleaners and laundry workers	302
Young - Yass	Labourers	Construction and mining labourers	160
Young - Yass	Labourers	Factory process workers	126
Young - Yass	Labourers	Farm forestry and garden workers	577
Young - Yass	Labourers	Food preparation assistants	201
Young - Yass	Labourers	Labourers nfd	45
Young - Yass	Labourers	Other labourers	190
Young - Yass	Machinery operators and drivers	Machine and stationary plant operators	93
Young - Yass	Machinery operators and drivers	Machinery operators and drivers nfd	16
Young - Yass	Machinery operators and drivers	Mobile plant operators	160
Young - Yass	Machinery operators and drivers	Road and rail drivers	343
Young - Yass	Machinery operators and drivers	Storepersons	30
Young - Yass	Managers	Chief executives general managers and legislators	76
Young - Yass	Managers	Farmers and farm managers	1438
Young - Yass	Managers	Hospitality retail and service managers	522
Young - Yass	Managers	Managers nfd	27
Young - Yass	Managers	Specialist managers	413
Young - Yass	Professionals	Arts and media professionals	58
Young - Yass	Professionals	Business human resource and marketing professionals	241
Young - Yass	Professionals	Design engineering science and transport professionals	167
Young - Yass	Professionals	Education professionals	531
Young - Yass	Professionals	Health professionals	358
Young - Yass	Professionals	Information and Communication Technology ICT professionals	34
Young - Yass	Professionals	Legal social and welfare professionals	94
Young - Yass	Professionals	Professionals nfd	4
Young - Yass	Sales workers	Sales assistants and salespersons	820
Young - Yass	Sales workers	Sales representatives and agents	137
Young - Yass	Sales workers	Sales support workers	130
Young - Yass	Technicians and trades workers	Automotive and engineering trades workers	324
Young - Yass	Technicians and trades workers	Construction trades workers	264
Young - Yass	Technicians and trades workers	Electrotechnology and telecommunications trades workers	130
Young - Yass	Technicians and trades workers	Engineering ICT and science technicians	115
Young - Yass	Technicians and trades workers	Food trades workers	201
Young - Yass	Technicians and trades workers	Other technicians and trades workers	146
Young - Yass	Technicians and trades workers	Skilled animal and horticultural workers	251
Young - Yass	Technicians and trades workers	Technicians and trades workers nfd	11
Gosford			925
Gosford	Clerical and administrative workers	Clerical and administrative workers nfd	14
Gosford	Clerical and administrative workers	Clerical and office support workers	363
Gosford	Clerical and administrative workers	General clerical workers	1659
Gosford	Clerical and administrative workers	Inquiry clerks and receptionists	1750
Gosford	Clerical and administrative workers	Numerical clerks	1678
Gosford	Clerical and administrative workers	Office managers and program administrators	1354
Gosford	Clerical and administrative workers	Other clerical and administrative workers	763
Gosford	Clerical and administrative workers	Personal assistants and secretaries	660
Gosford	Community and personal service workers	Carers and aides	3297
Gosford	Community and personal service workers	Health and welfare support workers	1053
Gosford	Community and personal service workers	Hospitality workers	1816
Gosford	Community and personal service workers	Protective service workers	542
Gosford	Community and personal service workers	Sports and personal service workers	1043
Gosford	Labourers	Cleaners and laundry workers	1436
Gosford	Labourers	Construction and mining labourers	686
Gosford	Labourers	Factory process workers	945
Gosford	Labourers	Farm forestry and garden workers	420
Gosford	Labourers	Food preparation assistants	1100
Gosford	Labourers	Labourers nfd	110
Gosford	Labourers	Other labourers	1024
Gosford	Machinery operators and drivers	Machine and stationary plant operators	535
