SA3_NAME16	IncomeTotPersonal.max	PublicSector	LevelOfGovt	workers
Queanbeyan				36
Queanbeyan		0		154
Queanbeyan		1	Local	6
Queanbeyan		1	National	8
Queanbeyan		1	State territory	13
Queanbeyan	0			9
Queanbeyan	0	0		117
Queanbeyan	0	1	National	3
Queanbeyan	0	1	State territory	4
Queanbeyan	7875			10
Queanbeyan	7875	0		605
Queanbeyan	7875	1	Local	3
Queanbeyan	7875	1	National	10
Queanbeyan	7875	1	State territory	8
Queanbeyan	15750			13
Queanbeyan	15750	0		492
Queanbeyan	15750	1	Local	11
Queanbeyan	15750	1	National	17
Queanbeyan	15750	1	State territory	15
Queanbeyan	21000			12
Queanbeyan	21000	0		552
Queanbeyan	21000	1	Local	5
Queanbeyan	21000	1	National	5
Queanbeyan	21000	1	State territory	23
Queanbeyan	26250			3
Queanbeyan	26250	0		665
Queanbeyan	26250	1	Local	3
Queanbeyan	26250	1	National	19
Queanbeyan	26250	1	State territory	31
Queanbeyan	34125			14
Queanbeyan	34125	0		1008
Queanbeyan	34125	1	Local	4
Queanbeyan	34125	1	National	27
Queanbeyan	34125	1	State territory	44
Queanbeyan	42000			11
Queanbeyan	42000	0		1324
Queanbeyan	42000	1	Local	26
Queanbeyan	42000	1	National	31
Queanbeyan	42000	1	State territory	79
Queanbeyan	52500			24
Queanbeyan	52500	0		1736
Queanbeyan	52500	1	Local	55
Queanbeyan	52500	1	National	50
Queanbeyan	52500	1	State territory	120
Queanbeyan	65625			18
Queanbeyan	65625	0		1721
Queanbeyan	65625	1	Local	79
Queanbeyan	65625	1	National	130
Queanbeyan	65625	1	State territory	158
Queanbeyan	78750			15
Queanbeyan	78750	0		1141
Queanbeyan	78750	1	Local	67
Queanbeyan	78750	1	National	118
Queanbeyan	78750	1	State territory	176
Queanbeyan	91875			8
Queanbeyan	91875	0		871
Queanbeyan	91875	1	Local	63
Queanbeyan	91875	1	National	107
Queanbeyan	91875	1	State territory	199
Queanbeyan	105000			4
Queanbeyan	105000	0		524
Queanbeyan	105000	1	Local	37
Queanbeyan	105000	1	National	100
Queanbeyan	105000	1	State territory	212
Queanbeyan	157500			7
Queanbeyan	157500	0		684
Queanbeyan	157500	1	Local	73
Queanbeyan	157500	1	National	264
Queanbeyan	157500	1	State territory	232
Queanbeyan	Inf			10
Queanbeyan	Inf	0		366
Queanbeyan	Inf	1	Local	16
Queanbeyan	Inf	1	National	102
Queanbeyan	Inf	1	State territory	39
Snowy Mountains				18
Snowy Mountains		0		153
Snowy Mountains		1	National	3
Snowy Mountains		1	State territory	13
Snowy Mountains	0			4
Snowy Mountains	0	0		103
Snowy Mountains	7875			4
Snowy Mountains	7875	0		323
Snowy Mountains	7875	1	Local	3
Snowy Mountains	7875	1	National	3
Snowy Mountains	7875	1	State territory	3
Snowy Mountains	15750			10
Snowy Mountains	15750	0		377
Snowy Mountains	15750	1	Local	3
Snowy Mountains	15750	1	State territory	9
Snowy Mountains	21000			4
Snowy Mountains	21000	0		466
Snowy Mountains	21000	1	Local	6
Snowy Mountains	21000	1	National	5
Snowy Mountains	21000	1	State territory	9
Snowy Mountains	26250			9
Snowy Mountains	26250	0		621
Snowy Mountains	26250	1	Local	9
Snowy Mountains	26250	1	National	3
Snowy Mountains	26250	1	State territory	17
Snowy Mountains	34125			13
Snowy Mountains	34125	0		1153
Snowy Mountains	34125	1	Local	21
Snowy Mountains	34125	1	National	10
Snowy Mountains	34125	1	State territory	44
Snowy Mountains	42000			9
Snowy Mountains	42000	0		1281
Snowy Mountains	42000	1	Local	34
Snowy Mountains	42000	1	National	9
Snowy Mountains	42000	1	State territory	71
Snowy Mountains	52500			13
Snowy Mountains	52500	0		1249
Snowy Mountains	52500	1	Local	58
Snowy Mountains	52500	1	National	11
Snowy Mountains	52500	1	State territory	92
Snowy Mountains	65625			7
Snowy Mountains	65625	0		980
Snowy Mountains	65625	1	Local	64
Snowy Mountains	65625	1	National	32
Snowy Mountains	65625	1	State territory	101
Snowy Mountains	78750	0		520
Snowy Mountains	78750	1	Local	39
Snowy Mountains	78750	1	National	26
Snowy Mountains	78750	1	State territory	120
Snowy Mountains	91875			3
Snowy Mountains	91875	0		384
Snowy Mountains	91875	1	Local	39
Snowy Mountains	91875	1	National	10
Snowy Mountains	91875	1	State territory	91
Snowy Mountains	105000			3
Snowy Mountains	105000	0		221
Snowy Mountains	105000	1	Local	17
Snowy Mountains	105000	1	National	8
Snowy Mountains	105000	1	State territory	132
Snowy Mountains	157500	0		251
Snowy Mountains	157500	1	Local	22
Snowy Mountains	157500	1	National	4
Snowy Mountains	157500	1	State territory	144
Snowy Mountains	Inf			3
Snowy Mountains	Inf	0		161
Snowy Mountains	Inf	1	Local	5
Snowy Mountains	Inf	1	State territory	41
South Coast				54
South Coast		0		350
South Coast		1	Local	5
South Coast		1	National	6
South Coast		1	State territory	20
South Coast	0			11
South Coast	0	0		198
South Coast	0	1	State territory	3
South Coast	7875			24
South Coast	7875	0		1012
South Coast	7875	1	Local	8
South Coast	7875	1	National	15
South Coast	7875	1	State territory	9
South Coast	15750			25
South Coast	15750	0		1083
South Coast	15750	1	Local	6
South Coast	15750	1	National	20
South Coast	15750	1	State territory	41
South Coast	21000			33
South Coast	21000	0		1320
South Coast	21000	1	Local	11
South Coast	21000	1	National	10
South Coast	21000	1	State territory	47
South Coast	26250			27
South Coast	26250	0		1802
South Coast	26250	1	Local	29
South Coast	26250	1	National	17
South Coast	26250	1	State territory	60
South Coast	34125			24
South Coast	34125	0		2686
South Coast	34125	1	Local	58
South Coast	34125	1	National	32
South Coast	34125	1	State territory	127
South Coast	42000			23
South Coast	42000	0		3015
South Coast	42000	1	Local	60
South Coast	42000	1	National	34
South Coast	42000	1	State territory	195
South Coast	52500			25
South Coast	52500	0		2937
South Coast	52500	1	Local	132
South Coast	52500	1	National	43
South Coast	52500	1	State territory	274
South Coast	65625			16
South Coast	65625	0		2281
South Coast	65625	1	Local	204
South Coast	65625	1	National	91
South Coast	65625	1	State territory	296
South Coast	78750			7
South Coast	78750	0		1275
South Coast	78750	1	Local	136
South Coast	78750	1	National	76
South Coast	78750	1	State territory	255
South Coast	91875			3
South Coast	91875	0		831
South Coast	91875	1	Local	90
South Coast	91875	1	National	46
South Coast	91875	1	State territory	280
South Coast	105000			5
South Coast	105000	0		511
South Coast	105000	1	Local	45
South Coast	105000	1	National	26
South Coast	105000	1	State territory	304
South Coast	157500			6
South Coast	157500	0		546
South Coast	157500	1	Local	41
South Coast	157500	1	National	19
South Coast	157500	1	State territory	264
South Coast	Inf			3
South Coast	Inf	0		340
South Coast	Inf	1	Local	12
South Coast	Inf	1	National	3
South Coast	Inf	1	State territory	46
Goulburn - Mulwaree				25
Goulburn - Mulwaree		0		196
Goulburn - Mulwaree		1	Local	4
Goulburn - Mulwaree		1	State territory	19
Goulburn - Mulwaree	0			12
Goulburn - Mulwaree	0	0		143
Goulburn - Mulwaree	0	1	State territory	3
Goulburn - Mulwaree	7875			11
Goulburn - Mulwaree	7875	0		493
Goulburn - Mulwaree	7875	1	National	5
