SA3_NAME16	EmploymentStatus	workers
Queanbeyan	Contributing family workers	388
Queanbeyan	Employee	11707
Queanbeyan	Owner managers of incorporated enterprises	1369
Queanbeyan	Owner managers of unincorporated enterprises	1327
Queanbeyan	Status in employment not stated	150
Snowy Mountains	Contributing family workers	380
Snowy Mountains	Employee	7470
Snowy Mountains	Owner managers of incorporated enterprises	647
Snowy Mountains	Owner managers of unincorporated enterprises	1044
Snowy Mountains	Status in employment not stated	116
South Coast	Contributing family workers	640
South Coast	Employee	18164
South Coast	Owner managers of incorporated enterprises	1729
South Coast	Owner managers of unincorporated enterprises	3084
South Coast	Status in employment not stated	365
Goulburn - Mulwaree	Contributing family workers	499
Goulburn - Mulwaree	Employee	10689
Goulburn - Mulwaree	Owner managers of incorporated enterprises	738
Goulburn - Mulwaree	Owner managers of unincorporated enterprises	1276
Goulburn - Mulwaree	Status in employment not stated	167
Young - Yass	Contributing family workers	785
Young - Yass	Employee	7810
Young - Yass	Owner managers of incorporated enterprises	880
Young - Yass	Owner managers of unincorporated enterprises	1618
Young - Yass	Status in employment not stated	184
Gosford	Contributing family workers	861
Gosford	Employee	47732
Gosford	Owner managers of incorporated enterprises	4292
Gosford	Owner managers of unincorporated enterprises	5254
Gosford	Status in employment not stated	627
Wyong	Contributing family workers	636
Wyong	Employee	38275
Wyong	Owner managers of incorporated enterprises	3016
Wyong	Owner managers of unincorporated enterprises	3544
Wyong	Status in employment not stated	490
Bathurst	Contributing family workers	490
Bathurst	Employee	16205
Bathurst	Owner managers of incorporated enterprises	1096
Bathurst	Owner managers of unincorporated enterprises	1579
Bathurst	Status in employment not stated	243
Lachlan Valley	Contributing family workers	1259
Lachlan Valley	Employee	15057
Lachlan Valley	Owner managers of incorporated enterprises	1205
Lachlan Valley	Owner managers of unincorporated enterprises	3206
Lachlan Valley	Status in employment not stated	403
Lithgow - Mudgee	Contributing family workers	607
Lithgow - Mudgee	Employee	13974
Lithgow - Mudgee	Owner managers of incorporated enterprises	955
Lithgow - Mudgee	Owner managers of unincorporated enterprises	1580
Lithgow - Mudgee	Status in employment not stated	253
Orange	Contributing family workers	662
Orange	Employee	20617
Orange	Owner managers of incorporated enterprises	1381
Orange	Owner managers of unincorporated enterprises	2100
Orange	Status in employment not stated	331
Clarence Valley	Contributing family workers	500
Clarence Valley	Employee	12780
Clarence Valley	Owner managers of incorporated enterprises	903
Clarence Valley	Owner managers of unincorporated enterprises	1763
Clarence Valley	Status in employment not stated	274
Coffs Harbour	Contributing family workers	770
Coffs Harbour	Employee	26164
Coffs Harbour	Owner managers of incorporated enterprises	1889
Coffs Harbour	Owner managers of unincorporated enterprises	3379
Coffs Harbour	Status in employment not stated	406
Bourke - Cobar - Coonamble	Contributing family workers	726
Bourke - Cobar - Coonamble	Employee	7002
Bourke - Cobar - Coonamble	Owner managers of incorporated enterprises	499
Bourke - Cobar - Coonamble	Owner managers of unincorporated enterprises	1198
Bourke - Cobar - Coonamble	Status in employment not stated	215
Broken Hill and Far West	Contributing family workers	214
Broken Hill and Far West	Employee	6569
Broken Hill and Far West	Owner managers of incorporated enterprises	346
Broken Hill and Far West	Owner managers of unincorporated enterprises	575
Broken Hill and Far West	Status in employment not stated	151
Dubbo	Contributing family workers	1083
Dubbo	Employee	22333
Dubbo	Owner managers of incorporated enterprises	1559
Dubbo	Owner managers of unincorporated enterprises	3008
Dubbo	Status in employment not stated	426
Lower Hunter	Contributing family workers	694
Lower Hunter	Employee	27910
Lower Hunter	Owner managers of incorporated enterprises	1619
Lower Hunter	Owner managers of unincorporated enterprises	1930
Lower Hunter	Status in employment not stated	369
Maitland	Contributing family workers	346
Maitland	Employee	22765
Maitland	Owner managers of incorporated enterprises	1544
Maitland	Owner managers of unincorporated enterprises	1563
Maitland	Status in employment not stated	219
Port Stephens	Contributing family workers	397
Port Stephens	Employee	22516
Port Stephens	Owner managers of incorporated enterprises	1556
Port Stephens	Owner managers of unincorporated enterprises	1881
Port Stephens	Status in employment not stated	267
Upper Hunter	Contributing family workers	400
Upper Hunter	Employee	12418
Upper Hunter	Owner managers of incorporated enterprises	557
Upper Hunter	Owner managers of unincorporated enterprises	985
Upper Hunter	Status in employment not stated	179
Dapto - Port Kembla	Contributing family workers	245
Dapto - Port Kembla	Employee	24221
Dapto - Port Kembla	Owner managers of incorporated enterprises	1324
Dapto - Port Kembla	Owner managers of unincorporated enterprises	1453
Dapto - Port Kembla	Status in employment not stated	260
Illawarra Catchment Reserve	Employee	62
Kiama - Shellharbour	Contributing family workers	415
Kiama - Shellharbour	Employee	18325
Kiama - Shellharbour	Owner managers of incorporated enterprises	1620
Kiama - Shellharbour	Owner managers of unincorporated enterprises	2179
Kiama - Shellharbour	Status in employment not stated	263
Wollongong	Contributing family workers	491
Wollongong	Employee	44417
Wollongong	Owner managers of incorporated enterprises	2902
Wollongong	Owner managers of unincorporated enterprises	3383
Wollongong	Status in employment not stated	456
Great Lakes	Contributing family workers	245
Great Lakes	Employee	6880
Great Lakes	Owner managers of incorporated enterprises	588
Great Lakes	Owner managers of unincorporated enterprises	1108
Great Lakes	Status in employment not stated	169
Kempsey - Nambucca	Contributing family workers	518
Kempsey - Nambucca	Employee	11640
Kempsey - Nambucca	Owner managers of incorporated enterprises	716
Kempsey - Nambucca	Owner managers of unincorporated enterprises	1719
Kempsey - Nambucca	Status in employment not stated	275
Lord Howe Island	Contributing family workers	4
Lord Howe Island	Employee	156
Lord Howe Island	Owner managers of incorporated enterprises	31
Lord Howe Island	Owner managers of unincorporated enterprises	29
Lord Howe Island	Status in employment not stated	6
Port Macquarie	Contributing family workers	591
Port Macquarie	Employee	21915
Port Macquarie	Owner managers of incorporated enterprises	1784
Port Macquarie	Owner managers of unincorporated enterprises	2882
Port Macquarie	Status in employment not stated	335
Taree - Gloucester	Contributing family workers	549
Taree - Gloucester	Employee	13220
Taree - Gloucester	Owner managers of incorporated enterprises	914
Taree - Gloucester	Owner managers of unincorporated enterprises	1773
Taree - Gloucester	Status in employment not stated	319
Albury	Contributing family workers	583
Albury	Employee	23311
Albury	Owner managers of incorporated enterprises	1735
Albury	Owner managers of unincorporated enterprises	2157
Albury	Status in employment not stated	276
Lower Murray	Contributing family workers	333
Lower Murray	Employee	3716
Lower Murray	Owner managers of incorporated enterprises	383
Lower Murray	Owner managers of unincorporated enterprises	596
Lower Murray	Status in employment not stated	96
Upper Murray exc. Albury	Contributing family workers	878
Upper Murray exc. Albury	Employee	11650
Upper Murray exc. Albury	Owner managers of incorporated enterprises	1361
Upper Murray exc. Albury	Owner managers of unincorporated enterprises	1760
Upper Murray exc. Albury	Status in employment not stated	307
