SA3_NAME16	EmploymentStatus	IncomeTotPersonal.max	Sex	workers
Queanbeyan	Contributing family workers	0	F	29
Queanbeyan	Contributing family workers	0	M	36
Queanbeyan	Contributing family workers	7875	F	22
Queanbeyan	Contributing family workers	7875	M	11
Queanbeyan	Contributing family workers	15750	F	27
Queanbeyan	Contributing family workers	15750	M	14
Queanbeyan	Contributing family workers	21000	F	17
Queanbeyan	Contributing family workers	21000	M	19
Queanbeyan	Contributing family workers	26250	F	17
Queanbeyan	Contributing family workers	26250	M	12
Queanbeyan	Contributing family workers	34125	F	12
Queanbeyan	Contributing family workers	34125	M	13
Queanbeyan	Contributing family workers	42000	F	6
Queanbeyan	Contributing family workers	42000	M	15
Queanbeyan	Contributing family workers	52500	F	15
Queanbeyan	Contributing family workers	52500	M	17
Queanbeyan	Contributing family workers	65625	F	18
Queanbeyan	Contributing family workers	65625	M	22
Queanbeyan	Contributing family workers	78750	F	8
Queanbeyan	Contributing family workers	78750	M	11
Queanbeyan	Contributing family workers	91875	F	6
Queanbeyan	Contributing family workers	91875	M	3
Queanbeyan	Contributing family workers	105000	F	4
Queanbeyan	Contributing family workers	105000	M	3
Queanbeyan	Contributing family workers	157500	F	5
Queanbeyan	Contributing family workers	157500	M	6
Queanbeyan	Contributing family workers	Inf	F	3
Queanbeyan	Contributing family workers	Inf	M	11
Queanbeyan	Employee	0	F	27
Queanbeyan	Employee	0	M	18
Queanbeyan	Employee	7875	F	305
Queanbeyan	Employee	7875	M	252
Queanbeyan	Employee	15750	F	249
Queanbeyan	Employee	15750	M	146
Queanbeyan	Employee	21000	F	270
Queanbeyan	Employee	21000	M	151
Queanbeyan	Employee	26250	F	331
Queanbeyan	Employee	26250	M	209
Queanbeyan	Employee	34125	F	471
Queanbeyan	Employee	34125	M	372
Queanbeyan	Employee	42000	F	669
Queanbeyan	Employee	42000	M	559
Queanbeyan	Employee	52500	F	676
Queanbeyan	Employee	52500	M	962
Queanbeyan	Employee	65625	F	643
Queanbeyan	Employee	65625	M	1075
Queanbeyan	Employee	78750	F	464
Queanbeyan	Employee	78750	M	747
Queanbeyan	Employee	91875	F	343
Queanbeyan	Employee	91875	M	602
Queanbeyan	Employee	105000	F	271
Queanbeyan	Employee	105000	M	445
Queanbeyan	Employee	157500	F	278
Queanbeyan	Employee	157500	M	734
Queanbeyan	Employee	Inf	F	68
Queanbeyan	Employee	Inf	M	220
Queanbeyan	Owner managers of incorporated enterprises	0	M	3
Queanbeyan	Owner managers of incorporated enterprises	7875	F	3
Queanbeyan	Owner managers of incorporated enterprises	7875	M	3
Queanbeyan	Owner managers of incorporated enterprises	15750	F	12
Queanbeyan	Owner managers of incorporated enterprises	15750	M	9
Queanbeyan	Owner managers of incorporated enterprises	21000	F	21
Queanbeyan	Owner managers of incorporated enterprises	21000	M	26
Queanbeyan	Owner managers of incorporated enterprises	26250	F	17
Queanbeyan	Owner managers of incorporated enterprises	26250	M	32
Queanbeyan	Owner managers of incorporated enterprises	34125	F	34
Queanbeyan	Owner managers of incorporated enterprises	34125	M	43
Queanbeyan	Owner managers of incorporated enterprises	42000	F	21
Queanbeyan	Owner managers of incorporated enterprises	42000	M	54
Queanbeyan	Owner managers of incorporated enterprises	52500	F	47
Queanbeyan	Owner managers of incorporated enterprises	52500	M	102
Queanbeyan	Owner managers of incorporated enterprises	65625	F	45
Queanbeyan	Owner managers of incorporated enterprises	65625	M	136
Queanbeyan	Owner managers of incorporated enterprises	78750	F	25
Queanbeyan	Owner managers of incorporated enterprises	78750	M	122
Queanbeyan	Owner managers of incorporated enterprises	91875	F	41
Queanbeyan	Owner managers of incorporated enterprises	91875	M	148
Queanbeyan	Owner managers of incorporated enterprises	105000	F	18
Queanbeyan	Owner managers of incorporated enterprises	105000	M	76
Queanbeyan	Owner managers of incorporated enterprises	157500	F	38
Queanbeyan	Owner managers of incorporated enterprises	157500	M	122
Queanbeyan	Owner managers of incorporated enterprises	Inf	F	35
Queanbeyan	Owner managers of incorporated enterprises	Inf	M	122
Queanbeyan	Owner managers of unincorporated enterprises	0	F	3
Queanbeyan	Owner managers of unincorporated enterprises	0	M	7
Queanbeyan	Owner managers of unincorporated enterprises	7875	F	19
Queanbeyan	Owner managers of unincorporated enterprises	7875	M	23
Queanbeyan	Owner managers of unincorporated enterprises	15750	F	48
Queanbeyan	Owner managers of unincorporated enterprises	15750	M	27
Queanbeyan	Owner managers of unincorporated enterprises	21000	F	40
Queanbeyan	Owner managers of unincorporated enterprises	21000	M	47
Queanbeyan	Owner managers of unincorporated enterprises	26250	F	51
Queanbeyan	Owner managers of unincorporated enterprises	26250	M	57
Queanbeyan	Owner managers of unincorporated enterprises	34125	F	64
Queanbeyan	Owner managers of unincorporated enterprises	34125	M	68
Queanbeyan	Owner managers of unincorporated enterprises	42000	F	53
Queanbeyan	Owner managers of unincorporated enterprises	42000	M	85
Queanbeyan	Owner managers of unincorporated enterprises	52500	F	56
Queanbeyan	Owner managers of unincorporated enterprises	52500	M	104
Queanbeyan	Owner managers of unincorporated enterprises	65625	F	58
Queanbeyan	Owner managers of unincorporated enterprises	65625	M	98
Queanbeyan	Owner managers of unincorporated enterprises	78750	F	41
Queanbeyan	Owner managers of unincorporated enterprises	78750	M	79
Queanbeyan	Owner managers of unincorporated enterprises	91875	F	21
Queanbeyan	Owner managers of unincorporated enterprises	91875	M	66
