SA3_NAME16	YearOfArrival.max	workers_born_overseas
Queanbeyan	1991	1124
Queanbeyan	1995	151
Queanbeyan	2000	193
Queanbeyan	2005	263
Queanbeyan	2010	625
Queanbeyan	2015	507
Queanbeyan	2016	36
Queanbeyan		70
Snowy Mountains	1991	589
Snowy Mountains	1995	76
Snowy Mountains	2000	77
Snowy Mountains	2005	84
Snowy Mountains	2010	140
Snowy Mountains	2015	203
Snowy Mountains	2016	42
Snowy Mountains		79
South Coast	1991	1630
South Coast	1995	155
South Coast	2000	172
South Coast	2005	212
South Coast	2010	235
South Coast	2015	200
South Coast	2016	23
South Coast		121
Goulburn - Mulwaree	1991	582
Goulburn - Mulwaree	1995	73
Goulburn - Mulwaree	2000	86
Goulburn - Mulwaree	2005	107
Goulburn - Mulwaree	2010	248
Goulburn - Mulwaree	2015	207
Goulburn - Mulwaree	2016	27
Goulburn - Mulwaree		52
Young - Yass	1991	482
Young - Yass	1995	51
Young - Yass	2000	84
Young - Yass	2005	99
Young - Yass	2010	130
Young - Yass	2015	150
Young - Yass	2016	13
Young - Yass		35
Gosford	1991	4665
Gosford	1995	728
Gosford	2000	994
Gosford	2005	1175
Gosford	2010	1407
Gosford	2015	1035
Gosford	2016	86
Gosford		274
Wyong	1991	3069
Wyong	1995	443
Wyong	2000	615
Wyong	2005	615
Wyong	2010	793
Wyong	2015	653
Wyong	2016	30
Wyong		184
Bathurst	1991	840
Bathurst	1995	124
Bathurst	2000	169
Bathurst	2005	165
Bathurst	2010	301
Bathurst	2015	275
Bathurst	2016	27
Bathurst		55
Lachlan Valley	1991	489
Lachlan Valley	1995	59
Lachlan Valley	2000	117
Lachlan Valley	2005	119
Lachlan Valley	2010	227
Lachlan Valley	2015	216
Lachlan Valley	2016	13
Lachlan Valley		47
Lithgow - Mudgee	1991	802
Lithgow - Mudgee	1995	82
Lithgow - Mudgee	2000	102
Lithgow - Mudgee	2005	142
Lithgow - Mudgee	2010	201
Lithgow - Mudgee	2015	134
Lithgow - Mudgee	2016	6
Lithgow - Mudgee		55
Orange	1991	967
Orange	1995	138
Orange	2000	190
Orange	2005	259
Orange	2010	489
Orange	2015	459
Orange	2016	23
Orange		66
Clarence Valley	1991	706
Clarence Valley	1995	65
Clarence Valley	2000	85
Clarence Valley	2005	103
Clarence Valley	2010	147
Clarence Valley	2015	139
Clarence Valley	2016	5
Clarence Valley		50
Coffs Harbour	1991	2088
Coffs Harbour	1995	273
Coffs Harbour	2000	378
Coffs Harbour	2005	422
Coffs Harbour	2010	831
Coffs Harbour	2015	771
Coffs Harbour	2016	66
Coffs Harbour		163
Bourke - Cobar - Coonamble	1991	259
Bourke - Cobar - Coonamble	1995	45
Bourke - Cobar - Coonamble	2000	48
Bourke - Cobar - Coonamble	2005	60
Bourke - Cobar - Coonamble	2010	185
Bourke - Cobar - Coonamble	2015	153
Bourke - Cobar - Coonamble	2016	11
Bourke - Cobar - Coonamble		31
Broken Hill and Far West	1991	183
Broken Hill and Far West	1995	29
Broken Hill and Far West	2000	29
Broken Hill and Far West	2005	37
Broken Hill and Far West	2010	94
Broken Hill and Far West	2015	83
Broken Hill and Far West	2016	4
Broken Hill and Far West		11
Dubbo	1991	791
Dubbo	1995	101
Dubbo	2000	130
Dubbo	2005	205
Dubbo	2010	605
Dubbo	2015	506
Dubbo	2016	44
Dubbo		56
Lower Hunter	1991	1291
Lower Hunter	1995	164
Lower Hunter	2000	236
Lower Hunter	2005	291
Lower Hunter	2010	437
Lower Hunter	2015	293
Lower Hunter	2016	10
Lower Hunter		84
Maitland	1991	1024
Maitland	1995	153
Maitland	2000	204
Maitland	2005	293
Maitland	2010	453
Maitland	2015	347
Maitland	2016	11
Maitland		48
Port Stephens	1991	1466
Port Stephens	1995	165
Port Stephens	2000	263
Port Stephens	2005	309
Port Stephens	2010	509
Port Stephens	2015	309
Port Stephens	2016	26
Port Stephens		106
Upper Hunter	1991	479
Upper Hunter	1995	74
Upper Hunter	2000	119
Upper Hunter	2005	110
Upper Hunter	2010	298
Upper Hunter	2015	356
Upper Hunter	2016	24
Upper Hunter		38
Dapto - Port Kembla	1991	3166
Dapto - Port Kembla	1995	267
Dapto - Port Kembla	2000	322
Dapto - Port Kembla	2005	359
Dapto - Port Kembla	2010	473
Dapto - Port Kembla	2015	426
Dapto - Port Kembla	2016	27
Dapto - Port Kembla		149
Illawarra Catchment Reserve	2000	3
Kiama - Shellharbour	1991	1925
Kiama - Shellharbour	1995	188
Kiama - Shellharbour	2000	238
Kiama - Shellharbour	2005	280
Kiama - Shellharbour	2010	408
Kiama - Shellharbour	2015	350
Kiama - Shellharbour	2016	17
Kiama - Shellharbour		84
Wollongong	1991	4894
Wollongong	1995	663
Wollongong	2000	846
Wollongong	2005	967
Wollongong	2010	1303
Wollongong	2015	1488
Wollongong	2016	108
Wollongong		235
Great Lakes	1991	485
Great Lakes	1995	41
Great Lakes	2000	70
Great Lakes	2005	68
Great Lakes	2010	90
Great Lakes	2015	83
Great Lakes	2016	10
Great Lakes		39
Kempsey - Nambucca	1991	747
Kempsey - Nambucca	1995	81
Kempsey - Nambucca	2000	95
Kempsey - Nambucca	2005	113
Kempsey - Nambucca	2010	138
Kempsey - Nambucca	2015	169
Kempsey - Nambucca	2016	9
Kempsey - Nambucca		67
Lord Howe Island	1991	17
Lord Howe Island	2000	6
Lord Howe Island	2005	7
Lord Howe Island	2010	3
Lord Howe Island	2015	6
Port Macquarie	1991	1573
Port Macquarie	1995	174
Port Macquarie	2000	311
Port Macquarie	2005	352
Port Macquarie	2010	434
Port Macquarie	2015	359
Port Macquarie	2016	16
Port Macquarie		97
Taree - Gloucester	1991	802
Taree - Gloucester	1995	64
Taree - Gloucester	2000	124
Taree - Gloucester	2005	151
Taree - Gloucester	2010	213
Taree - Gloucester	2015	153
Taree - Gloucester	2016	5
Taree - Gloucester		51
Albury	1991	1194
Albury	1995	128
Albury	2000	189
Albury	2005	279
Albury	2010	641
Albury	2015	432
Albury	2016	32
Albury		64
Lower Murray	1991	167
Lower Murray	1995	24
Lower Murray	2000	39
Lower Murray	2005	30
Lower Murray	2010	74
Lower Murray	2015	81
Lower Murray	2016	22
Lower Murray		36
Upper Murray exc. Albury	1991	488
Upper Murray exc. Albury	1995	41
Upper Murray exc. Albury	2000	70
Upper Murray exc. Albury	2005	107
Upper Murray exc. Albury	2010	210
Upper Murray exc. Albury	2015	270
Upper Murray exc. Albury	2016	30
