SA3_NAME16	IncomeTotPersonal.max	workers
Queanbeyan		224
Queanbeyan	0	127
Queanbeyan	7875	639
Queanbeyan	15750	538
Queanbeyan	21000	595
Queanbeyan	26250	721
Queanbeyan	34125	1096
Queanbeyan	42000	1480
Queanbeyan	52500	1991
Queanbeyan	65625	2109
Queanbeyan	78750	1511
Queanbeyan	91875	1247
Queanbeyan	105000	881
Queanbeyan	157500	1255
Queanbeyan	Inf	537
Snowy Mountains		184
Snowy Mountains	0	105
Snowy Mountains	7875	341
Snowy Mountains	15750	393
Snowy Mountains	21000	493
Snowy Mountains	26250	658
Snowy Mountains	34125	1230
Snowy Mountains	42000	1403
Snowy Mountains	52500	1413
Snowy Mountains	65625	1181
Snowy Mountains	78750	710
Snowy Mountains	91875	535
Snowy Mountains	105000	384
Snowy Mountains	157500	419
Snowy Mountains	Inf	212
South Coast		433
South Coast	0	212
South Coast	7875	1063
South Coast	15750	1170
South Coast	21000	1423
South Coast	26250	1935
South Coast	34125	2924
South Coast	42000	3333
South Coast	52500	3423
South Coast	65625	2887
South Coast	78750	1748
South Coast	91875	1251
South Coast	105000	887
South Coast	157500	872
South Coast	Inf	401
Goulburn - Mulwaree		244
Goulburn - Mulwaree	0	156
Goulburn - Mulwaree	7875	517
Goulburn - Mulwaree	15750	560
Goulburn - Mulwaree	21000	609
Goulburn - Mulwaree	26250	825
Goulburn - Mulwaree	34125	1357
Goulburn - Mulwaree	42000	1626
Goulburn - Mulwaree	52500	1813
Goulburn - Mulwaree	65625	1769
Goulburn - Mulwaree	78750	1143
Goulburn - Mulwaree	91875	940
Goulburn - Mulwaree	105000	718
Goulburn - Mulwaree	157500	788
Goulburn - Mulwaree	Inf	298
Young - Yass		223
Young - Yass	0	163
Young - Yass	7875	503
Young - Yass	15750	539
Young - Yass	21000	650
Young - Yass	26250	772
Young - Yass	34125	1307
Young - Yass	42000	1514
Young - Yass	52500	1570
Young - Yass	65625	1324
Young - Yass	78750	784
Young - Yass	91875	652
Young - Yass	105000	442
Young - Yass	157500	527
Young - Yass	Inf	319
Gosford		952
Gosford	0	430
Gosford	7875	2740
Gosford	15750	2787
Gosford	21000	3052
Gosford	26250	3711
Gosford	34125	6034
Gosford	42000	7254
Gosford	52500	8021
Gosford	65625	7466
Gosford	78750	4703
Gosford	91875	3985
Gosford	105000	2902
Gosford	157500	3235
Gosford	Inf	1496
Wyong		721
Wyong	0	310
Wyong	7875	2206
Wyong	15750	2228
Wyong	21000	2492
Wyong	26250	3030
Wyong	34125	4794
Wyong	42000	5788
Wyong	52500	6558
Wyong	65625	5920
Wyong	78750	3717
Wyong	91875	2967
Wyong	105000	2002
Wyong	157500	2240
Wyong	Inf	984
Bathurst		314
Bathurst	0	166
Bathurst	7875	761
Bathurst	15750	879
Bathurst	21000	906
Bathurst	26250	1165
Bathurst	34125	1844
Bathurst	42000	2294
Bathurst	52500	2684
Bathurst	65625	2491
Bathurst	78750	1730
Bathurst	91875	1547
Bathurst	105000	1134
Bathurst	157500	1250
Bathurst	Inf	438
Lachlan Valley		437
Lachlan Valley	0	329
Lachlan Valley	7875	745
Lachlan Valley	15750	877
Lachlan Valley	21000	1140
Lachlan Valley	26250	1450
Lachlan Valley	34125	2413
Lachlan Valley	42000	2796
Lachlan Valley	52500	2921
Lachlan Valley	65625	2570
Lachlan Valley	78750	1594
Lachlan Valley	91875	1305
Lachlan Valley	105000	886
Lachlan Valley	157500	1123
Lachlan Valley	Inf	527
Lithgow - Mudgee		311
Lithgow - Mudgee	0	210
Lithgow - Mudgee	7875	614
Lithgow - Mudgee	15750	765
Lithgow - Mudgee	21000	914
Lithgow - Mudgee	26250	1099
Lithgow - Mudgee	34125	1651
Lithgow - Mudgee	42000	1924
Lithgow - Mudgee	52500	1991
Lithgow - Mudgee	65625	1871
Lithgow - Mudgee	78750	1322
Lithgow - Mudgee	91875	1127
Lithgow - Mudgee	105000	982
Lithgow - Mudgee	157500	1800
Lithgow - Mudgee	Inf	790
Orange		412
Orange	0	220
Orange	7875	866
Orange	15750	892
Orange	21000	1091
Orange	26250	1320
Orange	34125	2137
Orange	42000	2796
Orange	52500	3128
Orange	65625	3326
Orange	78750	2280
Orange	91875	2060
Orange	105000	1552
Orange	157500	2138
Orange	Inf	861
Clarence Valley		269
Clarence Valley	0	168
Clarence Valley	7875	646
Clarence Valley	15750	765
Clarence Valley	21000	1013
Clarence Valley	26250	1240
Clarence Valley	34125	1975
Clarence Valley	42000	2375
Clarence Valley	52500	2203
Clarence Valley	65625	1805
Clarence Valley	78750	1094
Clarence Valley	91875	938
Clarence Valley	105000	700
Clarence Valley	157500	718
Clarence Valley	Inf	319
Coffs Harbour		493
Coffs Harbour	0	292
Coffs Harbour	7875	1405
Coffs Harbour	15750	1435
Coffs Harbour	21000	1760
Coffs Harbour	26250	2267
