SA3_NAME16	Age	workers
Queanbeyan	15-19	1049
Queanbeyan	20-24	1360
Queanbeyan	25-29	1589
Queanbeyan	30-34	1532
Queanbeyan	35-39	1396
Queanbeyan	40-44	1611
Queanbeyan	45-49	1689
Queanbeyan	50-54	1549
Queanbeyan	55-59	1355
Queanbeyan	60-64	973
Queanbeyan	65-69	495
Queanbeyan	70-74	211
Queanbeyan	75+	138
Snowy Mountains	15-19	636
Snowy Mountains	20-24	1145
Snowy Mountains	25-29	1022
Snowy Mountains	30-34	790
Snowy Mountains	35-39	708
Snowy Mountains	40-44	932
Snowy Mountains	45-49	1011
Snowy Mountains	50-54	1061
Snowy Mountains	55-59	963
Snowy Mountains	60-64	683
Snowy Mountains	65-69	371
Snowy Mountains	70-74	209
Snowy Mountains	75+	129
South Coast	15-19	1526
South Coast	20-24	1467
South Coast	25-29	1471
South Coast	30-34	1753
South Coast	35-39	1932
South Coast	40-44	2404
South Coast	45-49	2830
South Coast	50-54	3197
South Coast	55-59	3328
South Coast	60-64	2439
South Coast	65-69	1049
South Coast	70-74	378
South Coast	75+	210
Goulburn - Mulwaree	15-19	875
Goulburn - Mulwaree	20-24	1079
Goulburn - Mulwaree	25-29	1169
Goulburn - Mulwaree	30-34	1219
Goulburn - Mulwaree	35-39	1170
Goulburn - Mulwaree	40-44	1353
Goulburn - Mulwaree	45-49	1467
Goulburn - Mulwaree	50-54	1609
Goulburn - Mulwaree	55-59	1451
Goulburn - Mulwaree	60-64	1023
Goulburn - Mulwaree	65-69	540
Goulburn - Mulwaree	70-74	246
Goulburn - Mulwaree	75+	179
Young - Yass	15-19	749
Young - Yass	20-24	925
Young - Yass	25-29	836
Young - Yass	30-34	875
Young - Yass	35-39	978
Young - Yass	40-44	1126
Young - Yass	45-49	1205
Young - Yass	50-54	1295
Young - Yass	55-59	1195
Young - Yass	60-64	940
Young - Yass	65-69	609
Young - Yass	70-74	301
Young - Yass	75+	251
Gosford	15-19	4099
Gosford	20-24	5362
Gosford	25-29	5191
Gosford	30-34	5342
Gosford	35-39	5540
Gosford	40-44	6398
Gosford	45-49	6923
Gosford	50-54	6746
Gosford	55-59	6369
Gosford	60-64	4092
Gosford	65-69	1776
Gosford	70-74	644
Gosford	75+	282
Wyong	15-19	3601
Wyong	20-24	4475
Wyong	25-29	4173
Wyong	30-34	4415
Wyong	35-39	4390
Wyong	40-44	5093
Wyong	45-49	5244
Wyong	50-54	5198
Wyong	55-59	4597
Wyong	60-64	3019
Wyong	65-69	1179
Wyong	70-74	411
Wyong	75+	166
Bathurst	15-19	1260
Bathurst	20-24	1992
Bathurst	25-29	1935
Bathurst	30-34	1839
Bathurst	35-39	1790
Bathurst	40-44	2045
Bathurst	45-49	2152
Bathurst	50-54	2068
Bathurst	55-59	1945
Bathurst	60-64	1409
Bathurst	65-69	696
Bathurst	70-74	309
Bathurst	75+	174
Lachlan Valley	15-19	1184
Lachlan Valley	20-24	1715
Lachlan Valley	25-29	1712
Lachlan Valley	30-34	1871
Lachlan Valley	35-39	1866
Lachlan Valley	40-44	2085
Lachlan Valley	45-49	2248
Lachlan Valley	50-54	2439
Lachlan Valley	55-59	2299
Lachlan Valley	60-64	1826
Lachlan Valley	65-69	956
Lachlan Valley	70-74	472
Lachlan Valley	75+	449
Lithgow - Mudgee	15-19	950
Lithgow - Mudgee	20-24	1295
Lithgow - Mudgee	25-29	1525
Lithgow - Mudgee	30-34	1667
Lithgow - Mudgee	35-39	1580
Lithgow - Mudgee	40-44	1891
Lithgow - Mudgee	45-49	2055
Lithgow - Mudgee	50-54	2095
Lithgow - Mudgee	55-59	1995
Lithgow - Mudgee	60-64	1197
Lithgow - Mudgee	65-69	595
Lithgow - Mudgee	70-74	318
Lithgow - Mudgee	75+	212
Orange	15-19	1472
Orange	20-24	2003
Orange	25-29	2474
Orange	30-34	2641
Orange	35-39	2563
Orange	40-44	2826
Orange	45-49	2809
Orange	50-54	2647
Orange	55-59	2501
Orange	60-64	1655
Orange	65-69	841
Orange	70-74	399
Orange	75+	262
Clarence Valley	15-19	1010
Clarence Valley	20-24	1125
Clarence Valley	25-29	1142
Clarence Valley	30-34	1170
Clarence Valley	35-39	1420
Clarence Valley	40-44	1757
Clarence Valley	45-49	1913
Clarence Valley	50-54	2073
Clarence Valley	55-59	2117
Clarence Valley	60-64	1488
Clarence Valley	65-69	595
Clarence Valley	70-74	236
Clarence Valley	75+	181
Coffs Harbour	15-19	2110
Coffs Harbour	20-24	2506
Coffs Harbour	25-29	2714
Coffs Harbour	30-34	2912
Coffs Harbour	35-39	2905
Coffs Harbour	40-44	3626
Coffs Harbour	45-49	3848
Coffs Harbour	50-54	3896
Coffs Harbour	55-59	3828
Coffs Harbour	60-64	2681
Coffs Harbour	65-69	1072
Coffs Harbour	70-74	337
Coffs Harbour	75+	186
Bourke - Cobar - Coonamble	15-19	306
Bourke - Cobar - Coonamble	20-24	702
Bourke - Cobar - Coonamble	25-29	1037
Bourke - Cobar - Coonamble	30-34	995
Bourke - Cobar - Coonamble	35-39	843
Bourke - Cobar - Coonamble	40-44	926
Bourke - Cobar - Coonamble	45-49	1056
Bourke - Cobar - Coonamble	50-54	1120
Bourke - Cobar - Coonamble	55-59	1054
Bourke - Cobar - Coonamble	60-64	762
Bourke - Cobar - Coonamble	65-69	423
Bourke - Cobar - Coonamble	70-74	210
Bourke - Cobar - Coonamble	75+	189
Broken Hill and Far West	15-19	402
Broken Hill and Far West	20-24	658
Broken Hill and Far West	25-29	858
Broken Hill and Far West	30-34	746
Broken Hill and Far West	35-39	678
Broken Hill and Far West	40-44	747
Broken Hill and Far West	45-49	813
Broken Hill and Far West	50-54	913
Broken Hill and Far West	55-59	968
Broken Hill and Far West	60-64	651
Broken Hill and Far West	65-69	266
Broken Hill and Far West	70-74	100
Broken Hill and Far West	75+	64
Dubbo	15-19	1610
Dubbo	20-24	2376
Dubbo	25-29	2857
Dubbo	30-34	2814
Dubbo	35-39	2614
Dubbo	40-44	2811
Dubbo	45-49	3031
Dubbo	50-54	3135
Dubbo	55-59	3012
Dubbo	60-64	2128
Dubbo	65-69	1106
Dubbo	70-74	484
Dubbo	75+	413
Lower Hunter	15-19	2157
Lower Hunter	20-24	2916
Lower Hunter	25-29	3243
Lower Hunter	30-34	3622
Lower Hunter	35-39	3451
Lower Hunter	40-44	3722
Lower Hunter	45-49	3669
Lower Hunter	50-54	3408
Lower Hunter	55-59	3087
Lower Hunter	60-64	1884
Lower Hunter	65-69	841
Lower Hunter	70-74	313
Lower Hunter	75+	219
Maitland	15-19	1989
Maitland	20-24	2685
Maitland	25-29	2865
Maitland	30-34	2783
Maitland	35-39	2697
Maitland	40-44	2941
Maitland	45-49	2951
Maitland	50-54	2723
Maitland	55-59	2431
Maitland	60-64	1444
Maitland	65-69	614
Maitland	70-74	203
Maitland	75+	111
