SA3_NAME16	CountryOfBirth	EmploymentStatus	workers
Queanbeyan		Contributing family workers	31
Queanbeyan		Employee	626
Queanbeyan		Owner managers of incorporated enterprises	80
Queanbeyan		Owner managers of unincorporated enterprises	68
Queanbeyan		Status in employment not stated	20
Queanbeyan	AUS	Contributing family workers	309
Queanbeyan	AUS	Employee	9237
Queanbeyan	AUS	Owner managers of incorporated enterprises	1065
Queanbeyan	AUS	Owner managers of unincorporated enterprises	1040
Queanbeyan	AUS	Status in employment not stated	104
Queanbeyan	CAN	Employee	24
Queanbeyan	CAN	Owner managers of incorporated enterprises	3
Queanbeyan	CHN	Employee	84
Queanbeyan	CHN	Owner managers of incorporated enterprises	20
Queanbeyan	CHN	Owner managers of unincorporated enterprises	17
Queanbeyan	HRV	Employee	22
Queanbeyan	HRV	Owner managers of incorporated enterprises	10
Queanbeyan	HRV	Owner managers of unincorporated enterprises	4
Queanbeyan	EGY	Employee	4
Queanbeyan	FJI	Employee	36
Queanbeyan	FJI	Owner managers of incorporated enterprises	4
Queanbeyan	FJI	Status in employment not stated	3
Queanbeyan	MKD	Employee	58
Queanbeyan	MKD	Owner managers of incorporated enterprises	12
Queanbeyan	MKD	Owner managers of unincorporated enterprises	10
Queanbeyan	MKD	Status in employment not stated	3
Queanbeyan	DEU	Contributing family workers	7
Queanbeyan	DEU	Employee	43
Queanbeyan	DEU	Owner managers of incorporated enterprises	9
Queanbeyan	DEU	Owner managers of unincorporated enterprises	11
Queanbeyan	GRC	Employee	15
Queanbeyan	GRC	Owner managers of incorporated enterprises	3
Queanbeyan	GRC	Owner managers of unincorporated enterprises	6
Queanbeyan	HKG	Employee	12
Queanbeyan	HKG	Owner managers of unincorporated enterprises	3
Queanbeyan	IND	Contributing family workers	7
Queanbeyan	IND	Employee	315
Queanbeyan	IND	Owner managers of incorporated enterprises	26
Queanbeyan	IND	Owner managers of unincorporated enterprises	11
Queanbeyan	IND	Status in employment not stated	7
Queanbeyan	IDN	Employee	11
Queanbeyan	IRN	Employee	13
Queanbeyan	IRN	Owner managers of incorporated enterprises	3
Queanbeyan	IRQ	Employee	6
Queanbeyan	IRQ	Owner managers of unincorporated enterprises	5
Queanbeyan	IRL	Employee	29
Queanbeyan	IRL	Owner managers of incorporated enterprises	8
Queanbeyan	IRL	Owner managers of unincorporated enterprises	4
Queanbeyan	ITA	Employee	32
Queanbeyan	ITA	Owner managers of incorporated enterprises	10
Queanbeyan	ITA	Owner managers of unincorporated enterprises	13
Queanbeyan	JPN	Employee	4
Queanbeyan	LBN	Employee	6
Queanbeyan	MYS	Employee	30
Queanbeyan	MYS	Owner managers of incorporated enterprises	3
Queanbeyan	MYS	Owner managers of unincorporated enterprises	3
Queanbeyan	MLT	Employee	4
Queanbeyan	MLT	Owner managers of unincorporated enterprises	3
Queanbeyan	NLD	Contributing family workers	4
Queanbeyan	NLD	Employee	21
Queanbeyan	NLD	Owner managers of unincorporated enterprises	3
Queanbeyan	NZL	Contributing family workers	3
Queanbeyan	NZL	Employee	218
Queanbeyan	NZL	Owner managers of incorporated enterprises	26
Queanbeyan	NZL	Owner managers of unincorporated enterprises	17
Queanbeyan	NZL	Status in employment not stated	4
Queanbeyan	PAK	Employee	47
Queanbeyan	PHL	Contributing family workers	5
Queanbeyan	PHL	Employee	147
Queanbeyan	PHL	Owner managers of incorporated enterprises	7
Queanbeyan	PHL	Owner managers of unincorporated enterprises	3
Queanbeyan	POL	Employee	17
Queanbeyan	POL	Owner managers of unincorporated enterprises	3
Queanbeyan	SGP	Employee	20
Queanbeyan	SGP	Owner managers of incorporated enterprises	3
Queanbeyan	SGP	Owner managers of unincorporated enterprises	4
Queanbeyan	ZAF	Employee	47
Queanbeyan	ZAF	Owner managers of incorporated enterprises	7
Queanbeyan	ZAF	Owner managers of unincorporated enterprises	4
Queanbeyan	KOR	Employee	19
Queanbeyan	KOR	Owner managers of incorporated enterprises	8
Queanbeyan	LKA	Employee	52
Queanbeyan	THA	Employee	16
Queanbeyan	THA	Owner managers of incorporated enterprises	3
Queanbeyan	THA	Owner managers of unincorporated enterprises	3
Queanbeyan	TUR	Employee	8
Queanbeyan	GBR	Contributing family workers	13
Queanbeyan	GBR	Employee	379
Queanbeyan	GBR	Owner managers of incorporated enterprises	48
Queanbeyan	GBR	Owner managers of unincorporated enterprises	69
Queanbeyan	GBR	Status in employment not stated	3
Queanbeyan	USA	Contributing family workers	4
Queanbeyan	USA	Employee	52
Queanbeyan	USA	Owner managers of incorporated enterprises	3
Queanbeyan	USA	Owner managers of unincorporated enterprises	10
Queanbeyan	VNM	Employee	28
Queanbeyan	VNM	Owner managers of incorporated enterprises	7
Queanbeyan	VNM	Owner managers of unincorporated enterprises	7
Queanbeyan	ZWE	Employee	22
Snowy Mountains		Contributing family workers	33
Snowy Mountains		Employee	377
Snowy Mountains		Owner managers of incorporated enterprises	34
Snowy Mountains		Owner managers of unincorporated enterprises	58
Snowy Mountains		Status in employment not stated	9
Snowy Mountains	AUS	Contributing family workers	307
Snowy Mountains	AUS	Employee	6303
Snowy Mountains	AUS	Owner managers of incorporated enterprises	545
Snowy Mountains	AUS	Owner managers of unincorporated enterprises	863
Snowy Mountains	AUS	Status in employment not stated	96
Snowy Mountains	CAN	Employee	32
Snowy Mountains	CAN	Owner managers of unincorporated enterprises	3
Snowy Mountains	CHN	Contributing family workers	3
Snowy Mountains	CHN	Employee	22
Snowy Mountains	HRV	Employee	7
Snowy Mountains	EGY	Employee	4
Snowy Mountains	FJI	Employee	8
Snowy Mountains	FJI	Owner managers of unincorporated enterprises	3
Snowy Mountains	DEU	Employee	26
Snowy Mountains	DEU	Owner managers of incorporated enterprises	8
Snowy Mountains	DEU	Owner managers of unincorporated enterprises	7
Snowy Mountains	HKG	Employee	29
Snowy Mountains	HKG	Owner managers of unincorporated enterprises	4
Snowy Mountains	IND	Employee	19
Snowy Mountains	IDN	Employee	9
Snowy Mountains	IRL	Employee	13
Snowy Mountains	IRL	Owner managers of unincorporated enterprises	4
Snowy Mountains	ITA	Contributing family workers	3
Snowy Mountains	ITA	Employee	6
Snowy Mountains	ITA	Owner managers of incorporated enterprises	5
Snowy Mountains	ITA	Owner managers of unincorporated enterprises	3
Snowy Mountains	JPN	Employee	13
Snowy Mountains	JPN	Owner managers of incorporated enterprises	3
Snowy Mountains	LBN	Owner managers of unincorporated enterprises	5
Snowy Mountains	MYS	Employee	3
Snowy Mountains	MYS	Owner managers of unincorporated enterprises	3
Snowy Mountains	NLD	Employee	18
Snowy Mountains	NLD	Owner managers of incorporated enterprises	3
Snowy Mountains	NLD	Owner managers of unincorporated enterprises	3
Snowy Mountains	NZL	Contributing family workers	6
Snowy Mountains	NZL	Employee	138
Snowy Mountains	NZL	Owner managers of incorporated enterprises	10
Snowy Mountains	NZL	Owner managers of unincorporated enterprises	13
Snowy Mountains	PHL	Employee	22
Snowy Mountains	PHL	Status in employment not stated	3
Snowy Mountains	POL	Contributing family workers	3
Snowy Mountains	POL	Employee	14
Snowy Mountains	POL	Owner managers of unincorporated enterprises	3
Snowy Mountains	SGP	Employee	4
Snowy Mountains	ZAF	Employee	31
Snowy Mountains	ZAF	Owner managers of unincorporated enterprises	5
Snowy Mountains	KOR	Employee	15
Snowy Mountains	LKA	Employee	16
Snowy Mountains	THA	Contributing family workers	3
Snowy Mountains	THA	Employee	24
Snowy Mountains	THA	Owner managers of unincorporated enterprises	4
Snowy Mountains	TUR	Employee	4
Snowy Mountains	TUR	Owner managers of incorporated enterprises	3
Snowy Mountains	GBR	Contributing family workers	20
Snowy Mountains	GBR	Employee	271
Snowy Mountains	GBR	Owner managers of incorporated enterprises	25
Snowy Mountains	GBR	Owner managers of unincorporated enterprises	51
Snowy Mountains	GBR	Status in employment not stated	5
Snowy Mountains	USA	Employee	36
Snowy Mountains	USA	Owner managers of incorporated enterprises	3
Snowy Mountains	USA	Owner managers of unincorporated enterprises	9
Snowy Mountains	VNM	Employee	3
Snowy Mountains	VNM	Owner managers of unincorporated enterprises	3
Snowy Mountains	ZWE	Employee	4
Snowy Mountains	ZWE	Owner managers of unincorporated enterprises	3
South Coast		Contributing family workers	28
South Coast		Employee	695
South Coast		Owner managers of incorporated enterprises	67
South Coast		Owner managers of unincorporated enterprises	135
South Coast		Status in employment not stated	28
South Coast	AUS	Contributing family workers	530
South Coast	AUS	Employee	15778
South Coast	AUS	Owner managers of incorporated enterprises	1477
South Coast	AUS	Owner managers of unincorporated enterprises	2545
South Coast	AUS	Status in employment not stated	292
South Coast	CAN	Employee	41
South Coast	CAN	Owner managers of incorporated enterprises	3
South Coast	CAN	Owner managers of unincorporated enterprises	7
South Coast	CHN	Contributing family workers	4
South Coast	CHN	Employee	19
South Coast	CHN	Owner managers of incorporated enterprises	8
South Coast	CHN	Owner managers of unincorporated enterprises	12
South Coast	HRV	Employee	7
South Coast	HRV	Owner managers of unincorporated enterprises	3
South Coast	EGY	Employee	7
South Coast	EGY	Owner managers of incorporated enterprises	3
South Coast	FJI	Employee	14
South Coast	FJI	Owner managers of unincorporated enterprises	3
South Coast	DEU	Contributing family workers	6
South Coast	DEU	Employee	73
South Coast	DEU	Owner managers of incorporated enterprises	12
South Coast	DEU	Owner managers of unincorporated enterprises	21
South Coast	DEU	Status in employment not stated	6
South Coast	GRC	Contributing family workers	4
South Coast	GRC	Employee	6
South Coast	GRC	Owner managers of unincorporated enterprises	3
South Coast	HKG	Employee	15
South Coast	HKG	Owner managers of incorporated enterprises	3
South Coast	HKG	Owner managers of unincorporated enterprises	3
South Coast	IND	Employee	63
South Coast	IND	Owner managers of incorporated enterprises	3
South Coast	IND	Owner managers of unincorporated enterprises	6
South Coast	IDN	Employee	4
South Coast	IRN	Employee	5
South Coast	IRQ	Employee	3
South Coast	IRL	Employee	23
South Coast	IRL	Owner managers of incorporated enterprises	3
South Coast	IRL	Owner managers of unincorporated enterprises	10
South Coast	IRL	Status in employment not stated	3
South Coast	ITA	Employee	20
South Coast	ITA	Owner managers of incorporated enterprises	3
South Coast	ITA	Owner managers of unincorporated enterprises	8
South Coast	JPN	Employee	8
South Coast	LBN	Employee	3
South Coast	MYS	Contributing family workers	3
South Coast	MYS	Employee	20
South Coast	MYS	Owner managers of incorporated enterprises	3
South Coast	MYS	Owner managers of unincorporated enterprises	6
South Coast	MLT	Employee	9
South Coast	MLT	Owner managers of incorporated enterprises	3
South Coast	MLT	Owner managers of unincorporated enterprises	3
South Coast	NLD	Contributing family workers	4
South Coast	NLD	Employee	46
South Coast	NLD	Owner managers of incorporated enterprises	5
South Coast	NLD	Owner managers of unincorporated enterprises	12
South Coast	NLD	Status in employment not stated	3
South Coast	NZL	Contributing family workers	9
South Coast	NZL	Employee	278
South Coast	NZL	Owner managers of incorporated enterprises	24
South Coast	NZL	Owner managers of unincorporated enterprises	61
South Coast	NZL	Status in employment not stated	5
South Coast	PHL	Employee	90
South Coast	PHL	Owner managers of incorporated enterprises	3
South Coast	PHL	Owner managers of unincorporated enterprises	4
South Coast	PHL	Status in employment not stated	3
South Coast	POL	Employee	15
South Coast	POL	Owner managers of incorporated enterprises	3
South Coast	POL	Status in employment not stated	3
South Coast	SGP	Employee	7
South Coast	ZAF	Contributing family workers	4
South Coast	ZAF	Employee	54
South Coast	ZAF	Owner managers of incorporated enterprises	17
South Coast	ZAF	Owner managers of unincorporated enterprises	9
South Coast	KOR	Employee	11
South Coast	KOR	Owner managers of incorporated enterprises	3
South Coast	KOR	Owner managers of unincorporated enterprises	3
South Coast	LKA	Employee	9
South Coast	LKA	Owner managers of incorporated enterprises	3
South Coast	LKA	Owner managers of unincorporated enterprises	3
South Coast	THA	Employee	26
South Coast	THA	Owner managers of incorporated enterprises	5
South Coast	THA	Owner managers of unincorporated enterprises	8
South Coast	TUR	Employee	3
South Coast	GBR	Contributing family workers	26
South Coast	GBR	Employee	719
South Coast	GBR	Owner managers of incorporated enterprises	65
South Coast	GBR	Owner managers of unincorporated enterprises	177
South Coast	GBR	Status in employment not stated	11
South Coast	USA	Contributing family workers	4
South Coast	USA	Employee	60
South Coast	USA	Owner managers of incorporated enterprises	10
South Coast	USA	Owner managers of unincorporated enterprises	15
South Coast	VNM	Contributing family workers	3
South Coast	VNM	Employee	17
South Coast	VNM	Owner managers of incorporated enterprises	3
South Coast	VNM	Owner managers of unincorporated enterprises	16
South Coast	ZWE	Contributing family workers	3
South Coast	ZWE	Employee	13
South Coast	ZWE	Owner managers of unincorporated enterprises	4
Goulburn - Mulwaree		Contributing family workers	29
Goulburn - Mulwaree		Employee	393
Goulburn - Mulwaree		Owner managers of incorporated enterprises	27
Goulburn - Mulwaree		Owner managers of unincorporated enterprises	49
Goulburn - Mulwaree		Status in employment not stated	12
Goulburn - Mulwaree	AUS	Contributing family workers	412
Goulburn - Mulwaree	AUS	Employee	9432
Goulburn - Mulwaree	AUS	Owner managers of incorporated enterprises	624
Goulburn - Mulwaree	AUS	Owner managers of unincorporated enterprises	1095
Goulburn - Mulwaree	AUS	Status in employment not stated	143
Goulburn - Mulwaree	CAN	Employee	10
Goulburn - Mulwaree	CHN	Contributing family workers	4
Goulburn - Mulwaree	CHN	Employee	35
Goulburn - Mulwaree	CHN	Owner managers of incorporated enterprises	11
Goulburn - Mulwaree	CHN	Owner managers of unincorporated enterprises	11
Goulburn - Mulwaree	CHN	Status in employment not stated	3
Goulburn - Mulwaree	EGY	Employee	5
Goulburn - Mulwaree	EGY	Owner managers of incorporated enterprises	4
Goulburn - Mulwaree	FJI	Contributing family workers	3
Goulburn - Mulwaree	FJI	Employee	14
Goulburn - Mulwaree	FJI	Owner managers of unincorporated enterprises	3
Goulburn - Mulwaree	DEU	Contributing family workers	3
Goulburn - Mulwaree	DEU	Employee	20
Goulburn - Mulwaree	DEU	Owner managers of unincorporated enterprises	10
Goulburn - Mulwaree	GRC	Contributing family workers	3
Goulburn - Mulwaree	GRC	Employee	8
Goulburn - Mulwaree	HKG	Employee	9
Goulburn - Mulwaree	HKG	Owner managers of unincorporated enterprises	3
Goulburn - Mulwaree	IND	Contributing family workers	3
Goulburn - Mulwaree	IND	Employee	99
Goulburn - Mulwaree	IND	Owner managers of incorporated enterprises	13
Goulburn - Mulwaree	IDN	Employee	4
Goulburn - Mulwaree	IDN	Owner managers of unincorporated enterprises	3
Goulburn - Mulwaree	IRN	Employee	9
Goulburn - Mulwaree	IRQ	Employee	7
Goulburn - Mulwaree	IRQ	Owner managers of incorporated enterprises	3
Goulburn - Mulwaree	IRL	Employee	11
Goulburn - Mulwaree	IRL	Owner managers of unincorporated enterprises	3
Goulburn - Mulwaree	ITA	Contributing family workers	3
Goulburn - Mulwaree	ITA	Employee	9
Goulburn - Mulwaree	ITA	Owner managers of incorporated enterprises	3
