SA3_NAME16	IndustryOfEmployment	workers_born_overseas
Queanbeyan		148
Queanbeyan	Accommodation and food services	281
Queanbeyan	Administrative and support services	86
Queanbeyan	Agriculture forestry and fishing	62
Queanbeyan	Arts and recreation services	35
Queanbeyan	Construction	340
Queanbeyan	Education and training	136
Queanbeyan	Electricity gas water and waste services	31
Queanbeyan	Financial and insurance services	30
Queanbeyan	Health care and social assistance	461
Queanbeyan	Information media and telecommunications	11
Queanbeyan	Manufacturing	229
Queanbeyan	Mining	11
Queanbeyan	Other services	131
Queanbeyan	Professional scientific and technical services	167
Queanbeyan	Public administration and safety	320
Queanbeyan	Rental hiring and real estate services	31
Queanbeyan	Retail trade	283
Queanbeyan	Transport postal and warehousing	133
Queanbeyan	Wholesale trade	49
Snowy Mountains		51
Snowy Mountains	Accommodation and food services	338
Snowy Mountains	Administrative and support services	52
Snowy Mountains	Agriculture forestry and fishing	57
Snowy Mountains	Arts and recreation services	110
Snowy Mountains	Construction	34
Snowy Mountains	Education and training	89
Snowy Mountains	Electricity gas water and waste services	53
Snowy Mountains	Financial and insurance services	8
Snowy Mountains	Health care and social assistance	119
Snowy Mountains	Information media and telecommunications	11
Snowy Mountains	Manufacturing	64
Snowy Mountains	Mining	8
Snowy Mountains	Other services	29
Snowy Mountains	Professional scientific and technical services	44
Snowy Mountains	Public administration and safety	58
Snowy Mountains	Rental hiring and real estate services	26
Snowy Mountains	Retail trade	110
Snowy Mountains	Transport postal and warehousing	38
Snowy Mountains	Wholesale trade	13
South Coast		102
South Coast	Accommodation and food services	386
South Coast	Administrative and support services	86
South Coast	Agriculture forestry and fishing	101
South Coast	Arts and recreation services	61
South Coast	Construction	146
South Coast	Education and training	189
South Coast	Electricity gas water and waste services	13
South Coast	Financial and insurance services	24
South Coast	Health care and social assistance	639
South Coast	Information media and telecommunications	19
South Coast	Manufacturing	161
South Coast	Other services	100
South Coast	Professional scientific and technical services	151
South Coast	Public administration and safety	151
South Coast	Rental hiring and real estate services	32
South Coast	Retail trade	291
South Coast	Transport postal and warehousing	64
South Coast	Wholesale trade	29
Goulburn - Mulwaree		49
Goulburn - Mulwaree	Accommodation and food services	178
Goulburn - Mulwaree	Administrative and support services	32
Goulburn - Mulwaree	Agriculture forestry and fishing	94
Goulburn - Mulwaree	Arts and recreation services	15
Goulburn - Mulwaree	Construction	58
Goulburn - Mulwaree	Education and training	100
Goulburn - Mulwaree	Electricity gas water and waste services	9
Goulburn - Mulwaree	Financial and insurance services	13
Goulburn - Mulwaree	Health care and social assistance	330
Goulburn - Mulwaree	Information media and telecommunications	4
Goulburn - Mulwaree	Manufacturing	105
Goulburn - Mulwaree	Mining	8
Goulburn - Mulwaree	Other services	49
Goulburn - Mulwaree	Professional scientific and technical services	53
Goulburn - Mulwaree	Public administration and safety	96
Goulburn - Mulwaree	Rental hiring and real estate services	12
Goulburn - Mulwaree	Retail trade	121
Goulburn - Mulwaree	Transport postal and warehousing	30
Goulburn - Mulwaree	Wholesale trade	21
Young - Yass		44
Young - Yass	Accommodation and food services	134
Young - Yass	Administrative and support services	25
Young - Yass	Agriculture forestry and fishing	177
Young - Yass	Arts and recreation services	4
Young - Yass	Construction	59
Young - Yass	Education and training	68
Young - Yass	Electricity gas water and waste services	4
Young - Yass	Financial and insurance services	17
Young - Yass	Health care and social assistance	145
Young - Yass	Information media and telecommunications	12
Young - Yass	Manufacturing	59
Young - Yass	Mining	12
Young - Yass	Other services	26
Young - Yass	Professional scientific and technical services	60
Young - Yass	Public administration and safety	41
Young - Yass	Rental hiring and real estate services	14
Young - Yass	Retail trade	92
Young - Yass	Transport postal and warehousing	22
Young - Yass	Wholesale trade	19
Gosford		476
Gosford	Accommodation and food services	1027
Gosford	Administrative and support services	370
Gosford	Agriculture forestry and fishing	121
Gosford	Arts and recreation services	140
Gosford	Construction	628
Gosford	Education and training	647
Gosford	Electricity gas water and waste services	48
Gosford	Financial and insurance services	219
Gosford	Health care and social assistance	2662
Gosford	Information media and telecommunications	168
Gosford	Manufacturing	738
Gosford	Mining	36
Gosford	Other services	478
Gosford	Professional scientific and technical services	641
Gosford	Public administration and safety	433
Gosford	Rental hiring and real estate services	159
Gosford	Retail trade	967
Gosford	Transport postal and warehousing	222
Gosford	Wholesale trade	195
Wyong		299
Wyong	Accommodation and food services	659
Wyong	Administrative and support services	235
Wyong	Agriculture forestry and fishing	39
Wyong	Arts and recreation services	76
Wyong	Construction	444
Wyong	Education and training	385
Wyong	Electricity gas water and waste services	62
Wyong	Financial and insurance services	110
Wyong	Health care and social assistance	1494
Wyong	Information media and telecommunications	54
Wyong	Manufacturing	567
Wyong	Mining	28
Wyong	Other services	237
Wyong	Professional scientific and technical services	294
Wyong	Public administration and safety	267
Wyong	Rental hiring and real estate services	88
Wyong	Retail trade	689
Wyong	Transport postal and warehousing	248
Wyong	Wholesale trade	133
Bathurst		65
Bathurst	Accommodation and food services	214
Bathurst	Administrative and support services	56
Bathurst	Agriculture forestry and fishing	83
Bathurst	Arts and recreation services	18
Bathurst	Construction	100
Bathurst	Education and training	242
Bathurst	Electricity gas water and waste services	8
Bathurst	Financial and insurance services	18
Bathurst	Health care and social assistance	363
Bathurst	Information media and telecommunications	26
Bathurst	Manufacturing	207
Bathurst	Mining	3
Bathurst	Other services	54
Bathurst	Professional scientific and technical services	93
Bathurst	Public administration and safety	128
Bathurst	Rental hiring and real estate services	12
Bathurst	Retail trade	170
Bathurst	Transport postal and warehousing	47
Bathurst	Wholesale trade	32
Lachlan Valley		58
Lachlan Valley	Accommodation and food services	156
Lachlan Valley	Administrative and support services	26
Lachlan Valley	Agriculture forestry and fishing	173
Lachlan Valley	Arts and recreation services	6
Lachlan Valley	Construction	36
Lachlan Valley	Education and training	88
Lachlan Valley	Electricity gas water and waste services	11
Lachlan Valley	Financial and insurance services	6
Lachlan Valley	Health care and social assistance	235
Lachlan Valley	Information media and telecommunications	9
Lachlan Valley	Manufacturing	77
Lachlan Valley	Mining	88
Lachlan Valley	Other services	41
Lachlan Valley	Professional scientific and technical services	45
Lachlan Valley	Public administration and safety	42
Lachlan Valley	Rental hiring and real estate services	6
Lachlan Valley	Retail trade	122
Lachlan Valley	Transport postal and warehousing	36
Lachlan Valley	Wholesale trade	20
Lithgow - Mudgee		68
Lithgow - Mudgee	Accommodation and food services	207
Lithgow - Mudgee	Administrative and support services	50
Lithgow - Mudgee	Agriculture forestry and fishing	65
Lithgow - Mudgee	Arts and recreation services	12
Lithgow - Mudgee	Construction	81
Lithgow - Mudgee	Education and training	78
Lithgow - Mudgee	Electricity gas water and waste services	21
Lithgow - Mudgee	Financial and insurance services	18
Lithgow - Mudgee	Health care and social assistance	218
Lithgow - Mudgee	Information media and telecommunications	12
Lithgow - Mudgee	Manufacturing	87
Lithgow - Mudgee	Mining	164
Lithgow - Mudgee	Other services	65
Lithgow - Mudgee	Professional scientific and technical services	60
Lithgow - Mudgee	Public administration and safety	94
Lithgow - Mudgee	Rental hiring and real estate services	13
Lithgow - Mudgee	Retail trade	146
Lithgow - Mudgee	Transport postal and warehousing	52
Lithgow - Mudgee	Wholesale trade	43
Orange		89
Orange	Accommodation and food services	232
Orange	Administrative and support services	99
Orange	Agriculture forestry and fishing	108
Orange	Arts and recreation services	14
Orange	Construction	107
Orange	Education and training	194
Orange	Electricity gas water and waste services	12
Orange	Financial and insurance services	42
Orange	Health care and social assistance	696
Orange	Information media and telecommunications	10
Orange	Manufacturing	203
Orange	Mining	130
Orange	Other services	72
Orange	Professional scientific and technical services	112
Orange	Public administration and safety	170
Orange	Rental hiring and real estate services	20
Orange	Retail trade	173
Orange	Transport postal and warehousing	59
Orange	Wholesale trade	30
Clarence Valley		52
Clarence Valley	Accommodation and food services	151
Clarence Valley	Administrative and support services	34
Clarence Valley	Agriculture forestry and fishing	73
Clarence Valley	Arts and recreation services	21
Clarence Valley	Construction	114
Clarence Valley	Education and training	98
Clarence Valley	Electricity gas water and waste services	9
Clarence Valley	Financial and insurance services	11
Clarence Valley	Health care and social assistance	301
Clarence Valley	Information media and telecommunications	11
Clarence Valley	Manufacturing	56
Clarence Valley	Other services	43
Clarence Valley	Professional scientific and technical services	66
Clarence Valley	Public administration and safety	94
Clarence Valley	Rental hiring and real estate services	8
Clarence Valley	Retail trade	111
Clarence Valley	Transport postal and warehousing	41
Clarence Valley	Wholesale trade	15
Coffs Harbour		220
Coffs Harbour	Accommodation and food services	516
Coffs Harbour	Administrative and support services	140
Coffs Harbour	Agriculture forestry and fishing	891
Coffs Harbour	Arts and recreation services	42
Coffs Harbour	Construction	248
