SA3_NAME16	Occupation	OccupationSubtype	Sex	workers
Queanbeyan			F	119
Queanbeyan			M	158
Queanbeyan	Clerical and administrative workers	Clerical and administrative workers nfd	M	6
Queanbeyan	Clerical and administrative workers	Clerical and office support workers	F	53
Queanbeyan	Clerical and administrative workers	Clerical and office support workers	M	67
Queanbeyan	Clerical and administrative workers	General clerical workers	F	357
Queanbeyan	Clerical and administrative workers	General clerical workers	M	69
Queanbeyan	Clerical and administrative workers	Inquiry clerks and receptionists	F	298
Queanbeyan	Clerical and administrative workers	Inquiry clerks and receptionists	M	57
Queanbeyan	Clerical and administrative workers	Numerical clerks	F	284
Queanbeyan	Clerical and administrative workers	Numerical clerks	M	52
Queanbeyan	Clerical and administrative workers	Office managers and program administrators	F	316
Queanbeyan	Clerical and administrative workers	Office managers and program administrators	M	112
Queanbeyan	Clerical and administrative workers	Other clerical and administrative workers	F	105
Queanbeyan	Clerical and administrative workers	Other clerical and administrative workers	M	112
Queanbeyan	Clerical and administrative workers	Personal assistants and secretaries	F	92
Queanbeyan	Clerical and administrative workers	Personal assistants and secretaries	M	3
Queanbeyan	Community and personal service workers	Carers and aides	F	595
Queanbeyan	Community and personal service workers	Carers and aides	M	103
Queanbeyan	Community and personal service workers	Health and welfare support workers	F	105
Queanbeyan	Community and personal service workers	Health and welfare support workers	M	39
Queanbeyan	Community and personal service workers	Hospitality workers	F	224
Queanbeyan	Community and personal service workers	Hospitality workers	M	79
Queanbeyan	Community and personal service workers	Protective service workers	F	57
Queanbeyan	Community and personal service workers	Protective service workers	M	219
Queanbeyan	Community and personal service workers	Sports and personal service workers	F	116
Queanbeyan	Community and personal service workers	Sports and personal service workers	M	71
Queanbeyan	Labourers	Cleaners and laundry workers	F	155
Queanbeyan	Labourers	Cleaners and laundry workers	M	127
Queanbeyan	Labourers	Construction and mining labourers	F	5
Queanbeyan	Labourers	Construction and mining labourers	M	335
Queanbeyan	Labourers	Factory process workers	F	28
Queanbeyan	Labourers	Factory process workers	M	106
Queanbeyan	Labourers	Farm forestry and garden workers	F	30
Queanbeyan	Labourers	Farm forestry and garden workers	M	96
Queanbeyan	Labourers	Food preparation assistants	F	75
Queanbeyan	Labourers	Food preparation assistants	M	122
Queanbeyan	Labourers	Labourers nfd	F	9
Queanbeyan	Labourers	Labourers nfd	M	43
Queanbeyan	Labourers	Other labourers	F	43
Queanbeyan	Labourers	Other labourers	M	208
Queanbeyan	Machinery operators and drivers	Machine and stationary plant operators	F	17
Queanbeyan	Machinery operators and drivers	Machine and stationary plant operators	M	217
Queanbeyan	Machinery operators and drivers	Machinery operators and drivers nfd	M	45
Queanbeyan	Machinery operators and drivers	Mobile plant operators	F	5
Queanbeyan	Machinery operators and drivers	Mobile plant operators	M	171
Queanbeyan	Machinery operators and drivers	Road and rail drivers	F	26
Queanbeyan	Machinery operators and drivers	Road and rail drivers	M	550
Queanbeyan	Machinery operators and drivers	Storepersons	F	8
Queanbeyan	Machinery operators and drivers	Storepersons	M	59
Queanbeyan	Managers	Chief executives general managers and legislators	F	42
Queanbeyan	Managers	Chief executives general managers and legislators	M	154
Queanbeyan	Managers	Farmers and farm managers	F	125
Queanbeyan	Managers	Farmers and farm managers	M	259
Queanbeyan	Managers	Hospitality retail and service managers	F	240
Queanbeyan	Managers	Hospitality retail and service managers	M	339
Queanbeyan	Managers	Managers nfd	F	15
Queanbeyan	Managers	Managers nfd	M	56
Queanbeyan	Managers	Specialist managers	F	281
Queanbeyan	Managers	Specialist managers	M	739
Queanbeyan	Professionals	Arts and media professionals	F	61
Queanbeyan	Professionals	Arts and media professionals	M	35
Queanbeyan	Professionals	Business human resource and marketing professionals	F	195
Queanbeyan	Professionals	Business human resource and marketing professionals	M	196
Queanbeyan	Professionals	Design engineering science and transport professionals	F	121
Queanbeyan	Professionals	Design engineering science and transport professionals	M	276
Queanbeyan	Professionals	Education professionals	F	509
Queanbeyan	Professionals	Education professionals	M	154
Queanbeyan	Professionals	Health professionals	F	327
Queanbeyan	Professionals	Health professionals	M	106
Queanbeyan	Professionals	Information and Communication Technology ICT professionals	F	18
Queanbeyan	Professionals	Information and Communication Technology ICT professionals	M	99
Queanbeyan	Professionals	Legal social and welfare professionals	F	138
Queanbeyan	Professionals	Legal social and welfare professionals	M	59
Queanbeyan	Professionals	Professionals nfd	F	5
Queanbeyan	Professionals	Professionals nfd	M	17
Queanbeyan	Sales workers	Sales assistants and salespersons	F	541
Queanbeyan	Sales workers	Sales assistants and salespersons	M	376
Queanbeyan	Sales workers	Sales representatives and agents	F	116
Queanbeyan	Sales workers	Sales representatives and agents	M	122
Queanbeyan	Sales workers	Sales support workers	F	121
Queanbeyan	Sales workers	Sales support workers	M	54
Queanbeyan	Technicians and trades workers	Automotive and engineering trades workers	F	7
Queanbeyan	Technicians and trades workers	Automotive and engineering trades workers	M	549
Queanbeyan	Technicians and trades workers	Construction trades workers	F	3
Queanbeyan	Technicians and trades workers	Construction trades workers	M	697
Queanbeyan	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	5
Queanbeyan	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	359
Queanbeyan	Technicians and trades workers	Engineering ICT and science technicians	F	45
Queanbeyan	Technicians and trades workers	Engineering ICT and science technicians	M	196
Queanbeyan	Technicians and trades workers	Food trades workers	F	61
Queanbeyan	Technicians and trades workers	Food trades workers	M	120
Queanbeyan	Technicians and trades workers	Other technicians and trades workers	F	112
Queanbeyan	Technicians and trades workers	Other technicians and trades workers	M	292
Queanbeyan	Technicians and trades workers	Skilled animal and horticultural workers	F	69
Queanbeyan	Technicians and trades workers	Skilled animal and horticultural workers	M	143
Queanbeyan	Technicians and trades workers	Technicians and trades workers nfd	M	38
Snowy Mountains			F	61
Snowy Mountains			M	100
Snowy Mountains	Clerical and administrative workers	Clerical and office support workers	F	25
Snowy Mountains	Clerical and administrative workers	Clerical and office support workers	M	32
Snowy Mountains	Clerical and administrative workers	General clerical workers	F	176
Snowy Mountains	Clerical and administrative workers	General clerical workers	M	26
Snowy Mountains	Clerical and administrative workers	Inquiry clerks and receptionists	F	191
Snowy Mountains	Clerical and administrative workers	Inquiry clerks and receptionists	M	25
Snowy Mountains	Clerical and administrative workers	Numerical clerks	F	187
Snowy Mountains	Clerical and administrative workers	Numerical clerks	M	10
Snowy Mountains	Clerical and administrative workers	Office managers and program administrators	F	133
Snowy Mountains	Clerical and administrative workers	Office managers and program administrators	M	27
Snowy Mountains	Clerical and administrative workers	Other clerical and administrative workers	F	65
Snowy Mountains	Clerical and administrative workers	Other clerical and administrative workers	M	28
Snowy Mountains	Clerical and administrative workers	Personal assistants and secretaries	F	52
Snowy Mountains	Clerical and administrative workers	Personal assistants and secretaries	M	3
Snowy Mountains	Community and personal service workers	Carers and aides	F	267
Snowy Mountains	Community and personal service workers	Carers and aides	M	26
Snowy Mountains	Community and personal service workers	Health and welfare support workers	F	73
Snowy Mountains	Community and personal service workers	Health and welfare support workers	M	24
Snowy Mountains	Community and personal service workers	Hospitality workers	F	386
Snowy Mountains	Community and personal service workers	Hospitality workers	M	170
Snowy Mountains	Community and personal service workers	Protective service workers	F	15
Snowy Mountains	Community and personal service workers	Protective service workers	M	88
Snowy Mountains	Community and personal service workers	Sports and personal service workers	F	211
Snowy Mountains	Community and personal service workers	Sports and personal service workers	M	222
Snowy Mountains	Labourers	Cleaners and laundry workers	F	286
Snowy Mountains	Labourers	Cleaners and laundry workers	M	161
Snowy Mountains	Labourers	Construction and mining labourers	F	5
Snowy Mountains	Labourers	Construction and mining labourers	M	71
Snowy Mountains	Labourers	Factory process workers	F	38
Snowy Mountains	Labourers	Factory process workers	M	68
Snowy Mountains	Labourers	Farm forestry and garden workers	F	38
Snowy Mountains	Labourers	Farm forestry and garden workers	M	141
Snowy Mountains	Labourers	Food preparation assistants	F	79
Snowy Mountains	Labourers	Food preparation assistants	M	112
Snowy Mountains	Labourers	Labourers nfd	F	8
Snowy Mountains	Labourers	Labourers nfd	M	17
Snowy Mountains	Labourers	Other labourers	F	39
Snowy Mountains	Labourers	Other labourers	M	139
Snowy Mountains	Machinery operators and drivers	Machine and stationary plant operators	F	57
Snowy Mountains	Machinery operators and drivers	Machine and stationary plant operators	M	225
Snowy Mountains	Machinery operators and drivers	Machinery operators and drivers nfd	M	11
Snowy Mountains	Machinery operators and drivers	Mobile plant operators	F	7
Snowy Mountains	Machinery operators and drivers	Mobile plant operators	M	123
Snowy Mountains	Machinery operators and drivers	Road and rail drivers	F	18
Snowy Mountains	Machinery operators and drivers	Road and rail drivers	M	228
Snowy Mountains	Machinery operators and drivers	Storepersons	F	18
Snowy Mountains	Machinery operators and drivers	Storepersons	M	23
Snowy Mountains	Managers	Chief executives general managers and legislators	F	13
Snowy Mountains	Managers	Chief executives general managers and legislators	M	37
Snowy Mountains	Managers	Farmers and farm managers	F	173
Snowy Mountains	Managers	Farmers and farm managers	M	426
Snowy Mountains	Managers	Hospitality retail and service managers	F	334
Snowy Mountains	Managers	Hospitality retail and service managers	M	375
Snowy Mountains	Managers	Managers nfd	F	9
Snowy Mountains	Managers	Managers nfd	M	20
Snowy Mountains	Managers	Specialist managers	F	137
Snowy Mountains	Managers	Specialist managers	M	242
Snowy Mountains	Professionals	Arts and media professionals	F	23
Snowy Mountains	Professionals	Arts and media professionals	M	31
Snowy Mountains	Professionals	Business human resource and marketing professionals	F	131
Snowy Mountains	Professionals	Business human resource and marketing professionals	M	65
Snowy Mountains	Professionals	Design engineering science and transport professionals	F	42
Snowy Mountains	Professionals	Design engineering science and transport professionals	M	140
Snowy Mountains	Professionals	Education professionals	F	271
Snowy Mountains	Professionals	Education professionals	M	87
Snowy Mountains	Professionals	Health professionals	F	231
Snowy Mountains	Professionals	Health professionals	M	51
Snowy Mountains	Professionals	Information and Communication Technology ICT professionals	F	11
Snowy Mountains	Professionals	Information and Communication Technology ICT professionals	M	28
Snowy Mountains	Professionals	Legal social and welfare professionals	F	52
Snowy Mountains	Professionals	Legal social and welfare professionals	M	29
Snowy Mountains	Professionals	Professionals nfd	F	8
Snowy Mountains	Professionals	Professionals nfd	M	3
Snowy Mountains	Sales workers	Sales assistants and salespersons	F	404
Snowy Mountains	Sales workers	Sales assistants and salespersons	M	274
Snowy Mountains	Sales workers	Sales representatives and agents	F	71
Snowy Mountains	Sales workers	Sales representatives and agents	M	56
Snowy Mountains	Sales workers	Sales support workers	F	121
Snowy Mountains	Sales workers	Sales support workers	M	37
Snowy Mountains	Technicians and trades workers	Automotive and engineering trades workers	F	6
Snowy Mountains	Technicians and trades workers	Automotive and engineering trades workers	M	248
Snowy Mountains	Technicians and trades workers	Construction trades workers	F	3
Snowy Mountains	Technicians and trades workers	Construction trades workers	M	142
Snowy Mountains	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	121
Snowy Mountains	Technicians and trades workers	Engineering ICT and science technicians	F	24
Snowy Mountains	Technicians and trades workers	Engineering ICT and science technicians	M	66
Snowy Mountains	Technicians and trades workers	Food trades workers	F	102
Snowy Mountains	Technicians and trades workers	Food trades workers	M	219
Snowy Mountains	Technicians and trades workers	Other technicians and trades workers	F	53
Snowy Mountains	Technicians and trades workers	Other technicians and trades workers	M	122
Snowy Mountains	Technicians and trades workers	Skilled animal and horticultural workers	F	24
Snowy Mountains	Technicians and trades workers	Skilled animal and horticultural workers	M	84
Snowy Mountains	Technicians and trades workers	Technicians and trades workers nfd	F	3
Snowy Mountains	Technicians and trades workers	Technicians and trades workers nfd	M	11
South Coast			F	161
South Coast			M	221
South Coast	Clerical and administrative workers	Clerical and administrative workers nfd	F	3
South Coast	Clerical and administrative workers	Clerical and administrative workers nfd	M	3
South Coast	Clerical and administrative workers	Clerical and office support workers	F	79
South Coast	Clerical and administrative workers	Clerical and office support workers	M	109
South Coast	Clerical and administrative workers	General clerical workers	F	518
South Coast	Clerical and administrative workers	General clerical workers	M	57
South Coast	Clerical and administrative workers	Inquiry clerks and receptionists	F	543
South Coast	Clerical and administrative workers	Inquiry clerks and receptionists	M	69
South Coast	Clerical and administrative workers	Numerical clerks	F	540
South Coast	Clerical and administrative workers	Numerical clerks	M	50
South Coast	Clerical and administrative workers	Office managers and program administrators	F	378
South Coast	Clerical and administrative workers	Office managers and program administrators	M	58
South Coast	Clerical and administrative workers	Other clerical and administrative workers	F	196
South Coast	Clerical and administrative workers	Other clerical and administrative workers	M	121
South Coast	Clerical and administrative workers	Personal assistants and secretaries	F	200
South Coast	Clerical and administrative workers	Personal assistants and secretaries	M	4
South Coast	Community and personal service workers	Carers and aides	F	1145
South Coast	Community and personal service workers	Carers and aides	M	223
South Coast	Community and personal service workers	Health and welfare support workers	F	300
South Coast	Community and personal service workers	Health and welfare support workers	M	105
South Coast	Community and personal service workers	Hospitality workers	F	614
South Coast	Community and personal service workers	Hospitality workers	M	199
South Coast	Community and personal service workers	Protective service workers	F	42
South Coast	Community and personal service workers	Protective service workers	M	189
South Coast	Community and personal service workers	Sports and personal service workers	F	205
South Coast	Community and personal service workers	Sports and personal service workers	M	96
South Coast	Labourers	Cleaners and laundry workers	F	524
South Coast	Labourers	Cleaners and laundry workers	M	252
South Coast	Labourers	Construction and mining labourers	F	9
South Coast	Labourers	Construction and mining labourers	M	277
