SA3_NAME16	Age	LabourForceStatus	Sex	workers
Queanbeyan	15-19		F	12
Queanbeyan	15-19		M	20
Queanbeyan	15-19	Employed (away from work)	F	10
Queanbeyan	15-19	Employed (away from work)	M	20
Queanbeyan	15-19	Employed (full-time)	F	64
Queanbeyan	15-19	Employed (full-time)	M	189
Queanbeyan	15-19	Employed (part-time)	F	417
Queanbeyan	15-19	Employed (part-time)	M	320
Queanbeyan	20-24		F	9
Queanbeyan	20-24		M	24
Queanbeyan	20-24	Employed (away from work)	F	18
Queanbeyan	20-24	Employed (away from work)	M	21
Queanbeyan	20-24	Employed (full-time)	F	259
Queanbeyan	20-24	Employed (full-time)	M	578
Queanbeyan	20-24	Employed (part-time)	F	236
Queanbeyan	20-24	Employed (part-time)	M	221
Queanbeyan	25-29		F	11
Queanbeyan	25-29		M	20
Queanbeyan	25-29	Employed (away from work)	F	28
Queanbeyan	25-29	Employed (away from work)	M	11
Queanbeyan	25-29	Employed (full-time)	F	341
Queanbeyan	25-29	Employed (full-time)	M	842
Queanbeyan	25-29	Employed (part-time)	F	201
Queanbeyan	25-29	Employed (part-time)	M	138
Queanbeyan	30-34		F	10
Queanbeyan	30-34		M	22
Queanbeyan	30-34	Employed (away from work)	F	46
Queanbeyan	30-34	Employed (away from work)	M	11
Queanbeyan	30-34	Employed (full-time)	F	280
Queanbeyan	30-34	Employed (full-time)	M	813
Queanbeyan	30-34	Employed (part-time)	F	221
Queanbeyan	30-34	Employed (part-time)	M	121
Queanbeyan	35-39		F	3
Queanbeyan	35-39		M	13
Queanbeyan	35-39	Employed (away from work)	F	21
Queanbeyan	35-39	Employed (away from work)	M	21
Queanbeyan	35-39	Employed (full-time)	F	307
Queanbeyan	35-39	Employed (full-time)	M	721
Queanbeyan	35-39	Employed (part-time)	F	245
Queanbeyan	35-39	Employed (part-time)	M	64
Queanbeyan	40-44		F	13
Queanbeyan	40-44		M	12
Queanbeyan	40-44	Employed (away from work)	F	16
Queanbeyan	40-44	Employed (away from work)	M	26
Queanbeyan	40-44	Employed (full-time)	F	348
Queanbeyan	40-44	Employed (full-time)	M	773
Queanbeyan	40-44	Employed (part-time)	F	319
Queanbeyan	40-44	Employed (part-time)	M	103
Queanbeyan	45-49		F	17
Queanbeyan	45-49		M	16
Queanbeyan	45-49	Employed (away from work)	F	15
Queanbeyan	45-49	Employed (away from work)	M	33
Queanbeyan	45-49	Employed (full-time)	F	426
Queanbeyan	45-49	Employed (full-time)	M	798
Queanbeyan	45-49	Employed (part-time)	F	313
Queanbeyan	45-49	Employed (part-time)	M	88
Queanbeyan	50-54		F	13
Queanbeyan	50-54		M	13
Queanbeyan	50-54	Employed (away from work)	F	24
Queanbeyan	50-54	Employed (away from work)	M	22
Queanbeyan	50-54	Employed (full-time)	F	404
Queanbeyan	50-54	Employed (full-time)	M	708
Queanbeyan	50-54	Employed (part-time)	F	277
Queanbeyan	50-54	Employed (part-time)	M	99
Queanbeyan	55-59		F	7
Queanbeyan	55-59		M	14
Queanbeyan	55-59	Employed (away from work)	F	24
Queanbeyan	55-59	Employed (away from work)	M	22
Queanbeyan	55-59	Employed (full-time)	F	308
Queanbeyan	55-59	Employed (full-time)	M	570
Queanbeyan	55-59	Employed (part-time)	F	280
Queanbeyan	55-59	Employed (part-time)	M	124
Queanbeyan	60-64		F	3
Queanbeyan	60-64		M	11
Queanbeyan	60-64	Employed (away from work)	F	26
Queanbeyan	60-64	Employed (away from work)	M	27
Queanbeyan	60-64	Employed (full-time)	F	195
Queanbeyan	60-64	Employed (full-time)	M	356
Queanbeyan	60-64	Employed (part-time)	F	213
Queanbeyan	60-64	Employed (part-time)	M	145
Queanbeyan	65-69		M	5
Queanbeyan	65-69	Employed (away from work)	F	11
Queanbeyan	65-69	Employed (away from work)	M	15
Queanbeyan	65-69	Employed (full-time)	F	76
Queanbeyan	65-69	Employed (full-time)	M	167
Queanbeyan	65-69	Employed (part-time)	F	103
Queanbeyan	65-69	Employed (part-time)	M	123
Queanbeyan	70-74	Employed (away from work)	F	3
Queanbeyan	70-74	Employed (away from work)	M	5
Queanbeyan	70-74	Employed (full-time)	F	21
Queanbeyan	70-74	Employed (full-time)	M	53
Queanbeyan	70-74	Employed (part-time)	F	53
Queanbeyan	70-74	Employed (part-time)	M	71
Queanbeyan	75+		F	3
Queanbeyan	75+		M	8
Queanbeyan	75+	Employed (away from work)	M	5
Queanbeyan	75+	Employed (full-time)	F	11
Queanbeyan	75+	Employed (full-time)	M	42
Queanbeyan	75+	Employed (part-time)	F	23
Queanbeyan	75+	Employed (part-time)	M	50
Snowy Mountains	15-19		F	12
Snowy Mountains	15-19		M	9
Snowy Mountains	15-19	Employed (away from work)	F	7
Snowy Mountains	15-19	Employed (away from work)	M	13
Snowy Mountains	15-19	Employed (full-time)	F	87
Snowy Mountains	15-19	Employed (full-time)	M	144
Snowy Mountains	15-19	Employed (part-time)	F	210
Snowy Mountains	15-19	Employed (part-time)	M	156
Snowy Mountains	20-24		F	14
Snowy Mountains	20-24		M	25
Snowy Mountains	20-24	Employed (away from work)	F	3
Snowy Mountains	20-24	Employed (away from work)	M	8
Snowy Mountains	20-24	Employed (full-time)	F	344
Snowy Mountains	20-24	Employed (full-time)	M	407
Snowy Mountains	20-24	Employed (part-time)	F	183
Snowy Mountains	20-24	Employed (part-time)	M	171
Snowy Mountains	25-29		F	12
Snowy Mountains	25-29		M	16
Snowy Mountains	25-29	Employed (away from work)	F	19
Snowy Mountains	25-29	Employed (away from work)	M	6
Snowy Mountains	25-29	Employed (full-time)	F	290
Snowy Mountains	25-29	Employed (full-time)	M	421
Snowy Mountains	25-29	Employed (part-time)	F	151
Snowy Mountains	25-29	Employed (part-time)	M	98
Snowy Mountains	30-34		F	8
Snowy Mountains	30-34		M	12
Snowy Mountains	30-34	Employed (away from work)	F	27
Snowy Mountains	30-34	Employed (away from work)	M	9
Snowy Mountains	30-34	Employed (full-time)	F	199
Snowy Mountains	30-34	Employed (full-time)	M	328
Snowy Mountains	30-34	Employed (part-time)	F	151
Snowy Mountains	30-34	Employed (part-time)	M	60
Snowy Mountains	35-39		F	10
Snowy Mountains	35-39		M	6
Snowy Mountains	35-39	Employed (away from work)	F	9
Snowy Mountains	35-39	Employed (away from work)	M	12
Snowy Mountains	35-39	Employed (full-time)	F	166
Snowy Mountains	35-39	Employed (full-time)	M	273
Snowy Mountains	35-39	Employed (part-time)	F	188
Snowy Mountains	35-39	Employed (part-time)	M	45
Snowy Mountains	40-44		F	12
Snowy Mountains	40-44		M	6
Snowy Mountains	40-44	Employed (away from work)	F	8
Snowy Mountains	40-44	Employed (away from work)	M	11
Snowy Mountains	40-44	Employed (full-time)	F	253
Snowy Mountains	40-44	Employed (full-time)	M	392
Snowy Mountains	40-44	Employed (part-time)	F	185
Snowy Mountains	40-44	Employed (part-time)	M	61
Snowy Mountains	45-49		F	14
Snowy Mountains	45-49		M	13
Snowy Mountains	45-49	Employed (away from work)	F	12
Snowy Mountains	45-49	Employed (away from work)	M	11
Snowy Mountains	45-49	Employed (full-time)	F	293
Snowy Mountains	45-49	Employed (full-time)	M	389
Snowy Mountains	45-49	Employed (part-time)	F	210
Snowy Mountains	45-49	Employed (part-time)	M	73
Snowy Mountains	50-54		F	3
Snowy Mountains	50-54		M	6
Snowy Mountains	50-54	Employed (away from work)	F	17
Snowy Mountains	50-54	Employed (away from work)	M	16
Snowy Mountains	50-54	Employed (full-time)	F	328
Snowy Mountains	50-54	Employed (full-time)	M	412
Snowy Mountains	50-54	Employed (part-time)	F	204
Snowy Mountains	50-54	Employed (part-time)	M	72
Snowy Mountains	55-59		F	8
Snowy Mountains	55-59		M	6
Snowy Mountains	55-59	Employed (away from work)	F	22
Snowy Mountains	55-59	Employed (away from work)	M	16
Snowy Mountains	55-59	Employed (full-time)	F	222
Snowy Mountains	55-59	Employed (full-time)	M	384
Snowy Mountains	55-59	Employed (part-time)	F	191
Snowy Mountains	55-59	Employed (part-time)	M	108
Snowy Mountains	60-64		F	5
Snowy Mountains	60-64		M	8
