SA3_NAME16	Occupation	PublicSector	LevelOfGovt	workers
Queanbeyan				86
Queanbeyan		0		128
Queanbeyan		0		39
Queanbeyan		1	Local	13
Queanbeyan		1	National	33
Queanbeyan		1	State territory	16
Queanbeyan	Clerical and administrative workers			16
Queanbeyan	Clerical and administrative workers	0		1352
Queanbeyan	Clerical and administrative workers	0		25
Queanbeyan	Clerical and administrative workers	1	Local	107
Queanbeyan	Clerical and administrative workers	1	National	331
Queanbeyan	Clerical and administrative workers	1	State territory	188
Queanbeyan	Community and personal service workers			16
Queanbeyan	Community and personal service workers	0		1204
Queanbeyan	Community and personal service workers	0		21
Queanbeyan	Community and personal service workers	1	Local	18
Queanbeyan	Community and personal service workers	1	National	106
Queanbeyan	Community and personal service workers	1	State territory	271
Queanbeyan	Labourers			16
Queanbeyan	Labourers	0		1286
Queanbeyan	Labourers	0		28
Queanbeyan	Labourers	1	Local	43
Queanbeyan	Labourers	1	National	10
Queanbeyan	Labourers	1	State territory	34
Queanbeyan	Machinery operators and drivers			11
Queanbeyan	Machinery operators and drivers	0		1038
Queanbeyan	Machinery operators and drivers	0		14
Queanbeyan	Machinery operators and drivers	1	Local	36
Queanbeyan	Machinery operators and drivers	1	State territory	10
Queanbeyan	Managers			3
Queanbeyan	Managers	0		1770
Queanbeyan	Managers	0		32
Queanbeyan	Managers	1	Local	52
Queanbeyan	Managers	1	National	323
Queanbeyan	Managers	1	State territory	111
Queanbeyan	Professionals			16
Queanbeyan	Professionals	0		1374
Queanbeyan	Professionals	0		18
Queanbeyan	Professionals	1	Local	102
Queanbeyan	Professionals	1	National	146
Queanbeyan	Professionals	1	State territory	687
Queanbeyan	Sales workers			7
Queanbeyan	Sales workers	0		1305
Queanbeyan	Sales workers	0		16
Queanbeyan	Sales workers	1	National	15
Queanbeyan	Sales workers	1	State territory	3
Queanbeyan	Technicians and trades workers			22
Queanbeyan	Technicians and trades workers	0		2521
Queanbeyan	Technicians and trades workers	0		35
Queanbeyan	Technicians and trades workers	1	Local	90
Queanbeyan	Technicians and trades workers	1	National	31
Queanbeyan	Technicians and trades workers	1	State territory	29
Snowy Mountains				50
Snowy Mountains		0		95
Snowy Mountains		0		21
Snowy Mountains		1	Local	7
Snowy Mountains		1	State territory	4
Snowy Mountains	Clerical and administrative workers			5
Snowy Mountains	Clerical and administrative workers	0		703
Snowy Mountains	Clerical and administrative workers	0		13
Snowy Mountains	Clerical and administrative workers	1	Local	66
Snowy Mountains	Clerical and administrative workers	1	National	90
Snowy Mountains	Clerical and administrative workers	1	State territory	119
Snowy Mountains	Community and personal service workers			6
Snowy Mountains	Community and personal service workers	0		1263
Snowy Mountains	Community and personal service workers	0		20
Snowy Mountains	Community and personal service workers	1	Local	27
Snowy Mountains	Community and personal service workers	1	National	10
Snowy Mountains	Community and personal service workers	1	State territory	182
Snowy Mountains	Labourers			9
Snowy Mountains	Labourers	0		1096
Snowy Mountains	Labourers	0		18
Snowy Mountains	Labourers	1	Local	47
Snowy Mountains	Labourers	1	State territory	48
Snowy Mountains	Machinery operators and drivers			5
Snowy Mountains	Machinery operators and drivers	0		647
Snowy Mountains	Machinery operators and drivers	0		4
Snowy Mountains	Machinery operators and drivers	1	Local	45
Snowy Mountains	Machinery operators and drivers	1	State territory	12
Snowy Mountains	Managers			12
Snowy Mountains	Managers	0		1616
Snowy Mountains	Managers	0		34
Snowy Mountains	Managers	1	Local	44
Snowy Mountains	Managers	1	National	8
Snowy Mountains	Managers	1	State territory	81
Snowy Mountains	Professionals	0		762
Snowy Mountains	Professionals	0		16
Snowy Mountains	Professionals	1	Local	48
Snowy Mountains	Professionals	1	National	15
Snowy Mountains	Professionals	1	State territory	383
Snowy Mountains	Sales workers			3
Snowy Mountains	Sales workers	0		944
Snowy Mountains	Sales workers	0		23
Snowy Mountains	Sales workers	1	National	4
Snowy Mountains	Sales workers	1	State territory	3
Snowy Mountains	Technicians and trades workers			8
Snowy Mountains	Technicians and trades workers	0		1114
Snowy Mountains	Technicians and trades workers	0		27
Snowy Mountains	Technicians and trades workers	1	Local	41
Snowy Mountains	Technicians and trades workers	1	State territory	59
South Coast				146
South Coast		0		201
South Coast		0		42
South Coast		1	Local	11
South Coast		1	National	13
South Coast		1	State territory	10
South Coast	Clerical and administrative workers			10
South Coast	Clerical and administrative workers	0		2219
South Coast	Clerical and administrative workers	0		37
South Coast	Clerical and administrative workers	1	Local	202
South Coast	Clerical and administrative workers	1	National	251
South Coast	Clerical and administrative workers	1	State territory	261
South Coast	Community and personal service workers			18
South Coast	Community and personal service workers	0		2554
South Coast	Community and personal service workers	0		45
South Coast	Community and personal service workers	1	Local	72
South Coast	Community and personal service workers	1	National	11
South Coast	Community and personal service workers	1	State territory	469
South Coast	Labourers			28
South Coast	Labourers	0		2694
South Coast	Labourers	0		71
South Coast	Labourers	1	Local	89
South Coast	Labourers	1	National	3
South Coast	Labourers	1	State territory	88
South Coast	Machinery operators and drivers			8
South Coast	Machinery operators and drivers	0		1134
South Coast	Machinery operators and drivers	0		14
South Coast	Machinery operators and drivers	1	Local	86
South Coast	Machinery operators and drivers	1	State territory	34
South Coast	Managers			24
South Coast	Managers	0		2892
South Coast	Managers	0		52
South Coast	Managers	1	Local	85
South Coast	Managers	1	National	38
South Coast	Managers	1	State territory	128
South Coast	Professionals			10
South Coast	Professionals	0		2563
South Coast	Professionals	0		47
South Coast	Professionals	1	Local	154
South Coast	Professionals	1	National	95
South Coast	Professionals	1	State territory	1151
South Coast	Sales workers			12
South Coast	Sales workers	0		2842
South Coast	Sales workers	0		61
South Coast	Sales workers	1	Local	6
South Coast	Sales workers	1	National	18
