SA4_NAME16	LabourForceStatus	Sex	workers
Capital Region		F	658
Capital Region		M	861
Capital Region	Employed (away from work)	F	1518
Capital Region	Employed (away from work)	M	1143
Capital Region	Employed (full-time)	F	15683
Capital Region	Employed (full-time)	M	26859
Capital Region	Employed (part-time)	F	17687
Capital Region	Employed (part-time)	M	8830
Central Coast		F	880
Central Coast		M	1032
Central Coast	Employed (away from work)	F	2429
Central Coast	Employed (away from work)	M	1307
Central Coast	Employed (full-time)	F	23363
Central Coast	Employed (full-time)	M	33966
Central Coast	Employed (part-time)	F	29956
Central Coast	Employed (part-time)	M	11791
Central West		F	784
Central West		M	977
Central West	Employed (away from work)	F	1876
Central West	Employed (away from work)	M	1307
Central West	Employed (full-time)	F	18447
Central West	Employed (full-time)	M	33234
Central West	Employed (part-time)	F	19032
Central West	Employed (part-time)	M	7542
Coffs Harbour - Grafton		F	428
Coffs Harbour - Grafton		M	528
Coffs Harbour - Grafton	Employed (away from work)	F	1085
Coffs Harbour - Grafton	Employed (away from work)	M	714
Coffs Harbour - Grafton	Employed (full-time)	F	10297
Coffs Harbour - Grafton	Employed (full-time)	M	15997
Coffs Harbour - Grafton	Employed (part-time)	F	13257
Coffs Harbour - Grafton	Employed (part-time)	M	6535
Far West and Orana		F	472
Far West and Orana		M	624
Far West and Orana	Employed (away from work)	F	996
Far West and Orana	Employed (away from work)	M	727
Far West and Orana	Employed (full-time)	F	11633
Far West and Orana	Employed (full-time)	M	18456
Far West and Orana	Employed (part-time)	F	9160
Far West and Orana	Employed (part-time)	M	3828
Hunter Valley exc Newcastle		F	779
Hunter Valley exc Newcastle		M	1083
Hunter Valley exc Newcastle	Employed (away from work)	F	1999
Hunter Valley exc Newcastle	Employed (away from work)	M	1655
Hunter Valley exc Newcastle	Employed (full-time)	F	19212
Hunter Valley exc Newcastle	Employed (full-time)	M	42026
Hunter Valley exc Newcastle	Employed (part-time)	F	23500
Hunter Valley exc Newcastle	Employed (part-time)	M	9851
Illawarra		F	721
Illawarra		M	957
Illawarra	Employed (away from work)	F	2297
Illawarra	Employed (away from work)	M	1424
Illawarra	Employed (full-time)	F	21955
Illawarra	Employed (full-time)	M	35341
Illawarra	Employed (part-time)	F	27776
Illawarra	Employed (part-time)	M	11556
Mid North Coast		F	700
Mid North Coast		M	869
Mid North Coast	Employed (away from work)	F	1614
Mid North Coast	Employed (away from work)	M	1196
Mid North Coast	Employed (full-time)	F	14315
Mid North Coast	Employed (full-time)	M	22140
Mid North Coast	Employed (part-time)	F	18587
Mid North Coast	Employed (part-time)	M	8940
Murray		F	448
Murray		M	588
Murray	Employed (away from work)	F	1239
Murray	Employed (away from work)	M	793
Murray	Employed (full-time)	F	10388
Murray	Employed (full-time)	M	18765
Murray	Employed (part-time)	F	12207
Murray	Employed (part-time)	M	4720
New England and North West		F	766
New England and North West		M	906
New England and North West	Employed (away from work)	F	1643
New England and North West	Employed (away from work)	M	1096
New England and North West	Employed (full-time)	F	16994
New England and North West	Employed (full-time)	M	28782
New England and North West	Employed (part-time)	F	16285
New England and North West	Employed (part-time)	M	7220
Newcastle and Lake Macquarie		F	1122
Newcastle and Lake Macquarie		M	1293
Newcastle and Lake Macquarie	Employed (away from work)	F	3658
Newcastle and Lake Macquarie	Employed (away from work)	M	2122
Newcastle and Lake Macquarie	Employed (full-time)	F	35980
Newcastle and Lake Macquarie	Employed (full-time)	M	55622
Newcastle and Lake Macquarie	Employed (part-time)	F	39410
Newcastle and Lake Macquarie	Employed (part-time)	M	16382
Richmond - Tweed		F	857
Richmond - Tweed		M	977
Richmond - Tweed	Employed (away from work)	F	1721
Richmond - Tweed	Employed (away from work)	M	1094
Richmond - Tweed	Employed (full-time)	F	17785
Richmond - Tweed	Employed (full-time)	M	26975
Richmond - Tweed	Employed (part-time)	F	24107
