SA4_NAME16	Occupation	OccupationSubtype	workers
Sydney - Outer South West	Professionals	Information and Communication Technology ICT professionals	374
Sydney - Outer South West	Professionals	Legal social and welfare professionals	1121
Sydney - Outer South West	Professionals	Professionals nfd	105
Sydney - Outer South West	Sales workers	Sales assistants and salespersons	5920
Sydney - Outer South West	Sales workers	Sales representatives and agents	1275
Sydney - Outer South West	Sales workers	Sales support workers	1202
Sydney - Outer South West	Sales workers	Sales workers nfd	22
Sydney - Outer South West	Technicians and trades workers	Automotive and engineering trades workers	2999
Sydney - Outer South West	Technicians and trades workers	Construction trades workers	2204
Sydney - Outer South West	Technicians and trades workers	Electrotechnology and telecommunications trades workers	1643
Sydney - Outer South West	Technicians and trades workers	Engineering ICT and science technicians	1328
Sydney - Outer South West	Technicians and trades workers	Food trades workers	1039
Sydney - Outer South West	Technicians and trades workers	Other technicians and trades workers	1358
Sydney - Outer South West	Technicians and trades workers	Skilled animal and horticultural workers	744
Sydney - Outer South West	Technicians and trades workers	Technicians and trades workers nfd	152
Sydney - Outer West and Blue Mountains			1731
Sydney - Outer West and Blue Mountains	Clerical and administrative workers	Clerical and administrative workers nfd	19
Sydney - Outer West and Blue Mountains	Clerical and administrative workers	Clerical and office support workers	749
Sydney - Outer West and Blue Mountains	Clerical and administrative workers	General clerical workers	2965
Sydney - Outer West and Blue Mountains	Clerical and administrative workers	Inquiry clerks and receptionists	2595
Sydney - Outer West and Blue Mountains	Clerical and administrative workers	Numerical clerks	2416
Sydney - Outer West and Blue Mountains	Clerical and administrative workers	Office managers and program administrators	2293
Sydney - Outer West and Blue Mountains	Clerical and administrative workers	Other clerical and administrative workers	2038
Sydney - Outer West and Blue Mountains	Clerical and administrative workers	Personal assistants and secretaries	985
Sydney - Outer West and Blue Mountains	Community and personal service workers	Carers and aides	5088
Sydney - Outer West and Blue Mountains	Community and personal service workers	Community and personal service workers nfd	3
Sydney - Outer West and Blue Mountains	Community and personal service workers	Health and welfare support workers	1554
Sydney - Outer West and Blue Mountains	Community and personal service workers	Hospitality workers	2872
Sydney - Outer West and Blue Mountains	Community and personal service workers	Protective service workers	1742
Sydney - Outer West and Blue Mountains	Community and personal service workers	Sports and personal service workers	1533
Sydney - Outer West and Blue Mountains	Labourers	Cleaners and laundry workers	2087
Sydney - Outer West and Blue Mountains	Labourers	Construction and mining labourers	1332
Sydney - Outer West and Blue Mountains	Labourers	Factory process workers	1874
Sydney - Outer West and Blue Mountains	Labourers	Farm forestry and garden workers	750
Sydney - Outer West and Blue Mountains	Labourers	Food preparation assistants	1875
Sydney - Outer West and Blue Mountains	Labourers	Labourers nfd	241
Sydney - Outer West and Blue Mountains	Labourers	Other labourers	2009
Sydney - Outer West and Blue Mountains	Machinery operators and drivers	Machine and stationary plant operators	1578
Sydney - Outer West and Blue Mountains	Machinery operators and drivers	Machinery operators and drivers nfd	223
Sydney - Outer West and Blue Mountains	Machinery operators and drivers	Mobile plant operators	1592
Sydney - Outer West and Blue Mountains	Machinery operators and drivers	Road and rail drivers	3619
Sydney - Outer West and Blue Mountains	Machinery operators and drivers	Storepersons	1795
Sydney - Outer West and Blue Mountains	Managers	Chief executives general managers and legislators	794
Sydney - Outer West and Blue Mountains	Managers	Farmers and farm managers	448
Sydney - Outer West and Blue Mountains	Managers	Hospitality retail and service managers	4127
Sydney - Outer West and Blue Mountains	Managers	Managers nfd	240
Sydney - Outer West and Blue Mountains	Managers	Specialist managers	5042
Sydney - Outer West and Blue Mountains	Professionals	Arts and media professionals	658
Sydney - Outer West and Blue Mountains	Professionals	Business human resource and marketing professionals	3017
Sydney - Outer West and Blue Mountains	Professionals	Design engineering science and transport professionals	1935
Sydney - Outer West and Blue Mountains	Professionals	Education professionals	6035
Sydney - Outer West and Blue Mountains	Professionals	Health professionals	5723
Sydney - Outer West and Blue Mountains	Professionals	Information and Communication Technology ICT professionals	599
Sydney - Outer West and Blue Mountains	Professionals	Legal social and welfare professionals	1667
Sydney - Outer West and Blue Mountains	Professionals	Professionals nfd	219
Sydney - Outer West and Blue Mountains	Sales workers	Sales assistants and salespersons	7553
Sydney - Outer West and Blue Mountains	Sales workers	Sales representatives and agents	1436
Sydney - Outer West and Blue Mountains	Sales workers	Sales support workers	1538
Sydney - Outer West and Blue Mountains	Sales workers	Sales workers nfd	11
Sydney - Outer West and Blue Mountains	Technicians and trades workers	Automotive and engineering trades workers	3633
Sydney - Outer West and Blue Mountains	Technicians and trades workers	Construction trades workers	2604
Sydney - Outer West and Blue Mountains	Technicians and trades workers	Electrotechnology and telecommunications trades workers	1499
Sydney - Outer West and Blue Mountains	Technicians and trades workers	Engineering ICT and science technicians	1489
Sydney - Outer West and Blue Mountains	Technicians and trades workers	Food trades workers	1612
Sydney - Outer West and Blue Mountains	Technicians and trades workers	Other technicians and trades workers	1615
Sydney - Outer West and Blue Mountains	Technicians and trades workers	Skilled animal and horticultural workers	1057
Sydney - Outer West and Blue Mountains	Technicians and trades workers	Technicians and trades workers nfd	163
Sydney - Parramatta			4942
Sydney - Parramatta	Clerical and administrative workers	Clerical and administrative workers nfd	89
Sydney - Parramatta	Clerical and administrative workers	Clerical and office support workers	2714
Sydney - Parramatta	Clerical and administrative workers	General clerical workers	7079
Sydney - Parramatta	Clerical and administrative workers	Inquiry clerks and receptionists	6390
Sydney - Parramatta	Clerical and administrative workers	Numerical clerks	10824
Sydney - Parramatta	Clerical and administrative workers	Office managers and program administrators	5107
Sydney - Parramatta	Clerical and administrative workers	Other clerical and administrative workers	7096
Sydney - Parramatta	Clerical and administrative workers	Personal assistants and secretaries	1891
Sydney - Parramatta	Community and personal service workers	Carers and aides	7600
Sydney - Parramatta	Community and personal service workers	Community and personal service workers nfd	14
Sydney - Parramatta	Community and personal service workers	Health and welfare support workers	1981
Sydney - Parramatta	Community and personal service workers	Hospitality workers	2781
Sydney - Parramatta	Community and personal service workers	Protective service workers	4305
Sydney - Parramatta	Community and personal service workers	Sports and personal service workers	1998
Sydney - Parramatta	Labourers	Cleaners and laundry workers	3938
Sydney - Parramatta	Labourers	Construction and mining labourers	2274
Sydney - Parramatta	Labourers	Factory process workers	5838
Sydney - Parramatta	Labourers	Farm forestry and garden workers	464
Sydney - Parramatta	Labourers	Food preparation assistants	1986
Sydney - Parramatta	Labourers	Labourers nfd	402
Sydney - Parramatta	Labourers	Other labourers	2973
Sydney - Parramatta	Machinery operators and drivers	Machine and stationary plant operators	2997
Sydney - Parramatta	Machinery operators and drivers	Machinery operators and drivers nfd	341
Sydney - Parramatta	Machinery operators and drivers	Mobile plant operators	2962
Sydney - Parramatta	Machinery operators and drivers	Road and rail drivers	6708
Sydney - Parramatta	Machinery operators and drivers	Storepersons	5375
Sydney - Parramatta	Managers	Chief executives general managers and legislators	2215
Sydney - Parramatta	Managers	Farmers and farm managers	40
Sydney - Parramatta	Managers	Hospitality retail and service managers	7244
Sydney - Parramatta	Managers	Managers nfd	750
Sydney - Parramatta	Managers	Specialist managers	16930
Sydney - Parramatta	Professionals	Arts and media professionals	573
Sydney - Parramatta	Professionals	Business human resource and marketing professionals	13307
Sydney - Parramatta	Professionals	Design engineering science and transport professionals	5723
Sydney - Parramatta	Professionals	Education professionals	8415
Sydney - Parramatta	Professionals	Health professionals	10860
Sydney - Parramatta	Professionals	Information and Communication Technology ICT professionals	4971
Sydney - Parramatta	Professionals	Legal social and welfare professionals	3923
Sydney - Parramatta	Professionals	Professionals nfd	715
Sydney - Parramatta	Sales workers	Sales assistants and salespersons	10323
Sydney - Parramatta	Sales workers	Sales representatives and agents	4371
Sydney - Parramatta	Sales workers	Sales support workers	2277
Sydney - Parramatta	Sales workers	Sales workers nfd	49
Sydney - Parramatta	Technicians and trades workers	Automotive and engineering trades workers	4970
Sydney - Parramatta	Technicians and trades workers	Construction trades workers	4528
Sydney - Parramatta	Technicians and trades workers	Electrotechnology and telecommunications trades workers	3985
Sydney - Parramatta	Technicians and trades workers	Engineering ICT and science technicians	4598
Sydney - Parramatta	Technicians and trades workers	Food trades workers	2313
Sydney - Parramatta	Technicians and trades workers	Other technicians and trades workers	2895
Sydney - Parramatta	Technicians and trades workers	Skilled animal and horticultural workers	800
Sydney - Parramatta	Technicians and trades workers	Technicians and trades workers nfd	516
Sydney - Ryde			1818
Sydney - Ryde	Clerical and administrative workers	Clerical and administrative workers nfd	22
Sydney - Ryde	Clerical and administrative workers	Clerical and office support workers	589
Sydney - Ryde	Clerical and administrative workers	General clerical workers	2482
Sydney - Ryde	Clerical and administrative workers	Inquiry clerks and receptionists	2670
Sydney - Ryde	Clerical and administrative workers	Numerical clerks	2887
Sydney - Ryde	Clerical and administrative workers	Office managers and program administrators	2794
Sydney - Ryde	Clerical and administrative workers	Other clerical and administrative workers	1894
Sydney - Ryde	Clerical and administrative workers	Personal assistants and secretaries	1090
Sydney - Ryde	Community and personal service workers	Carers and aides	3560
Sydney - Ryde	Community and personal service workers	Community and personal service workers nfd	3
Sydney - Ryde	Community and personal service workers	Health and welfare support workers	668
Sydney - Ryde	Community and personal service workers	Hospitality workers	1848
Sydney - Ryde	Community and personal service workers	Protective service workers	767
Sydney - Ryde	Community and personal service workers	Sports and personal service workers	1258
Sydney - Ryde	Labourers	Cleaners and laundry workers	1591
Sydney - Ryde	Labourers	Construction and mining labourers	565
Sydney - Ryde	Labourers	Factory process workers	712
Sydney - Ryde	Labourers	Farm forestry and garden workers	109
Sydney - Ryde	Labourers	Food preparation assistants	975
Sydney - Ryde	Labourers	Labourers nfd	95
Sydney - Ryde	Labourers	Other labourers	865
Sydney - Ryde	Machinery operators and drivers	Machine and stationary plant operators	343
Sydney - Ryde	Machinery operators and drivers	Machinery operators and drivers nfd	29
Sydney - Ryde	Machinery operators and drivers	Mobile plant operators	179
Sydney - Ryde	Machinery operators and drivers	Road and rail drivers	1125
Sydney - Ryde	Machinery operators and drivers	Storepersons	457
Sydney - Ryde	Managers	Chief executives general managers and legislators	1212
Sydney - Ryde	Managers	Farmers and farm managers	18
Sydney - Ryde	Managers	Hospitality retail and service managers	3727
Sydney - Ryde	Managers	Managers nfd	374
Sydney - Ryde	Managers	Specialist managers	11760
Sydney - Ryde	Professionals	Arts and media professionals	982
Sydney - Ryde	Professionals	Business human resource and marketing professionals	10087
Sydney - Ryde	Professionals	Design engineering science and transport professionals	4361
Sydney - Ryde	Professionals	Education professionals	5224
Sydney - Ryde	Professionals	Health professionals	3973
Sydney - Ryde	Professionals	Information and Communication Technology ICT professionals	6791
Sydney - Ryde	Professionals	Legal social and welfare professionals	1656
Sydney - Ryde	Professionals	Professionals nfd	772
Sydney - Ryde	Sales workers	Sales assistants and salespersons	5057
Sydney - Ryde	Sales workers	Sales representatives and agents	1729
Sydney - Ryde	Sales workers	Sales support workers	1017
Sydney - Ryde	Sales workers	Sales workers nfd	26
Sydney - Ryde	Technicians and trades workers	Automotive and engineering trades workers	747
Sydney - Ryde	Technicians and trades workers	Construction trades workers	1355
Sydney - Ryde	Technicians and trades workers	Electrotechnology and telecommunications trades workers	1407
Sydney - Ryde	Technicians and trades workers	Engineering ICT and science technicians	3249
Sydney - Ryde	Technicians and trades workers	Food trades workers	1187
Sydney - Ryde	Technicians and trades workers	Other technicians and trades workers	855
Sydney - Ryde	Technicians and trades workers	Skilled animal and horticultural workers	504
Sydney - Ryde	Technicians and trades workers	Technicians and trades workers nfd	158
Sydney - South West			2882
Sydney - South West	Clerical and administrative workers	Clerical and administrative workers nfd	24
Sydney - South West	Clerical and administrative workers	Clerical and office support workers	699
Sydney - South West	Clerical and administrative workers	General clerical workers	3594
Sydney - South West	Clerical and administrative workers	Inquiry clerks and receptionists	3260
Sydney - South West	Clerical and administrative workers	Numerical clerks	3262
Sydney - South West	Clerical and administrative workers	Office managers and program administrators	2250
Sydney - South West	Clerical and administrative workers	Other clerical and administrative workers	2957
Sydney - South West	Clerical and administrative workers	Personal assistants and secretaries	1142
Sydney - South West	Community and personal service workers	Carers and aides	5787
Sydney - South West	Community and personal service workers	Community and personal service workers nfd	9
Sydney - South West	Community and personal service workers	Health and welfare support workers	1205
Sydney - South West	Community and personal service workers	Hospitality workers	2314
Sydney - South West	Community and personal service workers	Protective service workers	2026
Sydney - South West	Community and personal service workers	Sports and personal service workers	1422
Sydney - South West	Labourers	Cleaners and laundry workers	2217
Sydney - South West	Labourers	Construction and mining labourers	1720
Sydney - South West	Labourers	Factory process workers	3719
Sydney - South West	Labourers	Farm forestry and garden workers	712
Sydney - South West	Labourers	Food preparation assistants	1661
Sydney - South West	Labourers	Labourers nfd	317
Sydney - South West	Labourers	Other labourers	2325
Sydney - South West	Machinery operators and drivers	Machine and stationary plant operators	2510
Sydney - South West	Machinery operators and drivers	Machinery operators and drivers nfd	284
Sydney - South West	Machinery operators and drivers	Mobile plant operators	2200
Sydney - South West	Machinery operators and drivers	Road and rail drivers	5191
Sydney - South West	Machinery operators and drivers	Storepersons	3437
Sydney - South West	Managers	Chief executives general managers and legislators	1070
Sydney - South West	Managers	Farmers and farm managers	788
Sydney - South West	Managers	Hospitality retail and service managers	4430
Sydney - South West	Managers	Managers nfd	400
Sydney - South West	Managers	Specialist managers	7168
Sydney - South West	Professionals	Arts and media professionals	242
Sydney - South West	Professionals	Business human resource and marketing professionals	3753
Sydney - South West	Professionals	Design engineering science and transport professionals	1902
Sydney - South West	Professionals	Education professionals	7807
Sydney - South West	Professionals	Health professionals	6120
Sydney - South West	Professionals	Information and Communication Technology ICT professionals	708
Sydney - South West	Professionals	Legal social and welfare professionals	1644
Sydney - South West	Professionals	Professionals nfd	138
Sydney - South West	Sales workers	Sales assistants and salespersons	8497
Sydney - South West	Sales workers	Sales representatives and agents	2257
Sydney - South West	Sales workers	Sales support workers	1738
Sydney - South West	Sales workers	Sales workers nfd	39
Sydney - South West	Technicians and trades workers	Automotive and engineering trades workers	3941
Sydney - South West	Technicians and trades workers	Construction trades workers	3498
Sydney - South West	Technicians and trades workers	Electrotechnology and telecommunications trades workers	2071
Sydney - South West	Technicians and trades workers	Engineering ICT and science technicians	2006
Sydney - South West	Technicians and trades workers	Food trades workers	1754
Sydney - South West	Technicians and trades workers	Other technicians and trades workers	2300
Sydney - South West	Technicians and trades workers	Skilled animal and horticultural workers	810
Sydney - South West	Technicians and trades workers	Technicians and trades workers nfd	269
Sydney - Sutherland			988
Sydney - Sutherland	Clerical and administrative workers	Clerical and administrative workers nfd	8
Sydney - Sutherland	Clerical and administrative workers	Clerical and office support workers	317
Sydney - Sutherland	Clerical and administrative workers	General clerical workers	1743
Sydney - Sutherland	Clerical and administrative workers	Inquiry clerks and receptionists	1609
Sydney - Sutherland	Clerical and administrative workers	Numerical clerks	1917
Sydney - Sutherland	Clerical and administrative workers	Office managers and program administrators	1630
Sydney - Sutherland	Clerical and administrative workers	Other clerical and administrative workers	1091
Sydney - Sutherland	Clerical and administrative workers	Personal assistants and secretaries	831
Sydney - Sutherland	Community and personal service workers	Carers and aides	3703
Sydney - Sutherland	Community and personal service workers	Community and personal service workers nfd	6
Sydney - Sutherland	Community and personal service workers	Health and welfare support workers	806
Sydney - Sutherland	Community and personal service workers	Hospitality workers	2259
Sydney - Sutherland	Community and personal service workers	Protective service workers	573
Sydney - Sutherland	Community and personal service workers	Sports and personal service workers	1598
Sydney - Sutherland	Labourers	Cleaners and laundry workers	1172
Sydney - Sutherland	Labourers	Construction and mining labourers	663
Sydney - Sutherland	Labourers	Factory process workers	739
Sydney - Sutherland	Labourers	Farm forestry and garden workers	148
Sydney - Sutherland	Labourers	Food preparation assistants	1197
Sydney - Sutherland	Labourers	Labourers nfd	107
Sydney - Sutherland	Labourers	Other labourers	1217
Sydney - Sutherland	Machinery operators and drivers	Machine and stationary plant operators	464
Sydney - Sutherland	Machinery operators and drivers	Machinery operators and drivers nfd	62
Sydney - Sutherland	Machinery operators and drivers	Mobile plant operators	247
Sydney - Sutherland	Machinery operators and drivers	Road and rail drivers	1245
Sydney - Sutherland	Machinery operators and drivers	Storepersons	617
Sydney - Sutherland	Managers	Chief executives general managers and legislators	723
Sydney - Sutherland	Managers	Farmers and farm managers	21
Sydney - Sutherland	Managers	Hospitality retail and service managers	3110
Sydney - Sutherland	Managers	Managers nfd	210
Sydney - Sutherland	Managers	Specialist managers	3928
Sydney - Sutherland	Professionals	Arts and media professionals	365
Sydney - Sutherland	Professionals	Business human resource and marketing professionals	2774
Sydney - Sutherland	Professionals	Design engineering science and transport professionals	1760
Sydney - Sutherland	Professionals	Education professionals	3979
Sydney - Sutherland	Professionals	Health professionals	3428
Sydney - Sutherland	Professionals	Information and Communication Technology ICT professionals	465
Sydney - Sutherland	Professionals	Legal social and welfare professionals	932
Sydney - Sutherland	Professionals	Professionals nfd	97
Sydney - Sutherland	Sales workers	Sales assistants and salespersons	6250
Sydney - Sutherland	Sales workers	Sales representatives and agents	1193
Sydney - Sutherland	Sales workers	Sales support workers	1109
Sydney - Sutherland	Sales workers	Sales workers nfd	11
Sydney - Sutherland	Technicians and trades workers	Automotive and engineering trades workers	1475
Sydney - Sutherland	Technicians and trades workers	Construction trades workers	2059
Sydney - Sutherland	Technicians and trades workers	Electrotechnology and telecommunications trades workers	1145
Sydney - Sutherland	Technicians and trades workers	Engineering ICT and science technicians	1072
Sydney - Sutherland	Technicians and trades workers	Food trades workers	1147
Sydney - Sutherland	Technicians and trades workers	Other technicians and trades workers	1371
Sydney - Sutherland	Technicians and trades workers	Skilled animal and horticultural workers	686
Sydney - Sutherland	Technicians and trades workers	Technicians and trades workers nfd	115
Migratory - Offshore - Shipping (NSW)	Clerical and administrative workers	Other clerical and administrative workers	3
Migratory - Offshore - Shipping (NSW)	Community and personal service workers	Hospitality workers	3
Migratory - Offshore - Shipping (NSW)	Community and personal service workers	Protective service workers	4
Migratory - Offshore - Shipping (NSW)	Community and personal service workers	Sports and personal service workers	5
Migratory - Offshore - Shipping (NSW)	Labourers	Other labourers	21
Migratory - Offshore - Shipping (NSW)	Machinery operators and drivers	Machine and stationary plant operators	3
Migratory - Offshore - Shipping (NSW)	Managers	Specialist managers	3
Migratory - Offshore - Shipping (NSW)	Professionals	Design engineering science and transport professionals	20
Migratory - Offshore - Shipping (NSW)	Technicians and trades workers	Automotive and engineering trades workers	5
Migratory - Offshore - Shipping (NSW)	Technicians and trades workers	Construction trades workers	3
Migratory - Offshore - Shipping (NSW)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	3
Migratory - Offshore - Shipping (NSW)	Technicians and trades workers	Other technicians and trades workers	5
Migratory - Offshore - Shipping (NSW)	Technicians and trades workers	Technicians and trades workers nfd	3
No usual address (NSW)			3086
No usual address (NSW)	Clerical and administrative workers	Clerical and administrative workers nfd	15
No usual address (NSW)	Clerical and administrative workers	Clerical and office support workers	1681
No usual address (NSW)	Clerical and administrative workers	General clerical workers	774
No usual address (NSW)	Clerical and administrative workers	Inquiry clerks and receptionists	363
No usual address (NSW)	Clerical and administrative workers	Numerical clerks	1045
No usual address (NSW)	Clerical and administrative workers	Office managers and program administrators	666
No usual address (NSW)	Clerical and administrative workers	Other clerical and administrative workers	783
No usual address (NSW)	Clerical and administrative workers	Personal assistants and secretaries	278
No usual address (NSW)	Community and personal service workers	Carers and aides	6763
No usual address (NSW)	Community and personal service workers	Community and personal service workers nfd	12
No usual address (NSW)	Community and personal service workers	Health and welfare support workers	887
No usual address (NSW)	Community and personal service workers	Hospitality workers	784
No usual address (NSW)	Community and personal service workers	Protective service workers	1144
No usual address (NSW)	Community and personal service workers	Sports and personal service workers	3073
No usual address (NSW)	Labourers	Cleaners and laundry workers	9409
No usual address (NSW)	Labourers	Construction and mining labourers	9555
No usual address (NSW)	Labourers	Factory process workers	680
No usual address (NSW)	Labourers	Farm forestry and garden workers	3234
No usual address (NSW)	Labourers	Food preparation assistants	277
No usual address (NSW)	Labourers	Labourers nfd	597
No usual address (NSW)	Labourers	Other labourers	4689
No usual address (NSW)	Machinery operators and drivers	Machine and stationary plant operators	1572
No usual address (NSW)	Machinery operators and drivers	Machinery operators and drivers nfd	237
No usual address (NSW)	Machinery operators and drivers	Mobile plant operators	2635
No usual address (NSW)	Machinery operators and drivers	Road and rail drivers	8603
No usual address (NSW)	Machinery operators and drivers	Storepersons	315
No usual address (NSW)	Managers	Chief executives general managers and legislators	640
No usual address (NSW)	Managers	Farmers and farm managers	592
No usual address (NSW)	Managers	Hospitality retail and service managers	1818
No usual address (NSW)	Managers	Managers nfd	273
No usual address (NSW)	Managers	Specialist managers	6642
No usual address (NSW)	Professionals	Arts and media professionals	2058
No usual address (NSW)	Professionals	Business human resource and marketing professionals	2792
No usual address (NSW)	Professionals	Design engineering science and transport professionals	1774
No usual address (NSW)	Professionals	Education professionals	3323
No usual address (NSW)	Professionals	Health professionals	2237
No usual address (NSW)	Professionals	Information and Communication Technology ICT professionals	647
No usual address (NSW)	Professionals	Legal social and welfare professionals	1116
No usual address (NSW)	Professionals	Professionals nfd	202
No usual address (NSW)	Sales workers	Sales assistants and salespersons	2205
No usual address (NSW)	Sales workers	Sales representatives and agents	2008
No usual address (NSW)	Sales workers	Sales support workers	1766
No usual address (NSW)	Sales workers	Sales workers nfd	20
No usual address (NSW)	Technicians and trades workers	Automotive and engineering trades workers	3043
No usual address (NSW)	Technicians and trades workers	Construction trades workers	27630
No usual address (NSW)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	9227
No usual address (NSW)	Technicians and trades workers	Engineering ICT and science technicians	2363
No usual address (NSW)	Technicians and trades workers	Food trades workers	433
No usual address (NSW)	Technicians and trades workers	Other technicians and trades workers	1746
No usual address (NSW)	Technicians and trades workers	Skilled animal and horticultural workers	5128
No usual address (NSW)	Technicians and trades workers	Technicians and trades workers nfd	493
Ballarat			962
Ballarat	Clerical and administrative workers	Clerical and administrative workers nfd	18
Ballarat	Clerical and administrative workers	Clerical and office support workers	416
Ballarat	Clerical and administrative workers	General clerical workers	1412
Ballarat	Clerical and administrative workers	Inquiry clerks and receptionists	1557
Ballarat	Clerical and administrative workers	Numerical clerks	1546
Ballarat	Clerical and administrative workers	Office managers and program administrators	1116
Ballarat	Clerical and administrative workers	Other clerical and administrative workers	1031
Ballarat	Clerical and administrative workers	Personal assistants and secretaries	449
Ballarat	Community and personal service workers	Carers and aides	3261
Ballarat	Community and personal service workers	Community and personal service workers nfd	3
Ballarat	Community and personal service workers	Health and welfare support workers	1209
Ballarat	Community and personal service workers	Hospitality workers	1546
Ballarat	Community and personal service workers	Protective service workers	658
Ballarat	Community and personal service workers	Sports and personal service workers	919
Ballarat	Labourers	Cleaners and laundry workers	1511
Ballarat	Labourers	Construction and mining labourers	584
Ballarat	Labourers	Factory process workers	1382
Ballarat	Labourers	Farm forestry and garden workers	672
Ballarat	Labourers	Food preparation assistants	1157
Ballarat	Labourers	Labourers nfd	152
Ballarat	Labourers	Other labourers	1027
Ballarat	Machinery operators and drivers	Machine and stationary plant operators	687
Ballarat	Machinery operators and drivers	Machinery operators and drivers nfd	62
Ballarat	Machinery operators and drivers	Mobile plant operators	539
Ballarat	Machinery operators and drivers	Road and rail drivers	1574
Ballarat	Machinery operators and drivers	Storepersons	364
Ballarat	Managers	Chief executives general managers and legislators	440
Ballarat	Managers	Farmers and farm managers	1596
Ballarat	Managers	Hospitality retail and service managers	2547
Ballarat	Managers	Managers nfd	180
Ballarat	Managers	Specialist managers	2747
Ballarat	Professionals	Arts and media professionals	378
Ballarat	Professionals	Business human resource and marketing professionals	1853
Ballarat	Professionals	Design engineering science and transport professionals	1125
Ballarat	Professionals	Education professionals	3297
Ballarat	Professionals	Health professionals	3735
Ballarat	Professionals	Information and Communication Technology ICT professionals	549
Ballarat	Professionals	Legal social and welfare professionals	1048
Ballarat	Professionals	Professionals nfd	115
Ballarat	Sales workers	Sales assistants and salespersons	4764
Ballarat	Sales workers	Sales representatives and agents	689
Ballarat	Sales workers	Sales support workers	865
Ballarat	Sales workers	Sales workers nfd	15
Ballarat	Technicians and trades workers	Automotive and engineering trades workers	1959
Ballarat	Technicians and trades workers	Construction trades workers	1443
Ballarat	Technicians and trades workers	Electrotechnology and telecommunications trades workers	773
Ballarat	Technicians and trades workers	Engineering ICT and science technicians	1106
Ballarat	Technicians and trades workers	Food trades workers	1066
Ballarat	Technicians and trades workers	Other technicians and trades workers	928
Ballarat	Technicians and trades workers	Skilled animal and horticultural workers	760
Ballarat	Technicians and trades workers	Technicians and trades workers nfd	68
Bendigo			891
Bendigo	Clerical and administrative workers	Clerical and administrative workers nfd	14
Bendigo	Clerical and administrative workers	Clerical and office support workers	407
Bendigo	Clerical and administrative workers	General clerical workers	1460
Bendigo	Clerical and administrative workers	Inquiry clerks and receptionists	1308
Bendigo	Clerical and administrative workers	Numerical clerks	1668
Bendigo	Clerical and administrative workers	Office managers and program administrators	1247
Bendigo	Clerical and administrative workers	Other clerical and administrative workers	761
Bendigo	Clerical and administrative workers	Personal assistants and secretaries	403
Bendigo	Community and personal service workers	Carers and aides	3124
Bendigo	Community and personal service workers	Community and personal service workers nfd	9
Bendigo	Community and personal service workers	Health and welfare support workers	1325
Bendigo	Community and personal service workers	Hospitality workers	1331
Bendigo	Community and personal service workers	Protective service workers	850
Bendigo	Community and personal service workers	Sports and personal service workers	757
Bendigo	Labourers	Cleaners and laundry workers	1376
Bendigo	Labourers	Construction and mining labourers	597
Bendigo	Labourers	Factory process workers	2343
Bendigo	Labourers	Farm forestry and garden workers	764
Bendigo	Labourers	Food preparation assistants	1173
Bendigo	Labourers	Labourers nfd	130
Bendigo	Labourers	Other labourers	1103
Bendigo	Machinery operators and drivers	Machine and stationary plant operators	910
Bendigo	Machinery operators and drivers	Machinery operators and drivers nfd	58
Bendigo	Machinery operators and drivers	Mobile plant operators	524
Bendigo	Machinery operators and drivers	Road and rail drivers	1552
Bendigo	Machinery operators and drivers	Storepersons	355
Bendigo	Managers	Chief executives general managers and legislators	485
Bendigo	Managers	Farmers and farm managers	1762
Bendigo	Managers	Hospitality retail and service managers	2494
Bendigo	Managers	Managers nfd	155
Bendigo	Managers	Specialist managers	2786
Bendigo	Professionals	Arts and media professionals	401
Bendigo	Professionals	Business human resource and marketing professionals	1945
Bendigo	Professionals	Design engineering science and transport professionals	1331
Bendigo	Professionals	Education professionals	3100
Bendigo	Professionals	Health professionals	3768
Bendigo	Professionals	Information and Communication Technology ICT professionals	475
Bendigo	Professionals	Legal social and welfare professionals	1077
Bendigo	Professionals	Professionals nfd	104
Bendigo	Sales workers	Sales assistants and salespersons	4595
Bendigo	Sales workers	Sales representatives and agents	663
Bendigo	Sales workers	Sales support workers	877
Bendigo	Sales workers	Sales workers nfd	6
Bendigo	Technicians and trades workers	Automotive and engineering trades workers	1807
Bendigo	Technicians and trades workers	Construction trades workers	1453
Bendigo	Technicians and trades workers	Electrotechnology and telecommunications trades workers	918
Bendigo	Technicians and trades workers	Engineering ICT and science technicians	1031
Bendigo	Technicians and trades workers	Food trades workers	1054
Bendigo	Technicians and trades workers	Other technicians and trades workers	905
Bendigo	Technicians and trades workers	Skilled animal and horticultural workers	705
Bendigo	Technicians and trades workers	Technicians and trades workers nfd	68
Geelong			1643
Geelong	Clerical and administrative workers	Clerical and administrative workers nfd	45
Geelong	Clerical and administrative workers	Clerical and office support workers	713
Geelong	Clerical and administrative workers	General clerical workers	2499
Geelong	Clerical and administrative workers	Inquiry clerks and receptionists	2781
Geelong	Clerical and administrative workers	Numerical clerks	2759
Geelong	Clerical and administrative workers	Office managers and program administrators	2132
Geelong	Clerical and administrative workers	Other clerical and administrative workers	1708
Geelong	Clerical and administrative workers	Personal assistants and secretaries	777
Geelong	Community and personal service workers	Carers and aides	5713
Geelong	Community and personal service workers	Community and personal service workers nfd	8
Geelong	Community and personal service workers	Health and welfare support workers	1811
Geelong	Community and personal service workers	Hospitality workers	2989
