SA4_NAME16	IncomeTotPersonal.max	Occupation	PublicSector	LevelOfGovt	workers
Capital Region					112
Capital Region			0		46
Capital Region		Clerical and administrative workers			5
Capital Region		Clerical and administrative workers	0		86
Capital Region		Clerical and administrative workers	1	National	8
Capital Region		Clerical and administrative workers	1	State territory	7
Capital Region		Community and personal service workers			8
Capital Region		Community and personal service workers	0		94
Capital Region		Community and personal service workers	1	National	6
Capital Region		Community and personal service workers	1	State territory	19
Capital Region		Labourers			5
Capital Region		Labourers	0		169
Capital Region		Labourers	1	Local	5
Capital Region		Labourers	1	State territory	3
Capital Region		Machinery operators and drivers			10
Capital Region		Machinery operators and drivers	0		57
Capital Region		Machinery operators and drivers	1	Local	9
Capital Region		Managers			10
Capital Region		Managers	0		194
Capital Region		Managers	1	National	3
Capital Region		Managers	1	State territory	3
Capital Region		Professionals			4
Capital Region		Professionals	0		80
Capital Region		Professionals	1	National	3
Capital Region		Professionals	1	State territory	29
Capital Region		Sales workers			3
Capital Region		Sales workers	0		147
Capital Region		Technicians and trades workers			16
Capital Region		Technicians and trades workers	0		160
Capital Region		Technicians and trades workers	1	Local	3
Capital Region	0				26
Capital Region	0		0		18
Capital Region	0	Clerical and administrative workers	0		67
Capital Region	0	Clerical and administrative workers	1	National	7
Capital Region	0	Community and personal service workers	0		57
Capital Region	0	Labourers			4
Capital Region	0	Labourers	0		104
Capital Region	0	Machinery operators and drivers	0		20
Capital Region	0	Managers			3
Capital Region	0	Managers	0		269
Capital Region	0	Professionals	0		26
Capital Region	0	Professionals	1	State territory	3
Capital Region	0	Sales workers	0		95
Capital Region	0	Technicians and trades workers			4
Capital Region	0	Technicians and trades workers	0		59
Capital Region	7875				29
Capital Region	7875		0		23
Capital Region	7875	Clerical and administrative workers			3
Capital Region	7875	Clerical and administrative workers	0		153
Capital Region	7875	Clerical and administrative workers	1	Local	5
Capital Region	7875	Clerical and administrative workers	1	National	18
Capital Region	7875	Clerical and administrative workers	1	State territory	4
Capital Region	7875	Community and personal service workers			6
Capital Region	7875	Community and personal service workers	0		513
