SA4_NAME16	EmploymentStatus	Sex	workers
Riverina	Owner managers of unincorporated enterprises	M	3952
Southern Highlands and Shoalhaven		F	330
Southern Highlands and Shoalhaven		M	391
Southern Highlands and Shoalhaven	Contributing family workers	F	646
Southern Highlands and Shoalhaven	Contributing family workers	M	530
Southern Highlands and Shoalhaven	Employee	F	21536
Southern Highlands and Shoalhaven	Employee	M	18521
Southern Highlands and Shoalhaven	Owner managers of incorporated enterprises	F	1440
Southern Highlands and Shoalhaven	Owner managers of incorporated enterprises	M	2487
Southern Highlands and Shoalhaven	Owner managers of unincorporated enterprises	F	2356
Southern Highlands and Shoalhaven	Owner managers of unincorporated enterprises	M	3322
Sydney - Baulkham Hills and Hawkesbury		F	283
Sydney - Baulkham Hills and Hawkesbury		M	359
Sydney - Baulkham Hills and Hawkesbury	Contributing family workers	F	771
Sydney - Baulkham Hills and Hawkesbury	Contributing family workers	M	588
Sydney - Baulkham Hills and Hawkesbury	Employee	F	34275
Sydney - Baulkham Hills and Hawkesbury	Employee	M	29409
Sydney - Baulkham Hills and Hawkesbury	Owner managers of incorporated enterprises	F	2819
Sydney - Baulkham Hills and Hawkesbury	Owner managers of incorporated enterprises	M	5787
Sydney - Baulkham Hills and Hawkesbury	Owner managers of unincorporated enterprises	F	2581
Sydney - Baulkham Hills and Hawkesbury	Owner managers of unincorporated enterprises	M	3600
Sydney - Blacktown		F	397
Sydney - Blacktown		M	610
Sydney - Blacktown	Contributing family workers	F	506
Sydney - Blacktown	Contributing family workers	M	507
Sydney - Blacktown	Employee	F	41105
Sydney - Blacktown	Employee	M	50790
Sydney - Blacktown	Owner managers of incorporated enterprises	F	1596
Sydney - Blacktown	Owner managers of incorporated enterprises	M	5081
Sydney - Blacktown	Owner managers of unincorporated enterprises	F	2036
Sydney - Blacktown	Owner managers of unincorporated enterprises	M	3764
Sydney - City and Inner South		F	1682
Sydney - City and Inner South		M	2259
Sydney - City and Inner South	Contributing family workers	F	1149
Sydney - City and Inner South	Contributing family workers	M	1349
Sydney - City and Inner South	Employee	F	247620
Sydney - City and Inner South	Employee	M	276329
Sydney - City and Inner South	Owner managers of incorporated enterprises	F	6995
Sydney - City and Inner South	Owner managers of incorporated enterprises	M	20656
Sydney - City and Inner South	Owner managers of unincorporated enterprises	F	6879
Sydney - City and Inner South	Owner managers of unincorporated enterprises	M	13422
Sydney - Eastern Suburbs		F	382
Sydney - Eastern Suburbs		M	422
Sydney - Eastern Suburbs	Contributing family workers	F	729
Sydney - Eastern Suburbs	Contributing family workers	M	565
Sydney - Eastern Suburbs	Employee	F	40704
Sydney - Eastern Suburbs	Employee	M	31585
Sydney - Eastern Suburbs	Owner managers of incorporated enterprises	F	3044
Sydney - Eastern Suburbs	Owner managers of incorporated enterprises	M	5748
Sydney - Eastern Suburbs	Owner managers of unincorporated enterprises	F	4130
Sydney - Eastern Suburbs	Owner managers of unincorporated enterprises	M	4558
Sydney - Inner South West		F	694
Sydney - Inner South West		M	999
Sydney - Inner South West	Contributing family workers	F	1093
Sydney - Inner South West	Contributing family workers	M	1083
Sydney - Inner South West	Employee	F	60901
Sydney - Inner South West	Employee	M	58480
Sydney - Inner South West	Owner managers of incorporated enterprises	F	3440
Sydney - Inner South West	Owner managers of incorporated enterprises	M	9851
Sydney - Inner South West	Owner managers of unincorporated enterprises	F	4176
Sydney - Inner South West	Owner managers of unincorporated enterprises	M	7927
Sydney - Inner West		F	415
Sydney - Inner West		M	579
Sydney - Inner West	Contributing family workers	F	693
Sydney - Inner West	Contributing family workers	M	659
Sydney - Inner West	Employee	F	44996
Sydney - Inner West	Employee	M	42299
Sydney - Inner West	Owner managers of incorporated enterprises	F	2881
Sydney - Inner West	Owner managers of incorporated enterprises	M	6397
Sydney - Inner West	Owner managers of unincorporated enterprises	F	3537
Sydney - Inner West	Owner managers of unincorporated enterprises	M	4776
Sydney - North Sydney and Hornsby		F	650
Sydney - North Sydney and Hornsby		M	793
Sydney - North Sydney and Hornsby	Contributing family workers	F	1215
Sydney - North Sydney and Hornsby	Contributing family workers	M	1191
Sydney - North Sydney and Hornsby	Employee	F	91781
Sydney - North Sydney and Hornsby	Employee	M	86993
Sydney - North Sydney and Hornsby	Owner managers of incorporated enterprises	F	5601
Sydney - North Sydney and Hornsby	Owner managers of incorporated enterprises	M	12535
Sydney - North Sydney and Hornsby	Owner managers of unincorporated enterprises	F	5782
Sydney - North Sydney and Hornsby	Owner managers of unincorporated enterprises	M	7081
Sydney - Northern Beaches		F	340
Sydney - Northern Beaches		M	375
Sydney - Northern Beaches	Contributing family workers	F	819
Sydney - Northern Beaches	Contributing family workers	M	619
Sydney - Northern Beaches	Employee	F	35459
Sydney - Northern Beaches	Employee	M	30638
Sydney - Northern Beaches	Owner managers of incorporated enterprises	F	3483
Sydney - Northern Beaches	Owner managers of incorporated enterprises	M	7443
Sydney - Northern Beaches	Owner managers of unincorporated enterprises	F	4158
Sydney - Northern Beaches	Owner managers of unincorporated enterprises	M	4900
Sydney - Outer South West		F	386
Sydney - Outer South West		M	485
Sydney - Outer South West	Contributing family workers	F	539
Sydney - Outer South West	Contributing family workers	M	410
Sydney - Outer South West	Employee	F	33539
Sydney - Outer South West	Employee	M	32532
Sydney - Outer South West	Owner managers of incorporated enterprises	F	1631
Sydney - Outer South West	Owner managers of incorporated enterprises	M	4104
Sydney - Outer South West	Owner managers of unincorporated enterprises	F	2004
Sydney - Outer South West	Owner managers of unincorporated enterprises	M	3028
Sydney - Outer West and Blue Mountains		F	430
Sydney - Outer West and Blue Mountains		M	476
Sydney - Outer West and Blue Mountains	Contributing family workers	F	689
Sydney - Outer West and Blue Mountains	Contributing family workers	M	557
Sydney - Outer West and Blue Mountains	Employee	F	45284
Sydney - Outer West and Blue Mountains	Employee	M	39974
Sydney - Outer West and Blue Mountains	Owner managers of incorporated enterprises	F	2131
Sydney - Outer West and Blue Mountains	Owner managers of incorporated enterprises	M	4844
Sydney - Outer West and Blue Mountains	Owner managers of unincorporated enterprises	F	3311
Sydney - Outer West and Blue Mountains	Owner managers of unincorporated enterprises	M	4577
Sydney - Parramatta		F	831
Sydney - Parramatta		M	1210
Sydney - Parramatta	Contributing family workers	F	820
Sydney - Parramatta	Contributing family workers	M	955
Sydney - Parramatta	Employee	F	90489
Sydney - Parramatta	Employee	M	101527
Sydney - Parramatta	Owner managers of incorporated enterprises	F	3062
Sydney - Parramatta	Owner managers of incorporated enterprises	M	9747
Sydney - Parramatta	Owner managers of unincorporated enterprises	F	3346
Sydney - Parramatta	Owner managers of unincorporated enterprises	M	6365
Sydney - Ryde		F	261
Sydney - Ryde		M	338
Sydney - Ryde	Contributing family workers	F	435
Sydney - Ryde	Contributing family workers	M	401
Sydney - Ryde	Employee	F	43294
Sydney - Ryde	Employee	M	44939
Sydney - Ryde	Owner managers of incorporated enterprises	F	1673
Sydney - Ryde	Owner managers of incorporated enterprises	M	3795
Sydney - Ryde	Owner managers of unincorporated enterprises	F	1901
Sydney - Ryde	Owner managers of unincorporated enterprises	M	2577
Sydney - South West		F	601
Sydney - South West		M	918
Sydney - South West	Contributing family workers	F	779
Sydney - South West	Contributing family workers	M	763
Sydney - South West	Employee	F	50532
Sydney - South West	Employee	M	53779
Sydney - South West	Owner managers of incorporated enterprises	F	2398
Sydney - South West	Owner managers of incorporated enterprises	M	7081
Sydney - South West	Owner managers of unincorporated enterprises	F	2843
Sydney - South West	Owner managers of unincorporated enterprises	M	4786
Sydney - Sutherland		F	267
Sydney - Sutherland		M	323
Sydney - Sutherland	Contributing family workers	F	497
Sydney - Sutherland	Contributing family workers	M	400
Sydney - Sutherland	Employee	F	29612
Sydney - Sutherland	Employee	M	22936
Sydney - Sutherland	Owner managers of incorporated enterprises	F	2062
Sydney - Sutherland	Owner managers of incorporated enterprises	M	4666
Sydney - Sutherland	Owner managers of unincorporated enterprises	F	2449
Sydney - Sutherland	Owner managers of unincorporated enterprises	M	3170
Migratory - Offshore - Shipping (NSW)		M	3
Migratory - Offshore - Shipping (NSW)	Employee	F	10
Migratory - Offshore - Shipping (NSW)	Employee	M	52
Migratory - Offshore - Shipping (NSW)	Owner managers of incorporated enterprises	M	7
Migratory - Offshore - Shipping (NSW)	Owner managers of unincorporated enterprises	F	3
Migratory - Offshore - Shipping (NSW)	Owner managers of unincorporated enterprises	M	11
No usual address (NSW)		F	621
No usual address (NSW)		M	1965
No usual address (NSW)	Contributing family workers	F	704
No usual address (NSW)	Contributing family workers	M	1293
No usual address (NSW)	Employee	F	22874
No usual address (NSW)	Employee	M	56761
