SA4_NAME16	IndustryOfEmployment	Occupation	workers
Capital Region		Clerical and administrative workers	300
Capital Region		Community and personal service workers	151
Capital Region		Labourers	426
Capital Region		Machinery operators and drivers	255
Capital Region		Managers	351
Capital Region		Professionals	182
Capital Region		Sales workers	185
Capital Region		Technicians and trades workers	503
Capital Region	Accommodation and food services		66
Capital Region	Accommodation and food services	Clerical and administrative workers	330
Capital Region	Accommodation and food services	Community and personal service workers	2114
Capital Region	Accommodation and food services	Labourers	1691
Capital Region	Accommodation and food services	Machinery operators and drivers	132
Capital Region	Accommodation and food services	Managers	1468
Capital Region	Accommodation and food services	Professionals	48
Capital Region	Accommodation and food services	Sales workers	824
Capital Region	Accommodation and food services	Technicians and trades workers	1034
Capital Region	Administrative and support services		14
Capital Region	Administrative and support services	Clerical and administrative workers	301
Capital Region	Administrative and support services	Community and personal service workers	191
Capital Region	Administrative and support services	Labourers	867
Capital Region	Administrative and support services	Machinery operators and drivers	54
Capital Region	Administrative and support services	Managers	130
Capital Region	Administrative and support services	Professionals	146
Capital Region	Administrative and support services	Sales workers	34
Capital Region	Administrative and support services	Technicians and trades workers	206
Capital Region	Agriculture forestry and fishing	Clerical and administrative workers	196
Capital Region	Agriculture forestry and fishing	Community and personal service workers	14
Capital Region	Agriculture forestry and fishing	Labourers	1207
Capital Region	Agriculture forestry and fishing	Machinery operators and drivers	176
Capital Region	Agriculture forestry and fishing	Managers	3915
Capital Region	Agriculture forestry and fishing	Professionals	98
Capital Region	Agriculture forestry and fishing	Sales workers	49
Capital Region	Agriculture forestry and fishing	Technicians and trades workers	384
Capital Region	Arts and recreation services		15
Capital Region	Arts and recreation services	Clerical and administrative workers	143
Capital Region	Arts and recreation services	Community and personal service workers	391
Capital Region	Arts and recreation services	Labourers	161
Capital Region	Arts and recreation services	Machinery operators and drivers	167
Capital Region	Arts and recreation services	Managers	216
Capital Region	Arts and recreation services	Professionals	269
Capital Region	Arts and recreation services	Sales workers	84
Capital Region	Arts and recreation services	Technicians and trades workers	231
Capital Region	Construction		48
Capital Region	Construction	Clerical and administrative workers	620
Capital Region	Construction	Community and personal service workers	12
Capital Region	Construction	Labourers	905
Capital Region	Construction	Machinery operators and drivers	749
Capital Region	Construction	Managers	783
Capital Region	Construction	Professionals	123
Capital Region	Construction	Sales workers	81
Capital Region	Construction	Technicians and trades workers	2760
Capital Region	Education and training		14
Capital Region	Education and training	Clerical and administrative workers	546
Capital Region	Education and training	Community and personal service workers	1192
Capital Region	Education and training	Labourers	162
Capital Region	Education and training	Machinery operators and drivers	19
Capital Region	Education and training	Managers	409
Capital Region	Education and training	Professionals	3306
Capital Region	Education and training	Sales workers	15
Capital Region	Education and training	Technicians and trades workers	116
Capital Region	Electricity gas water and waste services		17
Capital Region	Electricity gas water and waste services	Clerical and administrative workers	167
Capital Region	Electricity gas water and waste services	Labourers	80
Capital Region	Electricity gas water and waste services	Machinery operators and drivers	190
Capital Region	Electricity gas water and waste services	Managers	126
Capital Region	Electricity gas water and waste services	Professionals	140
Capital Region	Electricity gas water and waste services	Sales workers	15
Capital Region	Electricity gas water and waste services	Technicians and trades workers	330
Capital Region	Financial and insurance services		19
Capital Region	Financial and insurance services	Clerical and administrative workers	484
Capital Region	Financial and insurance services	Community and personal service workers	5
Capital Region	Financial and insurance services	Labourers	3
Capital Region	Financial and insurance services	Machinery operators and drivers	3
Capital Region	Financial and insurance services	Managers	114
Capital Region	Financial and insurance services	Professionals	191
Capital Region	Financial and insurance services	Sales workers	34
Capital Region	Financial and insurance services	Technicians and trades workers	6
Capital Region	Health care and social assistance		60
Capital Region	Health care and social assistance	Clerical and administrative workers	1099
Capital Region	Health care and social assistance	Community and personal service workers	3503
Capital Region	Health care and social assistance	Labourers	457
Capital Region	Health care and social assistance	Machinery operators and drivers	57
Capital Region	Health care and social assistance	Managers	394
Capital Region	Health care and social assistance	Professionals	3301
Capital Region	Health care and social assistance	Sales workers	45
Capital Region	Health care and social assistance	Technicians and trades workers	304
Capital Region	Information media and telecommunications		3
Capital Region	Information media and telecommunications	Clerical and administrative workers	129
Capital Region	Information media and telecommunications	Community and personal service workers	3
Capital Region	Information media and telecommunications	Labourers	16
Capital Region	Information media and telecommunications	Machinery operators and drivers	7
Capital Region	Information media and telecommunications	Managers	62
Capital Region	Information media and telecommunications	Professionals	146
Capital Region	Information media and telecommunications	Sales workers	102
Capital Region	Information media and telecommunications	Technicians and trades workers	102
Capital Region	Manufacturing		48
Capital Region	Manufacturing	Clerical and administrative workers	358
Capital Region	Manufacturing	Community and personal service workers	85
Capital Region	Manufacturing	Labourers	979
Capital Region	Manufacturing	Machinery operators and drivers	397
Capital Region	Manufacturing	Managers	502
Capital Region	Manufacturing	Professionals	182
Capital Region	Manufacturing	Sales workers	254
Capital Region	Manufacturing	Technicians and trades workers	1223
Capital Region	Mining	Clerical and administrative workers	25
Capital Region	Mining	Labourers	32
Capital Region	Mining	Machinery operators and drivers	214
Capital Region	Mining	Managers	38
Capital Region	Mining	Professionals	20
Capital Region	Mining	Sales workers	3
Capital Region	Mining	Technicians and trades workers	84
Capital Region	Other services		18
Capital Region	Other services	Clerical and administrative workers	268
Capital Region	Other services	Community and personal service workers	338
Capital Region	Other services	Labourers	264
Capital Region	Other services	Machinery operators and drivers	47
Capital Region	Other services	Managers	188
Capital Region	Other services	Professionals	144
Capital Region	Other services	Sales workers	55
Capital Region	Other services	Technicians and trades workers	1507
Capital Region	Professional scientific and technical services		21
Capital Region	Professional scientific and technical services	Clerical and administrative workers	898
Capital Region	Professional scientific and technical services	Community and personal service workers	13
Capital Region	Professional scientific and technical services	Labourers	56
Capital Region	Professional scientific and technical services	Machinery operators and drivers	21
Capital Region	Professional scientific and technical services	Managers	205
Capital Region	Professional scientific and technical services	Professionals	1335
Capital Region	Professional scientific and technical services	Sales workers	24
Capital Region	Professional scientific and technical services	Technicians and trades workers	357
Capital Region	Public administration and safety		137
Capital Region	Public administration and safety	Clerical and administrative workers	1521
Capital Region	Public administration and safety	Community and personal service workers	1372
Capital Region	Public administration and safety	Labourers	375
Capital Region	Public administration and safety	Machinery operators and drivers	308
Capital Region	Public administration and safety	Managers	790
Capital Region	Public administration and safety	Professionals	1016
Capital Region	Public administration and safety	Sales workers	29
Capital Region	Public administration and safety	Technicians and trades workers	393
Capital Region	Rental hiring and real estate services		12
Capital Region	Rental hiring and real estate services	Clerical and administrative workers	169
Capital Region	Rental hiring and real estate services	Community and personal service workers	14
Capital Region	Rental hiring and real estate services	Labourers	41
Capital Region	Rental hiring and real estate services	Machinery operators and drivers	28
Capital Region	Rental hiring and real estate services	Managers	121
Capital Region	Rental hiring and real estate services	Professionals	54
Capital Region	Rental hiring and real estate services	Sales workers	639
Capital Region	Rental hiring and real estate services	Technicians and trades workers	60
Capital Region	Retail trade		37
Capital Region	Retail trade	Clerical and administrative workers	392
Capital Region	Retail trade	Community and personal service workers	74
Capital Region	Retail trade	Labourers	688
Capital Region	Retail trade	Machinery operators and drivers	263
Capital Region	Retail trade	Managers	1308
Capital Region	Retail trade	Professionals	203
Capital Region	Retail trade	Sales workers	4573
Capital Region	Retail trade	Technicians and trades workers	554
Capital Region	Transport postal and warehousing		22
Capital Region	Transport postal and warehousing	Clerical and administrative workers	529
Capital Region	Transport postal and warehousing	Community and personal service workers	20
Capital Region	Transport postal and warehousing	Labourers	111
Capital Region	Transport postal and warehousing	Machinery operators and drivers	1375
Capital Region	Transport postal and warehousing	Managers	303
Capital Region	Transport postal and warehousing	Professionals	58
Capital Region	Transport postal and warehousing	Sales workers	112
Capital Region	Transport postal and warehousing	Technicians and trades workers	112
Capital Region	Wholesale trade		13
Capital Region	Wholesale trade	Clerical and administrative workers	190
Capital Region	Wholesale trade	Community and personal service workers	3
Capital Region	Wholesale trade	Labourers	82
Capital Region	Wholesale trade	Machinery operators and drivers	198
Capital Region	Wholesale trade	Managers	220
Capital Region	Wholesale trade	Professionals	89
Capital Region	Wholesale trade	Sales workers	404
Capital Region	Wholesale trade	Technicians and trades workers	112
Central Coast		Clerical and administrative workers	547
Central Coast		Community and personal service workers	185
Central Coast		Labourers	555
Central Coast		Machinery operators and drivers	393
Central Coast		Managers	449
Central Coast		Professionals	365
Central Coast		Sales workers	305
Central Coast		Technicians and trades workers	658
Central Coast	Accommodation and food services		43
Central Coast	Accommodation and food services	Clerical and administrative workers	396
Central Coast	Accommodation and food services	Community and personal service workers	2928
Central Coast	Accommodation and food services	Labourers	2034
Central Coast	Accommodation and food services	Machinery operators and drivers	261
Central Coast	Accommodation and food services	Managers	1457
Central Coast	Accommodation and food services	Professionals	103
Central Coast	Accommodation and food services	Sales workers	1526
Central Coast	Accommodation and food services	Technicians and trades workers	1168
Central Coast	Administrative and support services		34
Central Coast	Administrative and support services	Clerical and administrative workers	563
Central Coast	Administrative and support services	Community and personal service workers	343
Central Coast	Administrative and support services	Labourers	1268
Central Coast	Administrative and support services	Machinery operators and drivers	91
Central Coast	Administrative and support services	Managers	257
Central Coast	Administrative and support services	Professionals	269
Central Coast	Administrative and support services	Sales workers	107
Central Coast	Administrative and support services	Technicians and trades workers	246
Central Coast	Agriculture forestry and fishing	Clerical and administrative workers	48
Central Coast	Agriculture forestry and fishing	Labourers	278
Central Coast	Agriculture forestry and fishing	Machinery operators and drivers	42
Central Coast	Agriculture forestry and fishing	Managers	400
Central Coast	Agriculture forestry and fishing	Professionals	20
Central Coast	Agriculture forestry and fishing	Sales workers	25
Central Coast	Agriculture forestry and fishing	Technicians and trades workers	128
Central Coast	Arts and recreation services		14
Central Coast	Arts and recreation services	Clerical and administrative workers	165
Central Coast	Arts and recreation services	Community and personal service workers	442
Central Coast	Arts and recreation services	Labourers	122
Central Coast	Arts and recreation services	Machinery operators and drivers	13
Central Coast	Arts and recreation services	Managers	230
Central Coast	Arts and recreation services	Professionals	308
Central Coast	Arts and recreation services	Sales workers	79
Central Coast	Arts and recreation services	Technicians and trades workers	151
Central Coast	Construction		80
Central Coast	Construction	Clerical and administrative workers	1086
Central Coast	Construction	Community and personal service workers	15
Central Coast	Construction	Labourers	1481
Central Coast	Construction	Machinery operators and drivers	590
Central Coast	Construction	Managers	1079
Central Coast	Construction	Professionals	202
Central Coast	Construction	Sales workers	119
Central Coast	Construction	Technicians and trades workers	3983
Central Coast	Education and training		37
Central Coast	Education and training	Clerical and administrative workers	817
Central Coast	Education and training	Community and personal service workers	1514
Central Coast	Education and training	Labourers	185
Central Coast	Education and training	Machinery operators and drivers	29
Central Coast	Education and training	Managers	564
Central Coast	Education and training	Professionals	5546
Central Coast	Education and training	Sales workers	17
Central Coast	Education and training	Technicians and trades workers	166
Central Coast	Electricity gas water and waste services		11
Central Coast	Electricity gas water and waste services	Clerical and administrative workers	177
Central Coast	Electricity gas water and waste services	Community and personal service workers	7
Central Coast	Electricity gas water and waste services	Labourers	93
Central Coast	Electricity gas water and waste services	Machinery operators and drivers	245
Central Coast	Electricity gas water and waste services	Managers	99
Central Coast	Electricity gas water and waste services	Professionals	117
Central Coast	Electricity gas water and waste services	Sales workers	24
Central Coast	Electricity gas water and waste services	Technicians and trades workers	356
Central Coast	Financial and insurance services		51
Central Coast	Financial and insurance services	Clerical and administrative workers	1343
Central Coast	Financial and insurance services	Community and personal service workers	9
Central Coast	Financial and insurance services	Labourers	51
Central Coast	Financial and insurance services	Machinery operators and drivers	14
Central Coast	Financial and insurance services	Managers	226
Central Coast	Financial and insurance services	Professionals	551
Central Coast	Financial and insurance services	Sales workers	100
Central Coast	Financial and insurance services	Technicians and trades workers	36
Central Coast	Health care and social assistance		134
Central Coast	Health care and social assistance	Clerical and administrative workers	2584
Central Coast	Health care and social assistance	Community and personal service workers	6130
Central Coast	Health care and social assistance	Labourers	790
Central Coast	Health care and social assistance	Machinery operators and drivers	134
Central Coast	Health care and social assistance	Managers	795
Central Coast	Health care and social assistance	Professionals	7591
Central Coast	Health care and social assistance	Sales workers	105
Central Coast	Health care and social assistance	Technicians and trades workers	595
Central Coast	Information media and telecommunications		26
Central Coast	Information media and telecommunications	Clerical and administrative workers	207
Central Coast	Information media and telecommunications	Community and personal service workers	3
Central Coast	Information media and telecommunications	Labourers	60
Central Coast	Information media and telecommunications	Machinery operators and drivers	90
Central Coast	Information media and telecommunications	Managers	215
Central Coast	Information media and telecommunications	Professionals	342
Central Coast	Information media and telecommunications	Sales workers	180
Central Coast	Information media and telecommunications	Technicians and trades workers	232
Central Coast	Manufacturing		97
Central Coast	Manufacturing	Clerical and administrative workers	796
Central Coast	Manufacturing	Community and personal service workers	51
Central Coast	Manufacturing	Labourers	1414
Central Coast	Manufacturing	Machinery operators and drivers	977
Central Coast	Manufacturing	Managers	1172
Central Coast	Manufacturing	Professionals	563
Central Coast	Manufacturing	Sales workers	412
Central Coast	Manufacturing	Technicians and trades workers	1742
Central Coast	Mining		5
Central Coast	Mining	Clerical and administrative workers	45
Central Coast	Mining	Labourers	19
Central Coast	Mining	Machinery operators and drivers	184
Central Coast	Mining	Managers	51
Central Coast	Mining	Professionals	56
Central Coast	Mining	Sales workers	4
Central Coast	Mining	Technicians and trades workers	144
Central Coast	Other services		32
Central Coast	Other services	Clerical and administrative workers	550
Central Coast	Other services	Community and personal service workers	700
Central Coast	Other services	Labourers	346
Central Coast	Other services	Machinery operators and drivers	43
Central Coast	Other services	Managers	328
Central Coast	Other services	Professionals	264
Central Coast	Other services	Sales workers	98
Central Coast	Other services	Technicians and trades workers	2191
Central Coast	Professional scientific and technical services		34
Central Coast	Professional scientific and technical services	Clerical and administrative workers	1199
Central Coast	Professional scientific and technical services	Community and personal service workers	16
Central Coast	Professional scientific and technical services	Labourers	71
Central Coast	Professional scientific and technical services	Machinery operators and drivers	19
Central Coast	Professional scientific and technical services	Managers	439
Central Coast	Professional scientific and technical services	Professionals	2323
Central Coast	Professional scientific and technical services	Sales workers	77
Central Coast	Professional scientific and technical services	Technicians and trades workers	569
Central Coast	Public administration and safety		121
Central Coast	Public administration and safety	Clerical and administrative workers	1723
Central Coast	Public administration and safety	Community and personal service workers	1295
Central Coast	Public administration and safety	Labourers	307
Central Coast	Public administration and safety	Machinery operators and drivers	190
Central Coast	Public administration and safety	Managers	443
Central Coast	Public administration and safety	Professionals	1219
Central Coast	Public administration and safety	Sales workers	24
Central Coast	Public administration and safety	Technicians and trades workers	451
Central Coast	Rental hiring and real estate services		30
Central Coast	Rental hiring and real estate services	Clerical and administrative workers	415
Central Coast	Rental hiring and real estate services	Community and personal service workers	31
Central Coast	Rental hiring and real estate services	Labourers	84
Central Coast	Rental hiring and real estate services	Machinery operators and drivers	36
Central Coast	Rental hiring and real estate services	Managers	205
Central Coast	Rental hiring and real estate services	Professionals	116
Central Coast	Rental hiring and real estate services	Sales workers	1049
Central Coast	Rental hiring and real estate services	Technicians and trades workers	56
Central Coast	Retail trade		51
Central Coast	Retail trade	Clerical and administrative workers	635
Central Coast	Retail trade	Community and personal service workers	134
Central Coast	Retail trade	Labourers	1151
Central Coast	Retail trade	Machinery operators and drivers	590
Central Coast	Retail trade	Managers	1918
Central Coast	Retail trade	Professionals	334
Central Coast	Retail trade	Sales workers	7928
Central Coast	Retail trade	Technicians and trades workers	812
Central Coast	Transport postal and warehousing		22
Central Coast	Transport postal and warehousing	Clerical and administrative workers	692
Central Coast	Transport postal and warehousing	Community and personal service workers	31
Central Coast	Transport postal and warehousing	Labourers	169
Central Coast	Transport postal and warehousing	Machinery operators and drivers	1726
Central Coast	Transport postal and warehousing	Managers	277
Central Coast	Transport postal and warehousing	Professionals	48
Central Coast	Transport postal and warehousing	Sales workers	135
Central Coast	Transport postal and warehousing	Technicians and trades workers	85
Central Coast	Wholesale trade		22
Central Coast	Wholesale trade	Clerical and administrative workers	343
Central Coast	Wholesale trade	Community and personal service workers	3
Central Coast	Wholesale trade	Labourers	141
Central Coast	Wholesale trade	Machinery operators and drivers	355
Central Coast	Wholesale trade	Managers	435
Central Coast	Wholesale trade	Professionals	156
Central Coast	Wholesale trade	Sales workers	435
Central Coast	Wholesale trade	Technicians and trades workers	158
Central West		Clerical and administrative workers	293
Central West		Community and personal service workers	134
Central West		Labourers	408
Central West		Machinery operators and drivers	288
Central West		Managers	316
Central West		Professionals	171
Central West		Sales workers	202
Central West		Technicians and trades workers	527
Central West	Accommodation and food services		52
Central West	Accommodation and food services	Clerical and administrative workers	234
Central West	Accommodation and food services	Community and personal service workers	1678
Central West	Accommodation and food services	Labourers	1364
Central West	Accommodation and food services	Machinery operators and drivers	80
Central West	Accommodation and food services	Managers	1093
Central West	Accommodation and food services	Professionals	28
Central West	Accommodation and food services	Sales workers	658
Central West	Accommodation and food services	Technicians and trades workers	758
Central West	Administrative and support services		18
Central West	Administrative and support services	Clerical and administrative workers	363
Central West	Administrative and support services	Community and personal service workers	156
Central West	Administrative and support services	Labourers	961
Central West	Administrative and support services	Machinery operators and drivers	55
Central West	Administrative and support services	Managers	130
Central West	Administrative and support services	Professionals	154
Central West	Administrative and support services	Sales workers	26
Central West	Administrative and support services	Technicians and trades workers	164
Central West	Agriculture forestry and fishing	Clerical and administrative workers	291
Central West	Agriculture forestry and fishing	Community and personal service workers	20
Central West	Agriculture forestry and fishing	Labourers	1351
Central West	Agriculture forestry and fishing	Machinery operators and drivers	297
Central West	Agriculture forestry and fishing	Managers	5321
Central West	Agriculture forestry and fishing	Professionals	166
Central West	Agriculture forestry and fishing	Sales workers	62
Central West	Agriculture forestry and fishing	Technicians and trades workers	400
Central West	Arts and recreation services		6
Central West	Arts and recreation services	Clerical and administrative workers	68
Central West	Arts and recreation services	Community and personal service workers	208
Central West	Arts and recreation services	Labourers	86
Central West	Arts and recreation services	Machinery operators and drivers	14
Central West	Arts and recreation services	Managers	111
Central West	Arts and recreation services	Professionals	143
Central West	Arts and recreation services	Sales workers	21
Central West	Arts and recreation services	Technicians and trades workers	111
Central West	Construction		39
Central West	Construction	Clerical and administrative workers	522
Central West	Construction	Community and personal service workers	12
Central West	Construction	Labourers	767
Central West	Construction	Machinery operators and drivers	625
Central West	Construction	Managers	645
Central West	Construction	Professionals	111
Central West	Construction	Sales workers	85
Central West	Construction	Technicians and trades workers	2188
Central West	Education and training		44
Central West	Education and training	Clerical and administrative workers	884
Central West	Education and training	Community and personal service workers	1366
Central West	Education and training	Labourers	286
Central West	Education and training	Machinery operators and drivers	61
Central West	Education and training	Managers	555
Central West	Education and training	Professionals	4498
Central West	Education and training	Sales workers	21
Central West	Education and training	Technicians and trades workers	204
Central West	Electricity gas water and waste services		11
Central West	Electricity gas water and waste services	Clerical and administrative workers	127
Central West	Electricity gas water and waste services	Community and personal service workers	5
Central West	Electricity gas water and waste services	Labourers	96
Central West	Electricity gas water and waste services	Machinery operators and drivers	197
Central West	Electricity gas water and waste services	Managers	99
Central West	Electricity gas water and waste services	Professionals	110
Central West	Electricity gas water and waste services	Sales workers	13
Central West	Electricity gas water and waste services	Technicians and trades workers	443
Central West	Financial and insurance services		22
Central West	Financial and insurance services	Clerical and administrative workers	620
Central West	Financial and insurance services	Community and personal service workers	19
Central West	Financial and insurance services	Labourers	9
Central West	Financial and insurance services	Machinery operators and drivers	11
Central West	Financial and insurance services	Managers	144
Central West	Financial and insurance services	Professionals	241
Central West	Financial and insurance services	Sales workers	79
Central West	Financial and insurance services	Technicians and trades workers	16
Central West	Health care and social assistance		75
Central West	Health care and social assistance	Clerical and administrative workers	1401
Central West	Health care and social assistance	Community and personal service workers	3736
Central West	Health care and social assistance	Labourers	689
Central West	Health care and social assistance	Machinery operators and drivers	90
Central West	Health care and social assistance	Managers	489
Central West	Health care and social assistance	Professionals	4277
Central West	Health care and social assistance	Sales workers	38
Central West	Health care and social assistance	Technicians and trades workers	375
Central West	Information media and telecommunications		5
Central West	Information media and telecommunications	Clerical and administrative workers	149
Central West	Information media and telecommunications	Community and personal service workers	9
Central West	Information media and telecommunications	Labourers	7
Central West	Information media and telecommunications	Machinery operators and drivers	9
Central West	Information media and telecommunications	Managers	73
Central West	Information media and telecommunications	Professionals	203
Central West	Information media and telecommunications	Sales workers	132
Central West	Information media and telecommunications	Technicians and trades workers	108
Central West	Manufacturing		53
Central West	Manufacturing	Clerical and administrative workers	444
Central West	Manufacturing	Community and personal service workers	64
Central West	Manufacturing	Labourers	1173
Central West	Manufacturing	Machinery operators and drivers	717
Central West	Manufacturing	Managers	726
Central West	Manufacturing	Professionals	309
Central West	Manufacturing	Sales workers	284
Central West	Manufacturing	Technicians and trades workers	1485
Central West	Mining		53
Central West	Mining	Clerical and administrative workers	216
Central West	Mining	Community and personal service workers	21
Central West	Mining	Labourers	175
Central West	Mining	Machinery operators and drivers	2119
Central West	Mining	Managers	289
Central West	Mining	Professionals	462
Central West	Mining	Sales workers	15
Central West	Mining	Technicians and trades workers	1431
Central West	Other services		20
Central West	Other services	Clerical and administrative workers	356
Central West	Other services	Community and personal service workers	397
Central West	Other services	Labourers	341
Central West	Other services	Machinery operators and drivers	71
Central West	Other services	Managers	215
Central West	Other services	Professionals	165
Central West	Other services	Sales workers	57
Central West	Other services	Technicians and trades workers	1661
Central West	Professional scientific and technical services		17
Central West	Professional scientific and technical services	Clerical and administrative workers	847
Central West	Professional scientific and technical services	Community and personal service workers	6
Central West	Professional scientific and technical services	Labourers	64
Central West	Professional scientific and technical services	Machinery operators and drivers	40
Central West	Professional scientific and technical services	Managers	195
Central West	Professional scientific and technical services	Professionals	1310
Central West	Professional scientific and technical services	Sales workers	24
Central West	Professional scientific and technical services	Technicians and trades workers	397
Central West	Public administration and safety		105
Central West	Public administration and safety	Clerical and administrative workers	1510
Central West	Public administration and safety	Community and personal service workers	1371
Central West	Public administration and safety	Labourers	446
Central West	Public administration and safety	Machinery operators and drivers	403
Central West	Public administration and safety	Managers	568
Central West	Public administration and safety	Professionals	1183
Central West	Public administration and safety	Sales workers	32
Central West	Public administration and safety	Technicians and trades workers	437
Central West	Rental hiring and real estate services		16
Central West	Rental hiring and real estate services	Clerical and administrative workers	169
Central West	Rental hiring and real estate services	Community and personal service workers	11
Central West	Rental hiring and real estate services	Labourers	51
Central West	Rental hiring and real estate services	Machinery operators and drivers	63
Central West	Rental hiring and real estate services	Managers	97
Central West	Rental hiring and real estate services	Professionals	58
Central West	Rental hiring and real estate services	Sales workers	414
Central West	Rental hiring and real estate services	Technicians and trades workers	44
Central West	Retail trade		55
Central West	Retail trade	Clerical and administrative workers	480
Central West	Retail trade	Community and personal service workers	71
Central West	Retail trade	Labourers	796
Central West	Retail trade	Machinery operators and drivers	184
Central West	Retail trade	Managers	1239
Central West	Retail trade	Professionals	222
Central West	Retail trade	Sales workers	4806
Central West	Retail trade	Technicians and trades workers	630
Central West	Transport postal and warehousing		18
Central West	Transport postal and warehousing	Clerical and administrative workers	635
Central West	Transport postal and warehousing	Community and personal service workers	38
Central West	Transport postal and warehousing	Labourers	128
Central West	Transport postal and warehousing	Machinery operators and drivers	1553
Central West	Transport postal and warehousing	Managers	310
Central West	Transport postal and warehousing	Professionals	62
Central West	Transport postal and warehousing	Sales workers	112
Central West	Transport postal and warehousing	Technicians and trades workers	118
Central West	Wholesale trade		13
Central West	Wholesale trade	Clerical and administrative workers	245
Central West	Wholesale trade	Community and personal service workers	9
Central West	Wholesale trade	Labourers	170
Central West	Wholesale trade	Machinery operators and drivers	231
Central West	Wholesale trade	Managers	270
Central West	Wholesale trade	Professionals	128
Central West	Wholesale trade	Sales workers	474
Central West	Wholesale trade	Technicians and trades workers	200
Coffs Harbour - Grafton		Clerical and administrative workers	210
Coffs Harbour - Grafton		Community and personal service workers	108
Coffs Harbour - Grafton		Labourers	256
Coffs Harbour - Grafton		Machinery operators and drivers	152
Coffs Harbour - Grafton		Managers	171
Coffs Harbour - Grafton		Professionals	119
Coffs Harbour - Grafton		Sales workers	118
Coffs Harbour - Grafton		Technicians and trades workers	262
Coffs Harbour - Grafton	Accommodation and food services		40
Coffs Harbour - Grafton	Accommodation and food services	Clerical and administrative workers	240
Coffs Harbour - Grafton	Accommodation and food services	Community and personal service workers	1305
Coffs Harbour - Grafton	Accommodation and food services	Labourers	1077
Coffs Harbour - Grafton	Accommodation and food services	Machinery operators and drivers	69
Coffs Harbour - Grafton	Accommodation and food services	Managers	825
Coffs Harbour - Grafton	Accommodation and food services	Professionals	43
Coffs Harbour - Grafton	Accommodation and food services	Sales workers	521
Coffs Harbour - Grafton	Accommodation and food services	Technicians and trades workers	657
Coffs Harbour - Grafton	Administrative and support services		11
Coffs Harbour - Grafton	Administrative and support services	Clerical and administrative workers	186
Coffs Harbour - Grafton	Administrative and support services	Community and personal service workers	135
Coffs Harbour - Grafton	Administrative and support services	Labourers	672
Coffs Harbour - Grafton	Administrative and support services	Machinery operators and drivers	28
Coffs Harbour - Grafton	Administrative and support services	Managers	101
Coffs Harbour - Grafton	Administrative and support services	Professionals	166
Coffs Harbour - Grafton	Administrative and support services	Sales workers	27
Coffs Harbour - Grafton	Administrative and support services	Technicians and trades workers	100
Coffs Harbour - Grafton	Agriculture forestry and fishing	Clerical and administrative workers	112
Coffs Harbour - Grafton	Agriculture forestry and fishing	Community and personal service workers	12
Coffs Harbour - Grafton	Agriculture forestry and fishing	Labourers	1023
Coffs Harbour - Grafton	Agriculture forestry and fishing	Machinery operators and drivers	128
Coffs Harbour - Grafton	Agriculture forestry and fishing	Managers	1339
Coffs Harbour - Grafton	Agriculture forestry and fishing	Professionals	80
Coffs Harbour - Grafton	Agriculture forestry and fishing	Sales workers	53
Coffs Harbour - Grafton	Agriculture forestry and fishing	Technicians and trades workers	118
Coffs Harbour - Grafton	Arts and recreation services		12
Coffs Harbour - Grafton	Arts and recreation services	Clerical and administrative workers	61
Coffs Harbour - Grafton	Arts and recreation services	Community and personal service workers	193
Coffs Harbour - Grafton	Arts and recreation services	Labourers	59
Coffs Harbour - Grafton	Arts and recreation services	Machinery operators and drivers	10
Coffs Harbour - Grafton	Arts and recreation services	Managers	97
Coffs Harbour - Grafton	Arts and recreation services	Professionals	115
Coffs Harbour - Grafton	Arts and recreation services	Sales workers	31
Coffs Harbour - Grafton	Arts and recreation services	Technicians and trades workers	106
Coffs Harbour - Grafton	Construction		30
Coffs Harbour - Grafton	Construction	Clerical and administrative workers	437
Coffs Harbour - Grafton	Construction	Community and personal service workers	7
Coffs Harbour - Grafton	Construction	Labourers	571
Coffs Harbour - Grafton	Construction	Machinery operators and drivers	476
Coffs Harbour - Grafton	Construction	Managers	444
Coffs Harbour - Grafton	Construction	Professionals	185
Coffs Harbour - Grafton	Construction	Sales workers	57
Coffs Harbour - Grafton	Construction	Technicians and trades workers	1405
Coffs Harbour - Grafton	Education and training		16
Coffs Harbour - Grafton	Education and training	Clerical and administrative workers	451
Coffs Harbour - Grafton	Education and training	Community and personal service workers	825
Coffs Harbour - Grafton	Education and training	Labourers	91
Coffs Harbour - Grafton	Education and training	Machinery operators and drivers	11
Coffs Harbour - Grafton	Education and training	Managers	313
Coffs Harbour - Grafton	Education and training	Professionals	2608
Coffs Harbour - Grafton	Education and training	Sales workers	17
Coffs Harbour - Grafton	Education and training	Technicians and trades workers	84
Coffs Harbour - Grafton	Electricity gas water and waste services		8
Coffs Harbour - Grafton	Electricity gas water and waste services	Clerical and administrative workers	61
Coffs Harbour - Grafton	Electricity gas water and waste services	Labourers	45
Coffs Harbour - Grafton	Electricity gas water and waste services	Machinery operators and drivers	112
Coffs Harbour - Grafton	Electricity gas water and waste services	Managers	34
Coffs Harbour - Grafton	Electricity gas water and waste services	Professionals	36
Coffs Harbour - Grafton	Electricity gas water and waste services	Sales workers	8
Coffs Harbour - Grafton	Electricity gas water and waste services	Technicians and trades workers	121
Coffs Harbour - Grafton	Financial and insurance services		10
Coffs Harbour - Grafton	Financial and insurance services	Clerical and administrative workers	389
