SA4_NAME16	EmploymentStatus	IncomeTotPersonal.max	workers
Capital Region	Contributing family workers	0	380
Capital Region	Contributing family workers	7875	209
Capital Region	Contributing family workers	15750	312
Capital Region	Contributing family workers	21000	238
Capital Region	Contributing family workers	26250	254
Capital Region	Contributing family workers	34125	271
Capital Region	Contributing family workers	42000	211
Capital Region	Contributing family workers	52500	170
Capital Region	Contributing family workers	65625	163
Capital Region	Contributing family workers	78750	92
Capital Region	Contributing family workers	91875	84
Capital Region	Contributing family workers	105000	54
Capital Region	Contributing family workers	157500	81
Capital Region	Contributing family workers	Inf	76
Capital Region	Employee	0	215
Capital Region	Employee	7875	2522
Capital Region	Employee	15750	2175
Capital Region	Employee	21000	2633
Capital Region	Employee	26250	3623
Capital Region	Employee	34125	6050
Capital Region	Employee	42000	7585
Capital Region	Employee	52500	8286
Capital Region	Employee	65625	7374
Capital Region	Employee	78750	4592
Capital Region	Employee	91875	3469
Capital Region	Employee	105000	2696
Capital Region	Employee	157500	2947
Capital Region	Employee	Inf	812
Capital Region	Owner managers of incorporated enterprises	0	38
Capital Region	Owner managers of incorporated enterprises	7875	47
Capital Region	Owner managers of incorporated enterprises	15750	129
Capital Region	Owner managers of incorporated enterprises	21000	205
Capital Region	Owner managers of incorporated enterprises	26250	205
Capital Region	Owner managers of incorporated enterprises	34125	448
Capital Region	Owner managers of incorporated enterprises	42000	500
Capital Region	Owner managers of incorporated enterprises	52500	617
Capital Region	Owner managers of incorporated enterprises	65625	747
Capital Region	Owner managers of incorporated enterprises	78750	548
Capital Region	Owner managers of incorporated enterprises	91875	591
Capital Region	Owner managers of incorporated enterprises	105000	283
Capital Region	Owner managers of incorporated enterprises	157500	449
Capital Region	Owner managers of incorporated enterprises	Inf	468
Capital Region	Owner managers of unincorporated enterprises	0	112
Capital Region	Owner managers of unincorporated enterprises	7875	232
Capital Region	Owner managers of unincorporated enterprises	15750	523
Capital Region	Owner managers of unincorporated enterprises	21000	608
Capital Region	Owner managers of unincorporated enterprises	26250	739
Capital Region	Owner managers of unincorporated enterprises	34125	1038
Capital Region	Owner managers of unincorporated enterprises	42000	980
Capital Region	Owner managers of unincorporated enterprises	52500	1010
Capital Region	Owner managers of unincorporated enterprises	65625	911
Capital Region	Owner managers of unincorporated enterprises	78750	620
Capital Region	Owner managers of unincorporated enterprises	91875	442
Capital Region	Owner managers of unincorporated enterprises	105000	258
Capital Region	Owner managers of unincorporated enterprises	157500	350
Capital Region	Owner managers of unincorporated enterprises	Inf	375
Capital Region	Status in employment not stated	0	27
Capital Region	Status in employment not stated	7875	59
Capital Region	Status in employment not stated	15750	72
Capital Region	Status in employment not stated	21000	87
Capital Region	Status in employment not stated	26250	88
Capital Region	Status in employment not stated	34125	106
Capital Region	Status in employment not stated	42000	85
Capital Region	Status in employment not stated	52500	127
Capital Region	Status in employment not stated	65625	91
Capital Region	Status in employment not stated	78750	49
Capital Region	Status in employment not stated	91875	38
Capital Region	Status in employment not stated	105000	21
Capital Region	Status in employment not stated	157500	34
Capital Region	Status in employment not stated	Inf	32
Central Coast	Contributing family workers	0	276
Central Coast	Contributing family workers	7875	135
Central Coast	Contributing family workers	15750	153
Central Coast	Contributing family workers	21000	177
Central Coast	Contributing family workers	26250	131
Central Coast	Contributing family workers	34125	160
Central Coast	Contributing family workers	42000	94
Central Coast	Contributing family workers	52500	99
Central Coast	Contributing family workers	65625	78
Central Coast	Contributing family workers	78750	41
Central Coast	Contributing family workers	91875	32
Central Coast	Contributing family workers	105000	24
Central Coast	Contributing family workers	157500	31
Central Coast	Contributing family workers	Inf	28
Central Coast	Employee	0	313
Central Coast	Employee	7875	4380
Central Coast	Employee	15750	4088
Central Coast	Employee	21000	4317
Central Coast	Employee	26250	5454
Central Coast	Employee	34125	8996
Central Coast	Employee	42000	11195
Central Coast	Employee	52500	12544
Central Coast	Employee	65625	11111
Central Coast	Employee	78750	6964
Central Coast	Employee	91875	5659
Central Coast	Employee	105000	4146
Central Coast	Employee	157500	4236
Central Coast	Employee	Inf	1356
Central Coast	Owner managers of incorporated enterprises	0	46
Central Coast	Owner managers of incorporated enterprises	7875	62
Central Coast	Owner managers of incorporated enterprises	15750	137
Central Coast	Owner managers of incorporated enterprises	21000	280
Central Coast	Owner managers of incorporated enterprises	26250	308
Central Coast	Owner managers of incorporated enterprises	34125	510
Central Coast	Owner managers of incorporated enterprises	42000	657
Central Coast	Owner managers of incorporated enterprises	52500	787
Central Coast	Owner managers of incorporated enterprises	65625	1042
Central Coast	Owner managers of incorporated enterprises	78750	732
Central Coast	Owner managers of incorporated enterprises	91875	725
Central Coast	Owner managers of incorporated enterprises	105000	412
Central Coast	Owner managers of incorporated enterprises	157500	783
Central Coast	Owner managers of incorporated enterprises	Inf	705
Central Coast	Owner managers of unincorporated enterprises	0	82
Central Coast	Owner managers of unincorporated enterprises	7875	305
Central Coast	Owner managers of unincorporated enterprises	15750	556
Central Coast	Owner managers of unincorporated enterprises	21000	677
Central Coast	Owner managers of unincorporated enterprises	26250	756
Central Coast	Owner managers of unincorporated enterprises	34125	1040
Central Coast	Owner managers of unincorporated enterprises	42000	957
Central Coast	Owner managers of unincorporated enterprises	52500	1045
Central Coast	Owner managers of unincorporated enterprises	65625	1057
Central Coast	Owner managers of unincorporated enterprises	78750	621
Central Coast	Owner managers of unincorporated enterprises	91875	490
Central Coast	Owner managers of unincorporated enterprises	105000	295
Central Coast	Owner managers of unincorporated enterprises	157500	384
Central Coast	Owner managers of unincorporated enterprises	Inf	363
Central Coast	Status in employment not stated	0	28
Central Coast	Status in employment not stated	7875	58
Central Coast	Status in employment not stated	15750	74
Central Coast	Status in employment not stated	21000	89
Central Coast	Status in employment not stated	26250	99
Central Coast	Status in employment not stated	34125	117
Central Coast	Status in employment not stated	42000	145
Central Coast	Status in employment not stated	52500	112
Central Coast	Status in employment not stated	65625	95
Central Coast	Status in employment not stated	78750	54
Central Coast	Status in employment not stated	91875	40
Central Coast	Status in employment not stated	105000	29
Central Coast	Status in employment not stated	157500	37
Central Coast	Status in employment not stated	Inf	24
Central West	Contributing family workers	0	487
Central West	Contributing family workers	7875	209
Central West	Contributing family workers	15750	304
Central West	Contributing family workers	21000	299
Central West	Contributing family workers	26250	284
Central West	Contributing family workers	34125	306
Central West	Contributing family workers	42000	253
Central West	Contributing family workers	52500	214
Central West	Contributing family workers	65625	166
Central West	Contributing family workers	78750	84
Central West	Contributing family workers	91875	88
Central West	Contributing family workers	105000	46
Central West	Contributing family workers	157500	50
Central West	Contributing family workers	Inf	87
Central West	Employee	0	227
Central West	Employee	7875	2497
Central West	Employee	15750	2416
Central West	Employee	21000	2896
Central West	Employee	26250	3774
Central West	Employee	34125	6223
Central West	Employee	42000	8081
Central West	Employee	52500	8834
Central West	Employee	65625	8327
Central West	Employee	78750	5735
Central West	Employee	91875	4937
Central West	Employee	105000	3951
Central West	Employee	157500	5380
Central West	Employee	Inf	1585
Central West	Owner managers of incorporated enterprises	0	28
Central West	Owner managers of incorporated enterprises	7875	30
Central West	Owner managers of incorporated enterprises	15750	107
Central West	Owner managers of incorporated enterprises	21000	172
Central West	Owner managers of incorporated enterprises	26250	198
Central West	Owner managers of incorporated enterprises	34125	336
Central West	Owner managers of incorporated enterprises	42000	411
Central West	Owner managers of incorporated enterprises	52500	557
Central West	Owner managers of incorporated enterprises	65625	690
Central West	Owner managers of incorporated enterprises	78750	461
Central West	Owner managers of incorporated enterprises	91875	468
Central West	Owner managers of incorporated enterprises	105000	248
Central West	Owner managers of incorporated enterprises	157500	415
Central West	Owner managers of incorporated enterprises	Inf	462
Central West	Owner managers of unincorporated enterprises	0	163
Central West	Owner managers of unincorporated enterprises	7875	189
Central West	Owner managers of unincorporated enterprises	15750	529
Central West	Owner managers of unincorporated enterprises	21000	593
Central West	Owner managers of unincorporated enterprises	26250	665
Central West	Owner managers of unincorporated enterprises	34125	1036
Central West	Owner managers of unincorporated enterprises	42000	935
Central West	Owner managers of unincorporated enterprises	52500	1000
Central West	Owner managers of unincorporated enterprises	65625	956
Central West	Owner managers of unincorporated enterprises	78750	591
Central West	Owner managers of unincorporated enterprises	91875	493
Central West	Owner managers of unincorporated enterprises	105000	278
Central West	Owner managers of unincorporated enterprises	157500	425
Central West	Owner managers of unincorporated enterprises	Inf	445
Central West	Status in employment not stated	0	22
Central West	Status in employment not stated	7875	60
Central West	Status in employment not stated	15750	74
Central West	Status in employment not stated	21000	95
Central West	Status in employment not stated	26250	117
Central West	Status in employment not stated	34125	148
Central West	Status in employment not stated	42000	123
Central West	Status in employment not stated	52500	118
Central West	Status in employment not stated	65625	121
