SA4_NAME16	Occupation	OccupationSubtype	Sex	workers
Capital Region			F	491
Capital Region			M	711
Capital Region	Clerical and administrative workers	Clerical and administrative workers nfd	F	9
Capital Region	Clerical and administrative workers	Clerical and administrative workers nfd	M	12
Capital Region	Clerical and administrative workers	Clerical and office support workers	F	251
Capital Region	Clerical and administrative workers	Clerical and office support workers	M	307
Capital Region	Clerical and administrative workers	General clerical workers	F	1617
Capital Region	Clerical and administrative workers	General clerical workers	M	208
Capital Region	Clerical and administrative workers	Inquiry clerks and receptionists	F	1420
Capital Region	Clerical and administrative workers	Inquiry clerks and receptionists	M	176
Capital Region	Clerical and administrative workers	Numerical clerks	F	1542
Capital Region	Clerical and administrative workers	Numerical clerks	M	181
Capital Region	Clerical and administrative workers	Office managers and program administrators	F	1212
Capital Region	Clerical and administrative workers	Office managers and program administrators	M	265
Capital Region	Clerical and administrative workers	Other clerical and administrative workers	F	548
Capital Region	Clerical and administrative workers	Other clerical and administrative workers	M	384
Capital Region	Clerical and administrative workers	Personal assistants and secretaries	F	526
Capital Region	Clerical and administrative workers	Personal assistants and secretaries	M	16
Capital Region	Community and personal service workers	Carers and aides	F	3255
Capital Region	Community and personal service workers	Carers and aides	M	518
Capital Region	Community and personal service workers	Community and personal service workers nfd	F	3
Capital Region	Community and personal service workers	Health and welfare support workers	F	734
Capital Region	Community and personal service workers	Health and welfare support workers	M	269
Capital Region	Community and personal service workers	Hospitality workers	F	1714
Capital Region	Community and personal service workers	Hospitality workers	M	582
Capital Region	Community and personal service workers	Protective service workers	F	247
Capital Region	Community and personal service workers	Protective service workers	M	975
Capital Region	Community and personal service workers	Sports and personal service workers	F	707
Capital Region	Community and personal service workers	Sports and personal service workers	M	472
Capital Region	Labourers	Cleaners and laundry workers	F	1454
Capital Region	Labourers	Cleaners and laundry workers	M	760
Capital Region	Labourers	Construction and mining labourers	F	19
Capital Region	Labourers	Construction and mining labourers	M	1005
Capital Region	Labourers	Factory process workers	F	316
Capital Region	Labourers	Factory process workers	M	812
Capital Region	Labourers	Farm forestry and garden workers	F	360
Capital Region	Labourers	Farm forestry and garden workers	M	1093
Capital Region	Labourers	Food preparation assistants	F	570
Capital Region	Labourers	Food preparation assistants	M	639
Capital Region	Labourers	Labourers nfd	F	34
Capital Region	Labourers	Labourers nfd	M	189
Capital Region	Labourers	Other labourers	F	270
Capital Region	Labourers	Other labourers	M	1081
Capital Region	Machinery operators and drivers	Machine and stationary plant operators	F	148
Capital Region	Machinery operators and drivers	Machine and stationary plant operators	M	861
Capital Region	Machinery operators and drivers	Machinery operators and drivers nfd	F	3
Capital Region	Machinery operators and drivers	Machinery operators and drivers nfd	M	124
Capital Region	Machinery operators and drivers	Mobile plant operators	F	40
Capital Region	Machinery operators and drivers	Mobile plant operators	M	851
Capital Region	Machinery operators and drivers	Road and rail drivers	F	132
Capital Region	Machinery operators and drivers	Road and rail drivers	M	2122
Capital Region	Machinery operators and drivers	Storepersons	F	81
Capital Region	Machinery operators and drivers	Storepersons	M	299
Capital Region	Managers	Chief executives general managers and legislators	F	148
Capital Region	Managers	Chief executives general managers and legislators	M	393
Capital Region	Managers	Farmers and farm managers	F	1146
Capital Region	Managers	Farmers and farm managers	M	2863
Capital Region	Managers	Hospitality retail and service managers	F	1829
Capital Region	Managers	Hospitality retail and service managers	M	1925
Capital Region	Managers	Managers nfd	F	44
Capital Region	Managers	Managers nfd	M	132
Capital Region	Managers	Specialist managers	F	1060
Capital Region	Managers	Specialist managers	M	2108
Capital Region	Professionals	Arts and media professionals	F	221
Capital Region	Professionals	Arts and media professionals	M	181
Capital Region	Professionals	Business human resource and marketing professionals	F	873
Capital Region	Professionals	Business human resource and marketing professionals	M	717
Capital Region	Professionals	Design engineering science and transport professionals	F	421
Capital Region	Professionals	Design engineering science and transport professionals	M	933
Capital Region	Professionals	Education professionals	F	2479
Capital Region	Professionals	Education professionals	M	854
Capital Region	Professionals	Health professionals	F	2386
Capital Region	Professionals	Health professionals	M	666
Capital Region	Professionals	Information and Communication Technology ICT professionals	F	57
Capital Region	Professionals	Information and Communication Technology ICT professionals	M	254
Capital Region	Professionals	Legal social and welfare professionals	F	614
Capital Region	Professionals	Legal social and welfare professionals	M	312
Capital Region	Professionals	Professionals nfd	F	36
Capital Region	Professionals	Professionals nfd	M	31
Capital Region	Sales workers	Sales assistants and salespersons	F	3524
Capital Region	Sales workers	Sales assistants and salespersons	M	2026
Capital Region	Sales workers	Sales representatives and agents	F	528
Capital Region	Sales workers	Sales representatives and agents	M	506
Capital Region	Sales workers	Sales support workers	F	711
Capital Region	Sales workers	Sales support workers	M	264
Capital Region	Sales workers	Sales workers nfd	F	3
Capital Region	Sales workers	Sales workers nfd	M	3
Capital Region	Technicians and trades workers	Automotive and engineering trades workers	F	39
Capital Region	Technicians and trades workers	Automotive and engineering trades workers	M	2215
Capital Region	Technicians and trades workers	Construction trades workers	F	24
Capital Region	Technicians and trades workers	Construction trades workers	M	2041
Capital Region	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	17
Capital Region	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	1088
Capital Region	Technicians and trades workers	Engineering ICT and science technicians	F	258
Capital Region	Technicians and trades workers	Engineering ICT and science technicians	M	689
Capital Region	Technicians and trades workers	Food trades workers	F	528
Capital Region	Technicians and trades workers	Food trades workers	M	961
Capital Region	Technicians and trades workers	Other technicians and trades workers	F	543
Capital Region	Technicians and trades workers	Other technicians and trades workers	M	710
Capital Region	Technicians and trades workers	Skilled animal and horticultural workers	F	334
Capital Region	Technicians and trades workers	Skilled animal and horticultural workers	M	807
Capital Region	Technicians and trades workers	Technicians and trades workers nfd	F	6
Capital Region	Technicians and trades workers	Technicians and trades workers nfd	M	96
Central Coast			F	748
Central Coast			M	928
Central Coast	Clerical and administrative workers	Clerical and administrative workers nfd	F	25
Central Coast	Clerical and administrative workers	Clerical and administrative workers nfd	M	7
Central Coast	Clerical and administrative workers	Clerical and office support workers	F	306
Central Coast	Clerical and administrative workers	Clerical and office support workers	M	387
Central Coast	Clerical and administrative workers	General clerical workers	F	2548
Central Coast	Clerical and administrative workers	General clerical workers	M	258
Central Coast	Clerical and administrative workers	Inquiry clerks and receptionists	F	2851
Central Coast	Clerical and administrative workers	Inquiry clerks and receptionists	M	281
Central Coast	Clerical and administrative workers	Numerical clerks	F	2525
Central Coast	Clerical and administrative workers	Numerical clerks	M	371
Central Coast	Clerical and administrative workers	Office managers and program administrators	F	1855
Central Coast	Clerical and administrative workers	Office managers and program administrators	M	381
Central Coast	Clerical and administrative workers	Other clerical and administrative workers	F	851
Central Coast	Clerical and administrative workers	Other clerical and administrative workers	M	634
Central Coast	Clerical and administrative workers	Personal assistants and secretaries	F	1040
Central Coast	Clerical and administrative workers	Personal assistants and secretaries	M	9
Central Coast	Community and personal service workers	Carers and aides	F	5259
Central Coast	Community and personal service workers	Carers and aides	M	875
Central Coast	Community and personal service workers	Community and personal service workers nfd	F	4
Central Coast	Community and personal service workers	Health and welfare support workers	F	1201
Central Coast	Community and personal service workers	Health and welfare support workers	M	530
Central Coast	Community and personal service workers	Hospitality workers	F	2448
Central Coast	Community and personal service workers	Hospitality workers	M	727
Central Coast	Community and personal service workers	Protective service workers	F	246
Central Coast	Community and personal service workers	Protective service workers	M	812
Central Coast	Community and personal service workers	Sports and personal service workers	F	1152
Central Coast	Community and personal service workers	Sports and personal service workers	M	589
Central Coast	Labourers	Cleaners and laundry workers	F	1430
Central Coast	Labourers	Cleaners and laundry workers	M	1039
Central Coast	Labourers	Construction and mining labourers	F	22
Central Coast	Labourers	Construction and mining labourers	M	1393
Central Coast	Labourers	Factory process workers	F	663
Central Coast	Labourers	Factory process workers	M	1120
Central Coast	Labourers	Farm forestry and garden workers	F	200
Central Coast	Labourers	Farm forestry and garden workers	M	495
Central Coast	Labourers	Food preparation assistants	F	1004
Central Coast	Labourers	Food preparation assistants	M	1068
Central Coast	Labourers	Labourers nfd	F	23
Central Coast	Labourers	Labourers nfd	M	200
Central Coast	Labourers	Other labourers	F	571
Central Coast	Labourers	Other labourers	M	1385
Central Coast	Machinery operators and drivers	Machine and stationary plant operators	F	177
Central Coast	Machinery operators and drivers	Machine and stationary plant operators	M	886
Central Coast	Machinery operators and drivers	Machinery operators and drivers nfd	F	9
Central Coast	Machinery operators and drivers	Machinery operators and drivers nfd	M	111
Central Coast	Machinery operators and drivers	Mobile plant operators	F	40
Central Coast	Machinery operators and drivers	Mobile plant operators	M	849
Central Coast	Machinery operators and drivers	Road and rail drivers	F	192
Central Coast	Machinery operators and drivers	Road and rail drivers	M	2589
Central Coast	Machinery operators and drivers	Storepersons	F	305
Central Coast	Machinery operators and drivers	Storepersons	M	870
Central Coast	Managers	Chief executives general managers and legislators	F	209
Central Coast	Managers	Chief executives general managers and legislators	M	590
Central Coast	Managers	Farmers and farm managers	F	137
Central Coast	Managers	Farmers and farm managers	M	282
Central Coast	Managers	Hospitality retail and service managers	F	2377
Central Coast	Managers	Hospitality retail and service managers	M	2234
Central Coast	Managers	Managers nfd	F	99
Central Coast	Managers	Managers nfd	M	161
Central Coast	Managers	Specialist managers	F	1755
Central Coast	Managers	Specialist managers	M	3196
Central Coast	Professionals	Arts and media professionals	F	312
Central Coast	Professionals	Arts and media professionals	M	353
Central Coast	Professionals	Business human resource and marketing professionals	F	1619
Central Coast	Professionals	Business human resource and marketing professionals	M	1434
Central Coast	Professionals	Design engineering science and transport professionals	F	622
Central Coast	Professionals	Design engineering science and transport professionals	M	1203
Central Coast	Professionals	Education professionals	F	4157
Central Coast	Professionals	Education professionals	M	1482
Central Coast	Professionals	Health professionals	F	5153
Central Coast	Professionals	Health professionals	M	1721
Central Coast	Professionals	Information and Communication Technology ICT professionals	F	110
Central Coast	Professionals	Information and Communication Technology ICT professionals	M	601
Central Coast	Professionals	Legal social and welfare professionals	F	1124
Central Coast	Professionals	Legal social and welfare professionals	M	517
Central Coast	Professionals	Professionals nfd	F	64
Central Coast	Professionals	Professionals nfd	M	51
Central Coast	Sales workers	Sales assistants and salespersons	F	6209
Central Coast	Sales workers	Sales assistants and salespersons	M	2949
Central Coast	Sales workers	Sales representatives and agents	F	903
Central Coast	Sales workers	Sales representatives and agents	M	941
Central Coast	Sales workers	Sales support workers	F	1346
Central Coast	Sales workers	Sales support workers	M	389
Central Coast	Sales workers	Sales workers nfd	F	17
Central Coast	Sales workers	Sales workers nfd	M	5
Central Coast	Technicians and trades workers	Automotive and engineering trades workers	F	46
Central Coast	Technicians and trades workers	Automotive and engineering trades workers	M	2534
Central Coast	Technicians and trades workers	Construction trades workers	F	49
Central Coast	Technicians and trades workers	Construction trades workers	M	3002
Central Coast	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	24
Central Coast	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	1488
Central Coast	Technicians and trades workers	Engineering ICT and science technicians	F	570
Central Coast	Technicians and trades workers	Engineering ICT and science technicians	M	1155
Central Coast	Technicians and trades workers	Food trades workers	F	574
Central Coast	Technicians and trades workers	Food trades workers	M	1202
Central Coast	Technicians and trades workers	Other technicians and trades workers	F	980
Central Coast	Technicians and trades workers	Other technicians and trades workers	M	833
Central Coast	Technicians and trades workers	Skilled animal and horticultural workers	F	466
