SA4_NAME16	Sex	workers
Capital Region	F	35539
Capital Region	M	37702
Central Coast	F	56630
Central Coast	M	48103
Central West	F	40144
Central West	M	43056
Coffs Harbour - Grafton	F	25067
Coffs Harbour - Grafton	M	23774
Far West and Orana	F	22266
Far West and Orana	M	23632
Hunter Valley exc Newcastle	F	45486
Hunter Valley exc Newcastle	M	54612
Illawarra	F	52747
Illawarra	M	49280
Mid North Coast	F	35213
Mid North Coast	M	33144
Murray	F	24281
Murray	M	24865
New England and North West	F	35683
New England and North West	M	38005
Newcastle and Lake Macquarie	F	80164
Newcastle and Lake Macquarie	M	75421
Richmond - Tweed	F	44471
Richmond - Tweed	M	41310
Riverina	F	32345
Riverina	M	35655
Southern Highlands and Shoalhaven	F	26316
Southern Highlands and Shoalhaven	M	25250
Sydney - Baulkham Hills and Hawkesbury	F	40737
Sydney - Baulkham Hills and Hawkesbury	M	39740
Sydney - Blacktown	F	45639
Sydney - Blacktown	M	60756
Sydney - City and Inner South	F	264329
Sydney - City and Inner South	M	314013
Sydney - Eastern Suburbs	F	48989
Sydney - Eastern Suburbs	M	42874
Sydney - Inner South West	F	70299
Sydney - Inner South West	M	78336
Sydney - Inner West	F	52524
Sydney - Inner West	M	54706
Sydney - North Sydney and Hornsby	F	105036
Sydney - North Sydney and Hornsby	M	108598
Sydney - Northern Beaches	F	44253
Sydney - Northern Beaches	M	43978
Sydney - Outer South West	F	38100
Sydney - Outer South West	M	40555
Sydney - Outer West and Blue Mountains	F	51834
Sydney - Outer West and Blue Mountains	M	50424
Sydney - Parramatta	F	98550
Sydney - Parramatta	M	119810
Sydney - Ryde	F	47554
Sydney - Ryde	M	52046
Sydney - South West	F	57157
Sydney - South West	M	67328
Sydney - Sutherland	F	34890
Sydney - Sutherland	M	31489
Migratory - Offshore - Shipping (NSW)	F	12
Migratory - Offshore - Shipping (NSW)	M	78
No usual address (NSW)	F	34122
No usual address (NSW)	M	109242
Ballarat	F	30750
Ballarat	M	29111
Bendigo	F	30497
Bendigo	M	29903
Geelong	F	55920
Geelong	M	51549
Hume	F	33064
Hume	M	35455
Latrobe - Gippsland	F	50200
Latrobe - Gippsland	M	49991
Melbourne - Inner	F	327510
Melbourne - Inner	M	358957
Melbourne - Inner East	F	77211
Melbourne - Inner East	M	65113
Melbourne - Inner South	F	78002
Melbourne - Inner South	M	74571
Melbourne - North East	F	74502
Melbourne - North East	M	68703
Melbourne - North West	F	56593
Melbourne - North West	M	81837
Melbourne - Outer East	F	85170
Melbourne - Outer East	M	87992
Melbourne - South East	F	135786
Melbourne - South East	M	163386
Melbourne - West	F	99425
Melbourne - West	M	119030
Mornington Peninsula	F	49390
Mornington Peninsula	M	43005
North West	F	29745
North West	M	31650
Shepparton	F	26368
Shepparton	M	27441
Warrnambool and South West	F	25822
Warrnambool and South West	M	27507
Migratory - Offshore - Shipping (Vic.)	F	12
Migratory - Offshore - Shipping (Vic.)	M	144
No usual address (Vic.)	F	28505
No usual address (Vic.)	M	90529
Brisbane - East	F	37924
Brisbane - East	M	42623
Brisbane - North	F	50512
Brisbane - North	M	61994
Brisbane - South	F	74277
Brisbane - South	M	81440
Brisbane - West	F	31339
Brisbane - West	M	28308
Brisbane Inner City	F	157955
Brisbane Inner City	M	154104
Cairns	F	51057
Cairns	M	48238
Darling Downs - Maranoa	F	24267
Darling Downs - Maranoa	M	31680
Central Queensland	F	44565
Central Queensland	M	52001
Gold Coast	F	121810
Gold Coast	M	117454
Ipswich	F	50160
Ipswich	M	57743
Logan - Beaudesert	F	47566
Logan - Beaudesert	M	46683
Mackay - Isaac - Whitsunday	F	35409
Mackay - Isaac - Whitsunday	M	45433
Moreton Bay - North	F	34944
Moreton Bay - North	M	30299
Moreton Bay - South	F	25668
Moreton Bay - South	M	24358
Queensland - Outback	F	15832
Queensland - Outback	M	20941
Sunshine Coast	F	69899
Sunshine Coast	M	61082
Toowoomba	F	32964
Toowoomba	M	31102
Townsville	F	49355
Townsville	M	48915
Wide Bay	F	47154
Wide Bay	M	44757
Migratory - Offshore - Shipping (Qld)	F	26
Migratory - Offshore - Shipping (Qld)	M	175
No usual address (Qld)	F	24039
No usual address (Qld)	M	74802
Adelaide - Central and Hills	F	117663
Adelaide - Central and Hills	M	97016
Adelaide - North	F	57891
Adelaide - North	M	66230
