SA4_NAME16	IncomeTotPersonal.max	PublicSector	LevelOfGovt	workers
Far West and Orana	52500	0		5111
Far West and Orana	52500	1	Local	309
Far West and Orana	52500	1	National	51
Far West and Orana	52500	1	State territory	649
Far West and Orana	65625			38
Far West and Orana	65625	0		4476
Far West and Orana	65625	1	Local	401
Far West and Orana	65625	1	National	80
Far West and Orana	65625	1	State territory	981
Far West and Orana	78750			27
Far West and Orana	78750	0		2634
Far West and Orana	78750	1	Local	251
Far West and Orana	78750	1	National	97
Far West and Orana	78750	1	State territory	832
Far West and Orana	91875			21
Far West and Orana	91875	0		2147
Far West and Orana	91875	1	Local	163
Far West and Orana	91875	1	National	80
Far West and Orana	91875	1	State territory	901
Far West and Orana	105000			10
Far West and Orana	105000	0		1524
Far West and Orana	105000	1	Local	132
Far West and Orana	105000	1	National	35
Far West and Orana	105000	1	State territory	870
Far West and Orana	157500			7
Far West and Orana	157500	0		2022
Far West and Orana	157500	1	Local	107
Far West and Orana	157500	1	National	46
Far West and Orana	157500	1	State territory	914
Far West and Orana	Inf			12
Far West and Orana	Inf	0		1025
Far West and Orana	Inf	1	Local	38
Far West and Orana	Inf	1	National	12
Far West and Orana	Inf	1	State territory	143
Hunter Valley exc Newcastle				195
Hunter Valley exc Newcastle		0		1330
Hunter Valley exc Newcastle		1	Local	18
Hunter Valley exc Newcastle		1	National	32
Hunter Valley exc Newcastle		1	State territory	80
Hunter Valley exc Newcastle	0			51
Hunter Valley exc Newcastle	0	0		728
Hunter Valley exc Newcastle	0	1	Local	3
Hunter Valley exc Newcastle	0	1	National	11
Hunter Valley exc Newcastle	0	1	State territory	11
Hunter Valley exc Newcastle	7875			33
Hunter Valley exc Newcastle	7875	0		3897
Hunter Valley exc Newcastle	7875	1	Local	16
Hunter Valley exc Newcastle	7875	1	National	19
Hunter Valley exc Newcastle	7875	1	State territory	63
Hunter Valley exc Newcastle	15750			60
Hunter Valley exc Newcastle	15750	0		3953
Hunter Valley exc Newcastle	15750	1	Local	19
Hunter Valley exc Newcastle	15750	1	National	27
Hunter Valley exc Newcastle	15750	1	State territory	129
Hunter Valley exc Newcastle	21000			69
Hunter Valley exc Newcastle	21000	0		4502
Hunter Valley exc Newcastle	21000	1	Local	35
Hunter Valley exc Newcastle	21000	1	National	35
Hunter Valley exc Newcastle	21000	1	State territory	177
Hunter Valley exc Newcastle	26250			98
Hunter Valley exc Newcastle	26250	0		5174
Hunter Valley exc Newcastle	26250	1	Local	49
Hunter Valley exc Newcastle	26250	1	National	34
Hunter Valley exc Newcastle	26250	1	State territory	250
Hunter Valley exc Newcastle	34125			105
Hunter Valley exc Newcastle	34125	0		8139
Hunter Valley exc Newcastle	34125	1	Local	94
Hunter Valley exc Newcastle	34125	1	National	117
Hunter Valley exc Newcastle	34125	1	State territory	429
Hunter Valley exc Newcastle	42000			85
Hunter Valley exc Newcastle	42000	0		9501
Hunter Valley exc Newcastle	42000	1	Local	164
Hunter Valley exc Newcastle	42000	1	National	288
Hunter Valley exc Newcastle	42000	1	State territory	629
Hunter Valley exc Newcastle	52500			95
Hunter Valley exc Newcastle	52500	0		10203
Hunter Valley exc Newcastle	52500	1	Local	321
Hunter Valley exc Newcastle	52500	1	National	312
Hunter Valley exc Newcastle	52500	1	State territory	897
Hunter Valley exc Newcastle	65625			92
Hunter Valley exc Newcastle	65625	0		9773
Hunter Valley exc Newcastle	65625	1	Local	401
Hunter Valley exc Newcastle	65625	1	National	599
Hunter Valley exc Newcastle	65625	1	State territory	1180
Hunter Valley exc Newcastle	78750			39
Hunter Valley exc Newcastle	78750	0		6323
Hunter Valley exc Newcastle	78750	1	Local	299
Hunter Valley exc Newcastle	78750	1	National	717
Hunter Valley exc Newcastle	78750	1	State territory	1077
Hunter Valley exc Newcastle	91875			35
Hunter Valley exc Newcastle	91875	0		5582
Hunter Valley exc Newcastle	91875	1	Local	169
Hunter Valley exc Newcastle	91875	1	National	677
Hunter Valley exc Newcastle	91875	1	State territory	1124
Hunter Valley exc Newcastle	105000			22
Hunter Valley exc Newcastle	105000	0		4290
Hunter Valley exc Newcastle	105000	1	Local	105
Hunter Valley exc Newcastle	105000	1	National	405
Hunter Valley exc Newcastle	105000	1	State territory	1050
Hunter Valley exc Newcastle	157500			28
Hunter Valley exc Newcastle	157500	0		8293
Hunter Valley exc Newcastle	157500	1	Local	137
Hunter Valley exc Newcastle	157500	1	National	529
Hunter Valley exc Newcastle	157500	1	State territory	955
Hunter Valley exc Newcastle	Inf			21
Hunter Valley exc Newcastle	Inf	0		3381
Hunter Valley exc Newcastle	Inf	1	Local	50
Hunter Valley exc Newcastle	Inf	1	National	129
Hunter Valley exc Newcastle	Inf	1	State territory	146
Illawarra				252
Illawarra		0		1096
Illawarra		1	Local	11
Illawarra		1	National	31
Illawarra		1	State territory	94
Illawarra	0			46
Illawarra	0	0		585
Illawarra	0	1	National	10
Illawarra	0	1	State territory	24
Illawarra	7875			59
Illawarra	7875	0		4370
Illawarra	7875	1	Local	14
Illawarra	7875	1	National	111
Illawarra	7875	1	State territory	72
Illawarra	15750			82
Illawarra	15750	0		4627
Illawarra	15750	1	Local	16
Illawarra	15750	1	National	158
Illawarra	15750	1	State territory	168
Illawarra	21000			70
Illawarra	21000	0		4772
Illawarra	21000	1	Local	23
Illawarra	21000	1	National	136
Illawarra	21000	1	State territory	215
Illawarra	26250			83
Illawarra	26250	0		5758
Illawarra	26250	1	Local	52
Illawarra	26250	1	National	216
Illawarra	26250	1	State territory	307
Illawarra	34125			88
Illawarra	34125	0		8488
Illawarra	34125	1	Local	108
Illawarra	34125	1	National	329
Illawarra	34125	1	State territory	611
Illawarra	42000			83
Illawarra	42000	0		9593
Illawarra	42000	1	Local	172
Illawarra	42000	1	National	351
Illawarra	42000	1	State territory	880
Illawarra	52500			99
Illawarra	52500	0		10233
Illawarra	52500	1	Local	259
Illawarra	52500	1	National	474
Illawarra	52500	1	State territory	1256
Illawarra	65625			104
Illawarra	65625	0		9597
Illawarra	65625	1	Local	406
Illawarra	65625	1	National	688
Illawarra	65625	1	State territory	1807
Illawarra	78750			47
Illawarra	78750	0		6079
Illawarra	78750	1	Local	316
Illawarra	78750	1	National	741
Illawarra	78750	1	State territory	1562
Illawarra	91875			35
Illawarra	91875	0		5108
Illawarra	91875	1	Local	215
Illawarra	91875	1	National	611
Illawarra	91875	1	State territory	1665
Illawarra	105000			19
Illawarra	105000	0		3664
Illawarra	105000	1	Local	130
Illawarra	105000	1	National	373
Illawarra	105000	1	State territory	1622
Illawarra	157500			16
Illawarra	157500	0		5300
Illawarra	157500	1	Local	107
Illawarra	157500	1	National	661
Illawarra	157500	1	State territory	1639
Illawarra	Inf			14
Illawarra	Inf	0		2441
Illawarra	Inf	1	Local	33
Illawarra	Inf	1	National	200
Illawarra	Inf	1	State territory	353
Mid North Coast				191
Mid North Coast		0		985
Mid North Coast		1	Local	28
Mid North Coast		1	National	4
Mid North Coast		1	State territory	56
Mid North Coast	0			39
Mid North Coast	0	0		602
Mid North Coast	0	1	Local	9
Mid North Coast	0	1	National	10
Mid North Coast	0	1	State territory	3
Mid North Coast	7875			52
Mid North Coast	7875	0		2852
Mid North Coast	7875	1	Local	4
Mid North Coast	7875	1	National	17
Mid North Coast	7875	1	State territory	35
Mid North Coast	15750			61
Mid North Coast	15750	0		2920
Mid North Coast	15750	1	Local	9
Mid North Coast	15750	1	National	28
Mid North Coast	15750	1	State territory	84
Mid North Coast	21000			107
Mid North Coast	21000	0		3703
Mid North Coast	21000	1	Local	19
Mid North Coast	21000	1	National	36
Mid North Coast	21000	1	State territory	129
Mid North Coast	26250			103
Mid North Coast	26250	0		4635
Mid North Coast	26250	1	Local	35
Mid North Coast	26250	1	National	43
Mid North Coast	26250	1	State territory	182
Mid North Coast	34125			98
Mid North Coast	34125	0		7551
Mid North Coast	34125	1	Local	56
Mid North Coast	34125	1	National	58
Mid North Coast	34125	1	State territory	365
Mid North Coast	42000			88
Mid North Coast	42000	0		8746
Mid North Coast	42000	1	Local	131
Mid North Coast	42000	1	National	67
Mid North Coast	42000	1	State territory	546
Mid North Coast	52500			70
Mid North Coast	52500	0		8324
Mid North Coast	52500	1	Local	337
Mid North Coast	52500	1	National	129
Mid North Coast	52500	1	State territory	765
Mid North Coast	65625			49
Mid North Coast	65625	0		6362
Mid North Coast	65625	1	Local	428
Mid North Coast	65625	1	National	173
Mid North Coast	65625	1	State territory	956
Mid North Coast	78750			18
Mid North Coast	78750	0		3647
Mid North Coast	78750	1	Local	308
Mid North Coast	78750	1	National	211
Mid North Coast	78750	1	State territory	832
Mid North Coast	91875			16
Mid North Coast	91875	0		2530
Mid North Coast	91875	1	Local	300
Mid North Coast	91875	1	National	107
Mid North Coast	91875	1	State territory	827
Mid North Coast	105000			10
Mid North Coast	105000	0		1646
Mid North Coast	105000	1	Local	193
Mid North Coast	105000	1	National	61
Mid North Coast	105000	1	State territory	972
Mid North Coast	157500			14
Mid North Coast	157500	0		1881
Mid North Coast	157500	1	Local	297
Mid North Coast	157500	1	National	46
Mid North Coast	157500	1	State territory	766
Mid North Coast	Inf			10
Mid North Coast	Inf	0		1141
Mid North Coast	Inf	1	Local	121
Mid North Coast	Inf	1	National	10
Mid North Coast	Inf	1	State territory	121
Murray				138
Murray		0		763
Murray		1	Local	17
Murray		1	National	16
Murray		1	State territory	46
Murray	0			38
Murray	0	0		485
Murray	0	1	Local	3
Murray	0	1	National	5
Murray	0	1	State territory	7
Murray	7875			32
Murray	7875	0		1858
Murray	7875	1	Local	9
Murray	7875	1	National	12
Murray	7875	1	State territory	19
Murray	15750			39
Murray	15750	0		1967
Murray	15750	1	Local	15
Murray	15750	1	National	25
Murray	15750	1	State territory	42
Murray	21000			37
Murray	21000	0		2280
Murray	21000	1	Local	15
Murray	21000	1	National	36
Murray	21000	1	State territory	85
Murray	26250			44
Murray	26250	0		2871
Murray	26250	1	Local	24
Murray	26250	1	National	91
Murray	26250	1	State territory	107
Murray	34125			74
Murray	34125	0		4707
Murray	34125	1	Local	53
Murray	34125	1	National	119
Murray	34125	1	State territory	275
Murray	42000			42
Murray	42000	0		5584
Murray	42000	1	Local	109
Murray	42000	1	National	124
Murray	42000	1	State territory	333
Murray	52500			61
Murray	52500	0		6183
Murray	52500	1	Local	253
Murray	52500	1	National	182
Murray	52500	1	State territory	458
Murray	65625			39
Murray	65625	0		5346
Murray	65625	1	Local	281
Murray	65625	1	National	260
Murray	65625	1	State territory	563
Murray	78750			29
Murray	78750	0		3239
Murray	78750	1	Local	200
Murray	78750	1	National	277
Murray	78750	1	State territory	517
Murray	91875			8
Murray	91875	0		2329
Murray	91875	1	Local	106
Murray	91875	1	National	183
Murray	91875	1	State territory	514
Murray	105000			9
Murray	105000	0		1368
Murray	105000	1	Local	80
Murray	105000	1	National	116
Murray	105000	1	State territory	523
Murray	157500			6
Murray	157500	0		1636
Murray	157500	1	Local	89
Murray	157500	1	National	140
Murray	157500	1	State territory	541
Murray	Inf			4
Murray	Inf	0		922
Murray	Inf	1	Local	25
Murray	Inf	1	National	19
Murray	Inf	1	State territory	74
New England and North West				223
New England and North West		0		1191
New England and North West		1	Local	31
New England and North West		1	National	12
New England and North West		1	State territory	66
New England and North West	0			70
New England and North West	0	0		931
New England and North West	0	1	National	6
New England and North West	0	1	State territory	11
New England and North West	7875			46
New England and North West	7875	0		2562
New England and North West	7875	1	Local	9
New England and North West	7875	1	National	37
New England and North West	7875	1	State territory	55
New England and North West	15750			65
New England and North West	15750	0		2896
New England and North West	15750	1	Local	18
New England and North West	15750	1	National	77
New England and North West	15750	1	State territory	84
New England and North West	21000			77
New England and North West	21000	0		3419
New England and North West	21000	1	Local	26
New England and North West	21000	1	National	59
New England and North West	21000	1	State territory	160
New England and North West	26250			74
New England and North West	26250	0		4223
New England and North West	26250	1	Local	44
New England and North West	26250	1	National	71
New England and North West	26250	1	State territory	205
New England and North West	34125			115
New England and North West	34125	0		6752
New England and North West	34125	1	Local	92
New England and North West	34125	1	National	109
New England and North West	34125	1	State territory	376
New England and North West	42000			112
New England and North West	42000	0		8568
New England and North West	42000	1	Local	225
New England and North West	42000	1	National	106
New England and North West	42000	1	State territory	570
New England and North West	52500			76
New England and North West	52500	0		8959
New England and North West	52500	1	Local	428
New England and North West	52500	1	National	180
New England and North West	52500	1	State territory	872
New England and North West	65625			61
New England and North West	65625	0		7490
New England and North West	65625	1	Local	534
New England and North West	65625	1	National	338
New England and North West	65625	1	State territory	1105
New England and North West	78750			23
New England and North West	78750	0		4129
New England and North West	78750	1	Local	323
New England and North West	78750	1	National	347
New England and North West	78750	1	State territory	928
New England and North West	91875			19
New England and North West	91875	0		3138
New England and North West	91875	1	Local	220
New England and North West	91875	1	National	331
New England and North West	91875	1	State territory	970
New England and North West	105000			17
New England and North West	105000	0		1988
New England and North West	105000	1	Local	99
New England and North West	105000	1	National	222
New England and North West	105000	1	State territory	1012
New England and North West	157500			6
New England and North West	157500	0		2675
New England and North West	157500	1	Local	134
New England and North West	157500	1	National	350
New England and North West	157500	1	State territory	1025
New England and North West	Inf			7
New England and North West	Inf	0		1608
New England and North West	Inf	1	Local	39
New England and North West	Inf	1	National	113
New England and North West	Inf	1	State territory	141
Newcastle and Lake Macquarie				333
Newcastle and Lake Macquarie		0		1604
Newcastle and Lake Macquarie		1	Local	19
Newcastle and Lake Macquarie		1	National	53
Newcastle and Lake Macquarie		1	State territory	136
Newcastle and Lake Macquarie	0			45
Newcastle and Lake Macquarie	0	0		731
Newcastle and Lake Macquarie	0	1	National	11
Newcastle and Lake Macquarie	0	1	State territory	23
Newcastle and Lake Macquarie	7875			88
Newcastle and Lake Macquarie	7875	0		5635
Newcastle and Lake Macquarie	7875	1	Local	10
Newcastle and Lake Macquarie	7875	1	National	101
Newcastle and Lake Macquarie	7875	1	State territory	102
Newcastle and Lake Macquarie	15750			79
Newcastle and Lake Macquarie	15750	0		5733
Newcastle and Lake Macquarie	15750	1	Local	14
Newcastle and Lake Macquarie	15750	1	National	151
Newcastle and Lake Macquarie	15750	1	State territory	197
Newcastle and Lake Macquarie	21000			96
Newcastle and Lake Macquarie	21000	0		6442
Newcastle and Lake Macquarie	21000	1	Local	19
Newcastle and Lake Macquarie	21000	1	National	134
Newcastle and Lake Macquarie	21000	1	State territory	266
Newcastle and Lake Macquarie	26250			111
Newcastle and Lake Macquarie	26250	0		7770
Newcastle and Lake Macquarie	26250	1	Local	28
Newcastle and Lake Macquarie	26250	1	National	192
Newcastle and Lake Macquarie	26250	1	State territory	388
Newcastle and Lake Macquarie	34125			148
Newcastle and Lake Macquarie	34125	0		12189
Newcastle and Lake Macquarie	34125	1	Local	73
Newcastle and Lake Macquarie	34125	1	National	306
Newcastle and Lake Macquarie	34125	1	State territory	784
Newcastle and Lake Macquarie	42000			169
Newcastle and Lake Macquarie	42000	0		15457
Newcastle and Lake Macquarie	42000	1	Local	139
Newcastle and Lake Macquarie	42000	1	National	352
Newcastle and Lake Macquarie	42000	1	State territory	1208
Newcastle and Lake Macquarie	52500			116
Newcastle and Lake Macquarie	52500	0		17329
Newcastle and Lake Macquarie	52500	1	Local	284
Newcastle and Lake Macquarie	52500	1	National	551
Newcastle and Lake Macquarie	52500	1	State territory	1909
Newcastle and Lake Macquarie	65625			110
Newcastle and Lake Macquarie	65625	0		16890
Newcastle and Lake Macquarie	65625	1	Local	455
Newcastle and Lake Macquarie	65625	1	National	922
Newcastle and Lake Macquarie	65625	1	State territory	2933
Newcastle and Lake Macquarie	78750			64
Newcastle and Lake Macquarie	78750	0		10526
Newcastle and Lake Macquarie	78750	1	Local	343
Newcastle and Lake Macquarie	78750	1	National	1063
Newcastle and Lake Macquarie	78750	1	State territory	2431
Newcastle and Lake Macquarie	91875			42
Newcastle and Lake Macquarie	91875	0		8555
Newcastle and Lake Macquarie	91875	1	Local	289
Newcastle and Lake Macquarie	91875	1	National	853
Newcastle and Lake Macquarie	91875	1	State territory	2576
Newcastle and Lake Macquarie	105000			18
Newcastle and Lake Macquarie	105000	0		5382
Newcastle and Lake Macquarie	105000	1	Local	142
Newcastle and Lake Macquarie	105000	1	National	593
Newcastle and Lake Macquarie	105000	1	State territory	2411
Newcastle and Lake Macquarie	157500			29
Newcastle and Lake Macquarie	157500	0		8333
Newcastle and Lake Macquarie	157500	1	Local	126
Newcastle and Lake Macquarie	157500	1	National	933
Newcastle and Lake Macquarie	157500	1	State territory	2535
Newcastle and Lake Macquarie	Inf			38
Newcastle and Lake Macquarie	Inf	0		4482
Newcastle and Lake Macquarie	Inf	1	Local	32
Newcastle and Lake Macquarie	Inf	1	National	277
Newcastle and Lake Macquarie	Inf	1	State territory	654
Richmond - Tweed				242
Richmond - Tweed		0		1082
Richmond - Tweed		1	Local	35
Richmond - Tweed		1	National	16
Richmond - Tweed		1	State territory	60
Richmond - Tweed	0			57
