SA4_NAME16	CountryOfBirth	EmploymentStatus	workers
Capital Region		Contributing family workers	135
Capital Region		Employee	2384
Capital Region		Owner managers of incorporated enterprises	231
Capital Region		Owner managers of unincorporated enterprises	377
Capital Region		Status in employment not stated	87
Capital Region	AUS	Contributing family workers	2243
Capital Region	AUS	Employee	47677
Capital Region	AUS	Owner managers of incorporated enterprises	4475
Capital Region	AUS	Owner managers of unincorporated enterprises	6975
Capital Region	AUS	Status in employment not stated	793
Capital Region	CAN	Contributing family workers	3
Capital Region	CAN	Employee	114
Capital Region	CAN	Owner managers of incorporated enterprises	8
Capital Region	CAN	Owner managers of unincorporated enterprises	17
Capital Region	CAN	Status in employment not stated	4
Capital Region	CHN	Contributing family workers	14
Capital Region	CHN	Employee	176
Capital Region	CHN	Owner managers of incorporated enterprises	47
Capital Region	CHN	Owner managers of unincorporated enterprises	47
Capital Region	CHN	Status in employment not stated	5
Capital Region	HRV	Employee	27
Capital Region	HRV	Owner managers of incorporated enterprises	14
Capital Region	HRV	Owner managers of unincorporated enterprises	6
Capital Region	EGY	Employee	21
Capital Region	EGY	Owner managers of incorporated enterprises	5
Capital Region	FJI	Contributing family workers	4
Capital Region	FJI	Employee	77
Capital Region	FJI	Owner managers of incorporated enterprises	6
Capital Region	FJI	Owner managers of unincorporated enterprises	5
Capital Region	FJI	Status in employment not stated	3
Capital Region	MKD	Employee	70
Capital Region	MKD	Owner managers of incorporated enterprises	12
Capital Region	MKD	Owner managers of unincorporated enterprises	7
Capital Region	MKD	Status in employment not stated	3
Capital Region	DEU	Contributing family workers	19
Capital Region	DEU	Employee	182
Capital Region	DEU	Owner managers of incorporated enterprises	33
Capital Region	DEU	Owner managers of unincorporated enterprises	49
Capital Region	DEU	Status in employment not stated	8
Capital Region	GRC	Contributing family workers	5
Capital Region	GRC	Employee	29
Capital Region	GRC	Owner managers of incorporated enterprises	6
Capital Region	GRC	Owner managers of unincorporated enterprises	10
Capital Region	HKG	Employee	63
Capital Region	HKG	Owner managers of incorporated enterprises	6
Capital Region	HKG	Owner managers of unincorporated enterprises	11
Capital Region	IND	Contributing family workers	7
Capital Region	IND	Employee	546
Capital Region	IND	Owner managers of incorporated enterprises	54
Capital Region	IND	Owner managers of unincorporated enterprises	20
