SA4_NAME16	YearOfArrival.max	workers_born_overseas
Capital Region	1991	4412
Capital Region	1995	500
Capital Region	2000	611
Capital Region	2005	766
Capital Region	2010	1376
Capital Region	2015	1264
Capital Region	2016	133
Capital Region		362
Central Coast	1991	7729
Central Coast	1995	1171
Central Coast	2000	1609
Central Coast	2005	1784
Central Coast	2010	2205
Central Coast	2015	1684
Central Coast	2016	115
Central Coast		462
Central West	1991	3098
Central West	1995	402
Central West	2000	581
Central West	2005	688
Central West	2010	1210
Central West	2015	1081
Central West	2016	67
Central West		223
Coffs Harbour - Grafton	1991	2798
Coffs Harbour - Grafton	1995	341
Coffs Harbour - Grafton	2000	462
Coffs Harbour - Grafton	2005	528
Coffs Harbour - Grafton	2010	982
Coffs Harbour - Grafton	2015	917
Coffs Harbour - Grafton	2016	76
Coffs Harbour - Grafton		218
Far West and Orana	1991	1237
Far West and Orana	1995	173
Far West and Orana	2000	205
Far West and Orana	2005	301
Far West and Orana	2010	888
Far West and Orana	2015	747
Far West and Orana	2016	54
Far West and Orana		93
Hunter Valley exc Newcastle	1991	4263
Hunter Valley exc Newcastle	1995	551
Hunter Valley exc Newcastle	2000	823
Hunter Valley exc Newcastle	2005	1007
Hunter Valley exc Newcastle	2010	1702
Hunter Valley exc Newcastle	2015	1306
Hunter Valley exc Newcastle	2016	77
Hunter Valley exc Newcastle		279
Illawarra	1991	9995
Illawarra	1995	1119
Illawarra	2000	1406
Illawarra	2005	1605
Illawarra	2010	2184
Illawarra	2015	2268
Illawarra	2016	157
Illawarra		466
Mid North Coast	1991	3618
Mid North Coast	1995	362
Mid North Coast	2000	602
Mid North Coast	2005	695
Mid North Coast	2010	876
Mid North Coast	2015	760
Mid North Coast	2016	38
Mid North Coast		252
Murray	1991	1851
Murray	1995	197
Murray	2000	292
Murray	2005	421
Murray	2010	929
Murray	2015	781
Murray	2016	78
Murray		156
New England and North West	1991	2243
New England and North West	1995	323
New England and North West	2000	466
New England and North West	2005	528
New England and North West	2010	1083
New England and North West	2015	1453
New England and North West	2016	138
New England and North West		286
Newcastle and Lake Macquarie	1991	7560
Newcastle and Lake Macquarie	1995	1265
Newcastle and Lake Macquarie	2000	1494
Newcastle and Lake Macquarie	2005	1961
Newcastle and Lake Macquarie	2010	2881
Newcastle and Lake Macquarie	2015	2878
Newcastle and Lake Macquarie	2016	187
Newcastle and Lake Macquarie		458
Richmond - Tweed	1991	5519
Richmond - Tweed	1995	785
Richmond - Tweed	2000	1077
