SA4_NAME16	Occupation	PublicSector	LevelOfGovt	workers
Capital Region				435
Capital Region		0		629
Capital Region		0		160
Capital Region		1	Local	37
Capital Region		1	National	52
Capital Region		1	State territory	51
Capital Region	Clerical and administrative workers			53
Capital Region	Clerical and administrative workers	0		6311
Capital Region	Clerical and administrative workers	0		106
Capital Region	Clerical and administrative workers	1	Local	551
Capital Region	Clerical and administrative workers	1	National	811
Capital Region	Clerical and administrative workers	1	State territory	947
Capital Region	Community and personal service workers			66
Capital Region	Community and personal service workers	0		7334
Capital Region	Community and personal service workers	0		127
Capital Region	Community and personal service workers	1	Local	135
Capital Region	Community and personal service workers	1	National	142
Capital Region	Community and personal service workers	1	State territory	1819
Capital Region	Labourers			91
Capital Region	Labourers	0		7918
Capital Region	Labourers	0		180
Capital Region	Labourers	1	Local	295
Capital Region	Labourers	1	National	24
Capital Region	Labourers	1	State territory	279
Capital Region	Machinery operators and drivers			39
Capital Region	Machinery operators and drivers	0		4241
Capital Region	Machinery operators and drivers	0		74
Capital Region	Machinery operators and drivers	1	Local	306
Capital Region	Machinery operators and drivers	1	National	5
Capital Region	Machinery operators and drivers	1	State territory	85
Capital Region	Managers			55
Capital Region	Managers	0		10440
Capital Region	Managers	0		210
Capital Region	Managers	1	Local	254
Capital Region	Managers	1	National	384
Capital Region	Managers	1	State territory	514
Capital Region	Professionals			38
Capital Region	Professionals	0		6930
Capital Region	Professionals	0		113
Capital Region	Professionals	1	Local	397
Capital Region	Professionals	1	National	340
Capital Region	Professionals	1	State territory	3327
Capital Region	Sales workers			32
Capital Region	Sales workers	0		7445
Capital Region	Sales workers	0		150
Capital Region	Sales workers	1	Local	6
Capital Region	Sales workers	1	National	52
Capital Region	Sales workers	1	State territory	24
Capital Region	Technicians and trades workers			77
Capital Region	Technicians and trades workers	0		9586
Capital Region	Technicians and trades workers	0		176
Capital Region	Technicians and trades workers	1	Local	427
Capital Region	Technicians and trades workers	1	National	43
Capital Region	Technicians and trades workers	1	State territory	227
Central Coast				605
Central Coast		0		907
Central Coast		0		208
Central Coast		1	Local	35
Central Coast		1	National	29
Central Coast		1	State territory	85
Central Coast	Clerical and administrative workers			41
Central Coast	Clerical and administrative workers	0		11366
Central Coast	Clerical and administrative workers	0		166
Central Coast	Clerical and administrative workers	1	Local	452
Central Coast	Clerical and administrative workers	1	National	787
Central Coast	Clerical and administrative workers	1	State territory	1688
Central Coast	Community and personal service workers			88
Central Coast	Community and personal service workers	0		11207
Central Coast	Community and personal service workers	0		223
Central Coast	Community and personal service workers	1	Local	163
Central Coast	Community and personal service workers	1	National	61
Central Coast	Community and personal service workers	1	State territory	2330
Central Coast	Labourers			99
Central Coast	Labourers	0		9926
Central Coast	Labourers	0		154
Central Coast	Labourers	1	Local	233
Central Coast	Labourers	1	National	7
Central Coast	Labourers	1	State territory	356
Central Coast	Machinery operators and drivers			41
Central Coast	Machinery operators and drivers	0		5626
Central Coast	Machinery operators and drivers	0		114
Central Coast	Machinery operators and drivers	1	Local	191
Central Coast	Machinery operators and drivers	1	National	23
Central Coast	Machinery operators and drivers	1	State territory	153
Central Coast	Managers			40
Central Coast	Managers	0		10094
Central Coast	Managers	0		170
Central Coast	Managers	1	Local	173
Central Coast	Managers	1	National	78
Central Coast	Managers	1	State territory	666
Central Coast	Professionals			73
