SA4_NAME16	IncomeTotPersonal.max	Sex	workers
Capital Region		F	1848
Capital Region		F	2010
Capital Region		F	2335
Capital Region		F	3012
Capital Region		F	4750
Capital Region		F	5074
Capital Region		F	4577
Capital Region		F	3806
Capital Region		F	2397
Capital Region		F	1781
Capital Region		F	1232
Capital Region		F	1212
Capital Region		F	616
Capital Region		M	1213
Capital Region		M	1195
Capital Region		M	1439
Capital Region		M	1894
Capital Region		M	3168
Capital Region		M	4291
Capital Region		M	5635
Capital Region		M	5471
Capital Region		M	3508
Capital Region		M	2840
Capital Region		M	2076
Capital Region		M	2649
Capital Region		M	684
Capital Region	0	F	412
Capital Region	0	M	352
Capital Region	Inf	F	481
Capital Region	Inf	M	1286
Central Coast		F	3194
Central Coast		F	3435
Central Coast		F	3833
Central Coast		F	4582
Central Coast		F	7270
Central Coast		F	7956
Central Coast		F	7648
Central Coast		F	6246
Central Coast		F	3772
Central Coast		F	2896
Central Coast		F	2068
Central Coast		F	1817
Central Coast		F	844
Central Coast		M	1749
Central Coast		M	1580
Central Coast		M	1710
Central Coast		M	2162
Central Coast		M	3555
Central Coast		M	5095
Central Coast		M	6934
Central Coast		M	7133
Central Coast		M	4648
Central Coast		M	4051
Central Coast		M	2840
Central Coast		M	3658
Central Coast		M	825
Central Coast	0	F	419
Central Coast	0	M	324
Central Coast	Inf	F	635
Central Coast	Inf	M	1841
Central West		F	1892
Central West		F	2296
Central West		F	2590
Central West		F	3165
Central West		F	4987
Central West		F	5489
Central West		F	5030
Central West		F	4475
Central West		F	2907
Central West		F	2347
Central West		F	1663
Central West		F	1634
Central West		F	669
Central West		M	1093
Central West		M	1124
Central West		M	1472
Central West		M	1878
Central West		M	3056
Central West		M	4322
Central West		M	5690
Central West		M	5786
Central West		M	4012
Central West		M	3699
Central West		M	2896
Central West		M	4681
Central West		M	816
Central West	0	F	449
Central West	0	M	477
Central West	Inf	F	548
Central West	Inf	M	2066
Coffs Harbour - Grafton		F	1229
Coffs Harbour - Grafton		F	1437
Coffs Harbour - Grafton		F	1755
Coffs Harbour - Grafton		F	2180
Coffs Harbour - Grafton		F	3474
Coffs Harbour - Grafton		F	3770
Coffs Harbour - Grafton		F	3323
Coffs Harbour - Grafton		F	2579
Coffs Harbour - Grafton		F	1636
Coffs Harbour - Grafton		F	1243
Coffs Harbour - Grafton		F	876
Coffs Harbour - Grafton		F	748
Coffs Harbour - Grafton		F	367
Coffs Harbour - Grafton		M	819
Coffs Harbour - Grafton		M	767
Coffs Harbour - Grafton		M	1017
Coffs Harbour - Grafton		M	1323
Coffs Harbour - Grafton		M	2152
Coffs Harbour - Grafton		M	3235
Coffs Harbour - Grafton		M	3697
Coffs Harbour - Grafton		M	3174
Coffs Harbour - Grafton		M	2016
Coffs Harbour - Grafton		M	1586
Coffs Harbour - Grafton		M	1206
Coffs Harbour - Grafton		M	1437
Coffs Harbour - Grafton		M	386
Coffs Harbour - Grafton	0	F	223
Coffs Harbour - Grafton	0	M	239
Coffs Harbour - Grafton	Inf	F	224
Coffs Harbour - Grafton	Inf	M	713
Far West and Orana		F	884
Far West and Orana		F	1076
Far West and Orana		F	1217
Far West and Orana		F	1549
Far West and Orana		F	2695
Far West and Orana		F	3019
Far West and Orana		F	3002
Far West and Orana		F	2729
Far West and Orana		F	1691
Far West and Orana		F	1379
Far West and Orana		F	1000
Far West and Orana		F	945
Far West and Orana		F	474
Far West and Orana		M	518
Far West and Orana		M	645
Far West and Orana		M	778
Far West and Orana		M	1126
Far West and Orana		M	1770
Far West and Orana		M	2684
Far West and Orana		M	3193
Far West and Orana		M	3248
Far West and Orana		M	2156
Far West and Orana		M	1928
Far West and Orana		M	1569
Far West and Orana		M	2147
