SA4_NAME16	IncomeTotPersonal.max	workers
Capital Region		1301
Capital Region	0	764
Capital Region	7875	3065
Capital Region	15750	3199
Capital Region	21000	3773
Capital Region	26250	4910
Capital Region	34125	7915
Capital Region	42000	9360
Capital Region	52500	10208
Capital Region	65625	9275
Capital Region	78750	5900
Capital Region	91875	4625
Capital Region	105000	3312
Capital Region	157500	3860
Capital Region	Inf	1765
Central Coast		1675
Central Coast	0	742
Central Coast	7875	4946
Central Coast	15750	5017
Central Coast	21000	5543
Central Coast	26250	6748
Central Coast	34125	10826
Central Coast	42000	13047
Central Coast	52500	14586
Central Coast	65625	13381
Central Coast	78750	8421
Central Coast	91875	6952
Central Coast	105000	4904
Central Coast	157500	5474
Central Coast	Inf	2482
Central West		1483
Central West	0	926
Central West	7875	2986
Central West	15750	3423
Central West	21000	4061
Central West	26250	5039
Central West	34125	8044
Central West	42000	9807
Central West	52500	10725
Central West	65625	10255
Central West	78750	6923
Central West	91875	6046
Central West	105000	4556
Central West	157500	6316
Central West	Inf	2611
Coffs Harbour - Grafton		760
Coffs Harbour - Grafton	0	461
Coffs Harbour - Grafton	7875	2054
Coffs Harbour - Grafton	15750	2199
Coffs Harbour - Grafton	21000	2778
Coffs Harbour - Grafton	26250	3501
Coffs Harbour - Grafton	34125	5623
Coffs Harbour - Grafton	42000	7006
Coffs Harbour - Grafton	52500	7023
Coffs Harbour - Grafton	65625	5754
Coffs Harbour - Grafton	78750	3651
Coffs Harbour - Grafton	91875	2835
Coffs Harbour - Grafton	105000	2086
Coffs Harbour - Grafton	157500	2187
Coffs Harbour - Grafton	Inf	935
Far West and Orana		1074
Far West and Orana	0	629
Far West and Orana	7875	1398
Far West and Orana	15750	1727
Far West and Orana	21000	1993
Far West and Orana	26250	2676
Far West and Orana	34125	4463
Far West and Orana	42000	5703
Far West and Orana	52500	6193
Far West and Orana	65625	5980
Far West and Orana	78750	3844
Far West and Orana	91875	3305
Far West and Orana	105000	2568
Far West and Orana	157500	3091
Far West and Orana	Inf	1229
Hunter Valley exc Newcastle		1657
Hunter Valley exc Newcastle	0	800
Hunter Valley exc Newcastle	7875	4030
Hunter Valley exc Newcastle	15750	4182
Hunter Valley exc Newcastle	21000	4811
Hunter Valley exc Newcastle	26250	5601
Hunter Valley exc Newcastle	34125	8880
Hunter Valley exc Newcastle	42000	10671
Hunter Valley exc Newcastle	52500	11833
Hunter Valley exc Newcastle	65625	12042
Hunter Valley exc Newcastle	78750	8452
Hunter Valley exc Newcastle	91875	7593
Hunter Valley exc Newcastle	105000	5876
Hunter Valley exc Newcastle	157500	9942
Hunter Valley exc Newcastle	Inf	3729
Illawarra		1486
Illawarra	0	664
Illawarra	7875	4622
Illawarra	15750	5048
Illawarra	21000	5222
Illawarra	26250	6412
Illawarra	34125	9626
Illawarra	42000	11072
Illawarra	52500	12320
Illawarra	65625	12601
Illawarra	78750	8742
Illawarra	91875	7632
Illawarra	105000	5811
Illawarra	157500	7722
Illawarra	Inf	3043
Mid North Coast		1267
Mid North Coast	0	660
Mid North Coast	7875	2966
Mid North Coast	15750	3095
Mid North Coast	21000	3992
Mid North Coast	26250	5001
Mid North Coast	34125	8127
Mid North Coast	42000	9582
Mid North Coast	52500	9625
Mid North Coast	65625	7959
Mid North Coast	78750	5009
Mid North Coast	91875	3786
Mid North Coast	105000	2877
Mid North Coast	157500	3005
Mid North Coast	Inf	1404
Murray		977
Murray	0	539
Murray	7875	1930
Murray	15750	2089
Murray	21000	2450
Murray	26250	3137
Murray	34125	5236
Murray	42000	6198
Murray	52500	7136
Murray	65625	6495
Murray	78750	4257
Murray	91875	3150
Murray	105000	2094
Murray	157500	2408
Murray	Inf	1050
New England and North West		1519
New England and North West	0	1015
New England and North West	7875	2704
New England and North West	15750	3140
New England and North West	21000	3736
New England and North West	26250	4612
New England and North West	34125	7448
New England and North West	42000	9586
New England and North West	52500	10513
New England and North West	65625	9536
New England and North West	78750	5756
New England and North West	91875	4678
New England and North West	105000	3337
New England and North West	157500	4195
New England and North West	Inf	1906
Newcastle and Lake Macquarie		2148
Newcastle and Lake Macquarie	0	816
Newcastle and Lake Macquarie	7875	5936
Newcastle and Lake Macquarie	15750	6178
Newcastle and Lake Macquarie	21000	6957
Newcastle and Lake Macquarie	26250	8498
Newcastle and Lake Macquarie	34125	13498
Newcastle and Lake Macquarie	42000	17323
Newcastle and Lake Macquarie	52500	20193
Newcastle and Lake Macquarie	65625	21316
Newcastle and Lake Macquarie	78750	14422
Newcastle and Lake Macquarie	91875	12317
Newcastle and Lake Macquarie	105000	8535
Newcastle and Lake Macquarie	157500	11952
Newcastle and Lake Macquarie	Inf	5485
Richmond - Tweed		1435
Richmond - Tweed	0	728
Richmond - Tweed	7875	3530
Richmond - Tweed	15750	3933
Richmond - Tweed	21000	4764
Richmond - Tweed	26250	6373
Richmond - Tweed	34125	10055
Richmond - Tweed	42000	11896
Richmond - Tweed	52500	12308
Richmond - Tweed	65625	10724
Richmond - Tweed	78750	6196
Richmond - Tweed	91875	4891
Richmond - Tweed	105000	3409
Richmond - Tweed	157500	3649
Richmond - Tweed	Inf	1898
Riverina		1294
Riverina	0	591
Riverina	7875	2395
Riverina	15750	2455
Riverina	21000	2996
Riverina	26250	3825
Riverina	34125	6634
Riverina	42000	9183
Riverina	52500	10196
Riverina	65625	9225
Riverina	78750	5988
Riverina	91875	4596
Riverina	105000	3251
Riverina	157500	3719
Riverina	Inf	1634
Southern Highlands and Shoalhaven		912
Southern Highlands and Shoalhaven	0	418
Southern Highlands and Shoalhaven	7875	2328
Southern Highlands and Shoalhaven	15750	2364
Southern Highlands and Shoalhaven	21000	2876
Southern Highlands and Shoalhaven	26250	3559
Southern Highlands and Shoalhaven	34125	5642
Southern Highlands and Shoalhaven	42000	6511
Southern Highlands and Shoalhaven	52500	6747
Southern Highlands and Shoalhaven	65625	6316
Southern Highlands and Shoalhaven	78750	3952
Southern Highlands and Shoalhaven	91875	3369
Southern Highlands and Shoalhaven	105000	2472
Southern Highlands and Shoalhaven	157500	2815
Southern Highlands and Shoalhaven	Inf	1284
Sydney - Baulkham Hills and Hawkesbury		1267
Sydney - Baulkham Hills and Hawkesbury	0	635
Sydney - Baulkham Hills and Hawkesbury	7875	3915
Sydney - Baulkham Hills and Hawkesbury	15750	3976
Sydney - Baulkham Hills and Hawkesbury	21000	3970
Sydney - Baulkham Hills and Hawkesbury	26250	4398
Sydney - Baulkham Hills and Hawkesbury	34125	6519
Sydney - Baulkham Hills and Hawkesbury	42000	7732
Sydney - Baulkham Hills and Hawkesbury	52500	9173
Sydney - Baulkham Hills and Hawkesbury	65625	9863
Sydney - Baulkham Hills and Hawkesbury	78750	7083
Sydney - Baulkham Hills and Hawkesbury	91875	6222
Sydney - Baulkham Hills and Hawkesbury	105000	4577
Sydney - Baulkham Hills and Hawkesbury	157500	6966
Sydney - Baulkham Hills and Hawkesbury	Inf	4180
Sydney - Blacktown		1740
Sydney - Blacktown	0	744
Sydney - Blacktown	7875	3505
Sydney - Blacktown	15750	4064
Sydney - Blacktown	21000	4178
Sydney - Blacktown	26250	5053
Sydney - Blacktown	34125	8097
Sydney - Blacktown	42000	11866
Sydney - Blacktown	52500	15275
Sydney - Blacktown	65625	16064
Sydney - Blacktown	78750	10879
Sydney - Blacktown	91875	8615
Sydney - Blacktown	105000	6009
Sydney - Blacktown	157500	7239
Sydney - Blacktown	Inf	3065
Sydney - City and Inner South		7531
Sydney - City and Inner South	0	2549
Sydney - City and Inner South	7875	6649
Sydney - City and Inner South	15750	11545
Sydney - City and Inner South	21000	14960
Sydney - City and Inner South	26250	18272
Sydney - City and Inner South	34125	27287
Sydney - City and Inner South	42000	37790
Sydney - City and Inner South	52500	54761
Sydney - City and Inner South	65625	70564
Sydney - City and Inner South	78750	59060
Sydney - City and Inner South	91875	56792
Sydney - City and Inner South	105000	43506
Sydney - City and Inner South	157500	88060
Sydney - City and Inner South	Inf	79027
Sydney - Eastern Suburbs		1412
Sydney - Eastern Suburbs	0	719
Sydney - Eastern Suburbs	7875	2809
Sydney - Eastern Suburbs	15750	3714
Sydney - Eastern Suburbs	21000	4080
Sydney - Eastern Suburbs	26250	4810
Sydney - Eastern Suburbs	34125	7010
Sydney - Eastern Suburbs	42000	8260
Sydney - Eastern Suburbs	52500	9986
Sydney - Eastern Suburbs	65625	11627
Sydney - Eastern Suburbs	78750	8723
Sydney - Eastern Suburbs	91875	8057
Sydney - Eastern Suburbs	105000	5890
Sydney - Eastern Suburbs	157500	8646
Sydney - Eastern Suburbs	Inf	6125
Sydney - Inner South West		2443
Sydney - Inner South West	0	1171
Sydney - Inner South West	7875	4706
Sydney - Inner South West	15750	6546
Sydney - Inner South West	21000	7662
Sydney - Inner South West	26250	9035
Sydney - Inner South West	34125	13939
Sydney - Inner South West	42000	17487
Sydney - Inner South West	52500	20111
Sydney - Inner South West	65625	20063
Sydney - Inner South West	78750	13169
Sydney - Inner South West	91875	10920
Sydney - Inner South West	105000	7352
Sydney - Inner South West	157500	9337
Sydney - Inner South West	Inf	4690
Sydney - Inner West		1524
Sydney - Inner West	0	767
Sydney - Inner West	7875	3097
Sydney - Inner West	15750	4155
Sydney - Inner West	21000	4922
Sydney - Inner West	26250	5359
Sydney - Inner West	34125	8118
Sydney - Inner West	42000	10243
Sydney - Inner West	52500	13132
Sydney - Inner West	65625	14655
Sydney - Inner West	78750	10333
Sydney - Inner West	91875	8689
Sydney - Inner West	105000	6313
Sydney - Inner West	157500	10038
Sydney - Inner West	Inf	5887
Sydney - North Sydney and Hornsby		2844
Sydney - North Sydney and Hornsby	0	1397
Sydney - North Sydney and Hornsby	7875	6303
Sydney - North Sydney and Hornsby	15750	7376
Sydney - North Sydney and Hornsby	21000	7573
Sydney - North Sydney and Hornsby	26250	8656
Sydney - North Sydney and Hornsby	34125	12155
Sydney - North Sydney and Hornsby	42000	15408
Sydney - North Sydney and Hornsby	52500	21397
Sydney - North Sydney and Hornsby	65625	25786
Sydney - North Sydney and Hornsby	78750	20468
Sydney - North Sydney and Hornsby	91875	19207
Sydney - North Sydney and Hornsby	105000	14607
Sydney - North Sydney and Hornsby	157500	27571
Sydney - North Sydney and Hornsby	Inf	22892
Sydney - Northern Beaches		1379
Sydney - Northern Beaches	0	702
Sydney - Northern Beaches	7875	4102
Sydney - Northern Beaches	15750	3856
Sydney - Northern Beaches	21000	3930
Sydney - Northern Beaches	26250	4750
Sydney - Northern Beaches	34125	7225
Sydney - Northern Beaches	42000	8869
Sydney - Northern Beaches	52500	10576
Sydney - Northern Beaches	65625	11421
Sydney - Northern Beaches	78750	8217
Sydney - Northern Beaches	91875	6979
Sydney - Northern Beaches	105000	4590
Sydney - Northern Beaches	157500	6790
