SA4_NAME16	HoursWorked.min	IndustryOfEmployment	workers
Capital Region			659
Capital Region		Accommodation and food services	141
Capital Region		Administrative and support services	29
Capital Region		Agriculture forestry and fishing	113
Capital Region		Arts and recreation services	23
Capital Region		Construction	85
Capital Region		Education and training	50
Capital Region		Electricity gas water and waste services	4
Capital Region		Financial and insurance services	6
Capital Region		Health care and social assistance	74
Capital Region		Information media and telecommunications	5
Capital Region		Manufacturing	50
Capital Region		Mining	6
Capital Region		Other services	40
Capital Region		Professional scientific and technical services	20
Capital Region		Public administration and safety	53
Capital Region		Rental hiring and real estate services	15
Capital Region		Retail trade	89
Capital Region		Transport postal and warehousing	44
Capital Region		Wholesale trade	10
Capital Region	0		119
Capital Region	0	Accommodation and food services	255
Capital Region	0	Administrative and support services	70
Capital Region	0	Agriculture forestry and fishing	168
Capital Region	0	Arts and recreation services	56
Capital Region	0	Construction	181
Capital Region	0	Education and training	211
Capital Region	0	Electricity gas water and waste services	39
Capital Region	0	Financial and insurance services	43
Capital Region	0	Health care and social assistance	442
Capital Region	0	Information media and telecommunications	8
Capital Region	0	Manufacturing	105
Capital Region	0	Mining	12
Capital Region	0	Other services	71
Capital Region	0	Professional scientific and technical services	126
Capital Region	0	Public administration and safety	275
Capital Region	0	Rental hiring and real estate services	47
Capital Region	0	Retail trade	306
Capital Region	0	Transport postal and warehousing	99
Capital Region	0	Wholesale trade	27
Capital Region	1		341
Capital Region	1	Accommodation and food services	1943
Capital Region	1	Administrative and support services	439
Capital Region	1	Agriculture forestry and fishing	543
Capital Region	1	Arts and recreation services	245
Capital Region	1	Construction	393
Capital Region	1	Education and training	826
Capital Region	1	Electricity gas water and waste services	39
Capital Region	1	Financial and insurance services	60
Capital Region	1	Health care and social assistance	887
Capital Region	1	Information media and telecommunications	78
Capital Region	1	Manufacturing	313
Capital Region	1	Mining	4
Capital Region	1	Other services	393
Capital Region	1	Professional scientific and technical services	418
Capital Region	1	Public administration and safety	235
Capital Region	1	Rental hiring and real estate services	106
Capital Region	1	Retail trade	1642
Capital Region	1	Transport postal and warehousing	239
Capital Region	1	Wholesale trade	108
Capital Region	16		214
Capital Region	16	Accommodation and food services	1019
Capital Region	16	Administrative and support services	271
Capital Region	16	Agriculture forestry and fishing	487
Capital Region	16	Arts and recreation services	143
Capital Region	16	Construction	309
Capital Region	16	Education and training	720
Capital Region	16	Electricity gas water and waste services	35
Capital Region	16	Financial and insurance services	101
Capital Region	16	Health care and social assistance	1547
Capital Region	16	Information media and telecommunications	54
Capital Region	16	Manufacturing	264
Capital Region	16	Mining	14
Capital Region	16	Other services	257
Capital Region	16	Professional scientific and technical services	329
Capital Region	16	Public administration and safety	350
Capital Region	16	Rental hiring and real estate services	105
Capital Region	16	Retail trade	1095
Capital Region	16	Transport postal and warehousing	281
Capital Region	16	Wholesale trade	95
Capital Region	25		265
Capital Region	25	Accommodation and food services	1122
Capital Region	25	Administrative and support services	341
Capital Region	25	Agriculture forestry and fishing	608
Capital Region	25	Arts and recreation services	224
Capital Region	25	Construction	453
Capital Region	25	Education and training	937
Capital Region	25	Electricity gas water and waste services	75
Capital Region	25	Financial and insurance services	113
Capital Region	25	Health care and social assistance	2023
Capital Region	25	Information media and telecommunications	74
Capital Region	25	Manufacturing	335
Capital Region	25	Mining	18
Capital Region	25	Other services	293
Capital Region	25	Professional scientific and technical services	388
Capital Region	25	Public administration and safety	459
Capital Region	25	Rental hiring and real estate services	123
Capital Region	25	Retail trade	1294
Capital Region	25	Transport postal and warehousing	312
Capital Region	25	Wholesale trade	125
Capital Region	35		385
Capital Region	35	Accommodation and food services	969
Capital Region	35	Administrative and support services	317
Capital Region	35	Agriculture forestry and fishing	562
Capital Region	35	Arts and recreation services	330
Capital Region	35	Construction	883
Capital Region	35	Education and training	865
Capital Region	35	Electricity gas water and waste services	330
Capital Region	35	Financial and insurance services	203
Capital Region	35	Health care and social assistance	1805
Capital Region	35	Information media and telecommunications	150
Capital Region	35	Manufacturing	919
Capital Region	35	Mining	35
Capital Region	35	Other services	521
Capital Region	35	Professional scientific and technical services	485
Capital Region	35	Public administration and safety	2190
Capital Region	35	Rental hiring and real estate services	205
Capital Region	35	Retail trade	1508
Capital Region	35	Transport postal and warehousing	372
Capital Region	35	Wholesale trade	244
Capital Region	40		409
Capital Region	40	Accommodation and food services	629
Capital Region	40	Administrative and support services	231
Capital Region	40	Agriculture forestry and fishing	974
Capital Region	40	Arts and recreation services	209
Capital Region	40	Construction	1657
Capital Region	40	Education and training	807
Capital Region	40	Electricity gas water and waste services	262
Capital Region	40	Financial and insurance services	165
Capital Region	40	Health care and social assistance	1269
Capital Region	40	Information media and telecommunications	100
Capital Region	40	Manufacturing	842
Capital Region	40	Mining	78
Capital Region	40	Other services	549
Capital Region	40	Professional scientific and technical services	461
Capital Region	40	Public administration and safety	1009
Capital Region	40	Rental hiring and real estate services	198
Capital Region	40	Retail trade	785
Capital Region	40	Transport postal and warehousing	363
Capital Region	40	Wholesale trade	259
Capital Region	41		169
Capital Region	41	Accommodation and food services	453
Capital Region	41	Administrative and support services	77
Capital Region	41	Agriculture forestry and fishing	487
Capital Region	41	Arts and recreation services	169
Capital Region	41	Construction	783
Capital Region	41	Education and training	500
Capital Region	41	Electricity gas water and waste services	144
Capital Region	41	Financial and insurance services	67
Capital Region	41	Health care and social assistance	439
Capital Region	41	Information media and telecommunications	35
Capital Region	41	Manufacturing	519
Capital Region	41	Mining	75
Capital Region	41	Other services	276
Capital Region	41	Professional scientific and technical services	247
Capital Region	41	Public administration and safety	700
Capital Region	41	Rental hiring and real estate services	103
Capital Region	41	Retail trade	543
Capital Region	41	Transport postal and warehousing	242
Capital Region	41	Wholesale trade	186
Capital Region	49		372
Capital Region	49	Accommodation and food services	1182
Capital Region	49	Administrative and support services	173
Capital Region	49	Agriculture forestry and fishing	2165
Capital Region	49	Arts and recreation services	258
Capital Region	49	Construction	1342
Capital Region	49	Education and training	863
Capital Region	49	Electricity gas water and waste services	154
Capital Region	49	Financial and insurance services	107
Capital Region	49	Health care and social assistance	712
Capital Region	49	Information media and telecommunications	62
Capital Region	49	Manufacturing	666
Capital Region	49	Mining	183
Capital Region	49	Other services	438
Capital Region	49	Professional scientific and technical services	459
Capital Region	49	Public administration and safety	661
Capital Region	49	Rental hiring and real estate services	238
Capital Region	49	Retail trade	831
Capital Region	49	Transport postal and warehousing	695
Capital Region	49	Wholesale trade	260
Central Coast			847
Central Coast		Accommodation and food services	130
Central Coast		Administrative and support services	42
Central Coast		Agriculture forestry and fishing	21
Central Coast		Arts and recreation services	13
Central Coast		Construction	118
Central Coast		Education and training	62
Central Coast		Electricity gas water and waste services	12
Central Coast		Financial and insurance services	25
Central Coast		Health care and social assistance	183
Central Coast		Information media and telecommunications	13
Central Coast		Manufacturing	57
Central Coast		Mining	6
Central Coast		Other services	61
Central Coast		Professional scientific and technical services	38
Central Coast		Public administration and safety	52
Central Coast		Rental hiring and real estate services	19
Central Coast		Retail trade	160
Central Coast		Transport postal and warehousing	42
Central Coast		Wholesale trade	16
Central Coast	0		140
Central Coast	0	Accommodation and food services	317
Central Coast	0	Administrative and support services	123
Central Coast	0	Agriculture forestry and fishing	30
Central Coast	0	Arts and recreation services	55
Central Coast	0	Construction	197
Central Coast	0	Education and training	353
Central Coast	0	Electricity gas water and waste services	46
Central Coast	0	Financial and insurance services	119
Central Coast	0	Health care and social assistance	885
Central Coast	0	Information media and telecommunications	40
Central Coast	0	Manufacturing	162
Central Coast	0	Mining	20
Central Coast	0	Other services	126
Central Coast	0	Professional scientific and technical services	115
Central Coast	0	Public administration and safety	304
Central Coast	0	Rental hiring and real estate services	55
Central Coast	0	Retail trade	517
Central Coast	0	Transport postal and warehousing	95
Central Coast	0	Wholesale trade	56
Central Coast	1		487
Central Coast	1	Accommodation and food services	3347
Central Coast	1	Administrative and support services	664
Central Coast	1	Agriculture forestry and fishing	101
Central Coast	1	Arts and recreation services	422
Central Coast	1	Construction	619
Central Coast	1	Education and training	1150
Central Coast	1	Electricity gas water and waste services	26
Central Coast	1	Financial and insurance services	141
Central Coast	1	Health care and social assistance	1638
Central Coast	1	Information media and telecommunications	182
Central Coast	1	Manufacturing	418
Central Coast	1	Mining	8
Central Coast	1	Other services	654
Central Coast	1	Professional scientific and technical services	650
Central Coast	1	Public administration and safety	304
Central Coast	1	Rental hiring and real estate services	210
Central Coast	1	Retail trade	3160
Central Coast	1	Transport postal and warehousing	307
Central Coast	1	Wholesale trade	150
Central Coast	16		364
Central Coast	16	Accommodation and food services	1562
