SA4_NAME16	EmploymentStatus	workers
Capital Region	Contributing family workers	2695
Capital Region	Employee	55846
Capital Region	Owner managers of incorporated enterprises	5364
Capital Region	Owner managers of unincorporated enterprises	8352
Capital Region	Status in employment not stated	983
Central Coast	Contributing family workers	1503
Central Coast	Employee	86009
Central Coast	Owner managers of incorporated enterprises	7309
Central Coast	Owner managers of unincorporated enterprises	8802
Central Coast	Status in employment not stated	1115
Central West	Contributing family workers	3014
Central West	Employee	65855
Central West	Owner managers of incorporated enterprises	4636
Central West	Owner managers of unincorporated enterprises	8462
Central West	Status in employment not stated	1230
Coffs Harbour - Grafton	Contributing family workers	1278
Coffs Harbour - Grafton	Employee	38947
Coffs Harbour - Grafton	Owner managers of incorporated enterprises	2793
Coffs Harbour - Grafton	Owner managers of unincorporated enterprises	5143
Coffs Harbour - Grafton	Status in employment not stated	679
Far West and Orana	Contributing family workers	2017
Far West and Orana	Employee	35902
Far West and Orana	Owner managers of incorporated enterprises	2396
Far West and Orana	Owner managers of unincorporated enterprises	4780
Far West and Orana	Status in employment not stated	791
Hunter Valley exc Newcastle	Contributing family workers	1833
Hunter Valley exc Newcastle	Employee	85601
Hunter Valley exc Newcastle	Owner managers of incorporated enterprises	5279
Hunter Valley exc Newcastle	Owner managers of unincorporated enterprises	6356
Hunter Valley exc Newcastle	Status in employment not stated	1031
Illawarra	Contributing family workers	1150
Illawarra	Employee	87024
Illawarra	Owner managers of incorporated enterprises	5851
Illawarra	Owner managers of unincorporated enterprises	7018
Illawarra	Status in employment not stated	981
Mid North Coast	Contributing family workers	1913
Mid North Coast	Employee	53800
Mid North Coast	Owner managers of incorporated enterprises	4032
Mid North Coast	Owner managers of unincorporated enterprises	7512
Mid North Coast	Status in employment not stated	1098
Murray	Contributing family workers	1794
Murray	Employee	38679
Murray	Owner managers of incorporated enterprises	3473
Murray	Owner managers of unincorporated enterprises	4513
Murray	Status in employment not stated	675
New England and North West	Contributing family workers	3284
New England and North West	Employee	57086
New England and North West	Owner managers of incorporated enterprises	4170
New England and North West	Owner managers of unincorporated enterprises	7997
New England and North West	Status in employment not stated	1155
Newcastle and Lake Macquarie	Contributing family workers	1443
Newcastle and Lake Macquarie	Employee	135695
Newcastle and Lake Macquarie	Owner managers of incorporated enterprises	8322
Newcastle and Lake Macquarie	Owner managers of unincorporated enterprises	8916
Newcastle and Lake Macquarie	Status in employment not stated	1220
Richmond - Tweed	Contributing family workers	2171
Richmond - Tweed	Employee	65750
Richmond - Tweed	Owner managers of incorporated enterprises	5694
Richmond - Tweed	Owner managers of unincorporated enterprises	10918
Richmond - Tweed	Status in employment not stated	1241
Riverina	Contributing family workers	2252
Riverina	Employee	54742
Riverina	Owner managers of incorporated enterprises	3920
Riverina	Owner managers of unincorporated enterprises	6155
Riverina	Status in employment not stated	918
Southern Highlands and Shoalhaven	Contributing family workers	1170
Southern Highlands and Shoalhaven	Employee	40058
Southern Highlands and Shoalhaven	Owner managers of incorporated enterprises	3931
Southern Highlands and Shoalhaven	Owner managers of unincorporated enterprises	5682
Southern Highlands and Shoalhaven	Status in employment not stated	725
Sydney - Baulkham Hills and Hawkesbury	Contributing family workers	1365
Sydney - Baulkham Hills and Hawkesbury	Employee	63687
Sydney - Baulkham Hills and Hawkesbury	Owner managers of incorporated enterprises	8603
Sydney - Baulkham Hills and Hawkesbury	Owner managers of unincorporated enterprises	6180
Sydney - Baulkham Hills and Hawkesbury	Status in employment not stated	642
Sydney - Blacktown	Contributing family workers	1011
Sydney - Blacktown	Employee	91894
Sydney - Blacktown	Owner managers of incorporated enterprises	6677
Sydney - Blacktown	Owner managers of unincorporated enterprises	5798
Sydney - Blacktown	Status in employment not stated	1010
Sydney - City and Inner South	Contributing family workers	2496
Sydney - City and Inner South	Employee	523949
Sydney - City and Inner South	Owner managers of incorporated enterprises	27651
Sydney - City and Inner South	Owner managers of unincorporated enterprises	20300
Sydney - City and Inner South	Status in employment not stated	3946
Sydney - Eastern Suburbs	Contributing family workers	1300
Sydney - Eastern Suburbs	Employee	72289
Sydney - Eastern Suburbs	Owner managers of incorporated enterprises	8793
Sydney - Eastern Suburbs	Owner managers of unincorporated enterprises	8693
Sydney - Eastern Suburbs	Status in employment not stated	800
Sydney - Inner South West	Contributing family workers	2170
Sydney - Inner South West	Employee	119379
Sydney - Inner South West	Owner managers of incorporated enterprises	13286
Sydney - Inner South West	Owner managers of unincorporated enterprises	12103
Sydney - Inner South West	Status in employment not stated	1690
Sydney - Inner West	Contributing family workers	1346
Sydney - Inner West	Employee	87300
Sydney - Inner West	Owner managers of incorporated enterprises	9278
Sydney - Inner West	Owner managers of unincorporated enterprises	8315
Sydney - Inner West	Status in employment not stated	991
Sydney - North Sydney and Hornsby	Contributing family workers	2408
Sydney - North Sydney and Hornsby	Employee	178774
Sydney - North Sydney and Hornsby	Owner managers of incorporated enterprises	18143
Sydney - North Sydney and Hornsby	Owner managers of unincorporated enterprises	12866
Sydney - North Sydney and Hornsby	Status in employment not stated	1448
Sydney - Northern Beaches	Contributing family workers	1440
Sydney - Northern Beaches	Employee	66096
Sydney - Northern Beaches	Owner managers of incorporated enterprises	10930
Sydney - Northern Beaches	Owner managers of unincorporated enterprises	9061
Sydney - Northern Beaches	Status in employment not stated	708
Sydney - Outer South West	Contributing family workers	940
Sydney - Outer South West	Employee	66069
Sydney - Outer South West	Owner managers of incorporated enterprises	5742
Sydney - Outer South West	Owner managers of unincorporated enterprises	5034
Sydney - Outer South West	Status in employment not stated	870
Sydney - Outer West and Blue Mountains	Contributing family workers	1244
Sydney - Outer West and Blue Mountains	Employee	85262
Sydney - Outer West and Blue Mountains	Owner managers of incorporated enterprises	6976
Sydney - Outer West and Blue Mountains	Owner managers of unincorporated enterprises	7889
Sydney - Outer West and Blue Mountains	Status in employment not stated	899
Sydney - Parramatta	Contributing family workers	1770
Sydney - Parramatta	Employee	192017
Sydney - Parramatta	Owner managers of incorporated enterprises	12808
Sydney - Parramatta	Owner managers of unincorporated enterprises	9719
Sydney - Parramatta	Status in employment not stated	2047
Sydney - Ryde	Contributing family workers	834
Sydney - Ryde	Employee	88232
Sydney - Ryde	Owner managers of incorporated enterprises	5462
Sydney - Ryde	Owner managers of unincorporated enterprises	4480
Sydney - Ryde	Status in employment not stated	597
Sydney - South West	Contributing family workers	1539
Sydney - South West	Employee	104308
Sydney - South West	Owner managers of incorporated enterprises	9485
Sydney - South West	Owner managers of unincorporated enterprises	7632
Sydney - South West	Status in employment not stated	1521
Sydney - Sutherland	Contributing family workers	893
Sydney - Sutherland	Employee	52554
Sydney - Sutherland	Owner managers of incorporated enterprises	6737
Sydney - Sutherland	Owner managers of unincorporated enterprises	5613
Sydney - Sutherland	Status in employment not stated	587
Migratory - Offshore - Shipping (NSW)	Employee	61
Migratory - Offshore - Shipping (NSW)	Owner managers of incorporated enterprises	7
Migratory - Offshore - Shipping (NSW)	Owner managers of unincorporated enterprises	16
Migratory - Offshore - Shipping (NSW)	Status in employment not stated	3
No usual address (NSW)	Contributing family workers	1997
No usual address (NSW)	Employee	79636
No usual address (NSW)	Owner managers of incorporated enterprises	17188
No usual address (NSW)	Owner managers of unincorporated enterprises	41954
No usual address (NSW)	Status in employment not stated	2587
Ballarat	Contributing family workers	1462
Ballarat	Employee	49149
Ballarat	Owner managers of incorporated enterprises	3900
