SA4_NAME16	Age	Sex	workers
Capital Region	15-19	F	2496
Capital Region	15-19	M	2343
Capital Region	20-24	F	2744
Capital Region	20-24	M	3230
Capital Region	25-29	F	2795
Capital Region	25-29	M	3287
Capital Region	30-34	F	2869
Capital Region	30-34	M	3299
Capital Region	35-39	F	3064
Capital Region	35-39	M	3108
Capital Region	40-44	F	3724
Capital Region	40-44	M	3713
Capital Region	45-49	F	4257
Capital Region	45-49	M	3941
Capital Region	50-54	F	4498
Capital Region	50-54	M	4213
Capital Region	55-59	F	4163
Capital Region	55-59	M	4121
Capital Region	60-64	F	2861
Capital Region	60-64	M	3194
Capital Region	65-69	F	1273
Capital Region	65-69	M	1792
Capital Region	70-74	F	529
Capital Region	70-74	M	808
Capital Region	75+	F	265
Capital Region	75+	M	638
Central Coast	15-19	F	4366
Central Coast	15-19	M	3332
Central Coast	20-24	F	5052
Central Coast	20-24	M	4779
Central Coast	25-29	F	4841
Central Coast	25-29	M	4520
Central Coast	30-34	F	5062
Central Coast	30-34	M	4695
Central Coast	35-39	F	5372
Central Coast	35-39	M	4562
Central Coast	40-44	F	6502
Central Coast	40-44	M	4991
Central Coast	45-49	F	6995
Central Coast	45-49	M	5173
Central Coast	50-54	F	6684
Central Coast	50-54	M	5264
Central Coast	55-59	F	6103
Central Coast	55-59	M	4864
Central Coast	60-64	F	3728
Central Coast	60-64	M	3385
Central Coast	65-69	F	1350
Central Coast	65-69	M	1602
Central Coast	70-74	F	439
Central Coast	70-74	M	609
Central Coast	75+	F	137
Central Coast	75+	M	309
Central West	15-19	F	2526
Central West	15-19	M	2345
Central West	20-24	F	3375
Central West	20-24	M	3623
Central West	25-29	F	3537
Central West	25-29	M	4102
Central West	30-34	F	3805
Central West	30-34	M	4214
Central West	35-39	F	3766
Central West	35-39	M	4041
Central West	40-44	F	4501
Central West	40-44	M	4353
Central West	45-49	F	4712
Central West	45-49	M	4552
Central West	50-54	F	4651
Central West	50-54	M	4601
Central West	55-59	F	4240
Central West	55-59	M	4490
Central West	60-64	F	2828
Central West	60-64	M	3265
Central West	65-69	F	1290
Central West	65-69	M	1798
Central West	70-74	F	549
Central West	70-74	M	948
Central West	75+	F	372
Central West	75+	M	731
Coffs Harbour - Grafton	15-19	F	1689
Coffs Harbour - Grafton	15-19	M	1434
Coffs Harbour - Grafton	20-24	F	1747
Coffs Harbour - Grafton	20-24	M	1885
Coffs Harbour - Grafton	25-29	F	1905
Coffs Harbour - Grafton	25-29	M	1951
Coffs Harbour - Grafton	30-34	F	2021
Coffs Harbour - Grafton	30-34	M	2064
Coffs Harbour - Grafton	35-39	F	2222
Coffs Harbour - Grafton	35-39	M	2102
Coffs Harbour - Grafton	40-44	F	2856
Coffs Harbour - Grafton	40-44	M	2531
Coffs Harbour - Grafton	45-49	F	3179
Coffs Harbour - Grafton	45-49	M	2586
Coffs Harbour - Grafton	50-54	F	3204
Coffs Harbour - Grafton	50-54	M	2761
Coffs Harbour - Grafton	55-59	F	3194
Coffs Harbour - Grafton	55-59	M	2745
Coffs Harbour - Grafton	60-64	F	2015
Coffs Harbour - Grafton	60-64	M	2148
Coffs Harbour - Grafton	65-69	F	717
Coffs Harbour - Grafton	65-69	M	954
Coffs Harbour - Grafton	70-74	F	216
Coffs Harbour - Grafton	70-74	M	360
Coffs Harbour - Grafton	75+	F	119
Coffs Harbour - Grafton	75+	M	242
Far West and Orana	15-19	F	1215
Far West and Orana	15-19	M	1110
Far West and Orana	20-24	F	1800
Far West and Orana	20-24	M	1943
Far West and Orana	25-29	F	2402
Far West and Orana	25-29	M	2357
Far West and Orana	30-34	F	2207
Far West and Orana	30-34	M	2350
Far West and Orana	35-39	F	2051
Far West and Orana	35-39	M	2085
Far West and Orana	40-44	F	2237
Far West and Orana	40-44	M	2248
Far West and Orana	45-49	F	2473
Far West and Orana	45-49	M	2424
Far West and Orana	50-54	F	2585
Far West and Orana	50-54	M	2583
Far West and Orana	55-59	F	2437
Far West and Orana	55-59	M	2590
Far West and Orana	60-64	F	1636
Far West and Orana	60-64	M	1901
Far West and Orana	65-69	F	689
Far West and Orana	65-69	M	1103
Far West and Orana	70-74	F	306
Far West and Orana	70-74	M	495
Far West and Orana	75+	F	220
Far West and Orana	75+	M	443
Hunter Valley exc Newcastle	15-19	F	3452
Hunter Valley exc Newcastle	15-19	M	3182
Hunter Valley exc Newcastle	20-24	F	4240
Hunter Valley exc Newcastle	20-24	M	4952
Hunter Valley exc Newcastle	25-29	F	4503
Hunter Valley exc Newcastle	25-29	M	5828
