SA4_NAME16	IndustryOfEmployment	workers_born_overseas
Capital Region		395
Capital Region	Accommodation and food services	1319
Capital Region	Administrative and support services	286
Capital Region	Agriculture forestry and fishing	494
Capital Region	Arts and recreation services	222
Capital Region	Construction	628
Capital Region	Education and training	582
Capital Region	Electricity gas water and waste services	111
Capital Region	Financial and insurance services	88
Capital Region	Health care and social assistance	1691
Capital Region	Information media and telecommunications	60
Capital Region	Manufacturing	614
Capital Region	Mining	39
Capital Region	Other services	331
Capital Region	Professional scientific and technical services	470
Capital Region	Public administration and safety	669
Capital Region	Rental hiring and real estate services	127
Capital Region	Retail trade	890
Capital Region	Transport postal and warehousing	288
Capital Region	Wholesale trade	132
Central Coast		776
Central Coast	Accommodation and food services	1688
Central Coast	Administrative and support services	607
Central Coast	Agriculture forestry and fishing	163
Central Coast	Arts and recreation services	215
Central Coast	Construction	1064
Central Coast	Education and training	1033
Central Coast	Electricity gas water and waste services	109
Central Coast	Financial and insurance services	332
Central Coast	Health care and social assistance	4152
Central Coast	Information media and telecommunications	220
Central Coast	Manufacturing	1303
Central Coast	Mining	62
Central Coast	Other services	712
Central Coast	Professional scientific and technical services	940
Central Coast	Public administration and safety	704
Central Coast	Rental hiring and real estate services	244
Central Coast	Retail trade	1649
Central Coast	Transport postal and warehousing	467
Central Coast	Wholesale trade	328
Central West		281
Central West	Accommodation and food services	812
Central West	Administrative and support services	235
Central West	Agriculture forestry and fishing	433
Central West	Arts and recreation services	57
Central West	Construction	324
Central West	Education and training	600
Central West	Electricity gas water and waste services	61
Central West	Financial and insurance services	85
Central West	Health care and social assistance	1517
Central West	Information media and telecommunications	57
Central West	Manufacturing	573
Central West	Mining	383
Central West	Other services	224
Central West	Professional scientific and technical services	313
Central West	Public administration and safety	438
Central West	Rental hiring and real estate services	49
Central West	Retail trade	610
Central West	Transport postal and warehousing	191
Central West	Wholesale trade	123
Coffs Harbour - Grafton		269
Coffs Harbour - Grafton	Accommodation and food services	665
Coffs Harbour - Grafton	Administrative and support services	166
Coffs Harbour - Grafton	Agriculture forestry and fishing	962
Coffs Harbour - Grafton	Arts and recreation services	67
Coffs Harbour - Grafton	Construction	361
Coffs Harbour - Grafton	Education and training	437
Coffs Harbour - Grafton	Electricity gas water and waste services	31
Coffs Harbour - Grafton	Financial and insurance services	52
Coffs Harbour - Grafton	Health care and social assistance	1411
Coffs Harbour - Grafton	Information media and telecommunications	42
Coffs Harbour - Grafton	Manufacturing	208
Coffs Harbour - Grafton	Mining	7
Coffs Harbour - Grafton	Other services	196
Coffs Harbour - Grafton	Professional scientific and technical services	304
Coffs Harbour - Grafton	Public administration and safety	283
Coffs Harbour - Grafton	Rental hiring and real estate services	84
Coffs Harbour - Grafton	Retail trade	485
Coffs Harbour - Grafton	Transport postal and warehousing	180
Coffs Harbour - Grafton	Wholesale trade	85
Far West and Orana		124
Far West and Orana	Accommodation and food services	488
Far West and Orana	Administrative and support services	74
Far West and Orana	Agriculture forestry and fishing	243
Far West and Orana	Arts and recreation services	34
Far West and Orana	Construction	96
Far West and Orana	Education and training	250
Far West and Orana	Electricity gas water and waste services	26
Far West and Orana	Financial and insurance services	32
Far West and Orana	Health care and social assistance	874
Far West and Orana	Information media and telecommunications	19
Far West and Orana	Manufacturing	292
Far West and Orana	Mining	184
Far West and Orana	Other services	114
Far West and Orana	Professional scientific and technical services	127
Far West and Orana	Public administration and safety	204
Far West and Orana	Rental hiring and real estate services	20
Far West and Orana	Retail trade	379
Far West and Orana	Transport postal and warehousing	70
Far West and Orana	Wholesale trade	51
Hunter Valley exc Newcastle		377
Hunter Valley exc Newcastle	Accommodation and food services	1083
Hunter Valley exc Newcastle	Administrative and support services	326
Hunter Valley exc Newcastle	Agriculture forestry and fishing	402
Hunter Valley exc Newcastle	Arts and recreation services	106
Hunter Valley exc Newcastle	Construction	637
Hunter Valley exc Newcastle	Education and training	529
Hunter Valley exc Newcastle	Electricity gas water and waste services	139
