SA4_NAME16	EmploymentStatus	IncomeTotPersonal.max	Sex	workers
Capital Region	Contributing family workers	0	F	225
Capital Region	Contributing family workers	0	M	160
Capital Region	Contributing family workers	7875	F	130
Capital Region	Contributing family workers	7875	M	82
Capital Region	Contributing family workers	15750	F	175
Capital Region	Contributing family workers	15750	M	135
Capital Region	Contributing family workers	21000	F	123
Capital Region	Contributing family workers	21000	M	117
Capital Region	Contributing family workers	26250	F	123
Capital Region	Contributing family workers	26250	M	132
Capital Region	Contributing family workers	34125	F	146
Capital Region	Contributing family workers	34125	M	131
Capital Region	Contributing family workers	42000	F	82
Capital Region	Contributing family workers	42000	M	129
Capital Region	Contributing family workers	52500	F	70
Capital Region	Contributing family workers	52500	M	95
Capital Region	Contributing family workers	65625	F	69
Capital Region	Contributing family workers	65625	M	90
Capital Region	Contributing family workers	78750	F	30
Capital Region	Contributing family workers	78750	M	63
Capital Region	Contributing family workers	91875	F	31
Capital Region	Contributing family workers	91875	M	54
Capital Region	Contributing family workers	105000	F	22
Capital Region	Contributing family workers	105000	M	27
Capital Region	Contributing family workers	157500	F	36
Capital Region	Contributing family workers	157500	M	42
Capital Region	Contributing family workers	Inf	F	29
Capital Region	Contributing family workers	Inf	M	47
Capital Region	Employee	0	F	120
Capital Region	Employee	0	M	94
Capital Region	Employee	7875	F	1523
Capital Region	Employee	7875	M	997
Capital Region	Employee	15750	F	1447
Capital Region	Employee	15750	M	724
Capital Region	Employee	21000	F	1775
Capital Region	Employee	21000	M	857
Capital Region	Employee	26250	F	2425
Capital Region	Employee	26250	M	1199
Capital Region	Employee	34125	F	3930
Capital Region	Employee	34125	M	2115
Capital Region	Employee	42000	F	4375
Capital Region	Employee	42000	M	3209
Capital Region	Employee	52500	F	3914
Capital Region	Employee	52500	M	4371
Capital Region	Employee	65625	F	3241
Capital Region	Employee	65625	M	4133
Capital Region	Employee	78750	F	2021
Capital Region	Employee	78750	M	2567
Capital Region	Employee	91875	F	1453
Capital Region	Employee	91875	M	2019
Capital Region	Employee	105000	F	1066
Capital Region	Employee	105000	M	1633
Capital Region	Employee	157500	F	955
Capital Region	Employee	157500	M	1992
Capital Region	Employee	Inf	F	218
Capital Region	Employee	Inf	M	600
Capital Region	Owner managers of incorporated enterprises	0	F	15
Capital Region	Owner managers of incorporated enterprises	0	M	20
Capital Region	Owner managers of incorporated enterprises	7875	F	25
Capital Region	Owner managers of incorporated enterprises	7875	M	21
Capital Region	Owner managers of incorporated enterprises	15750	F	69
Capital Region	Owner managers of incorporated enterprises	15750	M	59
Capital Region	Owner managers of incorporated enterprises	21000	F	103
Capital Region	Owner managers of incorporated enterprises	21000	M	108
Capital Region	Owner managers of incorporated enterprises	26250	F	93
Capital Region	Owner managers of incorporated enterprises	26250	M	112
Capital Region	Owner managers of incorporated enterprises	34125	F	187
Capital Region	Owner managers of incorporated enterprises	34125	M	260
Capital Region	Owner managers of incorporated enterprises	42000	F	182
Capital Region	Owner managers of incorporated enterprises	42000	M	318
Capital Region	Owner managers of incorporated enterprises	52500	F	202
Capital Region	Owner managers of incorporated enterprises	52500	M	417
Capital Region	Owner managers of incorporated enterprises	65625	F	204
Capital Region	Owner managers of incorporated enterprises	65625	M	543
Capital Region	Owner managers of incorporated enterprises	78750	F	134
Capital Region	Owner managers of incorporated enterprises	78750	M	416
Capital Region	Owner managers of incorporated enterprises	91875	F	167
Capital Region	Owner managers of incorporated enterprises	91875	M	428
Capital Region	Owner managers of incorporated enterprises	105000	F	72
Capital Region	Owner managers of incorporated enterprises	105000	M	215
Capital Region	Owner managers of incorporated enterprises	157500	F	111
Capital Region	Owner managers of incorporated enterprises	157500	M	335
Capital Region	Owner managers of incorporated enterprises	Inf	F	111
Capital Region	Owner managers of incorporated enterprises	Inf	M	352
Capital Region	Owner managers of unincorporated enterprises	0	F	46
Capital Region	Owner managers of unincorporated enterprises	0	M	67
Capital Region	Owner managers of unincorporated enterprises	7875	F	129
Capital Region	Owner managers of unincorporated enterprises	7875	M	103
Capital Region	Owner managers of unincorporated enterprises	15750	F	279
Capital Region	Owner managers of unincorporated enterprises	15750	M	245
Capital Region	Owner managers of unincorporated enterprises	21000	F	290
Capital Region	Owner managers of unincorporated enterprises	21000	M	323
Capital Region	Owner managers of unincorporated enterprises	26250	F	328
Capital Region	Owner managers of unincorporated enterprises	26250	M	408
Capital Region	Owner managers of unincorporated enterprises	34125	F	440
Capital Region	Owner managers of unincorporated enterprises	34125	M	600
Capital Region	Owner managers of unincorporated enterprises	42000	F	384
Capital Region	Owner managers of unincorporated enterprises	42000	M	595
Capital Region	Owner managers of unincorporated enterprises	52500	F	343
Capital Region	Owner managers of unincorporated enterprises	52500	M	671
Capital Region	Owner managers of unincorporated enterprises	65625	F	264
Capital Region	Owner managers of unincorporated enterprises	65625	M	647
Capital Region	Owner managers of unincorporated enterprises	78750	F	186
Capital Region	Owner managers of unincorporated enterprises	78750	M	437
Capital Region	Owner managers of unincorporated enterprises	91875	F	123
Capital Region	Owner managers of unincorporated enterprises	91875	M	320
Capital Region	Owner managers of unincorporated enterprises	105000	F	63
Capital Region	Owner managers of unincorporated enterprises	105000	M	195
Capital Region	Owner managers of unincorporated enterprises	157500	F	103
Capital Region	Owner managers of unincorporated enterprises	157500	M	246
Capital Region	Owner managers of unincorporated enterprises	Inf	F	115
Capital Region	Owner managers of unincorporated enterprises	Inf	M	264
Capital Region	Status in employment not stated	0	F	13
Capital Region	Status in employment not stated	0	M	14
Capital Region	Status in employment not stated	7875	F	43
Capital Region	Status in employment not stated	7875	M	18
Capital Region	Status in employment not stated	15750	F	35
Capital Region	Status in employment not stated	15750	M	36
Capital Region	Status in employment not stated	21000	F	45
Capital Region	Status in employment not stated	21000	M	42
Capital Region	Status in employment not stated	26250	F	48
Capital Region	Status in employment not stated	26250	M	43
Capital Region	Status in employment not stated	34125	F	39
Capital Region	Status in employment not stated	34125	M	63
Capital Region	Status in employment not stated	42000	F	47
Capital Region	Status in employment not stated	42000	M	46
Capital Region	Status in employment not stated	52500	F	47
Capital Region	Status in employment not stated	52500	M	79
Capital Region	Status in employment not stated	65625	F	29
Capital Region	Status in employment not stated	65625	M	61
Capital Region	Status in employment not stated	78750	F	15
Capital Region	Status in employment not stated	78750	M	32
Capital Region	Status in employment not stated	91875	F	15
Capital Region	Status in employment not stated	91875	M	22
Capital Region	Status in employment not stated	105000	F	11
Capital Region	Status in employment not stated	105000	M	8
Capital Region	Status in employment not stated	157500	F	10
Capital Region	Status in employment not stated	157500	M	32
Capital Region	Status in employment not stated	Inf	F	7
Capital Region	Status in employment not stated	Inf	M	23
Central Coast	Contributing family workers	0	F	159
Central Coast	Contributing family workers	0	M	121
Central Coast	Contributing family workers	7875	F	91
Central Coast	Contributing family workers	7875	M	48
Central Coast	Contributing family workers	15750	F	90
Central Coast	Contributing family workers	15750	M	65
Central Coast	Contributing family workers	21000	F	103
Central Coast	Contributing family workers	21000	M	69
Central Coast	Contributing family workers	26250	F	80
Central Coast	Contributing family workers	26250	M	52
Central Coast	Contributing family workers	34125	F	103
Central Coast	Contributing family workers	34125	M	55
Central Coast	Contributing family workers	42000	F	58
Central Coast	Contributing family workers	42000	M	40
Central Coast	Contributing family workers	52500	F	50
Central Coast	Contributing family workers	52500	M	47
Central Coast	Contributing family workers	65625	F	35
Central Coast	Contributing family workers	65625	M	42
Central Coast	Contributing family workers	78750	F	22
Central Coast	Contributing family workers	78750	M	24
Central Coast	Contributing family workers	91875	F	15
Central Coast	Contributing family workers	91875	M	24
Central Coast	Contributing family workers	105000	F	14
Central Coast	Contributing family workers	105000	M	9
Central Coast	Contributing family workers	157500	F	13
Central Coast	Contributing family workers	157500	M	14
Central Coast	Contributing family workers	Inf	F	12
Central Coast	Contributing family workers	Inf	M	22
Central Coast	Employee	0	F	193
Central Coast	Employee	0	M	119
Central Coast	Employee	7875	F	2817
Central Coast	Employee	7875	M	1562
Central Coast	Employee	15750	F	2842
Central Coast	Employee	15750	M	1247
Central Coast	Employee	21000	F	3146
Central Coast	Employee	21000	M	1169
Central Coast	Employee	26250	F	3872
Central Coast	Employee	26250	M	1583
Central Coast	Employee	34125	F	6349
Central Coast	Employee	34125	M	2652
Central Coast	Employee	42000	F	7140
Central Coast	Employee	42000	M	4053
Central Coast	Employee	52500	F	6901
Central Coast	Employee	52500	M	5635
Central Coast	Employee	65625	F	5558
Central Coast	Employee	65625	M	5549
Central Coast	Employee	78750	F	3349
Central Coast	Employee	78750	M	3618
Central Coast	Employee	91875	F	2542
Central Coast	Employee	91875	M	3116
Central Coast	Employee	105000	F	1868
Central Coast	Employee	105000	M	2278
Central Coast	Employee	157500	F	1459
Central Coast	Employee	157500	M	2778
Central Coast	Employee	Inf	F	358
Central Coast	Employee	Inf	M	996
Central Coast	Owner managers of incorporated enterprises	0	F	21
Central Coast	Owner managers of incorporated enterprises	0	M	25
Central Coast	Owner managers of incorporated enterprises	7875	F	40
Central Coast	Owner managers of incorporated enterprises	7875	M	29
Central Coast	Owner managers of incorporated enterprises	15750	F	86
Central Coast	Owner managers of incorporated enterprises	15750	M	51
Central Coast	Owner managers of incorporated enterprises	21000	F	138
Central Coast	Owner managers of incorporated enterprises	21000	M	142
Central Coast	Owner managers of incorporated enterprises	26250	F	165
Central Coast	Owner managers of incorporated enterprises	26250	M	146
Central Coast	Owner managers of incorporated enterprises	34125	F	235
Central Coast	Owner managers of incorporated enterprises	34125	M	273
Central Coast	Owner managers of incorporated enterprises	42000	F	270
Central Coast	Owner managers of incorporated enterprises	42000	M	389
Central Coast	Owner managers of incorporated enterprises	52500	F	288
Central Coast	Owner managers of incorporated enterprises	52500	M	498
Central Coast	Owner managers of incorporated enterprises	65625	F	287
Central Coast	Owner managers of incorporated enterprises	65625	M	750
Central Coast	Owner managers of incorporated enterprises	78750	F	202
Central Coast	Owner managers of incorporated enterprises	78750	M	533
Central Coast	Owner managers of incorporated enterprises	91875	F	190
Central Coast	Owner managers of incorporated enterprises	91875	M	535
Central Coast	Owner managers of incorporated enterprises	105000	F	101
Central Coast	Owner managers of incorporated enterprises	105000	M	307
Central Coast	Owner managers of incorporated enterprises	157500	F	202
Central Coast	Owner managers of incorporated enterprises	157500	M	579
Central Coast	Owner managers of incorporated enterprises	Inf	F	171
Central Coast	Owner managers of incorporated enterprises	Inf	M	532
Central Coast	Owner managers of unincorporated enterprises	0	F	42
Central Coast	Owner managers of unincorporated enterprises	0	M	45
Central Coast	Owner managers of unincorporated enterprises	7875	F	215
Central Coast	Owner managers of unincorporated enterprises	7875	M	89
Central Coast	Owner managers of unincorporated enterprises	15750	F	368
Central Coast	Owner managers of unincorporated enterprises	15750	M	196
Central Coast	Owner managers of unincorporated enterprises	21000	F	387
Central Coast	Owner managers of unincorporated enterprises	21000	M	294
Central Coast	Owner managers of unincorporated enterprises	26250	F	414
Central Coast	Owner managers of unincorporated enterprises	26250	M	345
Central Coast	Owner managers of unincorporated enterprises	34125	F	506
Central Coast	Owner managers of unincorporated enterprises	34125	M	538
Central Coast	Owner managers of unincorporated enterprises	42000	F	407
Central Coast	Owner managers of unincorporated enterprises	42000	M	549
Central Coast	Owner managers of unincorporated enterprises	52500	F	362
Central Coast	Owner managers of unincorporated enterprises	52500	M	689
Central Coast	Owner managers of unincorporated enterprises	65625	F	335
Central Coast	Owner managers of unincorporated enterprises	65625	M	726
