SA4_NAME16	CountryOfBirth	Sex	workers
Capital Region		F	1593
Capital Region		M	1625
Capital Region	AUS	F	30178
Capital Region	AUS	M	31973
Capital Region	CAN	F	82
Capital Region	CAN	M	67
Capital Region	CHN	F	140
Capital Region	CHN	M	146
Capital Region	HRV	F	18
Capital Region	HRV	M	30
Capital Region	EGY	F	5
Capital Region	EGY	M	19
Capital Region	FJI	F	62
Capital Region	FJI	M	39
Capital Region	MKD	F	33
Capital Region	MKD	M	55
Capital Region	DEU	F	154
Capital Region	DEU	M	142
Capital Region	GRC	F	15
Capital Region	GRC	M	45
Capital Region	HKG	F	43
Capital Region	HKG	M	37
Capital Region	IND	F	250
Capital Region	IND	M	390
Capital Region	IDN	F	31
Capital Region	IDN	M	14
Capital Region	IRN	F	16
Capital Region	IRN	M	26
Capital Region	IRQ	F	11
Capital Region	IRQ	M	16
Capital Region	IRL	F	66
Capital Region	IRL	M	71
Capital Region	ITA	F	37
Capital Region	ITA	M	86
Capital Region	JPN	F	30
Capital Region	JPN	M	13
Capital Region	LBN	F	10
Capital Region	LBN	M	39
Capital Region	MYS	F	69
Capital Region	MYS	M	43
Capital Region	MLT	F	16
Capital Region	MLT	M	25
Capital Region	NLD	F	86
Capital Region	NLD	M	83
Capital Region	NZL	F	525
Capital Region	NZL	M	582
Capital Region	PAK	F	22
Capital Region	PAK	M	54
Capital Region	PHL	F	256
Capital Region	PHL	M	130
Capital Region	POL	F	39
Capital Region	POL	M	34
Capital Region	SGP	F	20
Capital Region	SGP	M	25
Capital Region	ZAF	F	102
Capital Region	ZAF	M	135
Capital Region	KOR	F	50
Capital Region	KOR	M	78
Capital Region	LKA	F	35
Capital Region	LKA	M	77
Capital Region	THA	F	97
Capital Region	THA	M	37
Capital Region	TUR	F	8
Capital Region	TUR	M	13
Capital Region	GBR	F	1191
Capital Region	GBR	M	1318
Capital Region	USA	F	145
Capital Region	USA	M	141
Capital Region	VNM	F	66
Capital Region	VNM	M	56
Capital Region	ZWE	F	34
Capital Region	ZWE	M	40
Central Coast		F	1900
Central Coast		M	1781
Central Coast	AUS	F	46968
Central Coast	AUS	M	39403
Central Coast	CAN	F	136
Central Coast	CAN	M	112
Central Coast	CHN	F	360
Central Coast	CHN	M	268
Central Coast	HRV	F	31
Central Coast	HRV	M	31
Central Coast	EGY	F	34
Central Coast	EGY	M	61
Central Coast	FJI	F	80
Central Coast	FJI	M	92
Central Coast	MKD	F	7
Central Coast	MKD	M	4
Central Coast	DEU	F	142
Central Coast	DEU	M	117
Central Coast	GRC	F	22
Central Coast	GRC	M	29
Central Coast	HKG	F	62
Central Coast	HKG	M	76
Central Coast	IND	F	327
Central Coast	IND	M	523
Central Coast	IDN	F	80
Central Coast	IDN	M	74
Central Coast	IRN	F	28
Central Coast	IRN	M	44
Central Coast	IRQ	F	10
Central Coast	IRQ	M	19
Central Coast	IRL	F	166
Central Coast	IRL	M	154
Central Coast	ITA	F	58
Central Coast	ITA	M	103
Central Coast	JPN	F	77
Central Coast	JPN	M	25
Central Coast	LBN	F	29
Central Coast	LBN	M	58
Central Coast	MYS	F	114
Central Coast	MYS	M	123
Central Coast	MLT	F	40
Central Coast	MLT	M	63
Central Coast	NLD	F	96
Central Coast	NLD	M	82
Central Coast	NZL	F	1241
Central Coast	NZL	M	1086
Central Coast	PAK	F	22
Central Coast	PAK	M	50
Central Coast	PHL	F	516
Central Coast	PHL	M	199
Central Coast	POL	F	46
Central Coast	POL	M	43
Central Coast	SGP	F	36
Central Coast	SGP	M	28
Central Coast	ZAF	F	341
Central Coast	ZAF	M	304
Central Coast	KOR	F	126
