SA4_NAME16	Age	workers
Capital Region	15-19	4841
Capital Region	20-24	5979
Capital Region	25-29	6085
Capital Region	30-34	6170
Capital Region	35-39	6169
Capital Region	40-44	7435
Capital Region	45-49	8199
Capital Region	50-54	8707
Capital Region	55-59	8289
Capital Region	60-64	6057
Capital Region	65-69	3066
Capital Region	70-74	1340
Capital Region	75+	910
Central Coast	15-19	7697
Central Coast	20-24	9833
Central Coast	25-29	9362
Central Coast	30-34	9757
Central Coast	35-39	9932
Central Coast	40-44	11493
Central Coast	45-49	12169
Central Coast	50-54	11944
Central Coast	55-59	10970
Central Coast	60-64	7112
Central Coast	65-69	2956
Central Coast	70-74	1051
Central Coast	75+	445
Central West	15-19	4867
Central West	20-24	6999
Central West	25-29	7641
Central West	30-34	8021
Central West	35-39	7803
Central West	40-44	8852
Central West	45-49	9265
Central West	50-54	9252
Central West	55-59	8731
Central West	60-64	6091
Central West	65-69	3088
Central West	70-74	1496
Central West	75+	1097
Coffs Harbour - Grafton	15-19	3118
Coffs Harbour - Grafton	20-24	3634
Coffs Harbour - Grafton	25-29	3854
Coffs Harbour - Grafton	30-34	4088
Coffs Harbour - Grafton	35-39	4327
Coffs Harbour - Grafton	40-44	5383
Coffs Harbour - Grafton	45-49	5760
Coffs Harbour - Grafton	50-54	5970
Coffs Harbour - Grafton	55-59	5942
Coffs Harbour - Grafton	60-64	4165
Coffs Harbour - Grafton	65-69	1670
Coffs Harbour - Grafton	70-74	573
Coffs Harbour - Grafton	75+	363
Far West and Orana	15-19	2324
Far West and Orana	20-24	3746
Far West and Orana	25-29	4752
Far West and Orana	30-34	4550
Far West and Orana	35-39	4134
Far West and Orana	40-44	4486
Far West and Orana	45-49	4894
Far West and Orana	50-54	5170
Far West and Orana	55-59	5030
Far West and Orana	60-64	3543
Far West and Orana	65-69	1796
Far West and Orana	70-74	796
Far West and Orana	75+	666
Hunter Valley exc Newcastle	15-19	6635
Hunter Valley exc Newcastle	20-24	9193
Hunter Valley exc Newcastle	25-29	10338
Hunter Valley exc Newcastle	30-34	10679
Hunter Valley exc Newcastle	35-39	10244
Hunter Valley exc Newcastle	40-44	11324
Hunter Valley exc Newcastle	45-49	11298
Hunter Valley exc Newcastle	50-54	10798
Hunter Valley exc Newcastle	55-59	9540
Hunter Valley exc Newcastle	60-64	5925
Hunter Valley exc Newcastle	65-69	2540
Hunter Valley exc Newcastle	70-74	972
Hunter Valley exc Newcastle	75+	628
Illawarra	15-19	6693
Illawarra	20-24	10924
Illawarra	25-29	9778
Illawarra	30-34	10169
Illawarra	35-39	10234
Illawarra	40-44	11632
Illawarra	45-49	11501
Illawarra	50-54	11658
Illawarra	55-59	10092
Illawarra	60-64	5971
Illawarra	65-69	2275
Illawarra	70-74	735
Illawarra	75+	378
Mid North Coast	15-19	4367
Mid North Coast	20-24	4757
Mid North Coast	25-29	5120
Mid North Coast	30-34	5358
Mid North Coast	35-39	5847
Mid North Coast	40-44	7369
Mid North Coast	45-49	8112
Mid North Coast	50-54	8655
Mid North Coast	55-59	8595
Mid North Coast	60-64	5874
Mid North Coast	65-69	2647
Mid North Coast	70-74	1034
Mid North Coast	75+	628
Murray	15-19	3021
Murray	20-24	4204
Murray	25-29	4329
Murray	30-34	4511
Murray	35-39	4357
Murray	40-44	4970
Murray	45-49	5410
Murray	50-54	5632
Murray	55-59	5530
Murray	60-64	4031
Murray	65-69	1888
Murray	70-74	750
Murray	75+	514
New England and North West	15-19	4370
New England and North West	20-24	6028
New England and North West	25-29	6749
New England and North West	30-34	6841
New England and North West	35-39	6649
New England and North West	40-44	7464
New England and North West	45-49	7977
New England and North West	50-54	8313
New England and North West	55-59	7989
New England and North West	60-64	5801
New England and North West	65-69	2986
New England and North West	70-74	1446
New England and North West	75+	1070
Newcastle and Lake Macquarie	15-19	9120
Newcastle and Lake Macquarie	20-24	16091
Newcastle and Lake Macquarie	25-29	16536
Newcastle and Lake Macquarie	30-34	16693
Newcastle and Lake Macquarie	35-39	15977
Newcastle and Lake Macquarie	40-44	17279
Newcastle and Lake Macquarie	45-49	17546
Newcastle and Lake Macquarie	50-54	16910
Newcastle and Lake Macquarie	55-59	15066
Newcastle and Lake Macquarie	60-64	9231
Newcastle and Lake Macquarie	65-69	3430
Newcastle and Lake Macquarie	70-74	1141
Newcastle and Lake Macquarie	75+	570
Richmond - Tweed	15-19	5291
Richmond - Tweed	20-24	6131
Richmond - Tweed	25-29	6393
Richmond - Tweed	30-34	7195
Richmond - Tweed	35-39	7931
Richmond - Tweed	40-44	9359
Richmond - Tweed	45-49	10033
Richmond - Tweed	50-54	10388
Richmond - Tweed	55-59	10384
Richmond - Tweed	60-64	7457
Richmond - Tweed	65-69	3289
Richmond - Tweed	70-74	1154
Richmond - Tweed	75+	779
Riverina	15-19	4395
Riverina	20-24	6645
Riverina	25-29	6853
Riverina	30-34	6625
Riverina	35-39	6251
Riverina	40-44	6924
Riverina	45-49	7164
Riverina	50-54	7353
Riverina	55-59	6948
Riverina	60-64	4819
Riverina	65-69	2321
Riverina	70-74	960
Riverina	75+	725
Southern Highlands and Shoalhaven	15-19	3550
Southern Highlands and Shoalhaven	20-24	4397
Southern Highlands and Shoalhaven	25-29	4500
Southern Highlands and Shoalhaven	30-34	4424
Southern Highlands and Shoalhaven	35-39	4454
Southern Highlands and Shoalhaven	40-44	5343
Southern Highlands and Shoalhaven	45-49	5764
Southern Highlands and Shoalhaven	50-54	6099
