SA4_CODE_2016,FTS_NNI_Mng,FTS_NNI_Pro,FTS_NNI_TecTW,FTS_NNI_CoPSW,FTS_NNI_ClAW,FTS_NNI_SWks,FTS_NNI_MaOpDv,FTS_NNI_Lab,FTS_NNI_IDNS,FTS_NNI_Tot,FTS_1_149_Mng,FTS_1_149_Pro,FTS_1_149_TecTW,FTS_1_149_CoPSW,FTS_1_149_ClAW,FTS_1_149_SWks,FTS_1_149_MaOpDv,FTS_1_149_Lab,FTS_1_149_IDNS,FTS_1_149_Tot,FTS_150_299_Mng,FTS_150_299_Pro,FTS_150_299_TecTW,FTS_150_299_CoPSW,FTS_150_299_ClAW,FTS_150_299_SWks,FTS_150_299_MaOpDv,FTS_150_299_Lab,FTS_150_299_IDNS,FTS_150_299_Tot,FTS_300_399_Mng,FTS_300_399_Pro,FTS_300_399_TecTW,FTS_300_399_CoPSW,FTS_300_399_ClAW,FTS_300_399_SWks,FTS_300_399_MaOpDv,FTS_300_399_Lab,FTS_300_399_IDNS,FTS_300_399_Tot,FTS_400_499_Mng,FTS_400_499_Pro,FTS_400_499_TecTW,FTS_400_499_CoPSW,FTS_400_499_ClAW,FTS_400_499_SWks,FTS_400_499_MaOpDv,FTS_400_499_Lab,FTS_400_499_IDNS,FTS_400_499_Tot,FTS_500_649_Mng,FTS_500_649_Pro,FTS_500_649_TecTW,FTS_500_649_CoPSW,FTS_500_649_ClAW,FTS_500_649_SWks,FTS_500_649_MaOpDv,FTS_500_649_Lab,FTS_500_649_IDNS,FTS_500_649_Tot,FTS_650_799_Mng,FTS_650_799_Pro,FTS_650_799_TecTW,FTS_650_799_CoPSW,FTS_650_799_ClAW,FTS_650_799_SWks,FTS_650_799_MaOpDv,FTS_650_799_Lab,FTS_650_799_IDNS,FTS_650_799_Tot,FTS_800_999_Mng,FTS_800_999_Pro,FTS_800_999_TecTW,FTS_800_999_CoPSW,FTS_800_999_ClAW,FTS_800_999_SWks,FTS_800_999_MaOpDv,FTS_800_999_Lab,FTS_800_999_IDNS,FTS_800_999_Tot,FTS_1000_1249_Mng,FTS_1000_1249_Pro,FTS_1000_1249_TecTW,FTS_1000_1249_CoPSW,FTS_1000_1249_ClAW,FTS_1000_1249_SWks,FTS_1000_1249_MaOpDv,FTS_1000_1249_Lab,FTS_1000_1249_IDNS,FTS_1000_1249_Tot,FTS_1250_1499_Mng,FTS_1250_1499_Pro,FTS_1250_1499_TecTW,FTS_1250_1499_CoPSW,FTS_1250_1499_ClAW,FTS_1250_1499_SWks,FTS_1250_1499_MaOpDv,FTS_1250_1499_Lab,FTS_1250_1499_IDNS,FTS_1250_1499_Tot,FTS_1500_1749_Mng,FTS_1500_1749_Pro,FTS_1500_1749_TecTW,FTS_1500_1749_CoPSW,FTS_1500_1749_ClAW,FTS_1500_1749_SWks,FTS_1500_1749_MaOpDv,FTS_1500_1749_Lab,FTS_1500_1749_IDNS,FTS_1500_1749_Tot,FTS_1750_1999_Mng,FTS_1750_1999_Pro,FTS_1750_1999_TecTW,FTS_1750_1999_CoPSW,FTS_1750_1999_ClAW,FTS_1750_1999_SWks,FTS_1750_1999_MaOpDv,FTS_1750_1999_Lab,FTS_1750_1999_IDNS,FTS_1750_1999_Tot,FTS_2000_2999_Mng,FTS_2000_2999_Pro,FTS_2000_2999_TecTW,FTS_2000_2999_CoPSW,FTS_2000_2999_ClAW,FTS_2000_2999_SWks,FTS_2000_2999_MaOpDv,FTS_2000_2999_Lab,FTS_2000_2999_IDNS,FTS_2000_2999_Tot,FTS_3000mo_Mng,FTS_3000mo_Pro,FTS_3000mo_TecTW,FTS_3000mo_CoPSW,FTS_3000mo_ClAW,FTS_3000mo_SWks,FTS_3000mo_MaOpDv,FTS_3000mo_Lab,FTS_3000mo_IDNS,FTS_3000mo_Tot,FTS_PINS_Mng,FTS_PINS_Pro,FTS_PINS_TecTW,FTS_PINS_CoPSW,FTS_PINS_ClAW,FTS_PINS_SWks,FTS_PINS_MaOpDv,FTS_PINS_Lab,FTS_PINS_IDNS,FTS_PINS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_IDNS,FTS_Tot_Tot,PTS_NNI_Mng,PTS_NNI_Pro,PTS_NNI_TecTW,PTS_NNI_CoPSW,PTS_NNI_ClAW,PTS_NNI_SWks,PTS_NNI_MaOpDv,PTS_NNI_Lab,PTS_NNI_IDNS,PTS_NNI_Tot,PTS_1_149_Mng,PTS_1_149_Pro,PTS_1_149_TecTW,PTS_1_149_CoPSW,PTS_1_149_ClAW,PTS_1_149_SWks,PTS_1_149_MaOpDv,PTS_1_149_Lab,PTS_1_149_IDNS,PTS_1_149_Tot,PTS_150_299_Mng,PTS_150_299_Pro,PTS_150_299_TecTW,PTS_150_299_CoPSW,PTS_150_299_ClAW,PTS_150_299_SWks,PTS_150_299_MaOpDv,PTS_150_299_Lab,PTS_150_299_IDNS,PTS_150_299_Tot,PTS_300_399_Mng,PTS_300_399_Pro,PTS_300_399_TecTW,PTS_300_399_CoPSW,PTS_300_399_ClAW,PTS_300_399_SWks,PTS_300_399_MaOpDv,PTS_300_399_Lab,PTS_300_399_IDNS,PTS_300_399_Tot
101,0,3,5,28,0,44,0,30,4,116,7,24,40,359,45,910,18,430,28,1866,6,16,13,119,21,226,11,113,5,531,8,5,15,65,17,54,5,32,0,207,4,9,16,43,6,45,0,16,3,145,4,3,17,40,17,22,6,9,3,125,0,3,9,17,6,19,0,10,0,58,3,3,7,9,5,0,5,3,0,38,0,0,0,4,4,0,0,0,0,11,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,8,0,38,0,18,6,85,36,72,138,698,126,1370,42,665,51,3202,0,0,3,5,0,4,0,3,0,16,0,7,9,22,4,17,0,6,0,58,0,3,5,29,6,24,4,15,0,90,3,3,55,33,7,28,0,8,0,139
102,0,0,3,18,3,56,0,44,4,129,17,46,42,588,78,1666,75,864,30,3413,21,37,31,306,53,638,61,268,7,1423,8,34,14,186,40,224,10,82,8,618,10,20,23,106,27,124,10,38,0,364,8,17,20,98,17,82,7,16,3,270,3,18,11,38,12,18,4,11,0,122,3,4,9,17,5,6,0,3,0,56,3,7,4,5,3,3,0,0,0,22,0,3,3,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,23,0,49,0,13,3,105,79,190,165,1393,248,2871,173,1344,64,6528,0,0,3,0,0,0,0,0,0,3,3,11,8,31,9,62,8,27,3,148,5,17,25,57,13,76,7,43,3,242,3,7,90,50,16,65,4,25,0,262
103,4,3,6,28,3,34,0,40,14,128,19,30,34,326,33,869,23,461,27,1825,3,29,16,171,15,244,12,126,11,634,5,12,13,99,15,80,3,29,0,260,9,14,23,88,9,54,3,25,0,226,3,10,25,59,13,35,0,7,0,157,5,7,17,31,9,17,0,3,0,89,3,0,14,18,7,10,0,3,0,54,0,3,3,6,3,0,0,0,0,18,0,7,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,13,0,39,0,15,12,81,55,123,154,830,103,1389,46,714,73,3490,0,0,0,9,0,0,0,0,0,12,0,3,3,14,3,24,3,15,3,72,0,3,13,23,5,29,0,24,0,94,0,5,61,31,5,33,4,15,0,158
104,3,0,3,10,0,31,3,19,10,71,4,12,18,218,27,686,14,372,14,1367,3,12,7,54,4,188,4,79,4,358,0,3,3,40,3,37,0,16,3,101,7,4,5,27,5,29,5,10,0,93,3,7,11,31,4,10,0,12,0,80,5,3,3,15,3,11,0,3,0,42,0,4,0,8,5,0,0,0,0,26,0,3,0,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,19,0,10,6,43,30,48,61,415,61,1004,31,517,40,2198,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,12,0,27,0,3,11,19,3,21,0,20,0,68,3,3,42,16,12,24,0,12,0,114
105,0,0,0,7,0,13,0,22,4,56,4,9,12,134,14,422,6,181,7,797,3,8,9,44,3,114,3,37,5,229,0,0,0,9,3,15,3,3,0,38,3,0,14,18,3,5,0,7,0,46,0,3,13,24,0,5,0,4,3,52,0,0,10,13,5,3,0,3,0,35,3,0,7,7,0,0,0,0,0,27,0,3,3,3,0,0,0,0,0,11,0,3,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,0,8,0,38,17,39,74,268,38,603,22,268,25,1343,3,0,0,0,0,3,0,0,0,4,0,0,3,3,0,8,3,4,0,17,0,4,0,17,0,15,0,11,0,47,0,3,23,10,5,16,0,9,0,66
106,0,4,9,9,3,44,6,34,14,122,19,45,44,378,65,1266,58,776,35,2677,4,24,18,210,23,363,30,188,9,869,8,10,16,112,17,154,6,59,4,391,10,12,20,69,20,68,5,28,4,252,5,11,33,67,17,57,0,19,0,213,4,5,10,61,7,14,0,10,0,114,9,8,10,21,5,5,0,3,0,69,0,0,6,12,0,0,0,0,0,26,0,4,3,3,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,10,0,49,0,26,9,94,72,131,175,962,164,2032,115,1145,68,4853,0,0,0,3,0,0,0,0,0,9,0,0,8,18,4,35,4,30,0,96,3,6,22,36,9,67,6,28,0,178,0,8,74,41,17,40,4,33,3,213
107,4,5,3,34,8,61,10,33,13,162,11,114,38,620,96,1442,91,753,30,3197,23,89,49,451,106,628,58,274,19,1684,13,68,22,281,74,270,33,121,3,890,10,42,39,179,50,171,9,71,3,577,13,56,31,136,48,109,9,32,4,442,13,36,20,54,22,37,3,15,3,196,8,23,8,33,12,8,0,3,0,99,0,14,3,5,10,3,0,3,0,36,0,7,0,6,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,3,0,0,25,4,50,3,10,9,108,103,453,215,1842,421,2766,220,1323,83,7428,0,3,0,0,3,3,0,0,0,11,3,10,3,35,5,47,3,13,0,116,0,6,26,55,11,62,9,29,3,202,3,11,63,62,9,29,3,24,3,198
108,0,0,0,17,0,45,0,34,12,114,17,18,36,321,44,1015,29,487,23,1979,8,4,19,69,13,220,16,80,0,420,8,7,4,52,9,52,0,22,0,155,0,5,14,25,4,22,4,14,0,90,3,3,25,25,15,15,3,3,0,90,0,8,4,17,9,7,0,3,0,47,0,4,6,4,0,3,0,0,0,19,0,3,0,3,0,0,0,0,0,10,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,8,43,0,16,3,95,36,61,106,552,93,1423,45,662,43,3034,0,0,0,0,0,0,0,0,0,10,3,0,4,11,0,17,0,14,0,48,0,3,17,35,6,22,0,19,0,101,3,8,40,26,3,14,0,12,3,112
109,7,0,0,17,0,16,3,20,11,77,12,25,19,206,32,650,12,281,14,1258,8,13,5,106,11,187,5,68,9,413,4,8,11,75,6,47,3,32,0,186,0,4,19,35,13,41,0,13,0,120,4,7,18,36,3,15,0,6,3,95,0,3,4,16,10,0,0,0,0,42,0,5,0,7,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,21,0,6,8,54,39,64,82,513,76,989,27,436,43,2277,0,0,0,0,0,0,0,3,0,3,0,0,6,6,0,8,3,8,0,36,5,0,12,21,3,19,0,12,0,66,0,3,29,13,4,17,0,3,0,67
110,5,3,5,9,4,36,3,29,8,102,17,36,57,237,32,844,25,373,32,1643,6,16,16,110,16,237,12,115,5,534,3,14,12,58,23,65,12,43,4,221,0,15,16,41,14,40,0,14,0,136,3,9,25,34,5,33,7,18,0,132,0,6,12,13,13,12,3,5,4,62,0,8,3,12,9,4,0,7,0,40,0,3,5,5,0,3,0,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,4,9,0,24,0,20,11,75,40,113,151,534,121,1290,58,620,58,2989,0,0,4,0,0,0,0,0,0,4,0,4,7,12,3,11,0,11,0,42,3,0,15,33,0,36,3,14,0,108,3,0,43,20,3,23,7,16,0,118
