SA4_CODE_2016,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000mo_Mng,Tot_3000mo_Pro,Tot_3000mo_TecTW,Tot_3000mo_CoPSW,Tot_3000mo_ClAW,Tot_3000mo_SWks,Tot_3000mo_MaOpDv,Tot_3000mo_Lab,Tot_3000mo_IDNS,Tot_3000mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
302,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,10,0,3,0,13,3,53,0,22,17,116,155,353,570,1474,551,3162,246,1207,94,7814
303,0,3,0,3,0,0,0,3,0,10,0,0,0,5,0,0,4,3,0,14,0,8,17,29,13,49,8,14,18,158,249,688,942,2487,1052,4065,359,1766,170,11777
304,0,3,0,3,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,3,3,7,6,17,3,28,0,16,11,87,155,920,423,1874,479,2608,124,971,66,7617
305,0,9,3,3,8,0,0,0,0,29,3,5,0,3,10,4,0,0,3,28,3,23,19,51,33,45,3,18,41,239,494,2467,1375,5238,3651,4282,279,2246,311,20340
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,3,16,18,4,30,0,26,19,135,93,203,505,987,296,1990,75,846,92,5075
307,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,3,0,3,3,0,6,14,0,23,0,15,7,65,53,90,382,382,138,754,41,537,40,2429
308,0,4,6,0,3,0,3,0,0,19,0,0,4,0,0,0,0,0,0,7,0,0,7,10,0,39,0,27,14,97,81,237,712,892,318,1992,101,941,60,5333
309,0,0,0,3,0,0,0,3,0,8,0,0,6,14,4,9,0,3,4,32,3,17,21,57,22,125,0,51,51,340,363,859,1449,3856,1140,6489,398,2838,229,17613
310,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,9,0,0,9,21,3,34,4,24,24,118,164,249,617,1359,435,2523,189,1245,103,6873
311,0,0,0,3,0,3,0,0,0,8,0,0,0,4,0,3,0,0,0,7,3,3,13,11,9,44,0,23,17,119,107,239,664,1095,389,2728,197,1168,92,6669
312,0,9,12,0,0,0,5,0,0,28,0,0,0,0,0,0,0,4,0,5,0,5,13,14,0,37,0,5,16,91,51,154,531,551,216,1277,81,613,52,3527
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,4,20,3,28,4,10,12,88,81,157,362,881,250,2009,95,955,67,4863
314,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,4,9,10,38,0,19,8,84,90,170,382,1028,258,1852,114,858,55,4815
315,0,9,8,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,10,6,4,9,0,5,3,42,23,69,158,186,71,280,16,169,22,981
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,15,31,11,62,6,23,20,170,178,330,830,2198,558,3396,186,1607,121,9403
