SA4_CODE_2016,Tot_65_69_HW_0,Tot_65_69_HW_1_15,Tot_65_69_HW_16_24,Tot_65_69_HW_25_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40,Tot_65_69_HW_41_48,Tot_65_69_HW_49mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_15,Tot_70_74_HW_16_24,Tot_70_74_HW_25_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40,Tot_70_74_HW_41_48,Tot_70_74_HW_49mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_15,Tot_75ov_HW_16_24,Tot_75ov_HW_25_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40,Tot_75ov_HW_41_48,Tot_75ov_HW_49mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_15,Tot_Tot_HW_16_24,Tot_Tot_HW_25_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40,Tot_Tot_HW_41_48,Tot_Tot_HW_49mor,Tot_Tot_HW_NS,Tot_Tot_Tot
101,161,680,430,364,302,344,140,567,61,3066,75,334,191,167,77,143,59,248,44,1340,42,198,117,112,57,99,35,175,77,910,2661,9259,7677,9583,13264,11243,6225,11809,1522,73243
102,138,700,558,376,349,331,128,315,63,2956,45,350,208,129,83,76,26,96,33,1051,23,156,65,43,21,39,14,42,43,445,3735,14633,13148,13962,19690,17600,7904,12140,1912,104732
103,157,536,423,337,310,407,189,657,77,3088,87,346,204,196,94,140,79,297,58,1496,56,221,137,133,58,116,49,216,107,1097,3181,9236,8043,9304,14888,13645,7903,15243,1755,83199
104,84,407,273,210,194,180,77,209,39,1670,36,158,109,79,37,49,25,67,20,573,13,90,58,37,27,27,13,46,49,363,1802,6775,5760,7253,9488,7035,3579,6197,955,48844
105,89,270,204,177,198,262,98,440,55,1796,30,147,103,91,55,100,41,197,38,796,34,112,83,77,26,97,26,150,61,666,1723,4318,3784,4885,8876,7748,3994,9467,1098,45892
106,123,591,401,275,266,290,153,391,49,2540,45,278,163,106,61,93,44,147,35,972,25,150,115,68,31,74,28,81,60,628,3658,11966,10337,11047,17909,16312,10821,16186,1859,100101
107,114,537,419,277,277,243,106,248,53,2275,35,252,107,84,58,63,21,74,39,735,23,118,40,42,24,35,12,34,55,378,3721,14222,12534,12578,19735,17189,8439,11939,1679,102028
108,133,618,425,367,265,297,112,355,66,2647,55,280,176,134,58,89,42,143,61,1034,44,159,62,67,42,62,21,93,81,628,2810,9356,8112,10048,12626,10018,4974,8830,1570,68360
109,111,381,267,221,184,210,84,353,70,1888,63,183,99,78,29,77,35,158,29,750,48,108,71,62,37,35,27,90,41,514,2030,5944,4856,6131,8784,7884,4351,8131,1030,49146
110,147,508,395,295,358,344,178,696,75,2986,53,319,186,166,76,163,63,353,69,1446,75,188,120,119,64,128,44,237,91,1070,2736,8140,6764,8596,13855,11819,6291,13820,1672,73688
111,178,785,589,454,414,427,151,376,64,3430,59,413,210,117,75,90,50,87,38,1141,26,220,88,41,37,37,23,35,57,570,5776,18921,17723,19144,30871,28517,13722,18491,2413,155588
112,163,810,541,460,347,331,127,438,68,3289,43,350,175,152,89,103,46,148,40,1154,30,205,108,68,40,70,48,117,99,779,2813,12208,10617,13539,15585,12552,5942,10688,1833,85780
113,146,403,323,245,275,273,135,448,71,2321,61,222,123,100,68,108,42,195,36,960,31,158,95,82,42,64,45,125,75,725,2461,7129,6143,7324,13569,11886,6264,11716,1504,67996
114,98,530,351,261,180,179,91,235,33,1958,28,281,134,120,47,59,25,87,27,816,17,139,82,55,24,33,25,46,44,463,1830,7532,6189,6784,9021,7939,4421,6849,1013,51563
115,99,547,402,296,284,343,135,333,48,2478,38,278,170,111,75,114,38,87,24,926,25,152,81,58,27,35,7,44,28,449,2085,11188,9210,8565,12801,16135,6586,12489,1421,80475
116,105,327,335,282,429,393,184,317,52,2429,17,172,131,73,100,82,27,78,34,721,19,62,37,35,15,29,3,15,22,239,2795,10335,9792,10397,23696,21685,9635,15555,2500,106400
117,403,1405,1388,1071,1732,1751,736,1385,180,10057,150,714,583,408,389,493,184,407,104,3429,83,409,259,191,144,177,59,140,117,1572,17149,32097,48580,42422,114386,144493,65281,103975,9959,578345
118,113,722,500,398,380,398,171,353,54,3090,57,408,238,172,123,151,64,120,24,1360,31,288,144,89,45,66,23,67,36,787,2594,12242,12190,9983,14856,17433,7631,13179,1756,91871
