SA4_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
101,869,187,72,7435,6085,753,1061,195,108,8199,6378,816,1137,267,113,8707,5918,774,1154,328,120,8289,3898,604,1074,372,109,6057,1461,409,741,377,79,3066,393,177,409,320,45,1340,178,83,313,272,57,910,55846,5364,8352,2695,983,73243
102,1144,160,105,11493,9488,1148,1229,177,126,12169,9401,1091,1140,169,139,11944,8584,933,1138,197,116,10970,5307,692,857,164,86,7112,1819,460,501,113,55,2956,507,212,208,95,31,1051,161,83,107,64,37,445,86009,7309,8802,1503,1115,104732
103,863,191,113,8852,7328,685,936,203,118,9265,7144,670,1023,285,125,9252,6584,568,1144,311,125,8731,4046,490,1039,411,99,6091,1512,328,739,440,72,3088,488,161,455,335,62,1496,195,84,379,356,82,1097,65855,4636,8462,3014,1230,83199
104,611,102,68,5383,4460,434,673,122,72,5760,4590,470,683,134,88,5970,4537,398,752,178,68,5942,2898,350,663,180,71,4165,920,171,399,148,30,1670,247,66,159,78,19,573,95,38,106,80,42,363,38947,2793,5143,1278,679,48844
105,447,134,61,4486,3794,347,499,190,70,4894,3877,385,606,220,86,5170,3681,328,658,274,87,5030,2357,246,613,251,72,3543,917,156,423,230,67,1796,267,75,224,189,35,796,129,55,214,218,47,666,35902,2396,4780,2017,791,45892
106,732,142,108,11324,9506,776,754,158,99,11298,8936,738,813,188,121,10798,7668,695,860,214,98,9540,4316,585,727,217,81,5925,1446,368,448,227,54,2540,368,158,244,170,25,972,174,81,159,170,48,628,85601,5279,6356,1833,1031,100101
107,1036,116,77,11632,9511,887,887,125,97,11501,9581,858,948,141,119,11658,8428,677,775,121,83,10092,4627,538,612,125,74,5971,1476,308,347,92,48,2275,379,130,131,64,30,735,152,61,69,58,37,378,87024,5851,7018,1150,981,102028
108,863,141,97,7369,6335,566,946,163,108,8112,6654,633,1039,198,127,8655,6459,617,1176,221,130,8595,3998,507,980,284,111,5874,1424,315,570,267,59,2647,374,138,313,172,42,1034,146,70,177,175,56,628,53800,4032,7512,1913,1098,68360
109,501,129,52,4970,4099,521,551,162,77,5410,4272,552,575,172,54,5632,4075,525,617,225,84,5530,2749,377,584,244,73,4031,1028,237,373,189,60,1888,275,106,180,160,29,750,115,61,134,182,28,514,38679,3473,4513,1794,675,49146
110,795,215,97,7464,6204,551,889,244,98,7977,6189,643,1044,327,111,8313,5713,617,1119,413,122,7989,3692,489,1040,457,129,5801,1390,317,753,441,80,2986,429,154,452,358,54,1446,173,100,320,394,73,1070,57086,4170,7997,3284,1155,73688
