SA4_CODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
101,792,152,18,3312,4,31,516,1004,1247,822,182,54,3860,12,11,125,398,594,409,155,60,1765,131,104,175,208,254,269,116,47,1301,4841,5979,12254,13603,16912,14340,4399,910,73243
102,1049,122,7,4904,4,24,693,1637,1774,1129,198,24,5474,6,25,190,652,824,585,167,31,2482,157,152,267,285,391,297,104,26,1675,7697,9833,19123,21425,24111,18085,4010,445,104732
103,901,162,30,4556,0,77,1224,1848,1853,1105,178,29,6316,11,20,310,660,794,572,191,56,2611,121,111,227,269,308,247,131,70,1483,4867,6999,15658,16658,18512,14820,4586,1097,83199
104,524,57,8,2086,0,10,253,632,710,489,78,14,2187,0,7,87,232,278,241,80,10,935,66,60,109,123,180,153,41,20,760,3118,3634,7943,9706,11729,10103,2243,363,48844
105,563,103,19,2568,3,47,608,794,890,628,98,19,3091,5,7,146,300,357,288,99,33,1229,67,86,146,178,212,219,117,61,1074,2324,3746,9307,8623,10064,8572,2593,666,45892
106,1021,133,14,5876,4,112,2115,3059,2844,1596,186,28,9942,7,23,506,1084,1174,725,185,30,3729,140,169,288,312,359,279,81,27,1657,6635,9193,21012,21564,22098,15463,3514,628,100101
107,1224,132,11,5811,3,37,1055,2390,2497,1532,187,19,7722,9,16,251,875,1030,701,149,18,3043,116,175,252,306,312,233,65,23,1486,6693,10924,19950,21860,23160,16060,3005,378,102028
108,684,85,13,2877,0,12,365,858,924,692,128,22,3005,7,14,113,354,443,347,108,17,1404,123,85,146,239,296,251,77,44,1267,4367,4757,10477,13213,16771,14471,3677,628,68360
109,438,81,10,2094,4,11,295,665,789,542,87,23,2408,3,12,67,226,327,290,104,18,1050,79,75,135,150,211,200,95,32,977,3021,4204,8840,9329,11044,9561,2634,514,49146
110,717,151,26,3337,0,40,658,1153,1282,855,168,40,4195,13,15,190,434,556,512,152,34,1906,128,120,216,210,291,303,169,79,1519,4370,6028,13595,14114,16291,13787,4435,1070,73688
111,1613,182,16,8535,3,75,1922,3704,3626,2303,289,38,11952,11,33,463,1626,1811,1269,241,41,5485,182,246,420,419,468,299,101,16,2148,9120,16091,33228,33257,34452,24297,4571,570,155588
112,851,134,18,3409,0,23,394,994,1133,890,177,32,3649,8,20,145,439,602,491,152,38,1898,118,118,212,250,313,276,99,37,1435,5291,6131,13582,17296,20424,17843,4445,779,85780
113,628,108,23,3251,0,25,563,1062,1118,788,130,24,3719,9,20,119,376,499,438,134,32,1634,99,121,199,218,260,255,88,49,1294,4395,6645,13479,13177,14517,11773,3288,725,67996
114,555,90,21,2472,3,16,306,808,895,630,127,30,2815,7,6,112,272,390,329,135,24,1284,85,81,124,158,223,156,63,20,912,3550,4397,8919,9796,11869,9803,2769,463,51563
115,753,156,17,4577,8,38,1261,2385,1938,1098,231,18,6966,0,11,343,1382,1426,775,214,29,4180,88,155,256,246,281,171,66,7,1267,5793,8320,16257,17840,17049,11353,3405,449,80475
116,1115,159,5,6009,5,46,1226,2323,2152,1277,199,12,7239,15,21,285,913,1022,635,158,12,3065,144,193,354,372,350,258,58,8,1740,6056,10029,23683,24665,23181,15398,3148,239,106400
