SA4_CODE_2016,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_Inad_des_M,Inad_des_Inad_des_F,Inad_des_Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
101,96,305,189,498,83,28,112,120,41,163,2027,610,2638,5,4,10,38,83,125,43,31,77,33,32,69,4,0,4,127,84,217,14,22,37,7,37,41,272,296,573,8,10,13,119,407,528,25,82,109,95,115,210,248,615,862,0,0,5,191,83,277,328,531,859,519,617,1141,11,9,18,1120,1506,2629,219,67,284,1358,1583,2935,3,3,7,221,588,809,561,567,1132,782,1160,1940,14,14,25,1809,1844,3650,516,232,749,1099,416,1512,3437,2503,5942,39,72,110,1011,3570,4577,162,302,462,238,388,621,1446,4328,5773,28,171,201,442,1804,2246,616,1762,2374,320,1908,2221,358,1808,2167,1760,7449,9206,7,9,17,126,134,258,83,98,177,682,505,1186,13,5,21,908,756,1666,3,0,9,1272,259,1530,373,911,1282,0,6,6,1647,1183,2833,1387,664,2048,490,394,886,37702,35539,73243
102,24,443,185,628,88,34,122,278,104,382,2494,689,3185,27,12,37,129,244,371,135,98,234,71,66,143,3,0,3,334,119,451,70,24,101,5,17,24,781,579,1357,15,20,38,324,790,1111,174,396,568,314,349,661,826,1552,2378,4,8,7,192,102,289,662,1056,1716,856,1160,2019,15,9,24,1744,2239,3983,549,198,747,2307,2448,4751,4,5,8,487,1045,1538,872,778,1646,1368,1823,3193,11,11,20,1719,2338,4060,8,6,11,1074,607,1686,2811,2969,5778,51,128,175,1700,5361,7066,226,470,695,306,642,944,2276,6599,8877,68,289,358,1213,4260,5474,1206,3750,4956,722,3507,4226,678,3172,3850,3877,14981,18862,22,14,38,72,69,141,141,154,291,462,526,984,21,46,61,721,805,1520,3,0,3,1528,349,1871,639,2011,2651,0,15,18,2173,2378,4551,1962,1162,3127,648,500,1147,48103,56630,104732
103,9,312,218,528,61,21,81,153,41,197,2270,694,2968,6,3,8,38,117,153,43,23,68,51,44,100,0,0,0,157,89,244,33,33,68,5,40,48,340,350,692,7,14,13,200,477,680,55,173,225,117,132,254,369,797,1173,3,3,3,194,53,244,233,445,681,427,499,929,7,9,15,1091,1587,2683,166,40,204,1262,1637,2897,0,3,3,272,586,861,498,682,1175,768,1268,2038,11,12,26,2064,2220,4283,125,19,139,1087,524,1604,3285,2776,6059,39,85,120,1247,4522,5765,532,999,1534,149,333,488,1969,5945,7910,33,208,234,668,2517,3181,654,2096,2752,308,1915,2220,527,2237,2764,2180,8975,11162,3,6,5,101,71,172,62,56,120,205,245,449,11,5,22,384,386,770,5,0,5,1500,312,1814,400,1051,1453,0,15,15,1907,1376,3285,1331,692,2025,559,459,1018,43056,40144,83199
104,14,190,128,325,102,29,133,29,17,46,1390,388,1773,10,7,18,38,61,98,28,21,54,36,22,60,0,0,0,126,61,187,32,12,45,4,16,14,279,194,470,8,11,16,124,306,428,36,63,99,105,77,180,270,454,720,0,3,5,94,51,142,267,440,703,360,490,846,4,3,4,715,1011,1723,200,60,256,919,1071,1992,0,3,6,210,428,640,416,365,779,628,792,1423,10,6,15,1174,1272,2444,10,0,15,623,255,880,1812,1533,3348,22,57,81,851,2569,3422,208,338,547,123,237,360,1210,3203,4413,39,132,170,538,1775,2310,559,1588,2150,286,1546,1835,458,1471,1928,1884,6513,8397,9,6,16,71,75,141,43,33,80,231,190,425,6,12,21,362,318,682,0,0,0,870,174,1043,246,677,919,0,0,0,1116,848,1960,794,407,1201,321,274,592,23774,25067,48844
105,9,176,101,273,52,3,58,84,10,92,1254,347,1600,5,0,12,43,43,86,20,7,31,42,21,66,0,0,0,75,23,102,5,3,13,0,34,36,194,142,339,3,6,9,124,254,374,44,60,96,49,78,130,214,399,613,0,0,0,65,20,84,121,207,321,185,225,410,0,4,4,544,796,1338,49,15,67,590,817,1403,0,7,7,146,296,446,256,363,621,399,671,1073,7,3,15,1258,1232,2493,4,3,4,720,401,1125,1991,1639,3636,19,62,81,800,2976,3774,142,256,397,48,149,199,1009,3438,4443,43,163,209,444,1611,2063,384,1267,1649,141,965,1100,320,1294,1616,1334,5299,6632,3,4,5,140,110,247,20,23,44,126,82,211,5,3,11,296,226,526,0,0,0,843,145,984,195,595,795,0,8,6,1041,747,1787,705,305,1011,407,272,685,23632,22266,45892
106,72,259,209,468,195,67,260,72,40,116,2706,892,3591,3,3,5,31,72,104,44,50,97,15,12,27,0,0,0,102,54,155,17,8,27,3,23,28,225,223,441,15,16,29,153,586,746,49,126,179,123,136,258,347,864,1209,8,0,13,341,118,458,357,699,1054,704,819,1522,14,11,24,1533,1696,3226,381,108,489,1927,1815,3740,3,6,8,708,926,1640,697,958,1659,1415,1897,3306,8,8,11,1460,1833,3290,2680,670,3349,1026,495,1521,5178,3001,8182,44,69,109,1246,4814,6063,209,243,458,181,367,550,1683,5497,7181,34,167,207,333,1807,2138,623,2113,2737,283,2039,2329,400,2461,2861,1676,8585,10269,5,7,13,77,59,140,46,79,128,352,360,708,10,22,37,495,525,1020,8,0,8,2275,412,2685,401,1386,1788,0,9,13,2678,1810,4495,1797,862,2661,591,437,1030,54612,45486,100101
107,113,505,226,727,366,63,430,127,56,182,3485,713,4195,15,5,21,70,67,134,95,56,155,102,93,194,0,3,3,196,76,268,56,24,84,3,22,24,540,347,885,29,27,56,458,903,1354,388,1033,1423,302,374,674,1179,2328,3508,0,5,5,180,90,272,512,803,1314,691,903,1596,19,4,22,1951,1975,3932,760,226,984,2726,2207,4939,4,3,9,557,1061,1621,719,836,1563,1283,1901,3187,8,9,18,1816,2724,4540,85,65,148,1217,558,1769,3118,3348,6472,66,116,180,1524,5336,6859,1629,2314,3943,305,676,983,3521,8444,11969,49,242,289,1145,3868,5009,1102,3378,4483,539,2811,3342,778,3013,3786,3609,13310,16913,18,13,34,64,43,112,129,150,279,459,458,918,26,32,59,698,698,1394,6,0,5,1649,322,1968,646,1750,2399,0,31,36,2301,2108,4408,1769,856,2626,620,472,1091,49280,52747,102028
108,29,323,164,485,78,25,107,46,15,59,1916,496,2417,9,4,8,36,86,119,40,34,78,39,30,66,0,0,0,96,32,125,21,3,30,3,26,32,247,216,459,4,13,21,195,428,625,41,77,120,148,154,301,390,668,1060,3,4,7,117,56,168,361,652,1009,479,710,1188,0,3,4,970,1375,2347,186,54,239,1162,1428,2592,3,0,3,333,594,931,649,566,1220,988,1165,2152,10,11,17,1217,1211,2429,13,0,20,700,287,993,1944,1508,3451,28,61,86,1379,3795,5175,206,492,699,170,305,474,1788,4655,6438,42,204,248,688,2327,3013,860,2371,3228,574,2605,3178,543,2112,2653,2706,9617,12326,13,5,21,85,52,134,64,70,130,282,225,504,11,13,24,450,357,802,0,0,4,1128,199,1330,364,1026,1390,0,4,4,1489,1237,2720,1017,561,1573,496,419,918,33144,35213,68360
109,21,170,138,311,59,17,79,94,28,119,1728,513,2235,3,3,9,14,33,47,30,47,80,40,32,78,0,0,0,80,33,118,15,4,17,6,23,24,197,181,374,5,5,11,114,331,444,48,68,118,96,124,213,267,528,792,0,4,3,54,36,91,155,234,387,207,274,476,3,0,3,680,870,1547,111,27,144,791,895,1692,0,4,4,164,344,506,300,393,690,460,738,1203,3,3,3,1144,1418,2561,36,11,50,424,172,592,1605,1602,3211,28,35,65,593,2326,2916,232,434,669,107,209,308,961,3004,3961,22,109,126,300,1436,1738,403,1277,1682,165,1237,1404,200,1246,1449,1088,5305,6395,0,10,9,70,33,108,26,32,54,173,176,353,17,16,31,292,265,561,0,0,0,771,153,920,237,621,862,0,11,12,1009,782,1792,905,436,1339,329,282,605,24865,24281,49146
110,6,254,204,462,94,23,110,104,33,138,2157,640,2796,3,8,8,58,111,168,34,28,60,45,46,94,0,0,0,107,50,163,17,4,22,3,32,29,268,277,545,14,12,24,264,541,814,50,110,162,103,133,234,436,794,1228,3,0,3,124,55,177,240,409,645,361,465,827,6,0,8,994,1595,2588,152,59,211,1155,1653,2812,0,5,5,317,608,926,444,559,1011,759,1177,1935,6,13,22,1708,1306,3005,139,35,178,732,338,1065,2583,1690,4272,28,68,96,1165,4217,5385,815,1123,1937,146,267,409,2151,5672,7821,37,208,238,515,2175,2688,559,1778,2337,289,1671,1962,426,1978,2404,1821,7811,9628,6,11,19,87,37,117,34,46,82,171,153,322,11,10,22,315,245,568,0,3,3,1381,291,1673,296,904,1203,0,8,6,1681,1206,2889,1275,637,1909,565,444,1004,38005,35683,73688
