SA4_CODE_2016,NG_NNI_Mng,NG_NNI_Pro,NG_NNI_TecTW,NG_NNI_CoPSW,NG_NNI_ClAW,NG_NNI_SWks,NG_NNI_MaOpDv,NG_NNI_Lab,NG_NNI_IDNS,NG_NNI_Tot,NG_1_149_Mng,NG_1_149_Pro,NG_1_149_TecTW,NG_1_149_CoPSW,NG_1_149_ClAW,NG_1_149_SWks,NG_1_149_MaOpDv,NG_1_149_Lab,NG_1_149_IDNS,NG_1_149_Tot,NG_150_299_Mng,NG_150_299_Pro,NG_150_299_TecTW,NG_150_299_CoPSW,NG_150_299_ClAW,NG_150_299_SWks,NG_150_299_MaOpDv,NG_150_299_Lab,NG_150_299_IDNS,NG_150_299_Tot,NG_300_399_Mng,NG_300_399_Pro,NG_300_399_TecTW,NG_300_399_CoPSW,NG_300_399_ClAW,NG_300_399_SWks,NG_300_399_MaOpDv,NG_300_399_Lab,NG_300_399_IDNS,NG_300_399_Tot,NG_400_499_Mng,NG_400_499_Pro,NG_400_499_TecTW,NG_400_499_CoPSW,NG_400_499_ClAW,NG_400_499_SWks,NG_400_499_MaOpDv,NG_400_499_Lab,NG_400_499_IDNS,NG_400_499_Tot,NG_500_649_Mng,NG_500_649_Pro,NG_500_649_TecTW,NG_500_649_CoPSW,NG_500_649_ClAW,NG_500_649_SWks,NG_500_649_MaOpDv,NG_500_649_Lab,NG_500_649_IDNS,NG_500_649_Tot,NG_650_799_Mng,NG_650_799_Pro,NG_650_799_TecTW,NG_650_799_CoPSW,NG_650_799_ClAW,NG_650_799_SWks,NG_650_799_MaOpDv,NG_650_799_Lab,NG_650_799_IDNS,NG_650_799_Tot,NG_800_999_Mng,NG_800_999_Pro,NG_800_999_TecTW,NG_800_999_CoPSW,NG_800_999_ClAW,NG_800_999_SWks,NG_800_999_MaOpDv,NG_800_999_Lab,NG_800_999_IDNS,NG_800_999_Tot,NG_1000_1249_Mng,NG_1000_1249_Pro,NG_1000_1249_TecTW,NG_1000_1249_CoPSW,NG_1000_1249_ClAW,NG_1000_1249_SWks,NG_1000_1249_MaOpDv,NG_1000_1249_Lab,NG_1000_1249_IDNS,NG_1000_1249_Tot,NG_1250_1499_Mng,NG_1250_1499_Pro,NG_1250_1499_TecTW,NG_1250_1499_CoPSW,NG_1250_1499_ClAW,NG_1250_1499_SWks,NG_1250_1499_MaOpDv,NG_1250_1499_Lab,NG_1250_1499_IDNS,NG_1250_1499_Tot,NG_1500_1749_Mng,NG_1500_1749_Pro,NG_1500_1749_TecTW,NG_1500_1749_CoPSW,NG_1500_1749_ClAW,NG_1500_1749_SWks,NG_1500_1749_MaOpDv,NG_1500_1749_Lab,NG_1500_1749_IDNS,NG_1500_1749_Tot,NG_1750_1999_Mng,NG_1750_1999_Pro,NG_1750_1999_TecTW,NG_1750_1999_CoPSW,NG_1750_1999_ClAW,NG_1750_1999_SWks,NG_1750_1999_MaOpDv,NG_1750_1999_Lab,NG_1750_1999_IDNS,NG_1750_1999_Tot,NG_2000_2999_Mng,NG_2000_2999_Pro,NG_2000_2999_TecTW,NG_2000_2999_CoPSW,NG_2000_2999_ClAW,NG_2000_2999_SWks,NG_2000_2999_MaOpDv,NG_2000_2999_Lab,NG_2000_2999_IDNS,NG_2000_2999_Tot,NG_3000mo_Mng,NG_3000mo_Pro,NG_3000mo_TecTW,NG_3000mo_CoPSW,NG_3000mo_ClAW,NG_3000mo_SWks,NG_3000mo_MaOpDv,NG_3000mo_Lab,NG_3000mo_IDNS,NG_3000mo_Tot,NG_PINS_Mng,NG_PINS_Pro,NG_PINS_TecTW,NG_PINS_CoPSW,NG_PINS_ClAW,NG_PINS_SWks,NG_PINS_MaOpDv,NG_PINS_Lab,NG_PINS_IDNS,NG_PINS_Tot,NG_Tot_Mng,NG_Tot_Pro,NG_Tot_TecTW,NG_Tot_CoPSW,NG_Tot_ClAW,NG_Tot_SWks,NG_Tot_MaOpDv,NG_Tot_Lab,NG_Tot_IDNS,NG_Tot_Tot,SG_NNI_Mng,SG_NNI_Pro,SG_NNI_TecTW,SG_NNI_CoPSW,SG_NNI_ClAW,SG_NNI_SWks,SG_NNI_MaOpDv,SG_NNI_Lab,SG_NNI_IDNS,SG_NNI_Tot,SG_1_149_Mng,SG_1_149_Pro,SG_1_149_TecTW,SG_1_149_CoPSW,SG_1_149_ClAW,SG_1_149_SWks,SG_1_149_MaOpDv,SG_1_149_Lab,SG_1_149_IDNS,SG_1_149_Tot,SG_150_299_Mng,SG_150_299_Pro,SG_150_299_TecTW,SG_150_299_CoPSW,SG_150_299_ClAW,SG_150_299_SWks,SG_150_299_MaOpDv,SG_150_299_Lab,SG_150_299_IDNS,SG_150_299_Tot,SG_300_399_Mng,SG_300_399_Pro,SG_300_399_TecTW,SG_300_399_CoPSW,SG_300_399_ClAW,SG_300_399_SWks,SG_300_399_MaOpDv,SG_300_399_Lab,SG_300_399_IDNS,SG_300_399_Tot
213,0,6,0,0,7,0,0,0,0,19,7,22,0,9,22,3,0,3,0,60,7,45,7,16,36,4,3,4,6,113,0,39,3,10,34,4,3,5,0,102,7,41,5,28,55,7,6,3,0,156,6,91,15,20,110,15,7,3,0,271,13,104,18,35,152,13,37,10,0,378,16,123,29,40,244,21,41,4,5,524,29,201,69,51,368,12,48,3,12,779,59,279,53,42,368,4,27,4,20,846,103,332,39,30,152,6,10,0,17,694,93,277,24,17,64,0,5,0,9,487,195,328,31,17,66,0,0,0,7,647,63,87,3,3,4,0,0,0,3,170,4,15,4,7,16,3,3,0,3,55,601,1977,305,308,1696,100,196,41,87,5300,3,20,0,11,6,0,0,0,0,39,0,30,3,37,11,0,0,3,3,82,4,72,8,69,28,0,3,10,3,194,9,92,35,134,48,0,0,26,3,341
214,0,0,0,0,3,0,0,0,3,8,3,0,0,0,0,0,0,0,0,11,0,12,0,7,14,3,0,0,0,40,0,3,0,3,13,0,0,0,0,30,4,5,3,11,11,7,0,3,0,39,6,24,9,54,29,13,8,3,0,152,36,33,135,175,36,16,6,3,8,449,25,33,168,112,56,11,12,3,10,426,25,54,106,85,90,3,9,3,5,383,44,71,54,60,92,4,0,0,6,332,42,84,35,45,26,0,4,0,9,242,61,59,27,24,6,0,0,0,0,176,55,87,4,9,5,0,0,0,3,165,9,9,0,8,0,0,0,0,0,32,0,3,6,5,0,0,0,0,0,20,321,482,544,601,392,62,34,18,47,2504,4,11,0,0,0,0,0,0,0,8,0,19,0,20,8,0,0,3,0,47,4,38,3,27,7,0,3,4,0,90,0,59,8,57,19,0,0,3,0,151
215,0,0,0,0,4,0,0,0,0,9,0,3,0,0,5,0,0,0,0,13,0,3,0,0,19,0,0,0,0,24,0,3,0,8,16,0,0,0,0,25,0,0,0,3,18,3,0,0,0,30,3,5,0,12,10,3,0,0,0,42,3,10,3,6,25,0,0,0,0,50,5,11,0,12,21,3,0,0,0,54,0,29,3,17,41,3,0,0,3,97,4,22,4,14,38,0,0,0,4,87,5,18,0,3,5,0,0,0,3,34,4,9,0,0,3,0,0,0,0,24,5,8,4,0,5,0,0,0,0,22,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,41,121,19,74,214,23,7,3,14,518,0,7,0,6,0,0,0,4,0,12,0,13,7,29,4,0,0,39,0,90,0,38,4,41,10,0,0,19,0,114,0,40,6,60,29,0,6,29,0,177
216,0,0,0,0,3,0,0,0,0,3,0,0,0,0,11,0,0,0,0,17,0,0,0,3,6,0,0,5,0,17,4,5,0,3,17,0,0,3,0,29,0,3,0,3,12,0,0,0,0,23,0,3,0,7,13,7,0,3,0,38,0,5,0,3,19,8,0,0,0,36,0,14,0,6,28,3,3,0,0,59,3,19,3,0,47,5,0,3,0,80,7,20,3,9,30,3,0,0,0,66,12,14,0,0,11,0,0,0,0,36,10,14,0,0,3,0,0,3,0,31,7,7,0,0,3,0,0,0,0,20,6,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,44,114,10,30,204,30,8,19,9,461,0,3,0,0,3,0,0,0,0,10,0,8,0,8,7,0,0,8,0,33,0,26,4,16,7,0,0,3,0,65,0,37,8,47,16,0,0,9,3,126
217,0,0,0,0,4,0,0,0,0,4,0,3,0,0,9,0,0,0,0,11,3,0,0,0,21,0,0,0,0,28,0,3,0,3,16,0,0,0,0,25,0,7,0,3,20,3,0,0,0,28,4,9,0,8,26,5,0,0,0,54,0,10,3,6,30,3,3,0,0,66,3,11,5,9,34,0,0,3,0,67,3,20,9,12,39,0,0,0,3,97,3,21,0,3,47,3,0,0,5,83,13,27,6,3,11,0,0,0,0,61,6,20,4,0,3,0,0,0,0,30,12,33,0,0,3,0,0,0,0,48,0,9,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,4,54,170,35,56,268,21,3,6,7,618,0,3,0,0,0,0,0,0,0,3,3,13,3,11,3,0,0,12,0,49,0,40,4,37,13,0,0,10,0,107,3,40,4,49,30,0,0,14,0,137
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,3,0,0,25,0,0,0,0,31,0,20,3,4,59,0,0,0,0,87,0,23,3,7,54,0,0,4,0,94,0,10,0,12,40,0,0,3,0,62,0,27,6,10,36,6,3,0,0,84,0,18,0,13,41,4,3,8,0,85,0,20,3,14,26,0,3,4,3,68,0,25,7,15,29,7,10,0,0,94,8,18,15,21,38,0,10,3,3,109,7,23,4,13,9,0,3,0,0,62,10,21,10,3,8,0,3,0,0,56,11,14,7,6,3,0,0,0,0,43,12,23,0,4,3,0,0,0,3,43,3,6,0,0,3,0,0,0,0,14,0,3,0,0,0,0,0,0,0,10,55,244,58,125,368,20,29,23,15,944,3,5,0,0,0,0,0,0,3,13,0,7,0,8,0,0,0,4,0,24,0,17,3,27,0,0,0,3,0,52,0,22,3,19,3,4,0,8,0,63
301,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,3,3,0,0,0,0,8,0,3,0,3,7,3,0,0,0,15,0,3,0,4,9,3,0,0,0,20,0,3,0,7,15,0,0,0,0,36,0,7,3,3,15,7,0,0,0,43,0,4,0,0,55,7,0,0,0,68,3,12,8,3,70,3,3,0,3,105,5,12,3,4,65,0,0,0,3,92,5,18,3,0,18,0,0,0,0,54,4,10,0,0,10,0,0,0,0,24,13,10,0,0,9,0,0,0,0,38,4,3,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,5,43,98,21,33,289,20,6,3,9,520,0,0,0,0,0,0,0,3,0,6,0,5,0,21,4,0,0,11,0,41,7,22,0,43,15,3,0,18,0,113,5,18,0,47,12,3,0,25,0,117
302,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,9,0,9,0,3,20,0,0,0,3,28,0,6,4,3,17,0,3,0,0,36,0,4,0,3,42,5,0,0,0,58,3,5,0,4,60,3,15,0,0,96,0,17,4,3,126,3,10,3,4,182,10,40,11,7,202,9,23,3,3,310,11,53,34,9,340,3,29,9,5,493,25,113,45,13,326,0,14,5,6,547,37,159,41,40,255,5,4,0,9,555,38,113,45,40,96,0,0,3,7,349,134,329,74,48,117,0,0,0,6,721,39,281,12,0,17,3,0,0,0,350,3,12,0,0,12,0,0,0,0,29,306,1140,284,180,1648,36,109,24,42,3768,0,6,0,0,4,0,0,0,0,12,0,4,3,38,6,0,0,17,0,71,0,26,4,55,17,0,0,16,0,110,6,40,3,80,22,3,3,22,0,178
303,0,4,0,0,6,0,0,0,0,13,0,28,5,4,23,0,0,3,3,64,0,40,7,18,32,3,0,3,0,107,0,49,0,5,29,4,0,3,0,99,0,64,4,15,49,8,3,3,0,143,6,112,10,20,115,10,4,6,0,277,6,96,14,11,145,6,11,0,3,300,14,144,26,9,240,9,16,0,5,467,33,219,38,20,455,5,16,4,3,792,52,316,47,16,334,0,0,0,10,770,69,450,25,3,179,3,0,0,4,739,75,298,21,0,65,0,0,0,3,471,175,505,36,0,82,0,0,0,7,811,85,171,4,0,20,0,0,0,0,279,3,17,0,0,18,0,4,0,0,37,526,2523,242,122,1782,55,60,25,50,5375,3,13,0,4,4,0,0,0,0,22,0,18,4,34,13,3,0,14,0,83,3,42,3,101,22,3,0,23,0,196,8,68,8,124,28,3,0,28,0,279
