SA4_CODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
101,365,427,42,77,910,42540,26515,2661,1522,73243
102,118,260,23,43,445,57331,41748,3735,1912,104732
103,441,496,56,107,1097,51686,26574,3181,1755,83199
104,113,191,13,49,363,26297,19792,1802,955,48844
105,301,271,34,61,666,30091,12991,1723,1098,45892
106,214,329,25,60,628,61229,33350,3658,1859,100101
107,103,200,23,55,378,57296,39332,3721,1679,102028
108,214,295,44,81,628,36451,27526,2810,1570,68360
109,188,245,48,41,514,29154,16927,2030,1030,49146
110,471,428,75,91,1070,45784,23501,2736,1672,73688
111,130,354,26,57,570,91604,55795,5776,2413,155588
112,276,379,30,99,779,44765,36368,2813,1833,85780
113,277,338,31,75,725,43432,20601,2461,1504,67996
114,131,267,17,44,463,28223,20506,1830,1013,51563
115,116,289,25,28,449,48007,28961,2085,1421,80475
116,65,135,19,22,239,70570,30526,2795,2500,106400
117,517,855,83,117,1572,428136,123099,17149,9959,578345
118,195,522,31,36,787,53105,34418,2594,1756,91871
119,216,421,31,21,687,89473,51410,4129,3624,148635
120,165,348,26,24,570,66799,35268,2984,2177,107232
121,322,971,62,75,1425,139876,64517,5817,3421,213633
122,163,511,31,38,738,50044,34408,2353,1429,88233
123,67,141,13,19,244,48659,25928,2341,1731,78655
124,123,272,22,30,446,60915,36264,3119,1967,102264
125,194,343,28,52,616,151482,55794,6189,4903,218360
126,90,291,17,27,425,68201,27036,2642,1731,99607
127,135,207,23,29,394,79845,38139,3261,3239,124482
128,86,231,25,19,356,35905,27465,1913,1106,66381
197,0,0,0,0,0,52,18,9,0,86
199,128,389,76,98,690,81623,51874,6077,3799,143365
201,138,212,39,40,425,32801,23419,2465,1175,59866
202,163,253,23,33,472,33494,23297,2539,1068,60402
203,145,298,31,52,525,58882,42571,4120,1893,107466
204,325,367,66,57,812,40115,24099,2895,1416,68527
205,392,557,74,104,1124,55011,38399,4634,2145,100188
206,709,1199,106,188,2205,476428,177098,21367,11576,686467
207,176,636,45,53,916,80007,55680,4277,2364,142323
208,234,655,39,54,980,85597,60149,4184,2638,152571
209,158,375,34,39,598,79223,56481,4610,2891,143201
210,140,218,24,38,416,88223,42956,4106,3142,138428
211,211,605,63,60,936,97918,66917,5330,2991,173162
212,328,673,46,129,1182,189901,94999,8337,5932,299165
213,144,260,40,41,480,133377,73866,6283,4929,218458
214,143,355,37,41,575,48797,38611,3203,1773,92394
215,320,343,54,94,805,36327,21080,2545,1439,61396
216,189,253,29,70,542,32049,18139,2384,1239,53808
217,279,311,46,69,701,30167,19620,2389,1158,53330
297,0,0,0,0,0,107,24,22,9,157
299,139,351,60,61,612,68402,42343,5166,3122,119032
301,96,164,18,19,291,49527,27318,2358,1353,80553
302,112,195,18,29,360,73106,34014,3628,1762,112509
303,115,327,22,43,505,98054,50307,4742,2606,155714
304,68,200,11,14,290,32338,24340,2060,909,59640
305,236,468,33,82,809,217585,79558,10547,4378,312065
306,262,334,42,55,683,60610,33322,3361,2008,99301
307,424,357,32,77,890,36669,15818,2191,1266,55949
308,232,234,33,57,550,63109,27746,3939,1767,96570
309,298,686,49,86,1120,141050,87260,6659,4290,239261
310,147,194,21,60,425,69113,33302,3429,2065,107904
311,79,176,11,21,294,56943,32529,2864,1918,94250
312,178,163,18,51,409,54624,21161,3396,1664,80844
313,81,157,12,33,283,36084,25701,2183,1270,65244
314,33,83,7,16,134,28269,19479,1434,845,50032
315,171,82,14,26,288,26743,7445,1574,1014,36773
316,148,396,31,61,634,71278,53535,3993,2171,130983
317,98,148,17,28,296,39203,21537,2316,1012,64066
318,171,240,21,54,482,62592,30265,3675,1741,98272
319,343,345,43,92,823,52454,34297,3209,1963,91920
397,0,0,0,0,0,150,14,24,11,202
399,90,225,52,47,410,57869,33784,4786,2402,98838
401,261,618,53,76,1002,127554,76120,8008,2988,214679
402,135,215,28,32,402,72653,45168,4174,2125,124118
403,107,343,30,32,516,50159,43851,3831,1391,99237
404,128,278,23,53,480,78562,37918,3938,1863,122287
405,193,239,41,58,530,23150,15339,1666,800,40953
406,88,94,15,30,227,22722,11324,1740,792,36578
407,292,466,55,78,882,39869,26463,2964,1295,70596
497,0,0,0,0,0,41,11,14,0,64
499,40,99,19,24,185,17971,13830,1810,699,34311
501,164,302,34,38,536,39560,26442,3120,1296,70419
502,29,114,9,13,161,13426,11466,984,496,26378
503,211,604,31,50,892,150380,65224,8662,3108,227378
504,81,247,26,14,373,54103,30466,2713,1529,88807
505,142,455,35,32,665,88693,64345,4977,2630,160642
506,201,456,43,41,740,122587,63517,6334,3351,195786
507,142,381,37,31,592,88881,54550,5273,2460,151165
509,327,440,57,78,902,34320,18142,2635,1132,56235
510,57,35,6,6,106,57942,9266,5734,1671,74614
511,124,165,22,25,335,40025,14453,3070,1289,58839
597,4,0,0,0,4,1321,74,169,31,1595
599,51,125,37,22,229,30819,18821,3490,1251,54379
601,87,289,24,51,453,56617,37246,4036,1459,99359
602,112,224,25,24,385,30794,21087,2280,974,55131
603,48,67,13,7,138,4838,3793,409,227,9266
604,92,165,13,37,306,23938,15688,1976,814,42416
697,0,0,0,0,0,43,10,5,0,55
699,12,28,4,7,54,4823,3543,518,250,9138
701,77,90,9,10,196,52917,14518,3120,1567,72120
702,62,47,6,14,134,24420,6746,1624,1066,33860
797,0,0,0,0,0,74,6,9,3,91
799,10,3,4,0,20,2414,819,334,108,3679
801,168,395,46,54,665,148735,59238,9400,3274,220648
897,0,0,0,0,0,0,0,0,0,0
899,9,20,4,4,32,4093,2251,317,159,6819
901,8,17,0,3,35,1801,645,168,75,2692
997,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,56,24,31,6,118
