SA4_CODE_2016,M_Australia_E,M_Australia_OM_IE,M_Australia_OM_UIE,M_Australia_CFW,M_Australia_ES_NS,M_Australia_Tot,M_Canada_E,M_Canada_OM_IE,M_Canada_OM_UIE,M_Canada_CFW,M_Canada_ES_NS,M_Canada_Tot,M_China_E,M_China_OM_IE,M_China_OM_UIE,M_China_CFW,M_China_ES_NS,M_China_Tot,M_Croatia_E,M_Croatia_OM_IE,M_Croatia_OM_UIE,M_Croatia_CFW,M_Croatia_ES_NS,M_Croatia_Tot,M_Egypt_E,M_Egypt_OM_IE,M_Egypt_OM_UIE,M_Egypt_CFW,M_Egypt_ES_NS,M_Egypt_Tot,M_Fiji_E,M_Fiji_OM_IE,M_Fiji_OM_UIE,M_Fiji_CFW,M_Fiji_ES_NS,M_Fiji_Tot,M_FYROM_E,M_FYROM_OM_IE,M_FYROM_OM_UIE,M_FYROM_CFW,M_FYROM_ES_NS,M_FYROM_Tot,M_Germany_E,M_Germany_OM_IE,M_Germany_OM_UIE,M_Germany_CFW,M_Germany_ES_NS,M_Germany_Tot,M_Greece_E,M_Greece_OM_IE,M_Greece_OM_UIE,M_Greece_CFW,M_Greece_ES_NS,M_Greece_Tot,M_HongKong_E,M_HongKong_OM_IE,M_HongKong_OM_UIE,M_HongKong_CFW,M_HongKong_ES_NS,M_HongKong_Tot,M_India_E,M_India_OM_IE,M_India_OM_UIE,M_India_CFW,M_India_ES_NS,M_India_Tot,M_Indonesia_E,M_Indonesia_OM_IE,M_Indonesia_OM_UIE,M_Indonesia_CFW,M_Indonesia_ES_NS,M_Indonesia_Tot,M_Iran_E,M_Iran_OM_IE,M_Iran_OM_UIE,M_Iran_CFW,M_Iran_ES_NS,M_Iran_Tot,M_Iraq_E,M_Iraq_OM_IE,M_Iraq_OM_UIE,M_Iraq_CFW,M_Iraq_ES_NS,M_Iraq_Tot,M_Ireland_E,M_Ireland_OM_IE,M_Ireland_OM_UIE,M_Ireland_CFW,M_Ireland_ES_NS,M_Ireland_Tot,M_Italy_E,M_Italy_OM_IE,M_Italy_OM_UIE,M_Italy_CFW,M_Italy_ES_NS,M_Italy_Tot,M_Japan_E,M_Japan_OM_IE,M_Japan_OM_UIE,M_Japan_CFW,M_Japan_ES_NS,M_Japan_Tot,M_KoreaSouth_E,M_KoreaSouth_OM_IE,M_KoreaSouth_OM_UIE,M_KoreaSouth_CFW,M_KoreaSouth_ES_NS,M_KoreaSouth_Tot,M_Lebanon_E,M_Lebanon_OM_IE,M_Lebanon_OM_UIE,M_Lebanon_CFW,M_Lebanon_ES_NS,M_Lebanon_Tot,M_Malaysia_E,M_Malaysia_OM_IE,M_Malaysia_OM_UIE,M_Malaysia_CFW,M_Malaysia_ES_NS,M_Malaysia_Tot,M_Malta_E,M_Malta_OM_IE,M_Malta_OM_UIE,M_Malta_CFW,M_Malta_ES_NS,M_Malta_Tot,M_Netherlands_E,M_Netherlands_OM_IE,M_Netherlands_OM_UIE,M_Netherlands_CFW,M_Netherlands_ES_NS,M_Netherlands_Tot,M_NZ_E,M_NZ_OM_IE,M_NZ_OM_UIE,M_NZ_CFW,M_NZ_ES_NS,M_NZ_Tot,M_Pakistan_E,M_Pakistan_OM_IE,M_Pakistan_OM_UIE,M_Pakistan_CFW,M_Pakistan_ES_NS,M_Pakistan_Tot,M_Philippines_E,M_Philippines_OM_IE,M_Philippines_OM_UIE,M_Philippines_CFW,M_Philippines_ES_NS,M_Philippines_Tot,M_Poland_E,M_Poland_OM_IE,M_Poland_OM_UIE,M_Poland_CFW,M_Poland_ES_NS,M_Poland_Tot,M_Singapore_E,M_Singapore_OM_IE,M_Singapore_OM_UIE,M_Singapore_CFW,M_Singapore_ES_NS,M_Singapore_Tot,M_SthAfrica_E,M_SthAfrica_OM_IE,M_SthAfrica_OM_UIE,M_SthAfrica_CFW,M_SthAfrica_ES_NS,M_SthAfrica_Tot,M_SriLanka_E,M_SriLanka_OM_IE,M_SriLanka_OM_UIE,M_SriLanka_CFW,M_SriLanka_ES_NS,M_SriLanka_Tot,M_Thailand_E,M_Thailand_OM_IE,M_Thailand_OM_UIE,M_Thailand_CFW,M_Thailand_ES_NS,M_Thailand_Tot,M_Turkey_E,M_Turkey_OM_IE,M_Turkey_OM_UIE,M_Turkey_CFW,M_Turkey_ES_NS,M_Turkey_Tot,M_UK_E,M_UK_OM_IE,M_UK_OM_UIE,M_UK_CFW,M_UK_ES_NS,M_UK_Tot,M_USA_E,M_USA_OM_IE,M_USA_OM_UIE,M_USA_CFW,M_USA_ES_NS,M_USA_Tot,M_Vietnam_E,M_Vietnam_OM_IE
101,22901,3069,4408,1147,448,31973,51,8,9,0,0,67,85,35,22,3,6,146,19,8,5,0,0,30,10,5,0,0,0,19,26,0,3,0,0,39,34,8,5,0,3,55,76,23,29,8,8,142,21,8,9,7,0,45,30,3,5,0,0,37,311,43,14,8,3,390,5,0,3,0,0,14,18,5,3,0,0,26,14,3,0,0,0,16,47,14,17,0,0,71,47,13,21,3,0,86,12,0,0,0,0,13,64,12,3,0,0,78,20,4,13,3,0,39,30,0,13,0,0,43,8,0,8,3,0,25,52,9,13,9,0,83,438,55,68,14,4,582,52,6,3,0,0,54,116,4,4,0,3,130,22,4,5,0,0,34,24,7,0,0,0,25,96,23,13,3,3,135,68,3,6,0,0,77,31,0,3,0,0,37,8,0,0,0,0,13,892,133,223,55,15,1318,100,7,19,10,0,141,33,6
102,30885,3662,3961,452,437,39403,81,18,18,0,0,112,133,63,51,14,0,268,22,8,4,3,0,31,40,18,9,4,0,61,70,11,6,0,0,92,3,0,0,3,0,4,69,17,21,6,0,117,18,0,6,0,0,29,55,5,8,3,0,76,411,68,26,7,9,523,58,3,9,0,0,74,36,8,9,0,0,44,12,6,3,0,0,19,102,28,29,4,0,154,56,19,21,6,3,103,19,4,9,0,0,25,83,15,19,5,3,130,20,20,13,0,0,58,92,15,17,0,0,123,38,11,7,3,0,63,48,12,16,3,0,82,789,142,119,24,7,1086,43,0,4,0,3,50,180,14,3,4,0,199,30,4,11,0,0,43,16,3,7,0,3,28,199,51,48,3,5,304,61,8,8,0,0,74,56,10,4,4,0,78,10,3,10,0,0,19,1707,363,379,39,28,2509,136,26,18,4,0,187,47,8
103,28969,2747,4687,1441,589,38435,46,4,0,0,0,52,81,13,37,11,3,149,8,0,3,0,0,17,16,3,6,0,0,29,46,3,4,0,3,52,9,0,0,0,0,9,44,3,10,8,3,77,3,0,10,0,0,11,21,3,10,0,0,33,278,37,12,3,3,338,13,0,0,0,0,13,21,3,0,0,0,25,3,5,0,0,0,12,54,9,5,0,0,72,30,9,14,6,3,63,8,0,0,0,0,11,40,3,4,0,0,46,12,0,7,5,3,24,28,4,6,0,0,40,4,0,3,5,0,16,35,4,14,6,3,63,432,30,44,13,9,534,29,0,3,0,0,33,132,5,3,0,0,144,7,0,3,0,0,13,16,0,0,0,0,16,124,19,14,3,3,164,48,3,3,0,0,61,35,4,4,0,0,39,12,0,0,0,0,12,638,65,116,41,12,864,66,5,6,3,0,83,32,7
104,15402,1538,2492,524,285,20241,35,4,6,0,0,43,29,8,9,0,0,48,3,0,0,0,0,3,6,3,4,0,0,9,19,6,3,0,0,28,0,0,0,0,0,4,40,7,25,4,5,79,4,0,3,0,0,8,17,8,4,0,0,29,266,41,58,39,8,411,3,0,0,0,0,3,9,0,0,0,0,7,3,0,0,0,0,3,41,8,3,0,3,55,21,0,9,0,0,31,16,0,0,0,0,16,20,0,0,0,0,23,6,0,0,0,0,5,19,3,3,0,0,26,3,0,0,0,0,4,32,5,3,3,0,52,270,41,69,8,3,391,9,0,0,0,0,13,31,0,0,0,0,38,7,0,0,0,0,11,8,3,3,0,0,7,99,24,23,4,0,146,8,0,0,0,0,14,15,0,3,0,0,20,3,0,0,0,0,8,629,87,125,38,13,887,60,8,11,0,0,78,14,0
105,15405,1484,2831,1047,408,21169,14,0,0,0,0,21,47,13,17,8,0,76,4,0,0,0,0,9,14,5,0,0,0,20,29,0,3,0,0,33,0,0,0,0,0,0,19,0,17,0,0,44,3,0,3,0,0,6,9,4,4,0,0,10,197,12,3,0,11,223,9,0,0,0,0,9,14,3,0,0,0,14,3,0,0,0,0,3,20,0,3,0,3,29,3,3,0,0,0,11,4,0,0,0,0,4,24,3,0,0,4,28,0,0,6,0,0,11,9,4,5,0,0,19,9,0,0,0,0,13,13,0,4,0,0,22,207,17,19,0,3,236,30,3,3,0,0,44,78,0,4,0,0,83,10,0,0,0,0,10,3,0,0,0,0,6,51,4,7,0,0,62,45,8,6,0,0,60,8,0,0,0,0,6,3,0,0,0,0,4,235,19,30,21,6,305,20,0,7,0,0,21,4,3
106,41110,2965,2964,712,477,48222,66,14,6,3,0,85,90,30,33,14,4,175,16,0,0,0,3,23,8,7,4,0,0,22,50,0,3,0,0,53,8,0,4,3,0,15,86,12,11,3,0,114,11,3,8,0,0,17,28,6,11,0,0,37,213,52,12,0,0,282,20,0,0,0,0,23,17,0,0,0,0,17,6,0,0,0,0,7,103,15,7,3,3,131,26,0,12,3,0,40,12,0,0,0,0,9,41,9,3,0,0,48,8,3,3,0,0,15,63,11,12,6,0,88,11,4,0,5,0,18,43,15,14,0,0,71,807,70,57,19,6,957,32,13,4,0,0,55,159,5,3,3,3,172,17,3,5,0,0,24,9,3,7,0,0,21,223,22,18,3,4,268,64,7,3,0,0,73,31,0,4,0,0,38,4,3,9,0,0,17,1326,156,138,36,12,1674,113,8,7,0,0,133,51,3
107,32180,3071,2887,345,370,38855,77,7,11,0,0,91,428,42,48,15,10,541,87,16,11,0,0,112,38,12,9,0,4,60,56,0,0,0,0,55,447,60,47,9,3,566,134,15,26,7,0,180,54,12,20,3,3,87,43,15,13,4,0,75,430,74,20,11,3,533,49,3,3,0,0,52,90,8,4,3,0,105,33,10,3,3,0,45,75,18,16,0,0,115,195,65,42,10,5,306,13,3,0,0,0,23,69,15,4,4,3,98,75,19,33,10,5,141,63,9,9,0,0,85,60,3,3,0,0,73,61,18,17,7,3,101,560,69,56,5,6,698,90,12,3,0,7,109,174,5,4,0,0,183,42,5,11,0,0,58,20,4,0,0,0,20,156,41,25,3,5,230,98,5,0,0,4,113,79,8,16,0,0,95,69,21,36,3,3,135,1903,215,228,32,21,2401,139,14,9,0,3,164,157,18
108,21510,2174,3958,803,496,28944,51,13,3,4,0,71,50,11,20,12,3,89,3,0,3,0,0,7,14,11,8,0,0,32,30,3,7,0,0,37,0,0,0,0,0,0,41,13,24,8,0,81,9,0,3,0,0,8,20,9,0,0,0,31,143,32,18,0,8,202,17,5,3,0,0,18,8,0,3,0,0,12,7,3,0,0,0,10,59,7,3,0,3,71,17,5,9,6,0,42,5,0,3,0,0,7,25,4,3,0,0,33,9,3,4,0,0,14,20,8,11,0,0,37,8,0,3,0,4,17,46,13,14,7,0,80,383,46,74,15,3,520,10,3,0,0,0,16,65,11,10,0,3,83,9,0,0,0,0,12,5,0,7,0,0,8,86,22,23,3,0,132,24,4,0,0,0,32,12,0,0,0,0,19,6,0,4,0,0,12,766,127,207,47,15,1161,63,4,20,0,0,87,13,6
109,16005,2141,2576,881,320,21919,24,4,0,0,0,34,34,8,18,8,0,62,11,0,0,0,0,11,10,4,0,0,0,9,29,0,3,0,0,27,0,0,0,0,0,0,43,0,8,3,0,55,6,3,7,0,0,12,10,3,4,0,0,12,230,27,11,3,0,271,6,0,0,0,0,5,7,0,0,0,0,12,3,3,0,0,0,7,36,3,0,0,0,41,22,10,8,11,0,53,7,0,0,0,0,7,37,0,0,0,0,40,3,3,5,0,0,10,23,4,3,0,3,31,3,0,0,0,0,5,39,9,8,4,3,64,265,27,23,7,8,328,15,5,0,0,0,23,92,0,0,0,0,94,6,0,4,0,0,7,8,0,0,0,0,7,62,12,4,0,0,78,51,7,3,0,0,61,7,0,0,0,0,7,4,0,0,0,0,6,430,46,56,16,5,552,38,4,3,0,0,43,11,7
110,24526,2538,4544,1562,548,33715,32,3,5,7,0,47,96,12,29,3,0,145,4,0,3,0,0,10,3,0,0,0,0,6,49,0,3,0,0,53,3,0,0,0,0,3,42,3,10,5,0,55,8,0,3,0,0,8,28,0,3,0,0,34,235,14,11,3,5,274,11,0,0,0,0,7,15,3,5,0,0,21,5,0,0,0,0,5,35,3,6,3,0,51,16,4,8,3,0,31,11,0,3,0,0,9,115,0,0,0,0,119,4,3,0,0,0,9,38,5,6,0,0,52,8,0,0,4,0,12,29,0,15,3,0,51,350,33,48,8,3,441,38,3,3,0,0,48,222,0,4,0,5,229,7,3,0,0,0,14,21,0,0,0,0,20,115,10,17,4,0,145,57,3,0,0,0,63,16,0,4,0,0,25,6,0,0,0,0,3,444,64,108,39,15,660,67,9,13,8,0,93,40,0
